,Linear Regression,Lasso,Ridge,Tree,Mean
APPL Close,0.8825550239496565,0.9789209550817471,0.8823295310474788,0.8498283176438368,0.8984084569306798
APPL Earnings Per Share,0.609172314084093,0.0,0.5922832887220608,2.2756459682991166e-05,0.3003695898164592
US Interest Rates,0.1590838202785711,0.0,0.15807987469583615,8.054885472618e-05,0.07931106095728335
APPL Price to Share Ratio,0.1217610093870078,0.0,0.12122580020373719,2.070584292503981e-05,0.060751878858417506
APPL Open,0.08920382485998447,0.0015771761458733024,0.08948534910193873,0.027244774807075496,0.051877781228718
MSFT Close,0.044362511960944935,0.023814033081386847,0.04448937942100037,0.028575881293528053,0.03531045143921505
6 Day Percentage Change DJI,0.05867879062081722,0.0,0.05864207169998132,0.00016802050719770696,0.02937222070699906
APPL Asset Value,1.810062981077656e-06,0.0,1.8002622906590263e-06,0.08890652944380732,0.022227534942269766
APPL Sales Per Share,0.02604905885842907,0.0,0.02617392900211413,0.0006612374764466247,0.013221056334247458
APPL RSI 14 Days,0.01425541955686921,0.006640748527502794,0.014260298627835328,0.00027100166698901127,0.008856867094799086
GOOGL Close,0.0028889302943183727,0.0,0.002887575287587064,0.00040848439588149173,0.001546247494446732
DJI RSI 14 Days,0.0025944437252144164,0.0,0.0025991970822010074,0.00010020953224668833,0.001323462584915528
Consumer Confidence Index (US),0.0013425813215921522,0.0,0.0013789108737485977,0.00037244797097543106,0.0007734850415790453
DJI Close,0.00018563164562146578,2.5898638871170917e-05,0.0001844656026314145,0.002312909666683765,0.0006772263884519542
AAPLE Revenue,3.7374314676648466e-05,0.0,3.6468149940956383e-05,0.0006624739708409788,0.00018407910886464592
6 Day Percentage Change APPL,9.10100630496959e-05,0.0,9.114353867036942e-05,0.00019209850105348888,9.356302569338855e-05
Daily Change DJI,6.568078852798493e-05,0.0,1.7923023570078951e-06,6.045784349929068e-05,3.198273359607087e-05
Daily Change APPL,6.568078852717646e-05,0.0,1.7923023568590274e-06,4.092458023240424e-05,2.7099417779109934e-05
AAPL Employees,3.7511416252783036e-05,1.4862774186686546e-05,3.742600066950488e-05,6.176103375060232e-06,2.3994073621008677e-05
APPL Volume,5.287906846076606e-10,0.0,5.296691114354993e-10,6.404343899608316e-05,1.6011124363969802e-05
