Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,76.48,77.15,75.51,75.78,3246500,0.0,0.0
2008-01-03,75.89,76.92,74.97,75.91,2997200,0.0,0.0
2008-01-04,75.26,75.36,72.39,73.14,4238900,0.0,0.0
2008-01-07,73.43,73.43,68.02,69.45,10245500,0.0,0.0
2008-01-08,69.68,70.37,64.71,65.02,11230700,0.0,0.0
2008-01-09,65.13,65.88,63.2,65.55,6931000,0.0,0.0
2008-01-10,66.24,67.14,64.92,65.95,12058800,0.0,0.0
2008-01-11,65.23,66.95,65.13,66.55,6895000,0.0,0.0
2008-01-14,67.23,69.07,66.66,69.01,5184500,0.0,0.0
2008-01-15,68.27,68.27,65.3,65.42,7624000,0.0,0.0
2008-01-16,65.02,66.34,63.22,64.25,6998000,0.0,0.0
2008-01-17,64.39,64.92,60.16,60.39,9822000,0.0,0.0
2008-01-18,61.21,63.01,60.2,61.04,9173100,0.0,0.0
2008-01-22,57.93,61.12,56.88,60.39,6929900,0.0,0.0
2008-01-23,59.65,61.25,55.98,61.23,7781000,0.0,0.0
2008-01-24,61.46,64.81,60.83,64.62,7611200,0.0,0.0
2008-01-25,65.36,66.89,64.08,64.37,7310700,0.0,0.0
2008-01-28,63.49,66.11,63.05,66.01,3514300,0.0,0.0
2008-01-29,66.55,69.49,66.22,68.5,5966900,0.0,0.0
2008-01-30,68.34,70.1,67.35,68.59,4261900,0.0,0.0
2008-01-31,67.39,69.93,67.02,69.41,3828700,0.0,0.0
2008-02-01,70.62,72.26,69.36,71.9,6319600,0.0,0.0
2008-02-04,72.51,73.1,71.27,71.48,3965000,0.0,0.0
2008-02-05,69.85,70.56,68.21,68.53,4718200,0.0,0.0
2008-02-06,69.47,70.36,68.02,68.34,3008800,0.40851,0.0
2008-02-07,67.98,70.11,67.26,69.12,3769700,0.0,0.0
2008-02-08,68.88,71.29,68.25,71.18,4465700,0.0,0.0
2008-02-11,71.31,72.22,70.19,71.82,4681500,0.0,0.0
2008-02-12,72.38,73.04,70.13,70.61,5168000,0.0,0.0
2008-02-13,71.16,74.89,70.91,74.87,8773100,0.0,0.0
2008-02-14,75.93,76.81,73.9,74.56,7590000,0.0,0.0
2008-02-15,74.13,75.78,74.05,75.32,5860100,0.0,0.0
2008-02-19,76.31,77.44,75.57,76.33,5337200,0.0,0.0
2008-02-20,75.82,77.7,74.87,77.66,4538700,0.0,0.0
