Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02,165.6574652435098,167.74083893228666,164.7812708843782,167.70188903808594,25555900,0.0,0
2018-01-03,167.96473321625623,169.93128674967176,167.4098235432564,167.67266845703125,29517900,0.0,0
2018-01-04,167.9744679531332,168.8798672465166,167.5266481841733,168.45150756835938,22434600,0.0,0
2018-01-05,168.85066576966219,170.72958956837653,168.47098602067146,170.369384765625,23660000,0.0,0
2018-01-08,169.73658752441406,170.96324172804432,169.32768793483942,169.73658752441406,20567800,0.0,0
2018-01-09,169.93129715578235,170.42779687834758,168.82146288678888,169.7171173095703,21584000,0.0,0
2018-01-10,168.57807229043183,169.68790652151793,168.42230243395596,169.67816162109375,23959900,0.0,0
2018-01-11,169.97022327783023,170.8464175631996,169.87287826058756,170.6419677734375,18667700,0.0,0
2018-01-12,171.51817404153562,172.66695832298623,171.00219931881819,172.4040985107422,25418100,0.0,0
2018-01-16,173.19263696439586,174.64321588123764,171.47921312999634,171.52789306640625,29565900,0.0,0
2018-01-17,171.488932948542,174.50691056560777,170.43752363094973,174.3608856201172,34386800,0.0,0
2018-01-18,174.6237219865468,175.33441629994297,173.5333628334328,174.51663208007812,31193400,0.0,0
2018-01-19,173.8838637054431,174.8281980623015,172.7156194577411,173.7378387451172,32425100,0.0,0
2018-01-22,172.60851678046885,173.07581147401316,171.92704225758533,172.3164520263672,27108600,0.0,0
2018-01-23,172.6085221832134,174.69189570697114,172.1412274750425,172.3553924560547,32689100,0.0,0
2018-01-24,172.55983872208037,172.60851865746508,168.61700163640893,169.61001586914062,51105100,0.0,0
2018-01-25,169.89234906255467,170.32070875951655,166.01766655327262,166.5823211669922,41529000,0.0,0
2018-01-26,167.44876508430235,167.44876508430235,165.5600964036395,166.9717254638672,39143000,0.0,0
2018-01-29,165.65745431005456,165.65745431005456,162.64922137548783,163.5156707763672,50640400,0.0,0
2018-01-30,161.14996559903435,162.94127441761756,160.3419261650467,162.55186462402344,46048200,0.0,0
2018-01-31,162.45451513631275,163.98297912672217,162.0943103114532,162.99969482421875,32478900,0.0,0
2018-02-01,162.74656401308056,164.15819303587557,162.34740933238453,163.34042358398438,47230800,0.0,0
2018-02-02,161.60753348757547,162.38636794526892,155.8636572152707,156.25306701660156,86593800,0.0,0
2018-02-05,154.89010497836543,159.54362153599547,151.87212727637402,152.3491668701172,72738500,0.0,0
2018-02-06,150.73309097375028,159.3878547204991,149.92505157551236,158.7161102294922,68243800,0.0,0
2018-02-07,158.7745027607253,159.07629753249532,154.8608859167654,155.3184356689453,51608600,0.0,0
2018-02-08,156.0486238794759,156.73984338964448,150.92781198362587,151.0446319580078,54390500,0.0,0
2018-02-09,153.53726427978248,154.33881347814295,146.8608795642624,152.89210510253906,70672600,0.63,0
2018-02-12,154.9350976797845,160.20386791277605,153.96735889248546,159.0504150390625,60819500,0.0,0
2018-02-13,158.30753826547132,161.04456573451935,158.01428265885906,160.64378356933594,32549200,0.0,0
