Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,19.79,19.86,19.26,19.54,4697800,0.0,0
2008-01-03,19.05,19.34,18.96,19.16,5240200,0.0,0
2008-01-04,18.67,18.67,18.2,18.22,6830400,0.0,0
2008-01-07,17.94,18.12,17.08,17.57,12192500,0.0,0
2008-01-08,18.06,18.37,17.75,17.75,5671500,0.0,0
2008-01-09,17.66,17.86,17.29,17.79,6256900,0.0,0
2008-01-10,17.33,18.03,17.18,17.86,7793900,0.0,0
2008-01-11,17.67,17.75,17.27,17.38,10897300,0.0,0
2008-01-14,18.1,18.54,17.5,18.14,4889900,0.0,0
2008-01-15,17.47,17.47,17.05,17.08,9740500,0.0,0
2008-01-16,16.87,17.06,16.14,16.28,9407500,0.0,0
2008-01-17,16.65,16.84,15.9,16.03,9079000,0.0,0
2008-01-18,16.37,16.51,15.86,16.16,7229400,0.0,0
2008-01-22,14.96,15.92,14.94,15.88,13295700,0.0,0
2008-01-23,15.06,16.35,14.8,16.31,8007200,0.0,0
2008-01-24,16.51,16.89,16.25,16.75,6325500,0.0,0
2008-01-25,17.19,17.29,16.47,16.55,8493400,0.0,0
2008-01-28,16.51,17.04,16.34,16.98,4507600,0.0,0
2008-01-29,17.14,17.36,16.96,17.28,5077300,0.0,0
2008-01-30,16.92,17.13,16.5,16.66,10431200,0.0,0
2008-01-31,16.3,17.27,16.27,17.07,6532400,0.0,0
2008-02-01,17.36,17.83,17.23,17.74,4290000,0.0,0
2008-02-04,17.84,17.84,17.42,17.48,4928800,0.0,0
2008-02-05,16.72,16.82,16.23,16.3,6893300,0.0,0
2008-02-06,16.58,16.85,16.38,16.44,6142300,0.0,0
2008-02-07,16.05,16.52,15.92,16.29,6121800,0.0,0
2008-02-08,15.92,16.1,15.77,16.01,5782400,0.0,0
2008-02-11,16.29,16.36,15.94,16.26,3588400,0.0,0
2008-02-12,16.57,17.1,16.53,16.77,5480600,0.0,0
2008-02-13,15.66,16.55,15.51,16.45,28694800,0.0,0
2008-02-14,16.4,16.4,15.65,15.69,12573600,0.0,0
2008-02-15,15.67,15.79,15.32,15.64,13747700,0.0,0
2008-02-19,16.18,16.19,15.69,15.77,12010600,0.0,0
2008-02-20,15.69,16.08,15.61,16.03,9239900,0.0,0
2008-02-21,16.43,16.44,15.97,16.02,9892400,0.0,0
2008-02-22,16.47,16.47,15.93,16.31,7000500,0.0,0
2008-02-25,16.32,16.51,16.2,16.49,8587800,0.0,0
2008-02-26,16.78,17.19,16.65,17.04,11741600,0.0,0
