Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,6.82,6.82,6.69,6.71,88400,0.0,0
2008-01-03,6.68,6.71,6.65,6.67,61300,0.0,0
2008-01-04,6.67,6.67,6.45,6.47,116400,0.0,0
2008-01-07,6.47,6.5,6.4,6.45,79100,0.0,0
2008-01-08,6.45,6.52,6.33,6.34,125600,0.0,0
2008-01-09,6.35,6.42,6.27,6.42,92400,0.0,0
2008-01-10,6.37,6.5,6.36,6.48,108700,0.0,0
2008-01-11,6.41,6.44,6.35,6.37,141500,0.0,0
2008-01-14,6.4,6.48,6.39,6.43,94600,0.0,0
2008-01-15,6.35,6.37,6.28,6.31,139000,0.0,0
2008-01-16,6.28,6.32,6.22,6.27,170100,0.0,0
2008-01-17,6.25,6.3,6.14,6.2,370100,0.0,0
2008-01-18,6.14,6.22,6.04,6.13,200800,0.0,0
2008-01-22,5.83,6.07,5.74,6.02,207800,0.0,0
2008-01-23,5.81,6.22,5.81,6.21,221400,0.0,0
2008-01-24,6.2,6.29,6.17,6.27,132300,0.0,0
2008-01-25,6.34,6.35,6.13,6.14,176700,0.0,0
2008-01-28,6.14,6.24,6.1,6.23,118400,0.0,0
2008-01-29,6.28,6.3,6.23,6.28,68200,0.0,0
2008-01-30,6.28,6.44,6.24,6.26,63400,0.0,0
2008-01-31,6.21,6.41,6.14,6.4,155200,0.0,0
2008-02-01,6.37,6.44,6.36,6.43,55400,0.0,0
2008-02-04,6.42,6.42,6.37,6.38,46100,0.0,0
2008-02-05,6.32,6.32,6.2,6.2,181500,0.0,0
2008-02-06,6.26,6.26,6.16,6.17,152100,0.0,0
2008-02-07,6.15,6.26,6.13,6.21,106100,0.0,0
2008-02-08,6.2,6.25,6.18,6.21,73300,0.0,0
2008-02-11,6.22,6.26,6.18,6.2,85600,0.0,0
2008-02-12,6.24,6.32,6.22,6.24,121000,0.05,0
2008-02-13,6.3,6.33,6.27,6.32,164000,0.0,0
2008-02-14,6.34,6.37,6.23,6.23,106900,0.0,0
2008-02-15,6.2,6.25,6.18,6.21,156800,0.0,0
2008-02-19,6.3,6.33,6.18,6.24,159300,0.0,0
2008-02-20,6.15,6.3,6.15,6.27,197800,0.0,0
2008-02-21,6.32,6.32,6.18,6.18,90700,0.0,0
2008-02-22,6.21,6.22,6.11,6.22,115400,0.0,0
2008-02-25,6.22,6.31,6.21,6.31,79200,0.0,0
2008-02-26,6.29,6.4,6.27,6.36,145700,0.0,0
2008-02-27,6.33,6.42,6.32,6.34,104600,0.0,0
2008-02-28,6.33,6.47,6.26,6.47,165100,0.0,0
2008-02-29,6.32,6.33,6.18,6.19,174800,0.0,0
2008-03-03,6.2,6.28,6.16,6.28,179900,0.0,0
2008-03-04,6.19,6.22,6.13,6.2,168200,0.0,0
2008-03-05,6.25,6.28,6.18,6.24,96400,0.0,0
2008-03-06,6.22,6.22,6.15,6.15,93400,0.0,0
2008-03-07,6.14,6.19,6.08,6.12,79900,0.0,0
2008-03-10,6.1,6.11,6.04,6.07,92600,0.0,0
2008-03-11,6.21,6.22,6.08,6.22,102500,0.0,0
2008-03-12,6.21,6.25,6.14,6.14,137400,0.0,0
2008-03-13,6.12,6.16,6.0,6.12,110100,0.0,0
2008-03-14,6.14,6.15,5.98,6.03,180700,0.0,0
2008-03-17,5.93,5.97,5.71,5.92,381700,0.0,0
2008-03-18,6.02,6.11,5.96,6.11,187100,0.0,0
2008-03-19,6.11,6.17,6.0,6.07,111500,0.0,0
2008-03-20,6.04,6.13,6.0,6.13,95200,0.0,0
2008-03-24,6.17,6.26,6.16,6.24,99300,0.0,0
2008-03-25,6.21,6.26,6.18,6.25,63900,0.0,0
2008-03-26,6.22,6.22,6.16,6.2,113400,0.0,0
2008-03-27,6.23,6.24,6.16,6.16,152000,0.0,0
2008-03-28,6.16,6.19,6.13,6.13,76800,0.0,0
2008-03-31,6.12,6.17,6.11,6.13,36500,0.0,0
2008-04-01,6.19,6.34,6.19,6.34,112400,0.0,0
2008-04-02,6.34,6.36,6.31,6.34,131400,0.0,0
2008-04-03,6.29,6.37,6.29,6.36,78900,0.0,0
2008-04-04,6.34,6.37,6.31,6.32,70800,0.0,0
2008-04-07,6.35,6.41,6.33,6.35,102400,0.0,0
2008-04-08,6.3,6.33,6.3,6.33,35400,0.0,0
2008-04-09,6.33,6.33,6.27,6.28,78400,0.0,0
2008-04-10,6.28,6.32,6.27,6.27,99800,0.0,0
2008-04-11,6.21,6.25,6.14,6.14,78600,0.0,0
2008-04-14,6.15,6.17,6.12,6.13,78000,0.0,0
2008-04-15,6.14,6.18,6.1,6.16,76200,0.0,0
2008-04-16,6.18,6.29,6.18,6.29,64900,0.0,0
2008-04-17,6.25,6.3,6.25,6.29,65700,0.0,0
2008-04-18,6.35,6.4,6.35,6.38,109000,0.0,0
2008-04-21,6.36,6.4,6.34,6.4,108300,0.0,0
2008-04-22,6.38,6.38,6.31,6.34,91800,0.0,0
2008-04-23,6.35,6.37,6.32,6.32,73800,0.0,0
2008-04-24,6.33,6.41,6.3,6.34,108400,0.0,0
2008-04-25,6.37,6.41,6.34,6.38,73300,0.0,0
2008-04-28,6.38,6.41,6.37,6.37,146200,0.0,0
2008-04-29,6.37,6.38,6.32,6.37,104400,0.0,0
2008-04-30,6.38,6.4,6.33,6.33,87500,0.0,0
2008-05-01,6.33,6.44,6.33,6.44,108800,0.0,0
2008-05-02,6.45,6.49,6.44,6.47,64400,0.0,0
2008-05-05,6.44,6.46,6.42,6.42,39200,0.0,0
2008-05-06,6.42,6.5,6.39,6.49,99000,0.0,0
2008-05-07,6.49,6.5,6.38,6.4,116000,0.0,0
2008-05-08,6.41,6.44,6.37,6.42,52700,0.0,0
2008-05-09,6.36,6.39,6.33,6.37,91800,0.0,0
2008-05-12,6.39,6.42,6.36,6.4,66600,0.0,0
2008-05-13,6.42,6.44,6.38,6.44,75800,0.05,0
2008-05-14,6.44,6.51,6.44,6.46,53500,0.0,0
2008-05-15,6.45,6.51,6.43,6.51,37300,0.0,0
2008-05-16,6.5,6.51,6.46,6.5,102500,0.0,0
2008-05-19,6.5,6.57,6.5,6.5,81000,0.0,0
2008-05-20,6.47,6.49,6.45,6.47,69200,0.0,0
2008-05-21,6.46,6.49,6.35,6.36,84500,0.0,0
2008-05-22,6.37,6.4,6.35,6.36,32700,0.0,0
2008-05-23,6.35,6.35,6.26,6.27,167600,0.0,0
2008-05-27,6.26,6.31,6.26,6.3,88200,0.0,0
2008-05-28,6.32,6.33,6.27,6.31,147800,0.0,0
2008-05-29,6.3,6.37,6.3,6.34,153100,0.0,0
2008-05-30,6.35,6.37,6.33,6.34,112400,0.0,0
2008-06-02,6.34,6.35,6.27,6.3,224900,0.0,0
2008-06-03,6.32,6.33,6.22,6.26,183500,0.0,0
2008-06-04,6.26,6.31,6.24,6.28,108900,0.0,0
2008-06-05,6.31,6.4,6.29,6.39,73300,0.0,0
2008-06-06,6.36,6.36,6.2,6.2,118800,0.0,0
2008-06-09,6.25,6.25,6.18,6.22,66400,0.0,0
2008-06-10,6.17,6.23,6.15,6.2,149000,0.0,0
2008-06-11,6.21,6.21,6.11,6.12,130600,0.0,0
2008-06-12,6.13,6.2,6.12,6.14,91500,0.0,0
2008-06-13,6.16,6.2,6.12,6.2,77400,0.0,0
2008-06-16,6.17,6.21,6.08,6.17,346600,0.0,0
2008-06-17,6.22,6.22,6.15,6.15,191100,0.0,0
2008-06-18,6.13,6.13,6.06,6.1,241400,0.0,0
2008-06-19,6.09,6.12,6.05,6.11,262900,0.0,0
2008-06-20,6.07,6.07,5.98,6.0,349200,0.0,0
2008-06-23,5.99,6.04,5.98,6.01,265800,0.0,0
2008-06-24,6.0,6.03,5.92,5.99,275700,0.0,0
2008-06-25,6.0,6.09,6.0,6.03,477900,0.0,0
2008-06-26,5.94,5.98,5.88,5.88,162400,0.0,0
2008-06-27,5.87,5.89,5.8,5.83,116700,0.0,0
2008-06-30,5.84,5.88,5.81,5.83,95300,0.0,0
2008-07-01,5.78,5.84,5.73,5.83,79000,0.0,0
