Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,63.95,64.03,62.24,62.85,1536500,0.0,0
2008-01-03,63.09,67.68,62.89,66.32,1787700,0.0,0
2008-01-04,65.32,65.99,63.56,64.1,2528000,0.0,0
2008-01-07,64.26,65.42,61.16,63.15,1527600,0.0,0
2008-01-08,63.51,64.49,58.96,59.17,1838000,0.0,0
2008-01-09,59.09,59.52,55.81,58.42,2667700,0.0,0
2008-01-10,58.12,61.95,57.51,60.88,2540100,0.0,0
2008-01-11,60.21,62.38,59.72,60.02,1673900,0.0,0
2008-01-14,60.56,64.33,60.45,64.02,1778800,0.0,0
2008-01-15,63.2,64.47,62.29,63.61,1749100,0.0,0
2008-01-16,63.24,63.48,59.25,61.05,3110300,0.0,0
2008-01-17,61.18,61.79,54.4,56.83,4080400,0.0,0
2008-01-18,56.74,58.21,52.33,54.38,3029300,0.0,0
2008-01-22,51.12,56.39,49.86,55.59,3331800,0.0,0
2008-01-23,53.69,54.95,46.85,53.6,4731500,0.0,0
2008-01-24,54.04,55.46,50.49,51.78,2745800,0.0,0
2008-01-25,54.02,55.42,52.13,53.36,2573800,0.0,0
2008-01-28,53.06,55.62,52.34,55.49,1648900,0.0,0
2008-01-29,55.9,56.07,53.95,54.85,2958400,0.0,0
2008-01-30,55.34,56.64,53.87,54.68,1884300,0.0,0
2008-01-31,53.39,57.1,53.09,56.65,1742000,0.0,0
2008-02-01,56.6,59.49,56.45,58.47,2000200,0.0,0
2008-02-04,58.46,59.17,56.77,56.96,1276900,0.0,0
2008-02-05,55.81,56.35,53.9,54.15,1307100,0.0,0
2008-02-06,53.62,55.97,53.48,54.53,1425200,0.0,0
2008-02-07,52.4,53.92,50.41,52.39,5001900,0.0,0
2008-02-08,52.17,53.55,51.61,53.37,1744600,0.0,0
2008-02-11,53.82,56.14,52.96,55.75,1441300,0.0,0
2008-02-12,56.15,60.15,55.95,59.39,3155600,0.0,0
2008-02-13,59.99,62.84,58.82,62.27,3208100,0.0,0
2008-02-14,62.34,62.39,59.62,60.27,2346400,0.0,0
2008-02-15,59.68,60.87,58.69,60.67,1291500,0.0,0
2008-02-19,61.18,62.25,59.34,59.97,1615100,0.0,0
2008-02-20,59.58,61.33,58.15,61.09,1646000,0.0,0
2008-02-21,61.69,62.46,60.89,61.58,1357500,0.0,0
2008-02-22,61.64,62.12,58.85,60.83,1432900,0.0,0
2008-02-25,60.85,63.54,60.69,63.39,1647400,0.0,0
