Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-08-08,9.55,9.55,9.55,9.55,0,0,0
2017-11-21,9.55,9.55,9.55,9.55,0,0,0
2018-02-12,9.55,9.55,9.55,9.55,0,0,0
2018-03-14,9.55,9.55,9.55,9.55,0,0,0
2018-03-15,9.55,9.55,9.55,9.55,0,0,0
2018-03-16,9.55,9.55,9.55,9.55,0,0,0
2018-03-19,9.55,9.55,9.55,9.55,0,0,0
2018-03-20,9.55,9.55,9.55,9.55,0,0,0
2018-03-21,9.55,9.55,9.55,9.55,0,0,0
2018-03-22,9.55,9.55,9.55,9.55,0,0,0
2018-03-23,9.55,9.55,9.55,9.55,0,0,0
2018-03-26,9.55,9.55,9.55,9.55,0,0,0
2018-03-27,9.55,9.55,9.55,9.55,0,0,0
2018-03-28,9.55,9.55,9.55,9.55,0,0,0
2018-03-29,9.55,9.55,9.55,9.55,0,0,0
2018-04-02,9.55,9.55,9.55,9.55,0,0,0
2018-04-03,9.55,9.55,9.55,9.55,0,0,0
2018-04-04,9.55,9.55,9.55,9.55,0,0,0
2018-04-05,9.55,9.55,9.55,9.55,0,0,0
2018-04-06,9.55,9.55,9.55,9.55,0,0,0
2018-04-09,9.55,9.55,9.55,9.55,0,0,0
2018-04-10,9.55,9.55,9.55,9.55,0,0,0
2018-04-11,9.55,9.55,9.55,9.55,0,0,0
2018-04-12,9.55,9.55,9.55,9.55,0,0,0
2018-04-13,9.55,9.55,9.55,9.55,0,0,0
2018-04-16,9.55,9.55,9.55,9.55,0,0,0
2018-04-17,9.55,9.55,9.55,9.55,0,0,0
2018-04-18,9.55,9.55,9.55,9.55,0,0,0
2018-04-19,9.55,9.55,9.55,9.55,0,0,0
2018-04-20,9.55,9.55,9.55,9.55,0,0,0
2018-04-23,9.55,9.55,9.55,9.55,0,0,0
2018-04-24,9.55,9.55,9.55,9.55,0,0,0
2018-04-25,9.55,9.55,9.55,9.55,0,0,0
2018-04-26,9.55,9.55,9.55,9.55,0,0,0
2018-04-27,9.55,9.55,9.55,9.55,0,0,0
2018-04-30,9.55,9.55,9.55,9.55,0,0,0
2018-05-01,9.55,9.55,9.55,9.55,0,0,0
2018-05-02,9.55,9.55,9.55,9.55,0,0,0
2018-05-03,9.55,9.55,9.55,9.55,0,0,0
2018-05-04,9.55,9.55,9.55,9.55,0,0,0
2018-05-07,9.55,9.55,9.55,9.55,0,0,0
2018-05-08,9.55,9.55,9.55,9.55,0,0,0
2018-05-09,9.55,9.55,9.55,9.55,0,0,0
2018-05-10,9.55,9.55,9.55,9.55,0,0,0
2018-05-11,9.55,9.55,9.55,9.55,0,0,0
2018-05-14,9.55,9.55,9.55,9.55,0,0,0
2018-05-15,9.55,9.55,9.55,9.55,0,0,0
2018-05-16,9.55,9.55,9.55,9.55,0,0,0
2018-05-17,9.55,9.55,9.55,9.55,0,0,0
2018-05-18,9.55,9.55,9.55,9.55,0,0,0
2018-05-21,9.55,9.55,9.55,9.55,0,0,0
2018-05-22,9.55,9.55,9.55,9.55,0,0,0
2018-05-23,9.55,9.55,9.55,9.55,0,0,0
2018-05-24,9.55,9.55,9.55,9.55,0,0,0
2018-05-25,9.55,9.55,9.55,9.55,0,0,0
2018-05-29,9.55,9.55,9.55,9.55,0,0,0
2018-05-30,9.55,9.55,9.55,9.55,0,0,0
2018-05-31,9.55,9.55,9.55,9.55,0,0,0
2018-06-01,9.55,9.55,9.55,9.55,0,0,0
2018-06-04,9.55,9.55,9.55,9.55,0,0,0
2018-06-05,9.55,9.55,9.55,9.55,0,0,0
2018-06-06,9.55,9.55,9.55,9.55,0,0,0
2018-06-07,9.55,9.55,9.55,9.55,0,0,0
