Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,15.55,15.73,15.36,15.58,221800.0,0.0,0.0
2008-01-03,15.55,15.82,15.11,15.18,186000.0,0.0,0.0
2008-01-04,15.01,15.01,14.54,14.62,198800.0,0.0,0.0
2008-01-07,14.75,15.26,14.53,15.03,253300.0,0.0,0.0
2008-01-08,15.13,15.35,14.72,14.73,317800.0,0.0,0.0
2008-01-09,14.65,14.9,14.36,14.9,353400.0,0.0,0.0
2008-01-10,14.68,14.98,14.47,14.76,356000.0,0.0,0.0
2008-01-11,14.62,14.76,14.36,14.55,396100.0,0.0,0.0
2008-01-14,14.68,14.73,13.74,14.16,417800.0,0.0,0.0
2008-01-15,13.94,14.07,13.64,13.68,296200.0,0.0,0.0
2008-01-16,13.65,14.17,13.62,13.83,256800.0,0.0,0.0
2008-01-17,13.88,13.94,13.45,13.54,168200.0,0.0,0.0
2008-01-18,13.47,13.84,13.13,13.36,294100.0,0.0,0.0
2008-01-22,12.84,13.92,12.84,13.68,223600.0,0.0,0.0
2008-01-23,13.32,14.65,13.27,14.47,453400.0,0.0,0.0
2008-01-24,14.63,14.63,14.14,14.37,293900.0,0.0,0.0
2008-01-25,14.59,14.71,14.23,14.39,222900.0,0.0,0.0
2008-01-28,14.33,14.85,14.18,14.85,122900.0,0.0,0.0
2008-01-29,14.98,15.0,14.6,14.85,154600.0,0.0,0.0
2008-01-30,14.73,15.49,14.73,14.85,368800.0,0.0,0.0
2008-01-31,14.59,15.25,14.57,15.06,237400.0,0.0,0.0
2008-02-01,15.2,15.39,14.94,15.39,182800.0,0.0,0.0
2008-02-04,15.32,15.46,14.96,15.33,134400.0,0.0,0.0
2008-02-05,15.03,15.25,14.92,15.02,263300.0,0.0,0.0
2008-02-06,15.16,15.24,14.61,14.65,234700.0,0.0,0.0
2008-02-07,14.54,15.05,14.54,15.05,113900.0,0.0,0.0
2008-02-08,15.01,15.08,14.55,14.7,125400.0,0.0,0.0
2008-02-11,14.64,14.68,14.28,14.38,135000.0,0.0,0.0
2008-02-12,14.46,14.7,14.33,14.5,128700.0,0.0,0.0
2008-02-13,14.65,14.84,14.51,14.58,146700.0,0.0,0.0
2008-02-14,14.21,14.21,13.64,13.9,352600.0,0.0,0.0
2008-02-15,13.85,14.11,13.7,14.08,214200.0,0.0,0.0
2008-02-19,14.22,14.25,13.67,13.88,353700.0,0.0,0.0
2008-02-20,13.76,14.02,13.61,14.02,268600.0,0.0,0.0
2008-02-21,14.02,14.05,13.64,13.67,504700.0,0.0,0.0
2008-02-22,13.68,14.05,13.52,14.05,251300.0,0.0,0.0
2008-02-25,14.0,14.5,13.82,14.5,273400.0,0.0,0.0
2008-02-26,14.34,14.63,14.24,14.42,280700.0,0.0,0.0
2008-02-27,14.25,14.53,14.02,14.06,491300.0,0.0,0.0
2008-02-28,13.92,14.13,13.81,13.94,298700.0,0.0,0.0
2008-02-29,13.76,13.99,13.61,13.89,286200.0,0.0,0.0
2008-03-03,13.9,14.1,13.76,14.1,177800.0,0.0,0.0
2008-03-04,13.98,14.14,13.78,13.99,286400.0,0.0,0.0
2008-03-05,14.14,14.14,13.81,13.98,214700.0,0.0,0.0
2008-03-06,13.88,13.96,13.5,13.57,307800.0,0.0,0.0
2008-03-07,13.49,13.9,13.28,13.73,677000.0,0.0,0.0
2008-03-10,13.76,13.87,13.48,13.48,321300.0,0.0,0.0
2008-03-11,13.88,14.27,13.8,14.27,271100.0,0.0,0.0
2008-03-12,14.31,14.91,14.13,14.51,364700.0,0.0,0.0
2008-03-13,14.32,14.83,14.14,14.7,279600.0,0.0,0.0
2008-03-14,14.79,14.79,14.07,14.49,275500.0,0.0,0.0
2008-03-17,14.19,14.63,14.1,14.27,175700.0,0.0,0.0
2008-03-18,14.69,14.84,14.0,14.64,261600.0,0.0,0.0
2008-03-19,14.76,14.85,14.44,14.44,445500.0,0.0,0.0
2008-03-20,14.55,15.04,14.5,14.85,1020200.0,0.0,0.0
2008-03-24,14.98,15.3,14.9,14.98,306200.0,0.0,0.0
2008-03-25,15.05,15.24,14.87,15.2,174600.0,0.0,0.0
2008-03-26,15.11,15.11,14.77,14.93,143700.0,0.0,0.0
2008-03-27,15.13,15.26,14.8,14.8,166900.0,0.21,0.0
2008-03-28,14.79,15.01,14.68,14.72,103700.0,0.0,0.0
2008-03-31,14.77,15.03,14.69,14.77,275100.0,0.0,0.0
2008-04-01,15.03,15.5,14.92,15.5,136900.0,0.0,0.0
2008-04-02,15.51,15.84,15.37,15.75,201200.0,0.0,0.0
2008-04-03,15.63,16.24,15.52,16.16,371300.0,0.0,0.0
2008-04-04,16.19,16.19,15.72,15.86,155500.0,0.0,0.0
2008-04-07,16.01,16.19,15.57,15.7,276000.0,0.0,0.0
2008-04-08,15.54,15.71,15.38,15.52,166400.0,0.0,0.0
2008-04-09,15.57,15.68,15.04,15.15,213900.0,0.0,0.0
2008-04-10,15.17,15.34,15.09,15.19,383500.0,0.0,0.0
2008-04-11,15.07,15.35,15.02,15.12,192800.0,0.0,0.0
2008-04-14,15.09,15.3,15.01,15.01,136000.0,0.0,0.0
2008-04-15,15.1,15.15,14.79,14.95,236600.0,0.0,0.0
2008-04-16,15.06,15.23,14.99,15.07,299000.0,0.0,0.0
2008-04-17,15.07,15.32,15.02,15.29,473700.0,0.0,0.0
2008-04-18,15.51,15.68,15.36,15.43,106700.0,0.0,0.0
2008-04-21,15.28,15.33,15.07,15.3,178100.0,0.0,0.0
2008-04-22,15.29,15.32,15.04,15.2,271200.0,0.0,0.0
2008-04-23,15.28,15.56,15.15,15.39,198500.0,0.0,0.0
2008-04-24,15.42,15.67,15.21,15.67,284100.0,0.0,0.0
2008-04-25,15.77,15.83,15.47,15.7,81500.0,0.0,0.0
2008-04-28,15.67,15.97,15.65,15.88,316200.0,0.0,0.0
2008-04-29,15.97,15.98,15.37,15.55,366800.0,0.0,0.0
2008-04-30,15.54,16.38,15.54,15.68,233800.0,0.0,0.0
2008-05-01,15.93,15.95,15.61,15.81,397600.0,0.0,0.0
2008-05-02,15.92,16.09,15.51,15.51,221100.0,0.0,0.0
2008-05-05,15.55,15.72,15.41,15.54,497700.0,0.0,0.0
2008-05-06,15.39,15.65,15.32,15.5,354800.0,0.0,0.0
2008-05-07,15.51,15.55,15.38,15.44,752600.0,0.0,0.0
2008-05-08,15.47,15.47,15.21,15.31,294400.0,0.0,0.0
2008-05-09,15.13,15.35,14.99,15.12,266600.0,0.0,0.0
2008-05-12,15.2,15.34,15.02,15.34,220700.0,0.0,0.0
2008-05-13,15.43,15.54,15.24,15.54,123600.0,0.0,0.0
2008-05-14,15.54,15.77,15.54,15.62,128400.0,0.0,0.0
2008-05-15,15.61,15.83,15.45,15.81,81700.0,0.0,0.0
2008-05-16,15.74,15.76,15.5,15.59,938000.0,0.0,0.0
2008-05-19,15.53,15.54,15.36,15.46,259100.0,0.0,0.0
2008-05-20,15.34,15.44,15.13,15.2,178900.0,0.0,0.0
2008-05-21,15.2,15.29,14.94,15.13,172700.0,0.0,0.0
2008-05-22,15.12,15.2,14.95,15.01,143400.0,0.0,0.0
2008-05-23,14.88,15.04,14.81,15.03,388500.0,0.0,0.0
2008-05-27,14.99,15.2,14.93,15.06,176200.0,0.0,0.0
2008-05-28,15.12,15.32,15.04,15.13,105700.0,0.0,0.0
2008-05-29,15.12,15.12,14.9,15.05,739300.0,0.0,0.0
2008-05-30,15.03,15.14,14.89,15.13,328000.0,0.0,0.0
2008-06-02,15.12,15.22,14.87,15.04,199900.0,0.0,0.0
2008-06-03,14.97,15.2,14.95,15.17,1228500.0,0.0,0.0
2008-06-04,15.09,15.56,15.08,15.44,189000.0,0.0,0.0
2008-06-05,15.62,15.8,15.53,15.69,232200.0,0.0,0.0
2008-06-06,15.59,15.59,15.01,15.02,144100.0,0.0,0.0
2008-06-09,15.1,15.13,14.78,14.82,227900.0,0.0,0.0
2008-06-10,14.57,14.93,14.55,14.88,169400.0,0.0,0.0
2008-06-11,14.82,15.0,14.73,14.77,188700.0,0.0,0.0
