Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,34.24,34.25,33.78,33.94,444600,0.0,0
2008-01-03,33.88,33.98,33.28,33.55,809900,0.0,0
2008-01-04,33.17,33.58,32.93,32.99,780500,0.0,0
2008-01-07,32.98,33.98,32.69,33.09,841800,0.0,0
2008-01-08,33.27,33.34,31.95,32.14,864800,0.0,0
2008-01-09,32.04,32.13,30.31,31.13,1331000,0.0,0
2008-01-10,30.86,32.04,30.46,31.66,1033700,0.0,0
2008-01-11,31.45,31.63,30.8,31.09,610500,0.0,0
2008-01-14,31.34,31.61,31.08,31.41,847500,0.0,0
2008-01-15,31.0,31.29,30.49,30.81,852900,0.0,0
2008-01-16,30.53,30.65,29.91,29.93,1209200,0.0,0
2008-01-17,29.99,30.09,28.05,28.72,1771200,0.0,0
2008-01-18,28.87,28.99,27.96,28.4,1316700,0.0,0
2008-01-22,27.26,28.88,26.63,28.48,1007200,0.0,0
2008-01-23,27.84,28.35,26.95,28.15,1226400,0.0,0
2008-01-24,28.27,28.74,27.89,28.42,2867800,0.0,0
2008-01-25,28.84,31.45,28.84,31.05,2194500,0.0,0
2008-01-28,30.8,32.69,30.65,32.54,2328900,0.0,0
2008-01-29,30.36,30.79,28.07,29.43,5084200,0.0,0
2008-01-30,30.61,30.75,29.58,29.63,2213700,0.0,0
2008-01-31,29.25,30.7,28.97,30.17,1289800,0.0,0
2008-02-01,30.11,31.2,29.96,31.11,1059500,0.0,0
2008-02-04,31.1,32.46,30.67,31.88,1975800,0.0,0
2008-02-05,32.24,32.24,30.68,30.88,1365500,0.0,0
2008-02-06,31.8,31.8,30.8,31.22,1144400,0.0,0
2008-02-07,31.25,31.72,30.56,31.66,1328600,0.0,0
2008-02-08,31.6,31.76,31.29,31.68,1301700,0.0,0
2008-02-11,31.59,31.96,31.04,31.77,832600,0.0,0
2008-02-12,32.0,33.72,32.0,33.08,1793600,0.0,0
2008-02-13,33.42,33.42,32.99,33.19,1059000,0.0,0
2008-02-14,33.09,33.51,32.59,32.77,667400,0.0,0
2008-02-15,32.53,33.02,32.17,32.93,668500,0.0,0
2008-02-19,33.46,33.77,33.06,33.24,644400,0.0,0
2008-02-20,33.01,33.49,32.48,33.42,821100,0.0,0
2008-02-21,33.63,33.66,32.55,32.67,479200,0.0,0
2008-02-22,32.7,32.83,31.45,31.8,1584000,0.0,0
2008-02-25,31.88,33.58,31.72,33.47,729600,0.0,0
2008-02-26,33.39,33.65,32.84,33.5,786300,0.0,0
2008-02-27,33.1,33.79,32.93,33.14,558500,0.0,0
2008-02-28,33.03,33.42,32.28,32.71,463300,0.0,0
2008-02-29,32.43,32.61,31.42,31.58,782000,0.0,0
2008-03-03,31.32,31.5,30.7,31.21,791500,0.0,0
