Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-28,0.72,0.73,0.72,0.73,12539,0,0
2018-08-29,0.73,0.75,0.73,0.75,16814,0,0
2018-08-30,0.74,0.74,0.7,0.74,838541,0,0
2018-08-31,0.74,0.75,0.74,0.75,21823,0,0
2018-09-04,0.75,0.75,0.75,0.75,7,0,0
2018-09-05,0.75,0.75,0.75,0.75,5500,0,0
2018-09-06,0.75,0.75,0.73,0.75,1818,0,0
2018-09-07,0.73,0.74,0.72,0.74,13917,0,0
2018-09-10,0.74,0.75,0.69,0.74,162512,0,0
2018-09-11,0.74,0.74,0.74,0.74,390,0,0
2018-09-12,0.71,0.74,0.71,0.74,206,0,0
2018-09-13,0.74,0.74,0.74,0.74,605,0,0
2018-09-14,0.74,0.74,0.74,0.74,0,0,0
2018-09-17,0.71,0.73,0.7,0.73,14994,0,0
2018-09-18,0.73,0.73,0.73,0.73,0,0,0
2018-09-19,0.73,0.73,0.73,0.73,499,0,0
2018-09-20,0.73,0.73,0.73,0.73,8441,0,0
2018-09-21,0.73,0.74,0.73,0.74,427,0,0
2018-09-24,0.73,0.73,0.71,0.71,44909,0,0
2018-09-25,0.72,0.73,0.71,0.72,16563,0,0
2018-09-26,0.73,0.73,0.73,0.73,10,0,0
2018-09-27,0.73,0.73,0.71,0.71,1050,0,0
2018-09-28,0.73,0.73,0.73,0.73,1010,0,0
2018-10-01,0.73,0.73,0.73,0.73,7155,0,0
2018-10-02,0.73,0.73,0.73,0.73,0,0,0
2018-10-03,0.72,0.73,0.7,0.73,109243,0,0
2018-10-04,0.73,0.73,0.73,0.73,9,0,0
2018-10-05,0.73,0.73,0.73,0.73,0,0,0
2018-10-08,0.73,0.73,0.71,0.73,18593,0,0
2018-10-09,0.71,0.72,0.7,0.7,29999,0,0
2018-10-10,0.7,0.73,0.69,0.73,8315,0,0
2018-10-11,0.7,0.71,0.68,0.7,93373,0,0
2018-10-12,0.71,0.71,0.7,0.71,60570,0,0
2018-10-15,0.71,0.72,0.68,0.71,107055,0,0
2018-10-16,0.72,0.72,0.71,0.72,6504,0,0
2018-10-17,0.72,0.72,0.72,0.72,3600,0,0
2018-10-18,0.72,0.72,0.72,0.72,1900,0,0
2018-10-19,0.72,0.72,0.71,0.71,5095,0,0
2018-10-22,0.72,0.73,0.72,0.73,11401,0,0
2018-10-23,0.72,0.73,0.71,0.71,7182,0,0
2018-10-24,0.71,0.73,0.71,0.72,4558,0,0
2018-10-25,0.71,0.72,0.7,0.71,16380,0,0
2018-10-26,0.72,0.72,0.69,0.71,3681,0,0
2018-10-29,0.71,0.71,0.71,0.71,50,0,0
2018-10-30,0.71,0.71,0.7,0.7,3970,0,0
2018-10-31,0.7,0.71,0.7,0.71,2776,0,0
2018-11-01,0.69,0.71,0.69,0.71,8295,0,0
2018-11-02,0.72,0.73,0.71,0.73,8137,0,0
2018-11-05,0.73,0.73,0.73,0.73,0,0,0
2018-11-06,0.72,0.74,0.72,0.73,24358,0,0
2018-11-07,0.73,0.75,0.73,0.75,43090,0,0
2018-11-08,0.75,0.82,0.75,0.8,132847,0,0
2018-11-09,0.77,0.8,0.77,0.8,13973,0,0
2018-11-12,0.8,0.8,0.76,0.77,26750,0,0
2018-11-13,0.76,0.76,0.75,0.76,43446,0,0
2018-11-14,0.72,0.72,0.68,0.71,203289,0,0
2018-11-15,0.71,0.72,0.7,0.72,56278,0,0
2018-11-16,0.72,0.73,0.72,0.72,10837,0,0
2018-11-19,0.72,0.72,0.71,0.71,2010,0,0
2018-11-20,0.71,0.71,0.7,0.71,15874,0,0
2018-11-21,0.72,0.72,0.71,0.72,3105,0,0
2018-11-23,0.72,0.72,0.69,0.7,29374,0,0
2018-11-26,0.71,0.71,0.7,0.7,9830,0,0
2018-11-27,0.71,0.71,0.71,0.71,5761,0,0
2018-11-28,0.71,0.72,0.71,0.72,7369,0,0
2018-11-29,0.7,0.73,0.68,0.73,106465,0,0
2018-11-30,0.73,0.73,0.73,0.73,0,0,0
2018-12-03,0.72,0.72,0.71,0.71,20664,0,0
2018-12-04,0.71,0.71,0.7,0.71,14565,0,0
2018-12-06,0.7,0.71,0.7,0.7,9319,0,0
2018-12-07,0.69,0.71,0.69,0.71,22061,0,0
2018-12-10,0.71,0.71,0.69,0.71,8862,0,0
2018-12-11,0.69,0.71,0.69,0.71,42762,0,0
2018-12-12,0.7,0.7,0.7,0.7,2000,0,0
2018-12-13,0.7,0.7,0.7,0.7,167,0,0
2018-12-14,0.7,0.7,0.7,0.7,2500,0,0
2018-12-17,0.7,0.71,0.7,0.71,1423,0,0
2018-12-18,0.7,0.7,0.69,0.7,51001,0,0
2018-12-19,0.69,0.69,0.64,0.66,92356,0,0
2018-12-20,0.66,0.69,0.64,0.69,48451,0,0
2018-12-21,0.69,0.69,0.65,0.65,10666,0,0
2018-12-24,0.68,0.69,0.68,0.69,14297,0,0
2018-12-26,0.69,0.69,0.69,0.69,0,0,0
2018-12-27,0.69,0.69,0.67,0.69,6540,0,0
2018-12-28,0.65,0.68,0.65,0.66,74396,0,0
2018-12-31,0.68,0.68,0.65,0.65,2785,0,0
