Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-11-05,24.45,24.67,22.3,22.47,30912700,0.0,0
2014-11-06,22.76,23.25,22.57,22.65,1619200,0.0,0
2014-11-07,22.65,23.12,22.26,22.5,566900,0.0,0
2014-11-10,22.84,23.04,22.65,22.69,989600,0.0,0
2014-11-11,22.67,22.82,22.27,22.75,449400,0.0,0
2014-11-12,23.08,23.25,22.58,23.25,255100,0.0,0
2014-11-13,23.64,23.64,22.91,22.97,380300,0.0,0
2014-11-14,23.23,23.24,22.75,23.14,292000,0.0,0
2014-11-17,23.04,23.37,22.62,22.62,482600,0.0,0
2014-11-18,22.53,22.86,22.3,22.65,246500,0.0,0
2014-11-19,22.54,22.84,22.35,22.66,286000,0.0,0
2014-11-20,22.45,22.73,22.45,22.57,321500,0.0,0
2014-11-21,22.83,22.83,22.1,22.46,273400,0.0,0
2014-11-24,22.42,22.53,22.3,22.47,239800,0.0,0
2014-11-25,22.43,22.53,22.12,22.42,234900,0.0,0
2014-11-26,22.36,22.57,22.16,22.42,134900,0.0,0
2014-11-28,22.24,22.41,20.96,22.2,162200,0.0,0
2014-12-01,21.97,22.41,21.13,21.51,399900,0.0,0
2014-12-02,21.4,22.62,21.4,22.44,189200,0.0,0
2014-12-03,22.63,23.47,22.29,22.98,319300,0.0,0
2014-12-04,22.83,22.99,22.38,22.41,141200,0.0,0
2014-12-05,22.45,22.57,22.15,22.25,101500,0.0,0
2014-12-08,21.99,22.16,20.62,20.81,543400,0.0,0
2014-12-09,20.08,20.73,20.0,20.53,408800,0.0,0
2014-12-10,20.35,20.78,18.93,19.59,1000600,0.0,0
2014-12-11,19.46,20.29,19.46,20.04,308700,0.0,0
2014-12-12,19.87,20.26,18.53,20.12,481600,0.0,0
2014-12-15,20.28,20.4,19.26,19.3,110000,0.0,0
2014-12-16,19.2,20.04,18.56,19.29,658500,0.0,0
2014-12-17,19.64,20.16,18.65,19.16,866300,0.0,0
2014-12-18,19.41,19.67,18.78,19.53,1591500,0.0,0
2014-12-19,19.56,19.69,19.15,19.5,482800,0.0,0
2014-12-22,19.44,19.57,18.57,18.7,374000,0.0,0
2014-12-23,18.62,19.08,18.43,18.57,1065900,0.0,0
2014-12-24,18.49,19.0,18.28,18.95,99000,0.0,0
2014-12-26,19.0,19.81,18.98,19.31,81600,0.0,0
2014-12-29,19.19,20.93,19.19,20.82,352300,0.0,0
2014-12-30,20.81,22.01,20.72,21.66,238300,0.0,0
2014-12-31,21.59,23.23,21.55,22.05,319500,0.0,0
2015-01-02,21.4,22.25,21.36,21.98,537700,0.0,0
2015-01-05,21.64,22.06,20.32,20.44,205500,0.0,0
2015-01-06,20.46,20.8,19.3,19.85,92900,0.0,0
2015-01-07,19.36,19.68,18.75,19.23,262400,0.0,0
2015-01-08,19.23,20.06,19.07,19.23,186900,0.0,0
2015-01-09,19.16,19.31,18.71,18.72,216700,0.0,0
2015-01-12,18.53,18.53,18.07,18.26,56100,0.0,0
2015-01-13,18.33,18.5,17.37,17.41,145000,0.0,0
2015-01-14,17.25,17.25,16.44,16.67,554800,0.0,0
2015-01-15,16.88,17.73,16.88,17.61,379800,0.0,0
2015-01-16,17.11,18.11,17.11,17.97,180200,0.0,0
2015-01-20,18.04,18.04,17.45,17.85,92100,0.0,0
2015-01-21,17.49,18.3,17.24,18.14,454600,0.0,0
2015-01-22,18.17,18.34,17.65,17.79,124100,0.0,0
2015-01-23,17.75,18.38,17.56,18.05,110200,0.0,0
2015-01-26,18.11,19.47,17.85,18.86,127300,0.0,0
2015-01-27,18.67,19.0,18.1,18.62,92400,0.0,0
2015-01-28,18.66,18.78,18.08,18.15,40900,0.0,0
2015-01-29,18.04,18.53,17.53,18.47,88200,0.0,0
2015-01-30,18.5,18.9,17.75,18.8,67900,0.0,0
2015-02-02,18.66,19.51,18.24,19.36,83800,0.0,0
2015-02-03,19.74,19.86,19.03,19.68,148000,0.0,0
2015-02-04,19.22,19.72,18.39,19.6,252900,0.0,0
2015-02-05,19.44,19.63,19.03,19.59,251300,0.0,0
2015-02-06,19.63,19.72,19.03,19.67,138500,0.0,0
2015-02-09,19.51,19.51,19.0,19.24,52700,0.0,0
2015-02-10,19.15,19.19,18.55,19.07,150400,0.0,0
2015-02-11,18.93,19.4,18.68,18.84,101800,0.0943,0
2015-02-12,18.89,19.29,18.75,19.18,1164700,0.0,0
2015-02-13,19.25,19.99,18.96,19.7,203000,0.0,0
2015-02-17,19.48,20.12,19.48,19.92,129000,0.0,0
2015-02-18,19.92,19.92,19.55,19.82,93700,0.0,0
2015-02-19,19.53,19.91,19.53,19.82,52100,0.0,0
2015-02-20,19.69,20.28,19.5,20.27,438400,0.0,0
2015-02-23,20.32,21.18,19.94,20.68,464800,0.0,0
2015-02-24,20.52,20.73,20.31,20.56,213500,0.0,0
2015-02-25,20.17,20.73,20.17,20.44,138800,0.0,0
2015-02-26,20.17,20.9,20.17,20.85,588800,0.0,0
2015-02-27,20.86,20.97,20.74,20.93,76000,0.0,0
2015-03-02,21.1,21.1,20.74,20.94,739600,0.0,0
2015-03-03,20.69,21.13,20.62,21.02,227800,0.0,0
2015-03-04,20.87,21.01,20.86,20.97,59300,0.0,0
2015-03-05,21.0,21.19,20.97,21.02,114400,0.0,0
2015-03-06,20.93,21.09,20.26,20.92,203700,0.0,0
