Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,19.3,19.36,18.86,19.0,1224400,0.0,0.0
2008-01-03,19.1,19.36,18.97,19.17,1241500,0.0,0.0
2008-01-04,18.95,18.96,18.52,18.63,1380600,0.0,0.0
2008-01-07,18.68,18.83,18.34,18.57,2069500,0.0,0.0
2008-01-08,18.58,18.75,17.75,17.76,1482400,0.0,0.0
2008-01-09,17.71,17.95,17.33,17.68,2053300,0.0,0.0
2008-01-10,17.47,17.76,17.2,17.59,2805300,0.0,0.0
2008-01-11,17.41,17.66,17.17,17.29,1927300,0.0,0.0
2008-01-14,17.38,17.41,17.18,17.28,1608300,0.0,0.0
2008-01-15,17.05,17.29,16.98,17.07,1429800,0.0,0.0
2008-01-16,16.96,17.25,16.81,16.93,1505400,0.0,0.0
2008-01-17,16.97,17.21,16.24,16.27,1797300,0.0,0.0
2008-01-18,16.35,16.57,15.91,16.06,2242900,0.0,0.0
2008-01-22,15.36,16.38,15.3,16.13,2423200,0.0,0.0
2008-01-23,15.52,17.32,15.52,16.74,4936500,0.0,0.0
2008-01-24,17.09,18.18,17.09,17.9,3920400,0.0,0.0
2008-01-25,18.06,18.42,17.92,18.04,2927700,0.0,0.0
2008-01-28,18.01,18.28,17.84,18.23,2173900,0.0,0.0
2008-01-29,18.37,18.65,18.01,18.2,2232000,0.0,0.0
2008-01-30,18.13,18.44,17.99,18.02,1644900,0.0,0.0
2008-01-31,17.73,18.23,17.66,18.16,2965600,0.0,0.0
2008-02-01,18.24,18.39,17.96,18.35,3290800,0.0,0.0
2008-02-04,18.7,18.7,18.11,18.13,1369900,0.0,0.0
2008-02-05,17.85,18.04,17.73,17.82,1683900,0.0,0.0
2008-02-06,17.91,18.04,17.56,17.61,1587300,0.0,0.0
2008-02-07,17.54,17.56,17.14,17.33,2132200,0.0,0.0
2008-02-08,17.31,17.67,17.25,17.56,1424800,0.0,0.0
2008-02-11,17.5,17.85,17.42,17.78,1065300,0.0,0.0
2008-02-12,17.84,17.98,17.69,17.84,1761400,0.0,0.0
2008-02-13,17.93,18.11,17.87,18.1,835600,0.0,0.0
2008-02-14,18.16,18.18,17.86,17.95,1255600,0.0,0.0
2008-02-15,17.84,17.88,17.47,17.61,823500,0.0,0.0
2008-02-19,17.76,17.93,17.34,17.36,1104000,0.0,0.0
2008-02-20,17.31,17.56,16.84,17.49,1937400,0.0,0.0
2008-02-21,17.63,17.67,17.52,17.64,1913400,0.0,0.0
2008-02-22,17.72,17.85,17.52,17.85,1606200,0.0,0.0
2008-02-25,17.8,18.11,17.71,18.06,1076100,0.0,0.0
2008-02-26,18.02,18.5,17.99,18.44,1222300,0.0,0.0
2008-02-27,18.33,18.83,18.33,18.45,1518900,0.0,0.0
2008-02-28,18.32,18.32,18.08,18.19,947700,0.0,0.0
2008-02-29,18.04,18.04,17.52,17.57,1175800,0.0,0.0
2008-03-03,17.57,17.96,17.45,17.95,1504000,0.0,0.0
2008-03-04,17.86,17.89,17.37,17.61,2069500,0.0,0.0
2008-03-05,17.65,18.03,17.6,17.69,1129600,0.0,0.0
2008-03-06,17.63,17.83,17.49,17.49,1212000,0.0,0.0
2008-03-07,17.32,17.49,17.13,17.21,1036800,0.0,0.0
2008-03-10,17.2,17.28,16.91,16.95,1406700,0.0,0.0
2008-03-11,17.31,17.52,17.0,17.49,1396300,0.0,0.0
2008-03-12,17.56,17.85,17.47,17.5,1182300,0.0,0.0
2008-03-13,17.27,17.76,17.14,17.65,1056600,0.02667,0.0
2008-03-14,17.83,17.91,17.16,17.32,1401300,0.0,0.0
2008-03-17,17.12,17.22,16.79,17.07,2203200,0.0,0.0
2008-03-18,17.4,17.75,17.19,17.69,1337500,0.0,0.0
2008-03-19,17.89,17.96,17.32,17.32,1471000,0.0,0.0
2008-03-20,17.28,17.49,17.1,17.49,1213300,0.0,0.0
2008-03-24,17.52,18.19,17.49,17.94,966100,0.0,0.0
2008-03-25,17.98,18.26,17.84,18.19,1027300,0.0,0.0
2008-03-26,18.14,18.14,17.86,18.02,717400,0.0,0.0
2008-03-27,18.06,18.06,17.66,17.75,1166500,0.0,0.0
2008-03-28,17.79,18.03,17.73,17.8,972000,0.0,0.0
2008-03-31,17.87,18.15,17.66,18.14,1392700,0.0,0.0
2008-04-01,18.31,18.72,18.15,18.7,954900,0.0,0.0
2008-04-02,18.74,19.01,18.59,18.83,1115100,0.0,0.0
2008-04-03,18.74,18.85,18.62,18.83,921100,0.0,0.0
2008-04-04,18.83,18.83,18.36,18.63,1078600,0.0,0.0
2008-04-07,18.63,18.87,18.52,18.54,733200,0.0,0.0
2008-04-08,18.37,18.64,18.26,18.6,584200,0.0,0.0
2008-04-09,18.59,18.62,18.21,18.34,854700,0.0,0.0
2008-04-10,18.38,18.57,18.2,18.48,1122400,0.0,0.0
