Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,276.16,281.46,268.69,279.07,501418,0,0
2008-01-03,290.21,300.26,288.34,298.19,676285,0,0
2008-01-04,299.58,304.26,295.6,295.6,404478,0,0
2008-01-07,291.14,298.07,286.47,296.3,384132,0,0
2008-01-08,294.89,313.14,293.96,313.14,1035585,0,0
2008-01-09,312.68,323.66,226.74,315.49,2135841,0,0
2008-01-10,316.14,318.29,305.29,316.65,802457,0,0
2008-01-11,318.3,326.72,312.73,324.84,1578394,0,0
2008-01-14,316.45,326.72,316.41,322.04,1429642,0,0
2008-01-15,321.11,321.93,309.11,314.65,569026,0,0
2008-01-16,306.12,311.27,295.9,303.79,778752,0,0
2008-01-17,303.79,314.96,297.23,312.68,644507,0,0
2008-01-18,303.79,312.66,285.54,290.31,1731879,0,0
2008-01-22,266.83,292.09,263.07,285.63,1311883,0,0
2008-01-23,292.09,294.89,276.12,279.92,1624068,0,0
2008-01-24,290.21,296.76,282.72,293.96,853400,0,0
2008-01-25,290.21,290.21,268.83,283.65,2955102,0,0
2008-01-28,280.86,288.06,276.76,279.92,1540191,0,0
2008-01-29,279.92,284.5,276.7,279.82,2670368,0,0
2008-01-30,280.9,290.2,280.86,288.34,1309076,0,0
2008-01-31,287.31,296.77,285.53,291.99,1008641,0,0
2008-02-01,294.89,294.89,280.18,292.93,944483,0,0
2008-02-04,288.33,289.24,280.86,281.33,979334,0,0
2008-02-05,281.88,290.03,277.1,278.03,1258851,0,0
2008-02-06,271.49,285.51,271.49,284.6,1029486,0,0
2008-02-07,284.59,284.59,275.23,279.91,1415399,0,0
2008-02-08,276.17,276.17,262.13,264.94,2736503,0,0
2008-02-11,266.81,266.81,243.41,251.36,2244868,0,0
2008-02-12,253.7,257.45,249.07,251.36,1546003,0,0
2008-02-13,250.8,250.89,246.21,248.09,2545208,0,0
2008-02-14,252.63,252.63,245.27,245.74,1595412,0,0
2008-02-15,248.04,248.04,238.73,240.6,1379591,0,0
2008-02-19,243.4,249.96,242.29,249.02,903239,0,0
2008-02-20,252.77,259.81,249.02,252.81,1265480,0,0
2008-02-21,257.45,267.74,257.12,264.0,1514585,0,0
2008-02-22,262.02,265.86,255.05,262.6,2130239,0,0
