Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,66.68,66.7,64.67,65.21,1759700,0.0,0.0
2008-01-03,65.55,65.98,65.01,65.8,1421500,0.0,0.0
2008-01-04,65.37,66.34,64.56,65.1,2117800,0.0,0.0
2008-01-07,65.62,65.67,63.71,65.27,1976900,0.0,0.0
2008-01-08,65.87,65.9,63.49,63.69,2167600,0.0,0.0
2008-01-09,64.19,64.38,62.13,63.9,3175500,0.0,0.0
2008-01-10,61.35,63.39,61.3,62.15,3171300,0.0,0.0
2008-01-11,61.46,62.55,60.7,61.02,2450400,0.0,0.0
2008-01-14,62.59,63.45,61.1,63.38,1370500,0.0,0.0
2008-01-15,62.17,63.35,61.32,61.36,1693600,0.0,0.0
2008-01-16,61.02,61.32,59.56,60.02,2742300,0.0,0.0
2008-01-17,60.07,60.74,57.1,57.14,2614600,0.0,0.0
2008-01-18,57.43,59.75,56.04,57.49,2808400,0.0,0.0
2008-01-22,56.12,57.61,54.69,56.8,3391000,0.0,0.0
2008-01-23,56.85,58.88,54.5,58.58,3591800,0.0,0.0
2008-01-24,58.53,60.54,58.53,59.94,3771300,0.0,0.0
2008-01-25,60.63,61.42,60.04,60.36,2733200,0.0,0.0
2008-01-28,60.57,61.61,60.36,61.61,1592900,0.0,0.0
2008-01-29,62.01,62.63,61.13,61.72,2077100,0.0,0.0
2008-01-30,61.18,62.59,60.24,60.47,2306500,0.0,0.0
2008-01-31,59.61,61.23,58.84,60.54,2473900,0.0,0.0
2008-02-01,61.14,62.48,60.97,62.34,1440800,0.0,0.0
2008-02-04,62.11,62.32,61.51,61.62,864100,0.0,0.0
2008-02-05,60.66,61.51,60.25,60.63,1922000,0.0,0.0
2008-02-06,60.81,61.58,60.21,60.36,1756500,0.0,0.0
2008-02-07,60.22,60.9,59.65,60.24,2128400,0.0,0.0
2008-02-08,59.87,60.77,59.46,60.21,1087000,0.0,0.0
2008-02-11,60.07,61.44,59.99,61.28,967700,0.0,0.0
2008-02-12,61.54,62.73,61.36,61.97,1584700,0.0,0.0
2008-02-13,62.32,63.15,61.63,62.26,1107700,0.0,0.0
2008-02-14,62.22,62.76,61.66,61.83,1313400,0.0,0.0
2008-02-15,61.71,62.01,60.76,61.94,1168000,0.0,0.0
2008-02-19,62.53,63.34,62.25,62.68,1374100,0.0,0.0
2008-02-20,62.28,64.13,62.01,64.01,1968600,0.0,0.0
2008-02-21,64.07,64.14,62.28,62.4,1131900,0.0,0.0
2008-02-22,62.64,63.1,61.68,63.09,937600,0.0,0.0
2008-02-25,63.4,64.87,62.89,64.85,1384200,0.0,0.0
2008-02-26,64.67,65.08,63.67,64.56,1304900,0.0,0.0
2008-02-27,64.28,64.99,63.95,64.67,1000200,0.0,0.0
2008-02-28,64.09,64.43,62.88,63.42,1835900,0.0,0.0
2008-02-29,62.77,63.07,61.33,61.66,1286400,0.0,0.0
2008-03-03,61.71,62.57,61.5,62.5,1473700,0.0,0.0
2008-03-04,62.21,62.21,60.47,61.12,1855300,0.0,0.0
2008-03-05,61.09,63.0,61.09,62.33,1493400,0.0,0.0
2008-03-06,62.15,62.62,61.5,61.58,1543100,0.0,0.0
2008-03-07,61.22,61.22,58.99,59.2,2212200,0.0,0.0
2008-03-10,59.13,59.17,57.06,57.11,2200300,0.0,0.0
2008-03-11,58.28,60.26,58.12,60.26,2715500,0.0,0.0
2008-03-12,60.42,61.57,60.16,60.35,1445700,0.0,0.0
2008-03-13,59.64,61.42,59.21,61.1,1394000,0.0,0.0
2008-03-14,61.42,61.84,58.74,60.18,1910400,0.0,0.0
2008-03-17,58.64,61.35,58.64,60.45,1723600,0.0,0.0
2008-03-18,61.21,63.35,61.18,63.2,1742500,0.0,0.0
2008-03-19,63.38,64.66,60.68,60.68,1689200,0.0,0.0
2008-03-20,60.76,61.23,59.47,60.86,2703700,0.0,0.0
2008-03-24,60.98,64.55,60.98,63.46,2458800,0.0,0.0
2008-03-25,63.69,64.46,63.17,63.65,1197900,0.0,0.0
2008-03-26,63.61,64.21,63.0,63.23,1355100,0.0,0.0
2008-03-27,63.13,63.55,62.15,62.55,1297800,0.0,0.0
2008-03-28,63.28,63.28,61.66,61.72,1132400,0.40703,0.0
