Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,41.47,41.47,40.14,40.54,364100,0,0
2008-01-03,40.54,40.98,40.25,40.27,221300,0,0
2008-01-04,40.23,40.23,39.21,39.43,455400,0,0
2008-01-07,39.66,40.14,38.77,39.94,320300,0,0
2008-01-08,40.05,41.28,39.32,39.39,424900,0,0
2008-01-09,39.19,40.15,38.49,40.0,304100,0,0
2008-01-10,39.63,40.46,38.99,40.35,307700,0,0
2008-01-11,40.62,41.14,39.81,41.0,324700,0,0
2008-01-14,41.05,41.26,40.02,40.5,236000,0,0
2008-01-15,39.79,41.44,39.67,40.96,291500,0,0
2008-01-16,40.93,42.33,40.87,41.36,181225,0,0
2008-01-17,41.6,41.74,40.24,40.55,197700,0,0
2008-01-18,5.5,5.5,5.5,5.5,0,0,0
2008-01-22,5.5,5.5,5.5,5.5,0,0,0
2008-01-23,39.25,41.87,39.2,41.41,804858,0,0
2008-01-24,41.84,42.1,39.83,40.31,923200,0,0
2008-01-25,41.0,41.03,39.66,40.26,320000,0,0
2008-01-28,40.24,41.1,39.99,41.06,165500,0,0
2008-01-29,41.46,41.46,39.59,40.13,430800,0,0
2008-01-30,39.78,40.42,39.45,39.5,201200,0,0
2008-01-31,39.11,40.49,38.65,39.81,331485,0,0
2008-02-01,40.06,41.13,39.97,41.0,302586,0,0
2008-02-04,40.97,41.48,39.69,40.13,159305,0,0
2008-02-05,39.44,40.07,39.15,39.76,262689,0,0
2008-02-06,40.01,40.24,39.09,39.6,115078,0,0
2008-02-07,3.5,3.5,3.5,3.5,0,0,0
2008-02-08,39.4,40.07,38.85,39.54,176000,0,0
2008-02-11,39.5,39.87,38.92,39.56,171550,0,0
2008-02-12,39.84,40.77,39.55,40.12,183500,0,0
2008-02-13,40.25,41.55,40.13,41.04,238900,0,0
2008-02-14,42.75,46.24,41.7,42.4,958900,0,0
2008-02-15,42.1,42.35,41.07,41.95,355900,0,0
2008-02-19,42.69,42.72,41.85,42.72,294400,0,0
2008-02-20,42.11,42.11,40.72,42.02,219000,0,0
2008-02-21,42.23,42.45,41.29,41.42,146700,0,0
2008-02-22,4.0,4.0,4.0,4.0,0,0,0
2008-02-25,41.92,42.19,40.61,41.78,629400,0,0
2008-02-26,40.7,43.52,40.31,42.67,442146,0,0
2008-02-27,42.4,43.74,42.29,42.6,322662,0,0
2008-02-28,42.17,42.61,41.86,42.18,360293,0,0
2008-02-29,41.77,42.49,41.49,41.92,110500,0,0
2008-03-03,42.0,42.12,41.26,41.96,382100,0,0
2008-03-04,41.86,42.8,41.06,42.65,340700,0,0
2008-03-05,42.68,42.68,41.47,42.01,200135,0,0
2008-03-06,41.8,43.0,41.7,41.92,174900,0,0
2008-03-07,41.2,42.5,40.3,41.94,399200,0,0
2008-03-10,42.16,42.93,41.65,42.2,312400,0,0
2008-03-11,43.2,44.78,43.15,44.21,532600,0,0
2008-03-12,44.3,44.8,43.47,43.51,445683,0,0
2008-03-13,3.5,3.5,3.5,3.5,0,0,0
2008-03-14,44.29,44.41,42.46,43.13,446250,0,0
2008-03-17,41.97,43.46,41.36,42.94,332000,0,0
2008-03-18,43.87,43.87,42.36,42.8,557300,0,0
2008-03-19,43.2,43.55,42.05,42.06,424400,0,0
2008-03-20,3.5,3.5,3.5,3.5,0,0,0
2008-03-24,3.5,3.5,3.5,3.5,400,0,0
2008-03-25,42.75,43.0,42.5,42.63,378100,0,0
2008-03-26,42.4,42.86,42.15,42.5,366700,0,0
2008-03-27,42.7,43.06,42.43,42.68,401900,0,0
2008-03-28,42.79,42.88,42.38,42.55,275700,0,0
2008-03-31,42.72,43.41,42.5,43.16,227800,0,0
2008-04-01,3.5,3.5,3.5,3.5,0,0,0
2008-04-02,44.65,44.92,44.04,44.5,160500,0,0
2008-04-03,3.5,3.5,3.5,3.5,0,0,0
2008-04-04,44.39,44.72,43.9,44.68,267012,0,0
2008-04-07,45.27,45.27,44.27,44.47,127400,0,0
2008-04-08,44.22,45.19,44.05,44.72,119600,0,0
2008-04-09,44.87,45.08,44.14,44.79,187400,0,0
2008-04-10,44.72,45.57,44.38,45.33,294559,0,0
2008-04-11,44.9,45.83,44.33,44.93,278000,0,0
2008-04-14,44.37,44.78,43.7,44.76,431592,0,0
