Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,72.18,73.14,69.6,70.57,2214200,0.0,0
2008-01-03,70.66,72.67,70.4,72.08,2430200,0.0,0
2008-01-04,69.84,70.94,69.07,69.36,2555300,0.0,0
2008-01-07,69.77,70.27,65.22,66.37,3359600,0.0,0
2008-01-08,66.41,68.61,63.66,63.75,3599900,0.0,0
2008-01-09,63.62,63.65,60.36,63.22,4489500,0.0,0
2008-01-10,62.36,66.35,61.65,65.42,2439700,0.0,0
2008-01-11,64.91,65.32,63.7,64.76,1787300,0.0,0
2008-01-14,66.11,67.14,64.72,67.07,2440600,0.0,0
2008-01-15,66.12,66.12,62.4,62.85,2181400,0.0,0
2008-01-16,62.44,62.44,57.57,57.75,5279700,0.0,0
2008-01-17,60.01,60.01,54.65,54.81,3935100,0.0,0
2008-01-18,56.4,58.22,54.95,56.59,3388400,0.0,0
2008-01-22,52.4,58.29,52.22,57.03,3962000,0.0,0
2008-01-23,52.98,56.66,49.42,56.01,6178000,0.0,0
2008-01-24,56.51,58.22,54.75,55.73,3490500,0.0,0
2008-01-25,56.37,58.41,54.55,55.28,3206300,0.0,0
2008-01-28,55.37,56.02,54.0,55.84,1900800,0.0,0
2008-01-29,55.42,60.09,55.42,59.18,3186400,0.0,0
2008-01-30,59.28,60.98,58.03,59.35,3922300,0.0,0
2008-01-31,58.53,59.65,56.68,58.87,3654100,0.0,0
2008-02-01,59.53,62.17,58.87,62.0,2650700,0.0,0
2008-02-04,61.81,62.96,61.24,61.59,2021500,0.0,0
2008-02-05,60.38,61.42,59.69,60.46,3688600,0.0,0
2008-02-06,60.98,63.2,60.83,61.17,2558700,0.0,0
2008-02-07,60.42,63.67,60.3,62.98,3361000,0.0,0
2008-02-08,62.77,64.93,62.48,64.16,2247700,0.0,0
2008-02-11,66.13,68.36,65.16,67.6,3499500,0.0,0
2008-02-12,68.16,68.84,65.53,66.27,2864400,0.0,0
2008-02-13,67.91,69.58,66.67,69.35,1929500,0.0,0
2008-02-14,69.51,71.49,68.51,69.09,1968600,0.0,0
2008-02-15,68.93,69.44,67.26,69.07,1791500,0.0,0
2008-02-19,70.57,72.12,70.36,71.48,2017100,0.0,0
2008-02-20,70.0,71.82,69.65,71.82,2168300,0.0,0
2008-02-21,72.12,72.12,69.34,69.34,2287400,0.0,0
2008-02-22,69.8,70.45,67.65,70.06,2232500,0.0,0
2008-02-25,69.89,72.11,68.52,71.91,1723600,0.0,0
2008-02-26,71.42,72.24,70.33,71.2,2020700,0.0,0
2008-02-27,70.0,71.82,69.41,69.95,2207900,0.0,0
2008-02-28,69.31,71.51,69.3,70.85,2041400,0.0,0
2008-02-29,69.15,70.89,64.09,64.79,3262900,0.0,0
2008-03-03,64.58,64.82,61.97,64.08,2844600,0.0,0
2008-03-04,63.36,64.84,61.53,61.75,3729600,0.0,0
2008-03-05,62.03,64.29,62.03,63.92,1985300,0.0,0
2008-03-06,63.66,64.46,61.64,61.74,2363000,0.0,0
2008-03-07,61.12,61.31,57.84,58.69,3326200,0.0,0
2008-03-10,58.61,58.61,55.21,55.22,2559900,0.0,0
2008-03-11,56.5,60.96,56.5,60.73,4048600,0.0,0
2008-03-12,60.79,61.37,59.58,59.63,1943600,0.18,0
2008-03-13,58.92,62.5,57.12,62.14,2944800,0.0,0
2008-03-14,62.37,63.17,59.47,61.72,2994300,0.0,0
2008-03-17,59.24,61.3,57.33,59.8,2572800,0.0,0
2008-03-18,60.82,64.66,60.54,64.49,3223100,0.0,0
2008-03-19,64.22,66.28,60.05,60.21,3096900,0.0,0
2008-03-20,60.66,61.48,58.02,61.0,2046900,0.0,0
2008-03-24,60.66,64.99,60.66,63.25,1563000,0.0,0
2008-03-25,63.23,64.48,62.77,64.08,1196300,0.0,0
2008-03-26,63.7,64.58,62.81,63.44,1170100,0.0,0
2008-03-27,64.51,64.7,60.74,60.9,1615800,0.0,0
2008-03-28,61.23,61.76,59.62,59.95,1499600,0.0,0
2008-03-31,60.05,61.11,59.05,59.92,1717200,0.0,0
2008-04-01,61.06,63.19,59.09,63.19,1863200,0.0,0
2008-04-02,63.35,65.05,62.42,64.63,1544500,0.0,0
2008-04-03,64.11,64.87,62.49,63.02,2284500,0.0,0
2008-04-04,61.2,70.89,61.0,70.53,6803900,0.0,0
2008-04-07,71.78,71.78,66.53,67.17,4318200,0.0,0
2008-04-08,66.33,70.72,66.33,69.93,2550900,0.0,0
2008-04-09,69.86,71.08,67.46,68.11,1675000,0.0,0
2008-04-10,67.98,68.64,66.23,68.19,1237800,0.0,0
2008-04-11,66.75,67.09,65.51,65.87,1860200,0.0,0
2008-04-14,65.28,65.56,63.01,63.23,2189200,0.0,0
2008-04-15,63.27,64.48,61.2,62.54,1838200,0.0,0
2008-04-16,63.59,66.09,63.22,65.86,2065500,0.0,0
2008-04-17,64.81,67.58,63.45,63.86,2163400,0.0,0
2008-04-18,65.46,65.5,61.96,62.43,2553500,0.0,0
