Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,21.83,22.36,21.62,22.01,12400,0.0,0.0
2008-01-03,21.76,22.78,21.76,21.97,17400,0.0,0.0
2008-01-04,21.59,23.17,21.59,21.9,11800,0.0,0.0
2008-01-07,21.9,22.45,20.69,20.97,14100,0.0,0.0
2008-01-08,21.01,21.13,20.45,20.45,13000,0.0,0.0
2008-01-09,20.43,20.87,19.29,20.36,12000,0.0,0.0
2008-01-10,19.76,20.9,19.76,20.13,11300,0.0,0.0
2008-01-11,20.48,20.78,19.97,20.18,8500,0.0,0.0
2008-01-14,20.45,20.62,19.92,20.57,13000,0.0,0.0
2008-01-15,19.87,20.39,19.36,19.9,11700,0.0,0.0
2008-01-16,19.22,20.41,19.22,19.34,13100,0.0,0.0
2008-01-17,19.25,19.59,17.78,17.78,10000,0.0,0.0
2008-01-18,17.55,19.66,15.99,16.08,22000,0.0,0.0
2008-01-22,15.06,17.83,14.55,17.71,18900,0.0,0.0
2008-01-23,17.71,17.71,15.46,16.04,24700,0.0,0.0
2008-01-24,16.36,20.04,16.27,19.64,30100,0.0,0.0
2008-01-25,19.62,20.69,18.32,19.08,14700,0.0,0.0
2008-01-28,18.36,20.92,18.36,18.78,13300,0.0,0.0
2008-01-29,19.13,19.41,18.22,18.36,14900,0.0,0.0
2008-01-30,18.04,18.83,18.04,18.41,11000,0.0,0.0
2008-01-31,18.67,19.62,17.85,19.06,14700,0.0,0.0
2008-02-01,19.78,20.92,19.55,20.76,9200,0.0,0.0
2008-02-04,20.92,22.31,20.87,21.97,14100,0.0,0.0
2008-02-05,21.85,21.85,19.32,20.13,19300,0.0,0.0
2008-02-06,20.29,21.45,19.87,19.87,8400,0.0,0.0
2008-02-07,20.01,21.66,19.66,21.25,9400,0.0,0.0
2008-02-08,21.73,23.03,20.92,22.52,13100,0.0,0.0
2008-02-11,22.38,23.55,22.24,22.64,10800,0.0,0.0
2008-02-12,22.38,22.9,21.76,21.94,12600,0.0,0.0
2008-02-13,21.83,23.34,21.76,22.69,10500,0.0,0.0
2008-02-14,22.83,23.34,21.66,23.03,9900,0.0,0.0
2008-02-15,23.13,24.08,22.76,23.36,10700,0.0,0.0
2008-02-19,22.94,24.22,22.66,22.9,17400,0.0,0.0
2008-02-20,22.31,23.38,22.13,22.36,11300,0.0,0.0
2008-02-21,22.29,23.43,21.06,21.64,9500,0.0,0.0
2008-02-22,21.5,21.59,20.83,21.59,9400,0.0,0.0
2008-02-25,21.52,22.94,21.29,22.73,7600,0.0,0.0
2008-02-26,22.31,23.24,22.08,22.64,12600,0.0,0.0
2008-02-27,22.41,23.57,22.24,22.64,6200,0.0,0.0
2008-02-28,22.66,23.2,21.73,22.27,6900,0.0,0.0
2008-02-29,21.8,23.48,21.8,23.01,7200,0.0,0.0
2008-03-03,22.78,22.9,20.9,20.92,10400,0.0,0.0
2008-03-04,20.83,22.13,20.13,21.15,10100,0.0,0.0
2008-03-05,20.59,22.08,20.59,20.99,9400,0.0,0.0
2008-03-06,20.99,21.27,20.64,20.64,5600,0.0,0.0
2008-03-07,20.99,21.85,20.43,20.92,7100,0.0,0.0
2008-03-10,20.92,21.9,19.48,19.48,7900,0.0,0.0
2008-03-11,20.15,21.22,17.25,17.41,16400,0.0,0.0
2008-03-12,17.04,21.34,16.9,20.71,20500,0.0,0.0
2008-03-13,20.66,22.29,20.29,21.62,10500,0.0,0.0
2008-03-14,21.59,21.59,19.66,20.34,11200,0.0,0.0
2008-03-17,20.59,20.99,20.32,20.99,7000,0.0,0.0
2008-03-18,22.01,22.85,20.92,21.18,10100,0.0,0.0
2008-03-19,21.73,21.97,20.57,20.87,2300,0.0,0.0
2008-03-20,20.32,21.31,19.64,20.78,11600,0.0,0.0
2008-03-24,20.78,20.78,19.78,19.8,8100,0.0,0.0
2008-03-25,19.8,20.22,19.43,19.57,10100,0.0,0.0
2008-03-26,19.46,19.55,18.8,19.15,16600,0.0,0.0
2008-03-27,18.6,19.34,18.6,19.06,13700,0.0,0.0
2008-03-28,17.92,18.71,17.32,18.6,13000,0.0,0.0
2008-03-31,19.08,19.08,17.62,17.62,8100,0.0,0.0
2008-04-01,17.94,18.76,17.67,18.76,3900,0.0,0.0
2008-04-02,18.43,19.66,18.39,18.94,9300,0.0,0.0
2008-04-03,18.43,19.18,18.36,18.46,8600,0.0,0.0
2008-04-04,18.15,18.6,17.92,18.32,3400,0.0,0.0
2008-04-07,18.32,18.69,18.13,18.41,13500,0.0,0.0
2008-04-08,18.36,18.41,17.57,17.69,4800,0.0,0.0
2008-04-09,17.43,17.55,16.85,17.04,6200,0.0,0.0
2008-04-10,17.06,17.87,16.76,17.36,4400,0.0,0.0
2008-04-11,17.06,17.32,16.85,17.04,1600,0.0,0.0
2008-04-14,17.34,17.34,16.74,16.74,2700,0.0,0.0
2008-04-15,16.97,17.13,16.39,16.85,4100,0.0,0.0
2008-04-16,16.62,17.15,16.46,16.97,5000,0.0,0.0
2008-04-17,16.78,17.01,16.53,16.62,4100,0.0,0.0
2008-04-18,16.97,16.97,16.62,16.62,4800,0.0,0.0
2008-04-21,17.2,17.22,16.64,16.88,9700,0.0,0.0
2008-04-22,16.99,16.99,16.32,16.34,5400,0.0,0.0
2008-04-23,16.41,16.76,16.39,16.46,3900,0.0,0.0
2008-04-24,16.5,16.71,16.15,16.27,7200,0.0,0.0
2008-04-25,16.25,16.48,16.2,16.34,1900,0.0,0.0
2008-04-28,16.18,16.41,16.15,16.36,5800,0.0,0.0
2008-04-29,16.39,16.55,16.13,16.32,8300,0.0,0.0
2008-04-30,16.32,16.39,15.95,15.95,6100,0.0,0.0
2008-05-01,15.97,16.36,15.92,16.27,7000,0.0,0.0
2008-05-02,16.27,16.81,16.25,16.62,21300,0.0,0.0
2008-05-05,16.83,18.25,16.32,18.11,9300,0.0,0.0
2008-05-06,18.11,18.83,17.76,17.78,10400,0.0,0.0
2008-05-07,17.87,18.71,17.87,18.67,7700,0.0,0.0
2008-05-08,19.2,19.83,18.83,18.87,13200,0.0,0.0
2008-05-09,18.71,19.34,18.62,18.97,5400,0.0,0.0
2008-05-12,18.67,19.01,18.36,18.64,2700,0.0,0.0
2008-05-13,18.48,18.6,18.46,18.57,4500,0.0,0.0
2008-05-14,18.32,18.32,17.29,18.01,14000,0.0,0.0
2008-05-15,18.32,18.6,17.9,17.97,3900,0.0,0.0
2008-05-16,18.08,18.22,17.67,17.81,6600,0.0,0.0
2008-05-19,18.36,18.36,17.71,17.85,9900,0.0,0.0
2008-05-20,17.94,17.94,17.48,17.64,11700,0.0,0.0
2008-05-21,17.87,17.94,17.43,17.46,9400,0.0,0.0
2008-05-22,17.46,18.15,17.41,17.74,11500,0.0,0.0
2008-05-23,17.55,17.76,17.18,17.46,12100,0.0,0.0
2008-05-27,17.53,18.64,17.53,18.13,16200,0.0,0.0
2008-05-28,18.55,18.67,18.06,18.67,22400,0.0,0.0
2008-05-29,18.48,18.92,18.41,18.53,7900,0.0,0.0
2008-05-30,18.62,18.62,18.29,18.43,6400,0.0,0.0
2008-06-02,18.48,18.48,17.92,18.11,7500,0.0,0.0
2008-06-03,18.43,18.73,18.08,18.08,6800,0.0,0.0
2008-06-04,18.01,18.71,17.92,18.43,12700,0.0,0.0
2008-06-05,18.25,18.76,18.25,18.34,11200,0.0,0.0
2008-06-06,18.25,18.36,17.5,17.5,7300,0.0,0.0
2008-06-09,17.76,17.94,17.18,17.22,8000,0.0,0.0
2008-06-10,17.36,17.74,17.08,17.6,13800,0.0,0.0
2008-06-11,17.41,17.6,17.25,17.32,7300,0.0,0.0
2008-06-12,17.43,17.5,17.06,17.5,7800,0.0,0.0
