Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,41.24,43.2,40.85,43.09,2327000,0.0,0
2008-01-03,43.36,44.74,43.3,44.16,2315300,0.0,0
2008-01-04,43.76,43.88,42.61,42.9,1599000,0.0,0
2008-01-07,43.1,43.37,41.98,42.75,1300300,0.0,0
2008-01-08,44.7,46.04,44.04,44.37,2419400,0.0,0
2008-01-09,46.25,46.37,44.53,46.11,2778900,0.0,0
2008-01-10,45.76,47.73,45.48,47.38,3622400,0.0,0
2008-01-11,47.76,48.1,46.05,46.6,2562900,0.0,0
2008-01-14,48.21,48.25,46.73,47.05,1903700,0.0,0
2008-01-15,46.48,46.96,44.56,44.93,1940400,0.0,0
2008-01-16,44.0,44.83,42.78,43.68,2264900,0.0,0
2008-01-17,44.42,45.25,42.38,42.68,1657100,0.0,0
2008-01-18,41.2,42.43,40.89,42.37,3008800,0.0,0
2008-01-22,38.12,41.96,38.0,41.59,2436800,0.0,0
2008-01-23,38.92,40.58,38.55,40.54,2960600,0.0,0
2008-01-24,41.08,42.75,41.08,42.44,1840100,0.0,0
2008-01-25,39.32,40.72,38.96,40.41,3477300,0.0,0
2008-01-28,39.44,39.73,38.84,39.23,2449500,0.0,0
2008-01-29,39.5,40.09,38.93,39.87,1771600,0.0,0
2008-01-30,39.87,40.05,38.84,39.11,2497400,0.0,0
2008-01-31,38.31,39.43,38.24,39.04,1334200,0.0,0
2008-02-01,39.21,39.74,38.19,38.28,1634300,0.0,0
2008-02-04,38.31,38.71,37.59,38.37,1303400,0.0,0
2008-02-05,37.03,37.83,36.4,36.4,1856000,0.0,0
2008-02-06,37.21,38.31,36.95,37.46,1260500,0.0,0
2008-02-07,36.1,36.65,35.85,36.24,2337100,0.0,0
2008-02-08,33.95,34.52,33.84,34.12,4879300,0.0,0
2008-02-11,32.59,33.14,31.95,32.95,2736100,0.0,0
2008-02-12,32.72,32.94,32.47,32.61,2542600,0.0,0
2008-02-13,32.73,32.79,32.23,32.68,2851800,0.0,0
2008-02-14,32.64,32.64,31.98,32.12,1728400,0.0,0
2008-02-15,31.68,31.89,31.42,31.71,1629400,0.0,0
2008-02-19,32.79,33.06,32.32,32.72,1939000,0.0,0
2008-02-20,32.18,33.43,32.09,33.38,2119600,0.0,0
2008-02-21,33.93,34.34,33.38,33.38,4146800,0.0,0
2008-02-22,34.3,34.38,33.23,33.88,1643800,0.0,0
2008-02-25,33.4,33.76,32.26,32.9,1703900,0.0,0
2008-02-26,32.44,33.24,32.25,33.05,1508500,0.0,0
2008-02-27,33.41,33.74,33.01,33.4,1759200,0.069,0
