Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,21.84,22.2,21.78,22.18,189400,0.0,0
2008-01-03,22.32,22.39,21.99,22.23,96600,0.0,0
2008-01-04,22.15,22.15,21.55,21.55,306500,0.0,0
2008-01-07,21.55,21.58,20.76,20.91,106900,0.0,0
2008-01-08,21.03,21.08,20.12,20.21,162800,0.0,0
2008-01-09,20.72,20.85,19.56,20.25,327000,0.0,0
2008-01-10,20.21,20.73,20.08,20.53,271600,0.0,0
2008-01-11,20.54,20.65,20.21,20.36,118700,0.0,0
2008-01-14,20.39,20.52,20.05,20.35,80200,0.0,0
2008-01-15,20.28,20.34,19.78,20.24,109200,0.0,0
2008-01-16,20.19,20.64,20.13,20.31,139500,0.0,0
2008-01-17,20.41,20.79,19.91,20.2,171400,0.0,0
2008-01-18,20.23,20.37,18.66,18.95,331500,0.0,0
2008-01-22,18.43,19.55,18.29,19.55,291000,0.0,0
2008-01-23,19.09,19.75,18.83,19.7,238400,0.0,0
2008-01-24,19.62,20.14,19.54,19.75,95900,0.0,0
2008-01-25,19.91,20.05,19.08,19.25,138600,0.0,0
2008-01-28,19.4,20.28,18.87,20.16,140900,0.0,0
2008-01-29,20.17,20.42,20.04,20.09,151100,0.0,0
2008-01-30,20.04,20.3,19.58,19.61,107500,0.0,0
2008-01-31,19.53,20.27,19.41,20.05,186600,0.0,0
2008-02-01,20.21,20.41,18.93,19.37,904200,0.0,0
2008-02-04,19.45,20.46,18.76,20.31,270500,0.0,0
2008-02-05,20.25,20.79,20.12,20.32,206800,0.0,0
2008-02-06,20.21,20.89,19.78,20.18,254900,0.0,0
2008-02-07,20.05,20.56,19.85,20.11,170400,0.0,0
2008-02-08,20.06,20.43,19.91,20.17,139200,0.0,0
2008-02-11,20.22,20.22,19.61,19.67,137200,0.0,0
2008-02-12,19.72,19.8,19.48,19.55,121800,0.0,0
2008-02-13,19.81,19.81,19.35,19.49,104500,0.0,0
2008-02-14,19.41,19.83,19.24,19.4,149900,0.0,0
2008-02-15,19.38,19.58,19.23,19.38,109000,0.0,0
2008-02-19,19.52,19.76,19.2,19.35,84400,0.0,0
2008-02-20,19.26,19.26,18.73,18.9,270800,0.0,0
2008-02-21,18.94,19.11,18.5,18.58,179800,0.0,0
2008-02-22,18.53,18.73,18.28,18.65,214300,0.0,0
2008-02-25,18.58,18.77,18.45,18.58,264100,0.0,0
2008-02-26,18.53,19.19,18.49,18.76,422000,0.0,0
2008-02-27,18.76,19.03,18.59,18.68,317000,0.0,0
2008-02-28,18.58,18.58,17.72,18.1,312800,0.0,0
2008-02-29,18.54,20.58,17.97,19.67,2002000,0.0,0
2008-03-03,19.78,20.19,19.37,19.38,706700,0.0,0
2008-03-04,19.47,19.64,18.88,19.32,516400,0.0,0
2008-03-05,19.36,20.64,19.28,20.55,863700,0.0,0
2008-03-06,20.67,20.71,19.1,19.18,882600,0.0,0
2008-03-07,19.16,19.28,18.39,18.41,635600,4.5,0
2008-03-10,18.44,18.51,17.28,17.39,990900,0.0,0
2008-03-11,17.5,18.05,16.78,17.33,662800,0.0,0
2008-03-12,17.31,17.31,16.65,16.93,384200,0.0,0
2008-03-13,16.55,17.39,16.45,17.08,640000,0.0,0
2008-03-14,17.38,17.8,17.03,17.58,379700,0.0,0
2008-03-17,17.39,18.45,17.39,17.87,596400,0.0,0
2008-03-18,17.89,18.91,17.89,18.86,367200,0.0,0
2008-03-19,18.72,19.69,18.63,18.76,416100,0.0,0
2008-03-20,18.57,19.48,18.51,19.47,283000,0.0,0
2008-03-24,19.5,20.02,19.07,19.19,434500,0.0,0
2008-03-25,19.11,20.52,18.94,20.32,866400,0.0,0
2008-03-26,20.36,21.47,19.85,21.17,596400,0.0,0
2008-03-27,21.17,21.82,20.8,21.5,505700,0.0,0
2008-03-28,21.41,22.34,21.3,21.95,756300,0.0,0
2008-03-31,22.15,22.49,21.79,22.35,447200,0.0,0
2008-04-01,22.75,22.94,22.51,22.78,307300,0.0,0
2008-04-02,22.29,23.15,22.29,22.7,489100,0.0,0
2008-04-03,22.75,23.82,22.56,23.79,424600,0.0,0
2008-04-04,23.61,24.0,23.39,23.72,526700,0.0,0
2008-04-07,24.02,24.43,23.7,24.03,189500,0.0,0
2008-04-08,24.29,24.72,24.0,24.06,777800,0.0,0
2008-04-09,24.17,24.44,23.17,23.49,507400,0.0,0
2008-04-10,23.53,23.85,23.06,23.77,519800,0.0,0
2008-04-11,23.54,23.94,22.99,23.4,602400,0.0,0
2008-04-14,23.51,24.28,23.21,24.12,301700,0.0,0
2008-04-15,24.34,24.34,23.34,23.73,328900,0.0,0
2008-04-16,23.97,23.99,23.54,23.93,329600,0.0,0
2008-04-17,23.73,24.16,23.18,23.95,330600,0.0,0
2008-04-18,24.13,24.17,23.48,23.82,309900,0.0,0
2008-04-21,23.76,23.88,23.62,23.78,142400,0.0,0
2008-04-22,23.55,23.91,22.75,22.82,277700,0.0,0
2008-04-23,22.8,23.28,22.71,23.17,430300,0.0,0
2008-04-24,23.14,23.56,23.09,23.28,376000,0.0,0
2008-04-25,23.17,23.32,22.67,23.02,299600,0.0,0
2008-04-28,22.7,23.13,22.7,23.03,258100,0.0,0
2008-04-29,22.92,23.01,22.67,22.74,249300,0.0,0
2008-04-30,22.97,22.97,22.18,22.3,335700,0.0,0
2008-05-01,22.07,22.92,21.99,22.55,355400,0.0,0
2008-05-02,22.19,22.77,19.23,21.03,1168300,0.0,0
2008-05-05,21.01,21.36,20.51,21.06,691900,0.0,0
2008-05-06,21.0,21.94,20.93,21.92,325600,0.0,0
2008-05-07,22.05,22.05,21.32,21.48,374200,0.0,0
2008-05-08,21.66,22.05,21.33,21.5,218300,0.0,0
2008-05-09,21.51,22.04,21.24,21.97,389300,0.0,0
2008-05-12,21.93,21.98,20.76,21.43,530400,0.0,0
2008-05-13,21.48,21.7,21.21,21.48,358000,0.0,0
2008-05-14,21.67,21.67,20.93,21.08,447600,0.0,0
2008-05-15,21.08,21.71,21.03,21.58,331000,0.0,0
2008-05-16,21.47,21.56,20.86,21.45,289400,0.0,0
2008-05-19,21.36,21.38,20.99,21.14,180700,0.0,0
2008-05-20,21.18,21.33,21.01,21.21,300000,0.0,0
2008-05-21,21.34,21.42,20.65,20.74,326800,0.0,0
2008-05-22,20.67,21.26,20.67,20.74,270200,0.0,0
2008-05-23,20.79,20.79,20.2,20.29,122300,0.0,0
2008-05-27,20.13,20.74,20.12,20.64,179200,0.0,0
2008-05-28,20.69,20.76,20.19,20.37,113200,0.0,0
2008-05-29,20.43,20.7,20.25,20.56,98400,0.0,0
2008-05-30,20.56,20.66,20.22,20.36,166400,0.0,0
2008-06-02,20.36,20.56,20.12,20.3,187100,0.0,0
2008-06-03,20.22,20.3,19.92,20.14,173600,0.0,0
2008-06-04,20.18,20.49,19.98,20.08,127100,0.0,0
2008-06-05,20.22,20.72,20.17,20.69,162000,0.0,0
2008-06-06,20.57,20.64,19.83,19.99,186900,0.0,0
2008-06-09,20.0,20.16,19.63,19.84,146800,0.0,0
2008-06-10,19.67,19.93,19.57,19.7,158100,0.0,0
2008-06-11,19.65,19.75,18.78,18.99,227000,0.0,0
2008-06-12,19.11,19.55,19.07,19.2,201200,0.0,0
2008-06-13,19.19,19.47,19.08,19.28,200800,0.0,0
2008-06-16,19.31,19.62,19.18,19.43,149700,0.0,0
2008-06-17,19.44,19.68,19.43,19.5,214000,0.0,0
2008-06-18,19.45,19.58,19.18,19.21,336900,0.0,0
2008-06-19,19.3,19.43,19.18,19.42,233100,0.0,0
2008-06-20,19.3,19.43,19.06,19.21,235800,0.0,0
2008-06-23,19.21,19.34,18.99,19.09,180600,0.0,0
2008-06-24,19.08,19.15,18.78,18.99,186600,0.0,0
2008-06-25,18.99,19.12,18.75,18.81,208800,0.0,0
2008-06-26,18.8,19.11,18.68,18.89,397400,0.0,0
2008-06-27,18.99,19.0,18.17,18.61,659300,0.0,0
2008-06-30,18.56,18.58,18.12,18.31,290300,0.0,0
2008-07-01,18.21,18.51,17.98,18.39,289000,0.0,0
2008-07-02,18.47,18.54,18.22,18.29,229000,0.0,0
2008-07-03,18.54,18.54,18.08,18.32,90400,0.0,0
2008-07-07,18.3,18.42,17.76,17.99,171500,0.0,0
2008-07-08,17.86,18.61,17.46,18.45,316800,0.0,0
2008-07-09,18.56,18.93,18.44,18.46,237900,0.0,0
2008-07-10,18.36,18.68,18.17,18.41,219200,0.0,0
2008-07-11,18.27,18.37,17.72,17.97,118400,0.0,0
2008-07-14,18.12,18.5,17.91,17.98,140000,0.0,0
2008-07-15,17.78,18.13,17.65,17.77,227500,0.0,0
2008-07-16,17.77,18.81,17.56,18.67,277200,0.0,0
2008-07-17,18.8,19.62,18.8,19.21,223000,0.0,0
2008-07-18,19.25,19.89,18.97,19.79,203100,0.0,0
2008-07-21,19.79,20.07,19.46,19.62,115900,0.0,0
2008-07-22,19.6,20.37,19.6,20.36,149200,0.0,0
2008-07-23,20.32,21.58,20.3,21.18,338200,0.0,0
2008-07-24,21.11,21.23,19.63,19.82,176600,0.0,0
2008-07-25,19.87,20.91,19.82,20.62,288900,0.0,0
2008-07-28,20.69,20.72,19.97,20.3,332000,0.0,0
2008-07-29,20.23,20.77,20.23,20.65,283900,0.0,0
2008-07-30,21.15,22.35,20.99,21.58,741300,0.0,0
2008-07-31,21.59,21.59,20.9,21.13,254900,0.0,0
2008-08-01,21.33,21.38,20.86,21.05,215200,0.0,0
2008-08-04,20.78,21.23,20.36,20.81,244900,0.0,0
2008-08-05,20.76,21.04,20.29,20.83,213000,0.0,0
