Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,11.78,11.84,11.45,11.54,312600,0.0,0.0
2008-01-03,11.53,12.3,11.53,12.15,523400,0.0,0.0
2008-01-04,12.28,12.28,11.85,12.01,440000,0.0,0.0
2008-01-07,12.09,12.25,11.88,12.15,288800,0.0,0.0
2008-01-08,12.16,12.54,11.83,11.84,252800,0.0,0.0
2008-01-09,11.9,12.29,11.9,12.23,459000,0.0,0.0
2008-01-10,12.06,12.21,11.73,12.03,330600,0.0,0.0
2008-01-11,11.93,11.93,11.68,11.69,182400,0.0,0.0
2008-01-14,11.79,11.83,11.55,11.79,214200,0.0,0.0
2008-01-15,11.67,11.76,11.5,11.6,287400,0.0,0.0
2008-01-16,11.6,11.82,11.48,11.68,259400,0.0,0.0
2008-01-17,11.74,11.91,11.57,11.63,265200,0.0,0.0
2008-01-18,11.57,11.67,11.03,11.2,502000,0.0,0.0
2008-01-22,10.58,10.96,10.37,10.67,486000,0.0,0.0
2008-01-23,10.43,10.8,10.31,10.7,469600,0.0,0.0
2008-01-24,10.78,10.8,10.47,10.61,414200,0.0,0.0
2008-01-25,10.77,10.88,10.46,10.59,1158800,0.0,0.0
2008-01-28,10.59,10.7,10.44,10.62,434800,0.0,0.0
2008-01-29,10.67,10.68,10.49,10.6,386400,0.0,0.0
2008-01-30,10.53,10.61,10.29,10.29,356400,0.0,0.0
2008-01-31,10.2,10.84,10.05,10.75,596400,0.0,0.0
2008-02-01,10.8,10.91,10.58,10.8,261800,0.0,0.0
2008-02-04,10.73,11.07,10.68,10.99,260000,0.0,0.0
2008-02-05,10.79,10.87,10.58,10.63,248000,0.0,0.0
2008-02-06,10.75,10.99,10.58,10.86,316800,0.25,0.0
2008-02-07,10.73,10.99,10.61,10.74,359200,0.0,0.0
2008-02-08,10.68,10.73,10.36,10.43,417600,0.0,0.0
2008-02-11,10.41,10.43,10.2,10.32,271800,0.0,0.0
2008-02-12,10.35,10.57,10.27,10.44,186000,0.0,0.0
2008-02-13,10.54,10.68,10.49,10.6,134200,0.0,0.0
2008-02-14,10.6,10.62,10.23,10.32,231600,0.0,0.0
2008-02-15,10.26,10.31,10.08,10.27,183000,0.0,0.0
2008-02-19,10.5,10.5,10.2,10.31,229800,0.0,0.0
2008-02-20,10.27,10.36,10.14,10.34,147000,0.0,0.0
2008-02-21,10.44,10.71,10.17,10.21,286400,0.0,0.0
2008-02-22,10.2,10.32,10.05,10.32,238200,0.0,0.0
2008-02-25,10.3,10.55,10.28,10.48,209400,0.0,0.0
2008-02-26,10.42,10.85,10.39,10.76,252000,0.0,0.0
2008-02-27,10.63,10.75,10.44,10.5,229400,0.0,0.0
2008-02-28,10.44,10.59,10.32,10.4,177200,0.0,0.0
2008-02-29,10.23,10.48,10.14,10.29,284400,0.0,0.0
2008-03-03,10.29,10.4,10.11,10.26,311000,0.0,0.0
2008-03-04,10.18,10.87,10.18,10.64,608800,0.0,0.0
2008-03-05,10.7,10.81,10.52,10.76,236600,0.0,0.0
2008-03-06,10.77,10.85,10.28,10.36,242800,0.0,0.0
2008-03-07,10.22,10.63,10.2,10.6,311400,0.0,0.0
2008-03-10,10.56,10.6,10.33,10.4,205800,0.0,0.0
2008-03-11,10.68,10.84,10.5,10.82,312400,0.0,0.0
2008-03-12,10.82,11.06,10.74,10.78,151000,0.0,0.0
2008-03-13,10.68,10.78,10.27,10.53,262000,0.0,0.0
2008-03-14,10.6,10.7,10.17,10.52,352000,0.0,0.0
2008-03-17,10.25,10.65,10.21,10.6,331200,0.0,0.0
2008-03-18,10.72,11.33,10.72,11.27,342800,0.0,0.0
2008-03-19,11.27,11.42,10.99,10.99,322600,0.0,0.0
2008-03-20,11.13,11.53,10.96,11.39,644400,0.0,0.0
2008-03-24,11.35,11.99,11.35,11.78,358800,0.0,0.0
2008-03-25,11.85,11.95,11.3,11.36,333200,0.0,0.0
2008-03-26,11.33,11.88,11.33,11.83,246200,0.0,0.0
2008-03-27,11.79,11.9,11.16,11.27,499000,0.0,0.0
2008-03-28,11.25,11.38,10.99,11.12,600600,0.0,0.0
2008-03-31,11.09,11.55,11.09,11.38,272000,0.0,0.0
2008-04-01,11.59,11.71,11.43,11.59,276000,0.0,0.0
2008-04-02,11.66,11.78,11.52,11.6,271800,0.0,0.0
2008-04-03,11.55,11.7,11.51,11.66,155400,0.0,0.0
2008-04-04,11.65,11.68,11.44,11.47,198200,0.0,0.0
2008-04-07,11.47,11.69,11.47,11.56,152200,0.0,0.0
2008-04-08,11.54,11.66,11.49,11.65,111600,0.0,0.0
2008-04-09,11.72,11.73,11.46,11.56,134400,0.0,0.0
2008-04-10,11.6,11.7,11.5,11.64,124600,0.0,0.0
2008-04-11,11.55,11.67,11.25,11.29,195200,0.0,0.0
2008-04-14,11.33,11.66,11.29,11.44,188600,0.0,0.0
2008-04-15,11.54,11.73,11.43,11.73,159200,0.0,0.0
2008-04-16,11.8,12.04,11.79,12.04,219800,0.0,0.0
2008-04-17,11.98,12.04,11.85,11.86,144800,0.0,0.0
2008-04-18,12.05,12.22,11.98,12.16,215000,0.0,0.0
2008-04-21,12.05,12.26,12.0,12.02,160000,0.0,0.0
2008-04-22,11.98,12.0,11.64,11.73,227600,0.0,0.0
2008-04-23,11.72,11.82,11.54,11.65,169000,0.0,0.0
2008-04-24,11.73,11.85,11.52,11.76,248600,0.0,0.0
2008-04-25,11.71,11.72,11.33,11.36,262400,0.0,0.0
2008-04-28,11.38,11.51,11.3,11.46,165400,0.0,0.0
2008-04-29,11.46,11.49,11.24,11.3,142000,0.0,0.0
2008-04-30,11.27,11.34,10.95,11.07,344400,0.0,0.0
2008-05-01,11.11,11.33,11.07,11.17,395600,0.0,0.0
2008-05-02,11.35,11.4,11.1,11.12,227600,0.0,0.0
2008-05-05,11.05,11.17,10.97,11.13,152400,0.0,0.0
2008-05-06,11.0,11.08,10.84,11.02,121400,0.0,0.0
2008-05-07,10.9,11.03,10.72,10.84,192800,0.0,0.0
2008-05-08,10.87,11.01,10.67,10.84,149400,0.25,0.0
2008-05-09,10.7,10.91,10.64,10.9,162400,0.0,0.0
2008-05-12,10.97,11.38,10.89,11.38,217600,0.0,0.0
2008-05-13,11.42,11.42,11.19,11.28,175400,0.0,0.0
2008-05-14,11.33,11.46,11.19,11.21,162000,0.0,0.0
2008-05-15,11.16,11.26,11.04,11.13,101800,0.0,0.0
2008-05-16,11.13,11.17,10.94,10.98,147000,0.0,0.0
2008-05-19,11.02,11.11,10.9,10.98,125200,0.0,0.0
2008-05-20,10.96,11.11,10.79,10.9,124200,0.0,0.0
2008-05-21,10.96,11.08,10.8,10.91,152200,0.0,0.0
2008-05-22,10.98,11.02,10.91,10.98,133200,0.0,0.0
2008-05-23,10.88,10.93,10.73,10.93,176200,0.0,0.0
2008-05-27,10.95,10.98,10.77,10.84,155200,0.0,0.0
2008-05-28,10.95,11.01,10.76,10.79,120000,0.0,0.0
2008-05-29,10.75,10.84,10.75,10.8,172400,0.0,0.0
2008-05-30,10.86,10.87,10.75,10.83,183200,0.0,0.0
2008-06-02,10.82,10.86,10.67,10.72,164800,0.0,0.0
2008-06-03,10.82,10.83,10.62,10.7,190600,0.0,0.0
2008-06-04,10.69,11.03,10.68,10.94,146000,0.0,0.0
2008-06-05,10.91,11.37,10.91,11.37,184400,0.0,0.0
2008-06-06,11.29,11.29,11.0,11.05,157400,0.0,0.0
2008-06-09,11.06,11.23,11.01,11.07,130400,0.0,0.0
2008-06-10,11.01,11.23,10.92,11.2,156600,0.0,0.0
2008-06-11,11.19,11.27,11.06,11.06,240200,0.0,0.0
2008-06-12,11.23,11.52,11.23,11.28,184400,0.0,0.0
2008-06-13,11.4,11.61,11.31,11.61,355000,0.0,0.0
2008-06-16,11.52,11.61,11.44,11.59,189800,0.0,0.0
2008-06-17,11.65,11.65,11.53,11.53,122600,0.0,0.0
2008-06-18,11.5,11.65,11.38,11.57,120400,0.0,0.0
2008-06-19,11.52,11.71,11.52,11.64,116000,0.0,0.0
2008-06-20,11.6,11.71,11.45,11.6,266200,0.0,0.0
2008-06-23,11.68,11.74,11.53,11.57,138000,0.0,0.0
2008-06-24,11.52,11.57,11.18,11.18,112800,0.0,0.0
2008-06-25,11.18,11.21,10.94,11.03,226200,0.0,0.0
2008-06-26,10.94,11.27,10.94,11.03,178600,0.0,0.0
2008-06-27,11.07,11.28,10.91,11.21,1040800,0.0,0.0
2008-06-30,11.26,11.44,11.21,11.21,274200,0.0,0.0
2008-07-01,11.07,11.32,11.07,11.24,186600,0.0,0.0
2008-07-02,11.15,11.23,10.93,10.93,241800,0.0,0.0
2008-07-03,10.93,11.03,10.77,10.82,134400,0.0,0.0
2008-07-07,10.83,10.94,10.67,10.74,167200,0.0,0.0
2008-07-08,10.8,11.05,10.73,11.05,175600,0.0,0.0
2008-07-09,11.01,11.09,10.84,10.89,233200,0.0,0.0
2008-07-10,10.84,11.1,10.84,11.0,149200,0.0,0.0
2008-07-11,10.92,11.07,10.84,11.05,177400,0.0,0.0
2008-07-14,11.11,11.14,10.77,10.92,103400,0.0,0.0
2008-07-15,10.84,10.99,10.79,10.84,153600,0.0,0.0
2008-07-16,10.91,10.95,10.76,10.87,131800,0.0,0.0
2008-07-17,10.88,10.88,10.6,10.88,206400,0.0,0.0
2008-07-18,10.9,11.03,10.7,10.75,202800,0.0,0.0
2008-07-21,10.75,10.98,10.69,10.98,146200,0.0,0.0
2008-07-22,10.92,11.3,10.92,11.3,238000,0.0,0.0
2008-07-23,11.17,11.2,10.98,11.16,218800,0.0,0.0
2008-07-24,11.21,11.3,11.08,11.17,230600,0.0,0.0
2008-07-25,11.25,11.5,11.23,11.37,196000,0.0,0.0
2008-07-28,11.39,11.39,11.2,11.34,238800,0.0,0.0
2008-07-29,11.42,11.54,11.33,11.41,198800,0.0,0.0
2008-07-30,11.56,11.56,11.13,11.47,176000,0.0,0.0
2008-07-31,11.5,11.62,11.28,11.59,192000,0.0,0.0
