Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,11.45,11.47,11.28,11.33,1142600,0.0,0.0
2008-01-03,11.38,11.45,11.33,11.42,2795000,0.0,0.0
2008-01-04,11.28,11.3,11.11,11.12,3477600,0.0,0.0
2008-01-07,11.42,11.54,11.33,11.53,3006800,0.0,0.0
2008-01-08,11.91,11.93,11.71,11.72,2618800,0.0,0.0
2008-01-09,12.06,12.22,11.96,12.1,3276000,0.0,0.0
2008-01-10,11.98,12.06,11.93,12.01,2290800,0.0,0.0
2008-01-11,12.2,12.22,12.03,12.12,2850800,0.0,0.0
2008-01-14,12.04,12.13,11.94,11.97,3115400,0.0,0.0
2008-01-15,11.85,11.9,11.71,11.78,4064800,0.0,0.0
2008-01-16,12.14,12.25,12.03,12.07,9926400,0.0,0.0
2008-01-17,12.22,12.25,11.92,11.95,5939200,0.0,0.0
2008-01-18,12.39,12.51,12.11,12.2,8562000,0.0,0.0
2008-01-22,11.3,11.74,11.28,11.61,6804800,0.0,0.0
2008-01-23,11.31,11.59,11.22,11.57,4389200,0.0,0.0
2008-01-24,11.51,11.75,11.47,11.71,4795600,0.0,0.0
2008-01-25,11.76,11.78,11.36,11.46,3426800,0.0,0.0
2008-01-28,11.44,11.59,11.36,11.54,2672800,0.0,0.0
2008-01-29,11.53,11.6,11.44,11.55,3009800,0.0,0.0
2008-01-30,11.27,11.38,11.15,11.22,2948800,0.0,0.0
2008-01-31,10.83,11.27,10.71,11.14,5749400,0.0,0.0
2008-02-01,10.92,11.14,10.84,11.02,3732000,0.0,0.0
2008-02-04,11.07,11.19,11.03,11.18,3260800,0.0,0.0
2008-02-05,10.97,10.98,10.81,10.83,2916200,0.0,0.0
2008-02-06,10.98,11.07,10.88,10.99,4960000,0.0,0.0
2008-02-07,10.6,10.74,10.57,10.69,8463200,0.675,0.0
2008-02-08,10.41,10.53,10.36,10.48,4326600,0.0,0.0
2008-02-11,10.46,10.54,10.35,10.53,4955200,0.0,0.0
2008-02-12,10.4,10.66,10.34,10.6,7504000,0.0,0.0
2008-02-13,10.78,10.89,10.76,10.88,3492200,0.0,0.0
2008-02-14,10.71,10.73,10.56,10.56,4546800,0.0,0.0
2008-02-15,10.62,10.7,10.58,10.7,2906000,0.0,0.0
2008-02-19,10.89,10.96,10.8,10.84,4342200,0.0,0.0
2008-02-20,10.76,10.83,10.7,10.82,2904600,0.0,0.0
2008-02-21,10.96,11.07,10.92,10.96,2970400,0.0,0.0
2008-02-22,10.97,11.0,10.85,10.97,2937200,0.0,0.0
2008-02-25,10.86,10.94,10.8,10.9,2130200,0.0,0.0
2008-02-26,10.93,11.07,10.86,11.05,3053000,0.0,0.0
2008-02-27,10.76,10.95,10.75,10.81,2745800,0.0,0.0
2008-02-28,10.74,10.75,10.6,10.68,2311000,0.0,0.0
2008-02-29,10.55,10.55,10.35,10.39,3166800,0.0,0.0
2008-03-03,10.42,10.47,10.24,10.38,4212200,0.0,0.0
2008-03-04,10.2,10.22,10.1,10.2,4129800,0.0,0.0
2008-03-05,10.22,10.34,10.21,10.28,3380800,0.0,0.0
2008-03-06,10.3,10.33,10.17,10.19,1694400,0.0,0.0
2008-03-07,10.23,10.38,10.2,10.34,2833400,0.0,0.0
2008-03-10,10.26,10.29,10.11,10.14,3991800,0.0,0.0
2008-03-11,10.23,10.33,10.15,10.31,4753200,0.0,0.0
2008-03-12,10.46,10.65,10.4,10.58,5149600,0.0,0.0
