Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,34.53,34.54,33.55,33.72,30764600,0.0,0
2008-01-03,33.78,33.93,33.46,33.5,22589500,0.0,0
2008-01-04,33.26,33.5,33.06,33.13,34921700,0.0,0
2008-01-07,33.3,33.45,32.64,33.17,31884400,0.0,0
2008-01-08,33.41,33.43,31.83,31.93,42143300,0.0,0
2008-01-09,31.91,32.25,31.11,32.21,44276900,0.0,0
2008-01-10,31.93,33.1,31.51,32.67,60532300,0.0,0
2008-01-11,32.76,33.07,31.72,32.01,79116300,0.0,0
2008-01-14,32.22,32.67,31.93,32.61,37063400,0.0,0
2008-01-15,32.26,32.26,31.43,31.49,42560000,0.0,0
2008-01-16,31.33,32.76,31.33,32.17,46457400,0.0,0
2008-01-17,32.57,32.57,30.58,30.69,46725700,0.0,0
2008-01-18,30.97,31.16,29.21,29.9,60762800,0.0,0
2008-01-22,27.54,32.41,27.54,31.09,85919200,0.0,0
2008-01-23,30.62,34.09,30.43,33.73,93531900,0.0,0
2008-01-24,33.67,33.91,32.3,33.17,109818800,0.0,0
2008-01-25,33.36,33.71,32.57,32.82,78213500,0.0,0
2008-01-28,32.78,34.32,32.56,34.25,47332200,0.0,0
2008-01-29,34.64,35.02,34.09,34.87,54214400,0.0,0
2008-01-30,34.79,36.32,34.28,35.09,71585900,0.0,0
2008-01-31,34.74,37.0,34.39,36.71,80378600,0.0,0
2008-02-01,36.68,37.48,36.64,37.44,60211900,0.0,0
2008-02-04,37.2,37.28,36.5,36.61,36302000,0.0,0
2008-02-05,35.77,36.07,35.17,35.23,55739200,0.0,0
2008-02-06,35.51,36.02,35.09,35.19,37702200,0.0,0
2008-02-07,35.06,36.42,34.82,36.06,47817600,0.0,0
2008-02-08,35.93,36.03,34.54,35.05,44693100,0.0,0
2008-02-11,35.57,35.57,34.64,35.03,36314700,0.0,0
2008-02-12,35.26,36.02,35.06,35.6,39998300,0.0,0
2008-02-13,35.8,36.16,35.34,36.02,33394600,0.0,0
2008-02-14,36.08,36.25,35.03,35.12,37342100,0.0,0
2008-02-15,34.92,35.5,34.65,35.5,51280800,0.0,0
2008-02-19,35.9,36.0,35.21,35.48,32874300,0.0,0
2008-02-20,35.08,35.92,34.83,35.72,38450800,0.0,0
2008-02-21,35.77,36.17,34.92,35.09,36158900,0.0,0
2008-02-22,35.17,35.46,34.11,35.42,33756000,0.0,0
2008-02-25,35.14,35.77,34.69,35.7,29972200,0.0,0
2008-02-26,35.51,35.93,35.19,35.52,30539700,0.0,0
2008-02-27,35.21,35.96,35.08,35.65,29710100,0.0,0
2008-02-28,35.41,35.53,34.38,34.44,34949400,0.0,0
2008-02-29,34.1,34.15,32.87,33.04,39711500,0.0,0
2008-03-03,33.04,33.22,32.07,32.57,37261500,0.0,0
2008-03-04,32.22,32.5,31.41,32.24,46582400,0.0,0
2008-03-05,32.67,32.74,31.45,31.74,51850800,0.64,0
2008-03-06,31.24,31.47,30.67,30.87,51961200,0.0,0
2008-03-07,30.47,31.76,30.35,31.06,43862700,0.0,0
2008-03-10,31.39,31.45,29.71,29.85,50356100,0.0,0
2008-03-11,31.19,31.91,30.08,31.89,68076000,0.0,0
2008-03-12,31.56,32.88,31.26,31.3,41747400,0.0,0
2008-03-13,30.74,31.74,29.97,31.4,53560500,0.0,0
2008-03-14,31.68,31.79,29.76,30.17,57591200,0.0,0
2008-03-17,29.05,30.77,28.95,30.4,67553100,0.0,0
2008-03-18,31.34,32.91,30.85,32.91,68660600,0.0,0
2008-03-19,33.2,34.2,32.45,32.6,61962200,0.0,0
2008-03-20,32.84,35.5,32.64,35.39,69566900,0.0,0
2008-03-24,35.29,36.74,35.04,35.88,62674600,0.0,0
2008-03-25,35.21,35.72,34.41,34.63,52389000,0.0,0
2008-03-26,34.01,34.19,32.97,33.68,51047100,0.0,0
2008-03-27,33.82,34.13,32.64,32.66,42795300,0.0,0
2008-03-28,32.78,33.09,32.11,32.18,38462100,0.0,0
2008-03-31,32.25,33.81,31.94,32.05,37031600,0.0,0
2008-04-01,33.19,34.56,33.13,34.54,52432700,0.0,0
2008-04-02,34.57,35.08,33.83,34.07,40527100,0.0,0
2008-04-03,33.55,34.38,33.17,34.13,31047600,0.0,0
2008-04-04,34.0,34.05,33.23,33.31,31394100,0.0,0
2008-04-07,33.69,34.15,33.27,33.39,32126700,0.0,0
2008-04-08,33.12,33.22,32.33,32.44,39627900,0.0,0
2008-04-09,32.66,32.8,32.0,32.06,31935100,0.0,0
2008-04-10,32.07,32.38,31.58,31.86,37341200,0.0,0
2008-04-11,31.42,32.02,31.11,31.23,35756400,0.0,0
2008-04-14,30.77,30.89,29.96,30.08,44191700,0.0,0
2008-04-15,30.53,30.82,29.82,30.08,44341600,0.0,0
2008-04-16,30.77,31.26,30.54,31.26,38112700,0.0,0
2008-04-17,31.03,31.9,30.64,31.67,30100100,0.0,0
2008-04-18,32.52,33.49,32.22,32.6,48291900,0.0,0
2008-04-21,31.95,32.33,31.58,31.79,38324400,0.0,0
2008-04-22,31.8,31.89,31.02,31.28,42136100,0.0,0
2008-04-23,31.45,31.56,30.85,31.16,30227300,0.0,0
2008-04-24,31.29,32.28,31.18,32.01,39720600,0.0,0
2008-04-25,32.35,32.7,31.73,32.38,34667400,0.0,0
2008-04-28,32.44,32.6,32.0,32.27,24256800,0.0,0
2008-04-29,32.18,32.49,31.86,32.0,28257700,0.0,0
2008-04-30,32.13,32.49,31.63,31.73,33748000,0.0,0
2008-05-01,31.84,33.38,31.75,33.3,41524300,0.0,0
2008-05-02,33.9,34.36,33.3,33.64,44354600,0.0,0
2008-05-05,33.31,33.42,32.8,32.94,32767200,0.0,0
2008-05-06,32.68,33.34,32.22,33.17,35600200,0.0,0
2008-05-07,33.2,33.32,32.0,32.12,36551000,0.0,0
2008-05-08,32.3,32.38,31.46,31.56,36001600,0.0,0
2008-05-09,31.45,31.67,30.88,30.98,43012400,0.0,0
2008-05-12,31.13,31.77,31.07,31.65,26709900,0.0,0
2008-05-13,31.67,31.78,30.85,30.95,35473600,0.0,0
2008-05-14,31.06,31.28,30.85,31.11,28741400,0.0,0
2008-05-15,31.18,31.18,30.53,31.03,46841100,0.0,0
2008-05-16,31.09,31.13,30.47,30.58,32144800,0.0,0
2008-05-19,30.62,31.04,30.14,30.52,37786200,0.0,0
2008-05-20,30.3,30.39,29.82,29.92,36536800,0.0,0
2008-05-21,29.92,30.05,29.16,29.27,44293800,0.0,0
2008-05-22,29.38,29.87,29.16,29.36,40330700,0.0,0
2008-05-23,29.23,29.27,28.66,28.68,42429400,0.0,0
2008-05-27,28.76,29.04,28.5,28.89,37972000,0.0,0
2008-05-28,29.11,29.15,28.11,28.63,46624900,0.0,0
2008-05-29,28.56,29.39,28.46,29.25,37973700,0.0,0
2008-05-30,29.42,29.48,28.72,28.75,31973900,0.0,0
2008-06-02,28.61,28.69,28.07,28.39,39784200,0.0,0
2008-06-03,28.57,28.68,27.81,28.16,47951400,0.0,0
2008-06-04,27.85,28.1,27.42,27.57,61136800,0.64,0
2008-06-05,27.7,27.91,27.2,27.57,52548300,0.0,0
2008-06-06,27.28,27.31,26.19,26.29,70192800,0.0,0
