Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,15.29,15.57,15.13,15.14,1674800,0.0,0
2008-01-03,15.23,15.26,14.71,14.72,1253100,0.0,0
2008-01-04,14.62,14.62,14.02,14.09,1733100,0.0,0
2008-01-07,14.09,14.33,13.78,13.91,1630600,0.0,0
2008-01-08,13.95,14.23,13.52,13.54,1849600,0.0,0
2008-01-09,13.6,13.69,13.26,13.68,1897400,0.0,0
2008-01-10,13.6,14.37,13.55,14.18,1617200,0.0,0
2008-01-11,14.03,14.11,13.78,13.87,1535700,0.0,0
2008-01-14,13.95,13.96,13.7,13.91,2402400,0.0,0
2008-01-15,13.68,13.77,13.55,13.59,2322300,0.0,0
2008-01-16,13.23,13.68,13.08,13.5,2726700,0.0,0
2008-01-17,13.63,13.85,13.25,13.31,1934400,0.0,0
2008-01-18,13.43,13.81,13.42,13.51,1414200,0.0,0
2008-01-22,12.94,13.98,12.94,13.69,3062300,0.0,0
2008-01-23,13.42,14.77,13.16,14.69,3640800,0.0,0
2008-01-24,14.74,15.49,14.54,15.37,3352900,0.0,0
2008-01-25,15.97,16.39,15.13,15.3,2974200,0.0,0
2008-01-28,15.3,15.84,14.93,15.81,1719200,0.0,0
2008-01-29,15.86,16.08,15.47,16.03,1515800,0.0,0
2008-01-30,15.88,16.39,15.88,16.02,1640500,0.0,0
2008-01-31,16.0,17.49,15.37,16.93,3479300,0.0,0
2008-02-01,16.94,17.57,16.94,17.26,2658500,0.0,0
2008-02-04,17.38,17.38,16.56,16.58,2747500,0.0,0
2008-02-05,16.37,16.81,16.25,16.28,1482500,0.0,0
2008-02-06,16.36,16.38,15.81,15.89,2093100,0.0,0
2008-02-07,15.84,16.27,15.76,15.99,2796300,0.0,0
2008-02-08,15.99,16.1,15.39,15.45,1904400,0.0,0
2008-02-11,15.39,15.85,15.27,15.84,1652000,0.0,0
2008-02-12,16.01,16.27,15.79,15.98,1429800,0.0,0
2008-02-13,16.15,16.37,16.01,16.1,1280300,0.0,0
2008-02-14,16.07,16.11,15.5,15.53,1914500,0.0,0
2008-02-15,15.48,15.5,15.1,15.24,1392600,0.0,0
2008-02-19,15.4,15.42,14.89,14.98,1123000,0.0,0
2008-02-20,14.94,15.33,14.88,15.3,1565100,0.0,0
2008-02-21,15.38,15.39,14.63,14.67,1832600,0.0,0
2008-02-22,14.76,14.79,14.37,14.76,1856000,0.0,0
2008-02-25,14.74,15.18,14.61,15.12,1450300,0.0,0
2008-02-26,15.07,15.76,14.99,15.61,1340600,0.0,0
2008-02-27,15.53,16.26,15.53,15.88,1685300,0.0,0
2008-02-28,15.8,15.81,15.22,15.27,1277200,0.0,0
2008-02-29,15.05,15.08,14.49,14.58,1624800,0.0,0
2008-03-03,14.59,14.62,14.03,14.18,1890700,0.0,0
2008-03-04,14.02,14.23,13.84,14.1,2218500,0.0,0
2008-03-05,14.11,14.58,14.09,14.36,1258200,0.0,0
2008-03-06,14.24,14.38,13.93,13.94,1490600,0.0,0
2008-03-07,13.97,14.25,13.6,13.77,1542700,0.0,0
2008-03-10,13.75,13.95,13.57,13.6,1281000,0.0,0
2008-03-11,14.01,14.2,13.61,14.2,1552100,0.0,0
