Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,8.0,8.07,7.99,8.01,33300,0.0,0.0
2008-01-03,8.03,8.07,7.95,7.95,18300,0.0,0.0
2008-01-04,7.94,7.94,7.8,7.83,19500,0.0,0.0
2008-01-07,7.85,7.85,7.78,7.8,22500,0.0,0.0
2008-01-08,7.75,8.07,7.73,7.82,49500,0.0,0.0
2008-01-09,7.9,7.93,7.82,7.9,27600,0.0,0.0
2008-01-10,7.9,8.26,7.9,8.19,19200,0.0,0.0
2008-01-11,8.19,8.45,8.19,8.34,38100,0.0,0.0
2008-01-14,8.46,8.64,8.44,8.57,43800,0.0,0.0
2008-01-15,8.5,8.59,8.14,8.34,28500,0.0,0.0
2008-01-16,8.27,8.29,8.01,8.01,47700,0.0,0.0
2008-01-17,8.16,8.2,7.83,7.84,30300,0.0,0.0
2008-01-18,8.07,8.24,7.85,7.85,55500,0.0,0.0
2008-01-22,7.77,7.95,7.66,7.95,28200,0.0,0.0
2008-01-23,7.61,7.95,7.56,7.95,52200,0.0,0.0
2008-01-24,7.98,8.6,7.98,8.6,203100,0.0,0.0
2008-01-25,8.67,8.84,8.53,8.74,45300,0.0,0.0
2008-01-28,8.79,8.92,8.46,8.73,80700,0.0,0.0
2008-01-29,8.87,9.01,8.81,8.94,167100,0.0,0.0
2008-01-30,9.0,9.03,8.92,9.01,81000,0.0,0.0
2008-01-31,9.03,9.1,8.82,9.1,26400,0.0,0.0
2008-02-01,9.02,9.14,8.81,9.06,112800,0.0,0.0
2008-02-04,9.05,9.08,8.99,9.05,161400,0.0,0.0
2008-02-05,9.0,9.0,8.78,8.84,105300,0.0,0.0
2008-02-06,8.91,9.08,8.67,8.87,140700,0.0,0.0
2008-02-07,8.82,8.92,8.8,8.87,180600,0.0,0.0
2008-02-08,8.9,8.92,8.75,8.87,8400,0.0,0.0
2008-02-11,8.84,8.95,8.82,8.92,11100,0.0,0.0
2008-02-12,8.98,9.09,8.75,8.97,37500,0.0,0.0
2008-02-13,8.98,9.09,8.98,9.06,20100,0.0,0.0
2008-02-14,9.13,9.21,8.96,8.96,111300,0.0,0.0
2008-02-15,9.02,9.02,8.75,8.8,36600,0.0,0.0
2008-02-19,8.88,9.19,8.88,8.97,45900,0.0,0.0
2008-02-20,8.89,9.18,8.89,9.18,22800,0.0,0.0
2008-02-21,9.17,9.33,9.09,9.29,81900,0.0,0.0
2008-02-22,9.37,9.53,9.24,9.39,55800,0.0,0.0
2008-02-25,9.45,9.54,9.26,9.54,46500,0.0,0.0
2008-02-26,9.54,9.54,9.26,9.42,56100,0.0,0.0
2008-02-27,9.39,9.56,9.39,9.5,103500,0.0,0.0
2008-02-28,9.51,9.85,9.48,9.81,117000,0.0,0.0
2008-02-29,9.76,9.77,9.57,9.61,84000,0.0,0.0
2008-03-03,9.69,9.77,9.55,9.75,138300,0.0,0.0
2008-03-04,9.7,9.7,9.43,9.56,172500,0.0,0.0
2008-03-05,9.58,9.88,9.55,9.77,130800,0.0,0.0
2008-03-06,9.74,9.76,9.57,9.57,17100,0.0,0.0
2008-03-07,9.59,9.77,9.59,9.64,22500,0.0,0.0
2008-03-10,9.73,9.84,9.33,9.37,50700,0.0,0.0
2008-03-11,9.55,9.93,9.54,9.89,48300,0.0,0.0
2008-03-12,9.93,9.95,9.79,9.93,11700,0.0,0.0
2008-03-13,9.85,9.9,9.72,9.9,11700,0.0,0.0
2008-03-14,10.07,10.2,9.78,9.92,88800,0.0,0.0
2008-03-17,9.92,10.74,9.33,10.22,64800,1.39437,0.0
2008-03-18,10.45,10.48,9.87,10.22,63000,0.0,0.0
2008-03-19,10.19,10.19,9.65,9.96,37800,0.0,0.0
2008-03-20,9.93,9.93,9.39,9.67,102300,0.0,0.0
2008-03-24,9.58,9.7,9.44,9.44,39600,0.0,0.0
2008-03-25,9.53,9.75,9.48,9.74,30300,0.0,0.0
2008-03-26,9.55,9.55,9.27,9.45,25200,0.0,0.0
2008-03-27,9.53,9.77,9.53,9.74,25500,0.0,0.0
2008-03-28,9.93,9.93,9.58,9.73,36000,0.0,0.0
2008-03-31,9.77,9.9,9.72,9.8,33600,0.0,0.0
2008-04-01,9.8,9.83,9.63,9.77,32700,0.0,0.0
2008-04-02,9.84,9.94,9.7,9.72,71100,0.0,0.0
2008-04-03,9.77,10.1,9.73,9.83,43500,0.0,0.0
2008-04-04,9.93,10.05,9.9,10.05,14100,0.0,0.0
2008-04-07,10.23,10.24,9.96,10.03,28200,0.0,0.0
2008-04-08,9.89,10.19,9.77,9.91,30600,0.0,0.0
2008-04-09,9.91,10.16,9.79,10.05,13800,0.0,0.0
2008-04-10,10.16,10.17,9.82,10.14,32700,0.0,0.0
2008-04-11,9.82,9.86,9.63,9.75,105300,0.0,0.0
2008-04-14,9.8,10.1,9.58,9.63,25500,0.0,0.0
2008-04-15,9.4,9.55,9.38,9.38,21900,0.0,0.0
2008-04-16,9.36,9.49,9.22,9.39,37800,0.0,0.0
2008-04-17,9.32,9.37,9.19,9.32,89700,0.0,0.0
2008-04-18,9.4,9.6,9.3,9.58,37800,0.0,0.0
2008-04-21,9.58,9.72,9.4,9.43,47700,0.0,0.0
2008-04-22,9.49,9.77,9.46,9.61,24600,0.0,0.0
2008-04-23,9.68,10.3,9.59,9.95,94800,0.0,0.0
2008-04-24,10.18,10.18,9.51,9.56,42300,0.0,0.0
2008-04-25,9.58,9.63,9.51,9.62,39300,0.0,0.0
2008-04-28,9.53,9.96,9.37,9.43,59400,0.0,0.0
2008-04-29,9.31,9.4,9.19,9.25,78000,0.0,0.0
2008-04-30,9.18,9.44,9.18,9.44,17700,0.0,0.0
2008-05-01,9.54,9.87,9.54,9.67,57900,0.0,0.0
2008-05-02,9.72,9.72,9.41,9.49,23700,0.0,0.0
2008-05-05,9.54,9.58,9.2,9.44,59700,0.0,0.0
2008-05-06,9.51,9.62,9.4,9.47,134700,0.0,0.0
2008-05-07,9.68,9.86,9.27,9.27,123000,0.0,0.0
2008-05-08,9.38,9.45,9.2,9.31,60600,0.0,0.0
2008-05-09,9.33,9.45,9.07,9.4,82800,0.0,0.0
2008-05-12,9.35,9.45,9.17,9.32,59400,0.0,0.0
2008-05-13,9.4,9.47,9.24,9.33,67200,0.0,0.0
2008-05-14,9.45,9.45,9.25,9.28,41400,0.0,0.0
2008-05-15,9.26,9.35,9.13,9.35,39000,0.0,0.0
