Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,28.19,28.25,27.15,27.31,354600,0.0,0
2008-01-03,27.35,27.54,27.03,27.06,388400,0.0,0
2008-01-04,26.75,26.75,26.08,26.17,392500,0.0,0
2008-01-07,26.2,26.61,25.97,26.49,486100,0.0,0
2008-01-08,26.58,26.75,26.15,26.2,325100,0.0,0
2008-01-09,26.32,26.85,25.84,26.15,572400,0.0,0
2008-01-10,25.91,26.3,25.72,26.15,327300,0.0,0
2008-01-11,25.97,25.99,25.68,25.73,210200,0.0,0
2008-01-14,25.85,26.09,25.85,26.02,353900,0.0,0
2008-01-15,25.79,25.9,25.29,25.31,357100,0.0,0
2008-01-16,25.24,25.51,25.03,25.07,288100,0.0,0
2008-01-17,25.13,25.31,24.69,24.74,337400,0.0,0
2008-01-18,24.79,25.0,24.56,24.78,378100,0.0,0
2008-01-22,24.39,24.95,23.71,23.73,652900,0.0,0
2008-01-23,23.27,24.3,23.26,24.22,516500,0.0,0
2008-01-24,24.38,24.97,23.94,24.93,382300,0.0,0
2008-01-25,25.09,25.23,24.76,25.06,371400,0.0,0
2008-01-28,25.06,25.79,24.83,25.79,385500,0.0,0
2008-01-29,25.97,26.06,25.45,25.77,285700,0.0,0
2008-01-30,25.62,26.13,25.47,25.85,288500,0.0,0
2008-01-31,27.03,28.87,26.6,28.72,1234800,0.0,0
2008-02-01,29.1,31.18,29.09,31.02,1453700,0.1,0
2008-02-04,30.89,30.89,29.88,30.0,432200,0.0,0
2008-02-05,29.53,30.01,29.32,29.63,443700,0.0,0
2008-02-06,29.73,29.74,28.81,28.82,422100,0.0,0
2008-02-07,28.7,30.09,28.28,29.77,506800,0.0,0
2008-02-08,29.53,29.84,29.02,29.51,348700,0.0,0
2008-02-11,29.62,30.01,29.02,29.85,354200,0.0,0
2008-02-12,30.12,30.43,29.97,30.26,331600,0.0,0
2008-02-13,30.5,30.84,30.47,30.83,348900,0.0,0
2008-02-14,30.83,30.86,30.28,30.33,338200,0.0,0
2008-02-15,30.15,30.39,29.91,30.09,205300,0.0,0
2008-02-19,30.35,30.48,29.74,30.03,255600,0.0,0
2008-02-20,30.03,30.88,29.97,30.88,585900,0.0,0
2008-02-21,30.68,30.98,30.4,30.53,354800,0.0,0
2008-02-22,30.66,30.66,29.93,30.57,234600,0.0,0
2008-02-25,30.98,32.42,30.98,32.26,1056200,0.0,0
2008-02-26,33.3,33.3,31.87,32.19,690500,0.0,0
2008-02-27,31.99,32.68,31.99,32.63,441800,0.0,0
2008-02-28,32.39,32.48,31.92,32.12,276000,0.0,0
2008-02-29,32.0,32.04,31.51,31.79,373900,0.0,0
2008-03-03,31.79,32.53,31.67,32.32,453600,0.0,0
2008-03-04,31.97,32.29,31.59,32.23,798100,0.0,0
2008-03-05,32.21,32.38,31.78,32.04,336900,0.0,0
2008-03-06,31.72,32.06,31.19,31.3,519000,0.0,0
2008-03-07,31.11,31.3,30.8,30.96,307900,0.0,0
2008-03-10,31.2,31.42,30.6,30.71,470400,0.0,0
2008-03-11,31.27,31.27,30.63,31.08,580500,0.0,0
2008-03-12,31.19,31.75,30.99,31.4,376500,0.0,0
2008-03-13,31.16,32.03,30.99,31.86,503300,0.0,0
2008-03-14,31.98,31.98,30.85,31.12,340600,0.0,0
2008-03-17,30.4,30.97,30.09,30.5,341300,0.0,0
2008-03-18,30.88,32.12,30.83,31.99,725100,0.0,0
2008-03-19,32.12,32.26,30.92,30.92,447000,0.0,0
2008-03-20,30.81,31.4,30.67,31.24,518800,0.0,0
2008-03-24,31.36,31.85,31.36,31.73,392800,0.0,0
2008-03-25,31.73,32.01,31.63,31.93,438600,0.0,0
2008-03-26,31.67,32.02,31.59,31.99,393500,0.0,0
2008-03-27,32.0,32.11,31.6,31.67,328300,0.0,0
2008-03-28,31.72,31.92,31.42,31.5,259100,0.0,0
2008-03-31,31.5,31.91,31.5,31.91,483400,0.0,0
2008-04-01,32.26,32.47,31.9,32.33,1033900,0.0,0
2008-04-02,32.4,32.4,31.69,31.89,614800,0.0,0
2008-04-03,31.64,31.81,31.34,31.64,355200,0.0,0
2008-04-04,31.54,32.18,31.47,31.99,242400,0.0,0
2008-04-07,32.23,32.25,31.72,31.78,237100,0.0,0
2008-04-08,31.62,32.74,31.57,32.74,1118200,0.0,0
2008-04-09,32.75,32.88,31.77,32.06,588500,0.0,0
2008-04-10,32.0,32.85,31.95,32.6,869100,0.0,0
2008-04-11,32.3,32.65,32.06,32.22,350200,0.0,0
2008-04-14,32.27,32.28,31.88,31.9,453500,0.0,0
2008-04-15,32.0,32.18,31.53,31.62,441000,0.0,0
2008-04-16,31.79,32.46,31.62,32.41,481200,0.0,0
2008-04-17,32.22,32.58,32.04,32.43,211700,0.0,0
2008-04-18,32.84,33.19,32.7,32.75,376800,0.0,0
2008-04-21,32.44,33.27,32.28,33.25,450000,0.0,0
2008-04-22,33.13,33.68,33.0,33.46,646500,0.0,0
2008-04-23,33.61,33.83,33.51,33.77,650600,0.0,0
2008-04-24,33.77,34.3,33.73,34.21,791700,0.0,0
2008-04-25,34.3,34.3,33.98,34.24,471000,0.0,0
2008-04-28,34.31,34.31,33.75,34.07,594600,0.0,0
2008-04-29,33.89,34.25,33.87,34.14,531900,0.0,0
2008-04-30,35.03,35.44,34.49,34.56,2142800,0.0,0
2008-05-01,34.73,34.89,34.41,34.77,842200,0.0,0
2008-05-02,34.94,34.94,34.04,34.2,388800,0.0,0
2008-05-05,33.83,34.21,33.79,33.94,295600,0.0,0
2008-05-06,33.82,34.47,33.68,34.37,356500,0.0,0
2008-05-07,34.35,34.6,34.02,34.2,348200,0.0,0
2008-05-08,34.56,34.56,34.0,34.19,267000,0.0,0
