Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,4.58,4.58,4.58,4.58,0,0,0
2008-01-03,38.67,38.67,38.67,38.67,67,0,0
2008-01-04,0.61,0.61,0.61,0.61,1200,0,0
2008-01-07,6.45,6.45,6.45,6.45,45,0,0
2008-01-08,29.0,29.0,29.0,29.0,1000,0,0
2008-01-09,1.07,1.07,1.07,1.07,5,0,0
2008-01-10,0.6,0.6,0.6,0.6,3000,0,0
2008-01-11,0.3,0.3,0.3,0.3,3000,0,0
2008-01-14,12.72,12.72,12.72,12.72,260,0,0
2008-01-15,0.16,0.16,0.16,0.16,25,0,0
2008-01-16,12.23,12.23,12.23,12.23,90,0,0
2008-01-17,0.78,0.78,0.78,0.78,100,0,0
2008-01-18,26.12,26.12,26.12,26.12,20,0,0
2008-01-22,17.1,17.1,17.1,17.1,200,0,0
2008-01-23,0.8,0.8,0.8,0.8,50,0,0
2008-01-24,97.0,97.0,97.0,97.0,5,0,0
2008-01-25,11.61,11.61,11.61,11.61,15,0,0
2008-01-28,0.27,0.27,0.27,0.27,30,0,0
2008-01-29,1.03,1.03,1.03,1.03,450,0,0
2008-01-30,19.3,19.3,19.3,19.3,300,0,0
2008-01-31,3.51,3.51,3.51,3.51,90,0,0
2008-02-01,5.21,5.21,5.21,5.21,120,0,0
2008-02-04,2.91,2.91,2.91,2.91,2000,0,0
2008-02-05,0.52,0.52,0.52,0.52,60,0,0
2008-02-06,34.3,34.3,34.3,34.3,252,0,0
2008-02-07,631.0,631.0,631.0,631.0,0,0,0
2008-02-08,22.27,22.27,22.27,22.27,240,0,0
2008-02-11,3.54,3.54,3.54,3.54,2300,0,0
2008-02-12,14.33,14.33,14.33,14.33,104,0,0
2008-02-13,0.23,0.23,0.23,0.23,12100,0,0
2008-02-14,3.43,3.43,3.43,3.43,250,0,0
2008-02-15,697.0,708.0,697.0,708.0,0,0,0
2008-02-19,1.34,1.34,1.34,1.34,200,0,0
2008-02-20,0.95,0.95,0.95,0.95,509,0,0
2008-02-21,1.65,1.65,1.65,1.65,1028,0,0
2008-02-22,6.68,6.68,6.68,6.68,500,0,0
2008-02-25,2.71,2.71,2.71,2.71,300,0,0
2008-02-26,23.5,23.5,23.5,23.5,60,0,0
2008-02-27,1.02,1.02,1.02,1.02,70,0,0
2008-02-28,3.0,3.0,3.0,3.0,190,0,0
2008-02-29,4.85,4.85,4.85,4.85,20,0,0
2008-03-03,0.08,0.08,0.08,0.08,115,0,0
2008-03-04,40.35,40.35,40.35,40.35,3,0,0
2008-03-05,14.06,14.06,14.06,14.06,200,0,0
2008-03-06,3.41,3.41,3.41,3.41,50,0,0
2008-03-07,1.89,1.89,1.89,1.89,5000,0,0
2008-03-10,3.28,3.28,3.28,3.28,370,0,0
2008-03-11,27.1,27.1,27.1,27.1,160,0,0
2008-03-12,0.48,0.48,0.48,0.48,1590,0,0
2008-03-13,1.63,1.63,1.63,1.63,7000,0,0
2008-03-14,50.41,50.41,50.41,50.41,10,0,0
2008-03-17,2.67,2.67,2.67,2.67,200,0,0
2008-03-18,783.0,783.0,783.0,783.0,1,0,0
2008-03-19,20.85,20.85,20.85,20.85,3930,0,0
2008-03-20,1.54,1.54,1.54,1.54,40,0,0
2008-03-25,0.37,0.37,0.37,0.37,1000,0,0
2008-03-26,4.58,4.58,4.58,4.58,60,0,0
2008-03-27,5.0,5.0,5.0,5.0,0,0,0
2008-03-28,7.8,7.8,7.8,7.8,420,0,0
2008-03-31,5.53,5.53,5.53,5.53,500,0,0
2008-04-01,5.09,5.09,5.09,5.09,0,0,0
2008-04-02,10.0,10.0,10.0,10.0,200,0,0
2008-04-03,5.09,5.09,5.09,5.09,200,0,0
2008-04-04,1.44,1.44,1.44,1.44,2,0,0
2008-04-07,4.2,4.2,4.2,4.2,49,0,0
2008-04-08,4.02,4.02,4.02,4.02,29,0,0
2008-04-09,599.99,599.99,599.99,599.99,150,0,0
2008-04-10,12.75,12.75,12.75,12.75,50,0,0
2008-04-11,10.5,10.5,10.5,10.5,65,0,0
