Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,9.03,9.1,8.86,8.92,788000,0.44,0
2008-01-03,8.89,8.98,8.61,8.63,902800,0.0,0
2008-01-04,8.59,8.59,8.35,8.41,1030200,0.0,0
2008-01-07,8.47,8.65,8.34,8.58,969000,0.0,0
2008-01-08,8.59,8.83,8.24,8.25,898000,0.0,0
2008-01-09,8.23,8.4,7.95,8.36,1234000,0.0,0
2008-01-10,8.27,8.64,8.12,8.47,1191800,0.0,0
2008-01-11,8.46,8.7,8.19,8.46,893200,0.0,0
2008-01-14,8.54,8.64,8.34,8.58,950200,0.0,0
2008-01-15,8.45,8.53,8.34,8.44,838000,0.0,0
2008-01-16,8.41,8.68,8.39,8.6,1487900,0.0,0
2008-01-17,8.54,8.57,8.22,8.26,1002300,0.0,0
2008-01-18,8.32,8.41,7.95,8.05,2900100,0.0,0
2008-01-22,7.84,8.26,7.78,8.17,2297200,0.0,0
2008-01-23,8.03,8.98,7.86,8.93,1976700,0.0,0
2008-01-24,9.01,9.13,8.7,8.99,1598900,0.0,0
2008-01-25,9.05,9.29,8.96,9.1,1681600,0.0,0
2008-01-28,9.13,9.51,8.96,9.5,698100,0.0,0
2008-01-29,9.52,9.65,9.26,9.56,800700,0.0,0
2008-01-30,9.55,9.74,9.4,9.52,1838400,0.0,0
2008-01-31,9.42,9.73,9.39,9.65,1184800,0.0,0
2008-02-01,9.69,9.95,9.62,9.95,1281000,0.0,0
2008-02-04,9.9,10.0,9.64,9.82,889000,0.0,0
2008-02-05,9.61,9.87,9.5,9.66,2038000,0.0,0
2008-02-06,9.75,9.79,9.42,9.42,733800,0.0,0
2008-02-07,9.39,9.72,9.36,9.72,644700,0.0,0
2008-02-08,9.64,9.71,9.4,9.46,748700,0.0,0
2008-02-11,9.45,9.49,9.15,9.17,931100,0.0,0
2008-02-12,8.89,9.23,8.77,9.18,2608400,0.0,0
2008-02-13,9.19,9.32,8.96,9.05,1681800,0.0,0
2008-02-14,9.13,9.15,8.7,8.72,1427700,0.0,0
2008-02-15,8.67,8.74,8.59,8.7,1426600,0.0,0
2008-02-19,8.87,8.89,8.55,8.58,1051200,0.0,0
2008-02-20,8.43,8.58,8.36,8.48,2303500,0.0,0
2008-02-21,9.21,9.21,8.46,8.55,3698900,0.0,0
2008-02-22,8.55,8.58,8.42,8.57,1900100,0.0,0
2008-02-25,8.57,8.72,8.45,8.71,3363300,0.0,0
2008-02-26,8.71,8.83,8.62,8.72,1926500,0.0,0
2008-02-27,8.67,8.79,8.57,8.77,2189900,0.0,0
2008-02-28,8.72,8.77,8.58,8.58,800000,0.0,0
2008-02-29,8.49,8.61,8.47,8.59,1261500,0.0,0
2008-03-03,8.64,8.77,8.45,8.7,1166800,0.0,0
2008-03-04,8.65,8.77,8.5,8.71,1287500,0.0,0
2008-03-05,8.74,8.89,8.66,8.8,996400,0.0,0
2008-03-06,8.52,8.53,8.23,8.25,1950600,0.0,0
2008-03-07,8.23,8.47,8.08,8.34,1020300,0.0,0
2008-03-10,8.37,8.42,8.16,8.18,783400,0.0,0
2008-03-11,8.36,8.79,8.24,8.79,1198800,0.0,0
2008-03-12,8.77,8.94,8.58,8.61,837200,0.0,0
2008-03-13,8.56,8.8,8.33,8.79,1022500,0.0,0
2008-03-14,8.81,8.95,8.43,8.64,1174000,0.0,0
2008-03-17,8.51,8.78,8.36,8.61,794300,0.0,0
2008-03-18,8.77,8.85,8.45,8.79,752700,0.0,0
2008-03-19,8.8,8.9,8.61,8.64,763100,0.0,0
2008-03-20,8.65,8.92,8.62,8.89,977000,0.0,0
2008-03-24,8.95,9.04,8.88,9.0,982300,0.0,0
2008-03-25,9.05,9.08,8.84,9.05,821000,0.0,0
2008-03-26,9.01,9.03,8.83,8.87,571300,0.0,0
2008-03-27,8.99,8.99,8.59,8.63,596500,0.0,0
2008-03-28,8.74,8.74,8.49,8.53,556700,0.0,0
2008-03-31,8.6,8.96,8.5,8.7,1350000,0.0,0
2008-04-01,8.73,9.02,8.73,9.01,1790500,0.0,0
2008-04-02,9.13,9.17,8.73,8.99,1347300,0.44,0
2008-04-03,8.89,9.41,8.89,9.34,869200,0.0,0
2008-04-04,9.34,9.57,9.27,9.39,1044300,0.0,0
2008-04-07,9.47,9.48,9.31,9.45,840900,0.0,0
2008-04-08,9.47,9.47,9.24,9.27,569400,0.0,0
2008-04-09,9.27,9.33,8.89,8.94,689000,0.0,0
2008-04-10,8.91,9.09,8.83,8.98,624400,0.0,0
2008-04-11,8.87,9.06,8.81,8.91,921300,0.0,0
2008-04-14,8.87,9.0,8.82,8.9,489400,0.0,0
2008-04-15,8.98,9.01,8.82,8.98,407200,0.0,0
