Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,27.08,27.17,26.63,26.99,4584600,0.0,0.0
2008-01-03,27.08,27.21,26.2,26.43,3811200,0.0,0.0
2008-01-04,26.11,26.34,25.22,25.34,6448500,0.0,0.0
2008-01-07,25.55,25.83,24.87,25.75,6685500,0.0,0.0
2008-01-08,25.9,25.98,24.4,24.51,6946500,0.0,0.0
2008-01-09,24.44,24.88,23.63,24.21,10011600,0.0,0.0
2008-01-10,23.98,25.55,23.62,25.16,6967200,0.0,0.0
2008-01-11,24.81,25.03,23.97,24.22,7614000,0.0,0.0
2008-01-14,24.37,24.53,23.92,24.1,4925700,0.0,0.0
2008-01-15,23.74,23.87,22.89,23.28,8213700,0.0,0.0
2008-01-16,23.17,23.5,22.32,22.39,10097700,0.0,0.0
2008-01-17,22.27,22.3,20.94,20.99,15749400,0.0,0.0
2008-01-18,21.24,21.7,20.93,21.5,11879700,0.0,0.0
2008-01-22,20.42,21.93,20.18,21.43,9746700,0.0,0.0
2008-01-23,21.08,22.36,21.07,22.32,11303700,0.0,0.0
2008-01-24,22.43,23.84,22.43,23.48,10784700,0.0,0.0
2008-01-25,23.86,24.45,23.27,23.36,11354400,0.0,0.0
2008-01-28,23.44,23.81,22.88,23.79,4602600,0.0,0.0
2008-01-29,23.89,24.08,23.37,24.02,4526400,0.0,0.0
2008-01-30,23.91,24.61,23.68,24.0,7166700,0.0,0.0
2008-01-31,23.55,24.93,23.44,24.71,7045200,0.0,0.0
2008-02-01,24.9,25.34,24.78,25.32,4550400,0.0,0.0
2008-02-04,25.23,25.29,24.76,24.9,2520000,0.0,0.0
2008-02-05,24.18,24.37,23.55,23.58,5038200,0.0,0.0
2008-02-06,23.56,24.07,23.07,23.11,4087200,0.0,0.0
2008-02-07,23.03,23.94,22.84,23.63,3672000,0.0,0.0
2008-02-08,23.39,23.5,23.05,23.19,4072800,0.0,0.0
2008-02-11,23.16,23.29,22.6,23.12,6257100,0.0,0.0
2008-02-12,23.22,23.57,22.83,23.07,4573500,0.0,0.0
2008-02-13,23.07,23.63,22.94,23.54,5290500,0.0,0.0
2008-02-14,23.54,23.63,23.04,23.13,3803400,0.0,0.0
2008-02-15,22.98,23.11,22.56,23.01,3866100,0.0,0.0
2008-02-19,23.3,23.62,22.85,22.98,5051100,0.0,0.0
2008-02-20,22.82,23.25,22.49,23.18,5714100,0.0,0.0
2008-02-21,23.21,23.44,22.74,22.8,3602100,0.0,0.0
2008-02-22,22.85,23.06,22.3,23.06,5267100,0.0,0.0
2008-02-25,23.03,23.66,22.79,23.6,5064900,0.0,0.0
2008-02-26,23.45,24.28,23.39,23.93,4562100,0.0,0.0
2008-02-27,23.72,24.74,23.65,24.32,4730700,0.0,0.0
2008-02-28,24.06,24.11,23.43,23.51,4159200,0.0,0.0
2008-02-29,23.3,23.3,22.33,22.4,5505300,0.0,0.0
2008-03-03,22.34,22.52,22.12,22.34,6922200,0.0,0.0
2008-03-04,22.12,22.4,21.79,22.31,6128100,0.0,0.0
2008-03-05,22.56,22.74,22.18,22.41,6419400,0.0,0.0
2008-03-06,22.19,22.31,21.4,21.41,5119500,0.0,0.0
2008-03-07,21.19,21.95,20.92,21.3,5259900,0.0,0.0
2008-03-10,21.25,21.58,20.7,20.71,6859800,0.0,0.0
2008-03-11,21.73,22.46,21.25,22.43,8400000,0.0,0.0
2008-03-12,22.38,22.93,22.04,22.14,5838600,0.0,0.0
2008-03-13,21.79,22.43,21.26,22.16,7630200,0.0,0.0
2008-03-14,22.25,22.44,21.11,21.47,6617400,0.0,0.0
2008-03-17,19.77,21.57,19.77,21.24,8133600,0.0,0.0
2008-03-18,21.69,22.74,21.64,22.73,9124800,0.0,0.0
2008-03-19,23.09,23.15,22.07,22.11,5459100,0.0,0.0
2008-03-20,22.22,23.58,22.09,23.54,6835800,0.0,0.0
2008-03-24,23.68,24.93,23.44,24.38,6957300,0.0,0.0
2008-03-25,24.35,25.1,24.21,24.67,5304000,0.0,0.0
2008-03-26,24.45,24.45,23.59,23.89,6247200,0.06667,0.0
2008-03-27,24.13,24.28,23.59,23.66,6100200,0.0,0.0
2008-03-28,23.61,23.79,22.5,22.51,5794200,0.0,0.0
2008-03-31,22.5,23.41,22.29,23.07,5216700,0.0,0.0
2008-04-01,23.48,24.88,23.4,24.88,5208300,0.0,0.0
2008-04-02,24.85,25.02,24.33,24.46,4756200,0.0,0.0
2008-04-03,24.36,25.05,24.14,24.59,3541500,0.0,0.0
2008-04-04,24.54,24.62,24.0,24.08,2958000,0.0,0.0
2008-04-07,24.27,24.66,23.99,24.14,4172400,0.0,0.0
2008-04-08,24.42,25.03,24.33,24.74,5401800,0.0,0.0
2008-04-09,24.87,24.87,23.69,23.69,5235900,0.0,0.0
2008-04-10,23.74,24.35,23.58,23.99,5425800,0.0,0.0
2008-04-11,23.64,23.9,23.23,23.26,5143500,0.0,0.0
2008-04-14,23.09,23.35,22.87,22.89,3708600,0.0,0.0
2008-04-15,23.06,23.38,22.96,23.33,3741900,0.0,0.0
2008-04-16,23.58,24.64,23.54,24.59,4761900,0.0,0.0
2008-04-17,24.49,24.69,23.95,24.32,5602500,0.0,0.0
