Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,15.73,15.76,15.21,15.52,767900,0.0,0
2008-01-03,15.52,15.86,15.37,15.38,605500,0.0,0
2008-01-04,15.2,15.27,14.64,14.83,619000,0.0,0
2008-01-07,14.87,15.06,14.62,14.99,804000,0.0,0
2008-01-08,15.1,15.3,14.4,14.49,837800,0.0,0
2008-01-09,14.43,14.52,13.79,14.27,701200,0.0,0
2008-01-10,14.07,14.27,13.79,13.99,710300,0.0,0
2008-01-11,13.77,13.99,13.34,13.4,870400,0.0,0
2008-01-14,13.53,13.58,13.29,13.42,516600,0.0,0
2008-01-15,13.21,13.26,12.7,12.71,645800,0.0,0
2008-01-16,12.71,12.97,12.2,12.32,1101200,0.0,0
2008-01-17,12.13,12.54,11.42,11.88,1899800,0.0,0
2008-01-18,11.85,12.22,11.41,11.92,1429800,0.0,0
2008-01-22,11.4,12.33,11.4,11.93,1365400,0.0,0
2008-01-23,11.67,12.97,11.56,12.7,1833200,0.0,0
2008-01-24,12.8,13.18,12.68,13.0,1234300,0.0,0
2008-01-25,13.14,13.23,12.86,13.05,1428900,0.0,0
2008-01-28,13.0,13.5,12.96,13.42,1132800,0.0,0
2008-01-29,13.49,13.74,13.39,13.61,564900,0.0,0
2008-01-30,13.54,14.28,13.48,13.69,978000,0.0,0
2008-01-31,13.62,14.64,13.37,14.54,1040400,0.0,0
2008-02-01,14.57,15.6,14.57,15.54,1434400,0.0,0
2008-02-04,15.46,15.47,14.5,14.52,664600,0.0,0
2008-02-05,14.26,14.39,13.77,13.81,680100,0.0,0
2008-02-06,13.95,14.42,13.76,13.95,596600,0.0,0
2008-02-07,13.85,14.18,13.81,14.14,486600,0.0,0
2008-02-08,14.09,14.17,13.67,13.79,316500,0.0,0
2008-02-11,13.74,13.88,13.6,13.78,472700,0.0,0
2008-02-12,13.84,14.04,13.63,13.89,412400,0.0,0
2008-02-13,14.05,14.33,13.92,14.32,652000,0.0,0
2008-02-14,14.34,14.34,13.65,13.69,483000,0.0,0
2008-02-15,13.6,13.93,13.59,13.91,576200,0.0,0
2008-02-19,14.07,14.07,12.68,12.8,1450200,0.0,0
2008-02-20,12.65,13.14,12.55,13.14,668300,0.0,0
2008-02-21,13.21,13.42,12.86,12.94,618800,0.0,0
2008-02-22,12.96,13.09,12.52,12.95,667100,0.0,0
2008-02-25,12.89,13.23,12.73,13.19,422800,0.0,0
2008-02-26,13.08,13.65,13.08,13.47,530900,0.0,0
2008-02-27,13.3,13.42,13.01,13.33,624200,0.0,0
2008-02-28,13.25,13.25,12.87,13.02,527700,0.22,0
2008-02-29,12.88,12.95,12.56,12.61,434400,0.0,0
2008-03-03,12.69,12.85,12.46,12.65,459600,0.0,0
2008-03-04,12.55,12.69,12.34,12.6,778300,0.0,0
2008-03-05,12.61,12.61,12.23,12.32,595900,0.0,0
2008-03-06,12.22,12.44,12.01,12.06,564800,0.0,0
2008-03-07,11.99,12.3,11.91,12.08,356100,0.0,0
2008-03-10,12.15,12.18,11.7,11.79,369000,0.0,0
2008-03-11,12.15,12.49,11.93,12.44,478600,0.0,0
2008-03-12,12.42,12.53,12.05,12.05,394800,0.0,0
2008-03-13,11.86,12.39,11.64,12.34,420000,0.0,0
2008-03-14,12.36,12.37,11.71,11.89,527900,0.0,0
2008-03-17,11.79,12.03,11.64,11.86,687300,0.0,0
2008-03-18,12.16,12.26,11.71,12.23,954000,0.0,0
2008-03-19,12.3,12.75,12.3,12.44,781000,0.0,0
2008-03-20,12.65,12.84,12.23,12.76,1012900,0.0,0
2008-03-24,12.85,13.27,12.69,13.18,527000,0.0,0
2008-03-25,13.11,13.69,12.98,13.69,933900,0.0,0
2008-03-26,13.57,13.57,13.08,13.17,699700,0.0,0
2008-03-27,13.22,13.23,12.61,12.64,675900,0.0,0
2008-03-28,12.7,12.74,12.52,12.56,299600,0.0,0
2008-03-31,12.59,12.7,12.52,12.63,956600,0.0,0
2008-04-01,12.49,13.06,12.49,12.99,769300,0.0,0
2008-04-02,13.01,13.38,12.97,13.23,523400,0.0,0
2008-04-03,13.09,13.33,12.99,13.27,278700,0.0,0
2008-04-04,13.33,13.4,13.02,13.15,421000,0.0,0
2008-04-07,13.32,13.35,12.99,13.08,280300,0.0,0
2008-04-08,13.03,13.3,12.93,13.21,316000,0.0,0
2008-04-09,13.27,13.4,12.89,12.92,334100,0.0,0
2008-04-10,12.97,13.28,12.87,13.15,391800,0.0,0
2008-04-11,12.97,12.99,12.71,12.73,647900,0.0,0
2008-04-14,12.79,12.84,12.3,12.33,866100,0.0,0
2008-04-15,12.34,12.46,12.25,12.36,569000,0.0,0
2008-04-16,12.52,12.92,12.02,12.19,1555300,0.0,0
2008-04-17,10.38,11.46,10.37,10.45,4596400,0.0,0
2008-04-18,10.67,10.78,10.38,10.5,2105800,0.0,0
2008-04-21,10.55,10.55,10.22,10.34,3101200,0.0,0
2008-04-22,10.35,10.35,9.81,9.83,1864000,0.0,0
2008-04-23,9.89,9.89,9.61,9.68,915600,0.0,0
2008-04-24,9.77,10.04,9.58,9.92,1027500,0.0,0
2008-04-25,9.91,10.02,9.88,9.91,943800,0.0,0
2008-04-28,9.88,10.33,9.85,10.31,1066100,0.0,0
2008-04-29,10.31,10.83,10.31,10.65,1320400,0.0,0
2008-04-30,10.72,10.93,10.63,10.74,1152700,0.0,0
2008-05-01,10.84,11.12,10.72,11.07,659400,0.0,0
2008-05-02,11.13,11.22,10.9,10.97,972200,0.0,0
2008-05-05,10.88,10.96,10.83,10.9,621600,0.0,0
2008-05-06,10.94,11.27,10.83,11.22,862700,0.0,0
2008-05-07,11.29,11.29,10.97,11.02,903100,0.0,0
2008-05-08,11.07,11.09,10.8,10.92,644700,0.0,0
2008-05-09,10.95,11.17,10.87,11.11,479700,0.0,0
2008-05-12,11.15,11.33,11.1,11.29,638500,0.0,0
2008-05-13,11.36,11.43,11.25,11.29,721600,0.0,0
2008-05-14,11.31,11.41,11.2,11.22,677600,0.0,0
2008-05-15,11.24,11.4,11.15,11.31,585700,0.0,0
2008-05-16,11.29,11.36,10.99,11.19,650100,0.0,0
2008-05-19,11.27,11.41,11.07,11.15,653600,0.0,0
2008-05-20,11.05,11.13,10.62,10.74,981300,0.0,0
2008-05-21,10.79,10.87,10.38,10.44,646400,0.0,0
2008-05-22,10.53,10.72,10.44,10.58,695700,0.0,0
2008-05-23,10.55,10.56,10.32,10.39,307000,0.0,0
2008-05-27,10.36,10.61,10.21,10.48,540900,0.0,0
2008-05-28,10.54,10.74,10.33,10.42,938300,0.0,0
2008-05-29,10.48,10.84,10.4,10.73,624500,0.22,0
2008-05-30,10.6,10.71,10.53,10.56,445100,0.0,0
2008-06-02,10.53,10.71,10.18,10.4,674600,0.0,0
2008-06-03,10.52,10.77,10.44,10.75,982000,0.0,0
2008-06-04,10.73,11.11,10.66,11.04,680500,0.0,0
2008-06-05,11.09,11.23,10.96,11.23,673800,0.0,0
2008-06-06,11.03,11.13,10.53,10.55,686900,0.0,0
2008-06-09,10.56,10.6,10.14,10.28,662400,0.0,0
2008-06-10,10.23,10.3,10.05,10.18,475000,0.0,0
2008-06-11,10.22,10.22,9.87,9.87,535800,0.0,0
2008-06-12,9.9,10.2,9.88,9.96,530400,0.0,0
2008-06-13,10.03,10.18,9.94,10.14,415900,0.0,0
2008-06-16,10.1,10.17,9.96,10.06,451900,0.0,0
2008-06-17,10.05,10.15,9.92,10.11,654000,0.0,0
2008-06-18,10.1,10.2,9.97,9.99,706000,0.0,0
2008-06-19,10.02,10.17,9.85,10.07,875300,0.0,0
2008-06-20,10.02,10.13,9.88,10.05,980700,0.0,0
2008-06-23,10.14,10.26,10.0,10.05,551300,0.0,0
2008-06-24,9.97,9.97,9.69,9.77,500800,0.0,0
2008-06-25,9.85,10.08,9.67,9.8,785600,0.0,0
2008-06-26,9.8,9.8,9.23,9.24,813000,0.0,0
2008-06-27,9.29,9.43,9.17,9.32,975500,0.0,0
2008-06-30,9.34,9.5,9.08,9.08,695200,0.0,0
2008-07-01,8.97,9.27,8.86,9.25,991800,0.0,0
2008-07-02,9.28,9.64,8.86,8.9,589300,0.0,0
2008-07-03,8.96,8.97,8.65,8.67,392500,0.0,0
2008-07-07,8.74,9.09,8.52,8.63,805400,0.0,0
2008-07-08,8.63,8.82,8.4,8.81,809900,0.0,0
2008-07-09,8.81,8.84,8.51,8.58,841800,0.0,0
2008-07-10,8.55,8.71,8.38,8.59,1480400,0.0,0
2008-07-11,8.49,8.67,8.23,8.44,746400,0.0,0
2008-07-14,8.59,8.63,8.3,8.46,895200,0.0,0
2008-07-15,8.39,8.59,8.02,8.29,877100,0.0,0
2008-07-16,8.25,8.51,8.24,8.49,823000,0.0,0
2008-07-17,8.54,9.37,8.44,9.16,1544300,0.0,0
2008-07-18,9.22,9.48,9.14,9.36,1150400,0.0,0
2008-07-21,9.46,9.97,9.44,9.74,914000,0.0,0
2008-07-22,9.67,9.95,9.62,9.95,959600,0.0,0
2008-07-23,9.96,10.65,9.93,10.55,1233400,0.0,0
2008-07-24,10.61,10.71,10.05,10.09,689900,0.0,0
2008-07-25,10.23,10.53,10.15,10.38,749600,0.0,0
2008-07-28,10.38,10.53,10.23,10.28,774100,0.0,0
2008-07-29,10.38,10.4,10.18,10.23,1050000,0.0,0
2008-07-30,10.31,10.41,9.95,10.04,1096200,0.0,0
2008-07-31,10.05,10.05,9.67,9.7,797600,0.0,0
2008-08-01,9.8,10.0,9.52,9.77,654600,0.0,0
2008-08-04,9.85,9.87,9.55,9.68,678800,0.0,0
2008-08-05,9.79,10.1,9.77,10.04,704800,0.0,0
2008-08-06,10.07,10.24,9.88,10.16,1270600,0.0,0
2008-08-07,10.08,10.18,9.82,9.98,674600,0.0,0
2008-08-08,9.99,10.67,9.99,10.45,906400,0.0,0
2008-08-11,10.36,11.09,10.36,10.79,1163700,0.0,0
2008-08-12,10.83,11.02,10.7,10.73,1017200,0.0,0
2008-08-13,10.73,10.73,10.37,10.53,2251100,0.0,0
2008-08-14,9.42,10.84,9.42,10.06,3298100,0.0,0
2008-08-15,10.0,10.3,9.63,9.68,2308500,0.0,0
2008-08-18,9.72,9.8,9.52,9.65,1206600,0.0,0
2008-08-19,9.55,9.74,9.55,9.67,1141800,0.0,0
2008-08-20,9.72,9.92,9.62,9.8,1070200,0.0,0
2008-08-21,9.8,9.97,9.68,9.85,1026100,0.22,0
2008-08-22,9.88,10.12,9.82,10.03,805300,0.0,0
2008-08-25,9.97,10.23,9.85,10.13,923000,0.0,0
2008-08-26,10.18,10.3,10.08,10.19,508800,0.0,0
2008-08-27,10.3,10.59,10.18,10.55,865300,0.0,0
2008-08-28,10.63,10.68,10.4,10.65,885300,0.0,0
2008-08-29,10.79,11.11,10.68,10.92,1037300,0.0,0
2008-09-02,11.09,11.27,10.97,11.13,1044900,0.0,0
2008-09-03,11.27,11.38,11.05,11.24,752500,0.0,0
2008-09-04,11.13,11.31,10.84,10.98,718700,0.0,0
2008-09-05,10.94,11.43,10.94,11.31,763100,0.0,0
2008-09-08,11.54,11.86,11.25,11.85,1459000,0.0,0
2008-09-09,11.77,12.19,11.72,11.94,1299100,0.0,0
2008-09-10,12.05,12.17,11.51,11.91,1662400,0.0,0
2008-09-11,11.77,12.85,11.71,12.66,1843100,0.0,0
2008-09-12,12.56,12.95,12.39,12.9,921800,0.0,0
2008-09-15,12.36,12.89,12.34,12.58,1154600,0.0,0
2008-09-16,12.33,12.64,12.22,12.56,1610200,0.0,0
2008-09-17,12.36,13.17,12.26,12.83,1457500,0.0,0
2008-09-18,12.97,14.55,12.61,13.55,2377300,0.0,0
2008-09-19,13.89,15.65,12.23,12.93,2837400,0.0,0
2008-09-22,12.91,13.55,12.55,12.9,613000,0.0,0
2008-09-23,13.01,13.42,12.5,12.64,641600,0.0,0
2008-09-24,12.64,13.06,12.44,12.79,558500,0.0,0
2008-09-25,12.95,13.33,12.63,12.76,676100,0.0,0
2008-09-26,12.57,13.01,12.37,12.93,331200,0.0,0
2008-09-29,12.66,12.76,12.0,12.37,843600,0.0,0
2008-09-30,12.42,12.52,11.51,11.78,941700,0.0,0
2008-10-01,11.58,12.4,11.42,11.95,786600,0.0,0
2008-10-02,11.75,12.02,11.46,11.6,714300,0.0,0
2008-10-03,11.86,12.3,11.25,11.3,555700,0.0,0
2008-10-06,11.07,11.59,10.62,11.21,892100,0.0,0
2008-10-07,11.37,11.55,10.5,10.57,883100,0.0,0
2008-10-08,10.31,11.05,10.19,10.33,1097900,0.0,0
2008-10-09,10.32,11.07,9.64,9.79,938000,0.0,0
2008-10-10,9.5,11.35,9.3,10.57,1568300,0.0,0
2008-10-13,10.97,10.99,10.18,10.51,1641300,0.0,0
2008-10-14,10.68,10.78,9.61,9.67,1793200,0.0,0
