Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,1.42,1.42,1.42,1.42,0,0,0
2008-01-03,1.49,1.49,1.42,1.42,0,0,0
2008-01-04,1.42,1.42,1.42,1.42,0,0,0
2008-01-07,1.42,1.42,1.4,1.4,19738,0,0
2008-01-08,1.04,1.04,1.03,1.03,7500,0,0
2008-01-09,1.4,1.4,1.4,1.4,0,0,0
2008-01-10,1.41,1.41,1.41,1.41,5500,0,0
2008-01-11,1.41,1.41,1.4,1.4,5000,0,0
2008-01-14,1.4,1.4,1.39,1.39,1280,0,0
2008-01-15,1.39,1.39,1.35,1.35,0,0,0
2008-01-16,1.38,1.38,1.34,1.34,0,0,0
2008-01-17,1.34,1.39,1.34,1.36,13510,0,0
2008-01-18,1.37,1.38,1.37,1.38,6500,0,0
2008-01-22,1.31,1.31,1.25,1.27,47570,0,0
2008-01-23,1.29,1.29,1.29,1.29,9000,0,0
2008-01-24,1.33,1.35,1.33,1.35,19430,0,0
2008-01-25,1.35,1.35,1.35,1.35,1500,0,0
2008-01-28,1.35,1.35,1.35,1.35,36055,0,0
2008-01-29,1.39,1.39,1.35,1.35,0,0,0
2008-01-30,1.38,1.38,1.35,1.35,0,0,0
2008-01-31,1.35,1.35,1.35,1.35,14631,0,0
2008-02-01,1.39,1.4,1.39,1.4,20000,0,0
2008-02-04,1.4,1.4,1.35,1.35,0,0,0
2008-02-05,1.35,1.35,1.35,1.35,15372,0,0
2008-02-06,1.15,1.15,1.15,1.15,0,0,0
2008-02-07,1.35,1.35,1.35,1.35,3000,0,0
2008-02-08,1.35,1.35,1.31,1.31,0,0,0
2008-02-11,1.31,1.31,1.27,1.27,20641,0,0
2008-02-12,1.26,1.26,1.26,1.26,14860,0,0
2008-02-13,1.3,1.3,1.26,1.26,0,0,0
2008-02-14,1.26,1.26,1.26,1.26,15000,0,0
2008-02-15,1.26,1.26,1.26,1.26,1000,0,0
2008-02-19,1.26,1.26,1.26,1.26,2000,0,0
2008-02-20,1.26,1.26,1.26,1.26,2628,0,0
2008-02-21,1.3,1.35,1.3,1.35,1171,0,0
2008-02-22,1.35,1.35,1.3,1.3,26000,0,0
2008-02-25,1.4,1.4,1.4,1.4,1000,0,0
2008-02-26,1.38,1.38,1.3,1.3,0,0,0
2008-02-27,1.38,1.38,1.3,1.3,0,0,0
2008-02-28,1.35,1.35,1.35,1.35,1785,0,0
2008-02-29,1.35,1.35,1.35,1.35,7215,0,0
2008-03-03,1.3,1.3,1.25,1.26,9720,0,0
2008-03-04,1.26,1.26,1.25,1.25,21975,0,0
2008-03-05,1.39,1.39,1.25,1.25,0,0,0
2008-03-06,1.25,1.25,1.25,1.25,10000,0,0
2008-03-07,1.26,1.26,1.26,1.26,525,0,0
2008-03-10,1.3,1.3,1.29,1.29,0,0,0
2008-03-11,1.3,1.3,1.3,1.3,1753,0,0
2008-03-12,1.3,1.3,1.29,1.29,0,0,0
2008-03-13,1.3,1.3,1.29,1.3,9390,0,0
2008-03-14,1.34,1.34,1.3,1.3,0,0,0
2008-03-17,1.3,1.3,1.25,1.25,7950,0,0
2008-03-18,1.25,1.25,1.25,1.25,5500,0,0
2008-03-19,1.3,1.3,1.3,1.3,1540,0,0
2008-03-20,1.3,1.3,1.3,1.3,560,0,0
2008-03-24,1.3,1.3,1.3,1.3,0,0,0
2008-03-25,1.25,1.25,1.2,1.2,13250,0,0
2008-03-26,1.2,1.2,1.2,1.2,26400,0,0
2008-03-27,1.2,1.2,1.2,1.2,7500,0,0
2008-03-28,1.2,1.2,1.2,1.2,2350,0,0
2008-03-31,1.21,1.21,1.2,1.2,14000,0,0
2008-04-01,1.2,1.2,1.2,1.2,4110,0,0
2008-04-02,1.21,1.21,1.21,1.21,1000,0,0
2008-04-03,1.21,1.21,1.21,1.21,0,0,0
