Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-28,0.06,0.06,0.06,0.06,40400000,0,0
2018-08-29,0.06,0.06,0.06,0.06,10920000,0,0
2018-08-30,0.06,0.06,0.06,0.06,22510000,0,0
2018-08-31,0.06,0.06,0.06,0.06,2400000,0,0
2018-09-04,0.06,0.06,0.06,0.06,15010000,0,0
2018-09-05,0.06,0.06,0.06,0.06,2580000,0,0
2018-09-06,0.06,0.06,0.06,0.06,23030000,0,0
2018-09-07,0.06,0.06,0.06,0.06,6100000,0,0
2018-09-10,0.06,0.06,0.06,0.06,16030000,0,0
2018-09-11,0.06,0.06,0.06,0.06,45930000,0,0
2018-09-12,0.06,0.06,0.06,0.06,39020000,0,0
2018-09-13,0.06,0.06,0.06,0.06,18650000,0,0
2018-09-14,0.06,0.06,0.06,0.06,27320000,0,0
2018-09-17,0.06,0.06,0.06,0.06,18200000,0,0
2018-09-18,0.06,0.06,0.06,0.06,13000000,0,0
2018-09-19,0.06,0.06,0.06,0.06,19600000,0,0
2018-09-20,0.06,0.06,0.06,0.06,12310000,0,0
2018-09-21,0.06,0.06,0.06,0.06,11750000,0,0
2018-09-24,0.06,0.06,0.06,0.06,5750000,0,0
2018-09-25,0.06,0.06,0.06,0.06,13750000,0,0
2018-09-26,0.06,0.06,0.06,0.06,9830000,0,0
2018-09-27,0.06,0.06,0.06,0.06,4810000,0,0
2018-09-28,0.06,0.06,0.06,0.06,10430000,0,0
2018-10-01,0.06,0.06,0.06,0.06,11730000,0,0
2018-10-02,0.06,0.06,0.06,0.06,21360000,0,0
2018-10-03,0.06,0.06,0.06,0.06,22040000,0,0
2018-10-04,0.06,0.06,0.06,0.06,17810000,0,0
2018-10-05,0.06,0.06,0.06,0.06,8320000,0,0
2018-10-08,0.06,0.06,0.06,0.06,11910000,0,0
2018-10-09,0.06,0.06,0.06,0.06,7730000,0,0
2018-10-10,0.06,0.06,0.06,0.06,11620000,0,0
2018-10-11,0.06,0.06,0.06,0.06,19170000,0,0
2018-10-12,0.06,0.06,0.05,0.06,19030000,0,0
2018-10-15,0.06,0.06,0.05,0.06,4920000,0,0
2018-10-16,0.06,0.06,0.06,0.06,0,0,0
2018-10-17,0.06,0.06,0.06,0.06,0,0,0
2018-10-18,0.06,0.06,0.06,0.06,0,0,0
2018-10-19,0.06,0.06,0.06,0.06,0,0,0
2018-10-22,0.06,0.06,0.06,0.06,0,0,0
2018-10-23,0.06,0.06,0.06,0.06,0,0,0
2018-10-24,0.06,0.06,0.06,0.06,0,0,0
2018-10-25,0.06,0.06,0.06,0.06,0,0,0
2018-10-26,0.06,0.06,0.06,0.06,0,0,0
2018-10-29,0.06,0.06,0.06,0.06,0,0,0
2018-10-30,0.06,0.06,0.06,0.06,0,0,0
2018-10-31,0.06,0.06,0.06,0.06,0,0,0
2018-11-01,0.06,0.06,0.06,0.06,0,0,0
2018-11-02,0.06,0.06,0.06,0.06,0,0,0
2018-11-05,0.06,0.06,0.06,0.06,0,0,0
2018-11-06,0.06,0.06,0.06,0.06,0,0,0
2018-11-07,0.06,0.06,0.06,0.06,0,0,0
2018-11-08,0.06,0.06,0.06,0.06,0,0,0
2018-11-09,0.06,0.06,0.06,0.06,0,0,0
2018-11-12,0.06,0.06,0.06,0.06,0,0,0
2018-11-13,0.06,0.06,0.06,0.06,0,0,0
2018-11-14,0.06,0.06,0.06,0.06,0,0,0
2018-11-15,0.06,0.06,0.06,0.06,0,0,0
2018-11-16,0.06,0.06,0.06,0.06,0,0,0
2018-11-19,0.06,0.06,0.06,0.06,0,0,0
2018-11-20,0.06,0.06,0.06,0.06,0,0,0
2018-11-21,0.06,0.06,0.06,0.06,0,0,0
2018-11-23,0.06,0.06,0.06,0.06,0,0,0
2018-11-26,0.06,0.06,0.06,0.06,0,0,0
2018-11-27,0.06,0.06,0.06,0.06,0,0,0
2018-11-28,0.06,0.06,0.06,0.06,0,0,0
2018-11-29,0.06,0.06,0.06,0.06,0,0,0
2018-11-30,0.06,0.06,0.06,0.06,0,0,0
2018-12-03,0.06,0.06,0.06,0.06,0,0,0
2018-12-04,0.06,0.06,0.06,0.06,0,0,0
2018-12-06,0.06,0.06,0.06,0.06,0,0,0
2018-12-07,0.06,0.06,0.06,0.06,0,0,0
2018-12-10,0.06,0.06,0.06,0.06,0,0,0
2018-12-11,0.06,0.06,0.06,0.06,0,0,0
2018-12-12,0.06,0.06,0.06,0.06,0,0,0
2018-12-13,0.06,0.06,0.06,0.06,0,0,0
2018-12-14,0.06,0.06,0.06,0.06,0,0,0
2018-12-17,0.06,0.06,0.06,0.06,0,0,0
2018-12-18,0.06,0.06,0.06,0.06,0,0,0
2018-12-19,0.06,0.06,0.06,0.06,0,0,0
2018-12-20,0.06,0.06,0.06,0.06,0,0,0
2018-12-21,0.06,0.06,0.06,0.06,0,0,0
2018-12-24,0.06,0.06,0.06,0.06,0,0,0
2018-12-26,0.06,0.06,0.06,0.06,0,0,0
2018-12-27,0.06,0.06,0.06,0.06,0,0,0
2018-12-28,0.06,0.06,0.06,0.06,0,0,0
2018-12-31,0.06,0.06,0.06,0.06,0,0,0
