Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,14.08,14.3,13.59,13.67,3877500,0.0,0
2008-01-03,13.73,13.73,12.86,12.94,3994200,0.0,0
2008-01-04,12.76,12.76,12.06,12.29,3814400,0.0,0
2008-01-07,12.39,12.39,11.62,11.95,5313000,0.0,0
2008-01-08,11.98,12.08,11.56,11.6,4824000,0.0,0
2008-01-09,11.58,11.67,10.91,11.41,3898800,0.0,0
2008-01-10,11.36,11.83,11.09,11.59,3915900,0.0,0
2008-01-11,11.64,11.64,11.01,11.1,2600600,0.0,0
2008-01-14,11.14,12.01,11.01,11.95,5537900,0.0,0
2008-01-15,11.69,12.95,11.68,12.59,7550000,0.0,0
2008-01-16,12.58,13.22,12.43,12.75,6899000,0.0,0
2008-01-17,12.84,13.07,12.4,12.43,4270900,0.0,0
2008-01-18,12.6,13.08,12.43,12.68,2862900,0.0,0
2008-01-22,11.52,13.35,11.35,13.23,2591900,0.0,0
2008-01-23,12.54,14.3,12.54,14.27,3836700,0.0,0
2008-01-24,14.36,14.44,13.84,14.08,2918300,0.0,0
2008-01-25,14.2,14.25,13.35,13.5,2217400,0.0,0
2008-01-28,13.35,13.67,13.09,13.66,3453000,0.0,0
2008-01-29,13.8,14.11,13.61,13.95,3308600,0.0,0
2008-01-30,14.03,14.59,13.73,14.16,2105300,0.0,0
2008-01-31,13.98,15.56,13.94,15.27,2830400,0.0,0
2008-02-01,15.31,15.52,14.96,15.4,2040300,0.0,0
2008-02-04,15.4,15.41,14.01,14.19,2654800,0.0,0
2008-02-05,14.08,14.23,13.52,13.68,2144800,0.0,0
2008-02-06,13.72,14.11,13.29,13.34,1373700,0.0,0
2008-02-07,13.2,14.88,13.2,14.78,4358700,0.0,0
2008-02-08,14.75,14.83,14.16,14.51,3333200,0.0,0
2008-02-11,14.6,16.78,14.43,16.39,4786000,0.0,0
2008-02-12,16.45,16.72,15.83,15.98,3931100,0.0,0
2008-02-13,16.25,16.3,15.69,15.84,3555700,0.0,0
2008-02-14,15.81,15.91,15.18,15.32,3822500,0.0,0
2008-02-15,15.17,15.47,15.04,15.46,2056000,0.0,0
2008-02-19,15.66,15.8,15.24,15.33,1164900,0.0,0
2008-02-20,15.2,15.79,15.19,15.57,2068600,0.0,0
2008-02-21,15.72,15.73,14.66,14.79,2294200,0.0,0
2008-02-22,14.81,15.09,14.6,15.02,2614100,0.0,0
2008-02-25,15.02,15.3,14.65,15.22,2325400,0.0,0
2008-02-26,15.18,15.41,15.0,15.11,2584000,0.0,0
2008-02-27,15.04,15.66,14.92,15.57,3793500,0.0,0
2008-02-28,15.41,15.8,15.22,15.67,3024800,0.0,0
2008-02-29,15.39,15.52,14.71,14.82,3084900,0.0,0
2008-03-03,14.88,15.36,14.39,15.13,1817700,0.0,0
2008-03-04,14.96,15.35,14.77,15.29,3666900,0.0,0
2008-03-05,17.74,19.06,17.43,18.68,10392900,0.0,0
2008-03-06,18.48,18.69,17.3,17.61,6085900,0.0,0
2008-03-07,17.43,19.13,17.43,18.26,5356600,0.0,0
2008-03-10,18.49,18.54,17.23,17.33,3929700,0.0,0
2008-03-11,17.97,18.39,17.8,18.26,4022900,0.0,0
2008-03-12,18.43,19.4,18.16,18.51,2696100,0.0,0
2008-03-13,18.22,18.65,17.64,18.49,3067700,0.0,0
2008-03-14,18.68,18.84,17.47,17.95,2793000,0.0,0
2008-03-17,17.49,18.03,17.08,17.56,2480400,0.0,0
2008-03-18,17.84,18.6,17.67,18.48,2363100,0.0,0
2008-03-19,18.6,18.85,18.18,18.3,2162400,0.0,0
2008-03-20,18.32,19.36,18.32,19.18,2037600,0.0,0
2008-03-24,20.23,21.0,19.71,20.84,4099900,0.0,0
2008-03-25,20.92,20.99,20.36,20.79,2252100,0.0,0
2008-03-26,20.65,20.88,20.3,20.51,2547600,0.0,0
2008-03-27,20.64,20.85,20.19,20.24,2047900,0.0,0
2008-03-28,20.52,20.58,19.59,19.72,2008900,0.0,0
2008-03-31,19.85,19.86,19.27,19.62,2472300,0.0,0
2008-04-01,19.86,20.43,19.86,20.26,3267500,0.0,0
2008-04-02,20.43,20.72,20.08,20.21,2816000,0.0,0
2008-04-03,20.15,20.48,19.78,20.17,1539200,0.0,0
2008-04-04,20.24,20.67,19.95,20.45,1947000,0.0,0
2008-04-07,20.71,20.79,19.88,19.96,1789100,0.0,0
2008-04-08,20.0,20.0,19.09,19.44,3041400,0.0,0
2008-04-09,19.06,19.76,18.52,18.7,2987200,0.0,0
2008-04-10,18.74,19.29,18.44,19.08,3473600,0.0,0
2008-04-11,18.84,19.02,18.4,18.71,2536200,0.0,0
2008-04-14,18.69,19.49,18.61,19.2,1943300,0.0,0
2008-04-15,19.48,19.52,19.0,19.46,1716000,0.0,0
2008-04-16,19.63,19.9,19.18,19.84,1735400,0.0,0
2008-04-17,19.79,19.93,19.47,19.74,1126900,0.0,0
2008-04-18,20.04,20.75,20.04,20.45,2138300,0.0,0
2008-04-21,20.34,20.81,20.24,20.71,1355300,0.0,0
2008-04-22,20.48,20.56,19.79,19.88,1554500,0.0,0
2008-04-23,20.19,20.44,19.49,20.38,2271200,0.0,0
2008-04-24,20.65,22.17,20.6,21.99,4244400,0.0,0
2008-04-25,21.99,22.74,21.98,22.65,2273500,0.0,0
2008-04-28,23.66,24.1,23.08,23.52,4096800,0.0,0
2008-04-29,23.52,23.93,23.12,23.61,2668900,0.0,0
2008-04-30,23.79,24.85,23.53,23.78,3018000,0.0,0
2008-05-01,23.78,24.59,23.59,24.51,2876500,0.0,0
2008-05-02,24.54,25.2,24.54,24.91,3222500,0.0,0
2008-05-05,24.98,25.12,24.28,24.44,2739000,0.0,0
2008-05-06,24.1,24.66,24.08,24.54,1697900,0.0,0
2008-05-07,24.46,24.68,24.3,24.36,2271900,0.0,0
2008-05-08,24.63,24.63,23.77,24.47,1953200,0.0,0
2008-05-09,24.4,24.66,24.03,24.46,1651500,0.0,0
2008-05-12,24.3,25.06,24.3,25.01,1620500,0.0,0
2008-05-13,25.16,25.57,24.84,25.29,2080200,0.0,0
2008-05-14,25.56,25.9,25.29,25.54,1488200,0.0,0
2008-05-15,25.63,25.79,24.79,25.71,2521300,0.0,0
2008-05-16,25.8,25.8,24.76,25.17,1656600,0.0,0
2008-05-19,25.13,25.17,24.53,24.65,1026700,0.0,0
2008-05-20,24.5,24.5,23.95,24.26,1210000,0.0,0
2008-05-21,24.51,24.71,23.2,23.41,2049400,0.0,0
2008-05-22,23.4,24.11,23.24,23.77,1940900,0.0,0
2008-05-23,23.7,23.84,23.23,23.67,1731400,0.0,0
2008-05-27,23.87,24.77,23.53,24.18,1916100,0.0,0
2008-05-28,24.23,25.18,24.23,25.1,3254700,0.0,0
2008-05-29,26.68,27.83,26.17,26.97,6916200,0.0,0
2008-05-30,27.49,27.52,26.69,27.32,3499600,0.0,0
2008-06-02,27.32,27.32,26.62,27.09,2059600,0.0,0
2008-06-03,27.27,27.62,27.02,27.52,3159700,0.0,0
2008-06-04,27.31,27.75,27.24,27.66,2668200,0.0,0
2008-06-05,27.88,28.54,27.54,28.5,3959600,0.0,0
2008-06-06,28.32,28.59,26.66,26.96,3181300,0.0,0
2008-06-09,27.18,27.84,26.77,27.37,2185700,0.0,0
2008-06-10,27.19,27.27,26.47,26.97,2582000,0.0,0
2008-06-11,26.97,28.18,26.69,28.05,4401100,0.0,0
2008-06-12,28.16,29.89,28.16,29.04,5897800,0.0,0
2008-06-13,29.08,29.78,28.94,29.75,3629800,0.0,0
2008-06-16,29.44,30.42,29.28,30.03,3480500,0.0,0
2008-06-17,30.61,30.69,29.66,29.91,2491400,0.0,0
2008-06-18,29.66,29.91,28.86,29.18,2867800,0.0,0
2008-06-19,29.12,30.32,28.74,30.32,3126400,0.0,0
2008-06-20,30.14,30.14,28.81,29.07,2971700,0.0,0
2008-06-23,29.26,29.39,27.88,28.19,3729000,0.0,0
2008-06-24,27.76,28.5,27.18,27.99,2728400,0.0,0
2008-06-25,28.19,29.25,27.99,28.44,2273200,0.0,0
2008-06-26,28.15,28.15,27.36,27.56,2465500,0.0,0
2008-06-27,27.81,28.59,27.39,28.33,3186000,0.0,0
2008-06-30,27.98,28.45,27.08,27.48,2669500,0.0,0
2008-07-01,27.23,28.13,26.85,27.96,3435500,0.0,0
2008-07-02,28.15,29.0,28.07,28.27,3329700,0.0,0
2008-07-03,28.42,28.71,27.45,28.45,1256800,0.0,0
2008-07-07,28.52,29.67,27.56,28.32,3420100,0.0,0
2008-07-08,28.32,28.71,27.32,28.54,3354700,0.0,0
2008-07-09,28.66,29.3,27.98,28.55,2879500,0.0,0
2008-07-10,28.35,28.48,26.89,27.43,3920100,0.0,0
2008-07-11,26.54,27.13,25.6,26.46,4023100,0.0,0
2008-07-14,27.26,27.26,23.22,23.87,8180700,0.0,0
2008-07-15,23.5,24.76,22.9,24.19,6422000,0.0,0
2008-07-16,24.28,26.01,24.18,25.88,4508600,0.0,0
2008-07-17,25.87,27.23,25.57,26.47,4686900,0.0,0
2008-07-18,26.44,26.58,25.32,25.58,4094000,0.0,0
2008-07-21,25.48,26.13,25.12,25.54,2472500,0.0,0
2008-07-22,25.22,25.97,24.57,25.66,3161700,0.0,0
2008-07-23,25.12,27.8,24.78,26.41,3194300,0.0,0
2008-07-24,26.29,26.66,25.52,25.65,1830400,0.0,0
2008-07-25,25.55,25.65,24.27,24.45,3121200,0.0,0
2008-07-28,24.39,25.13,24.03,24.87,2804200,0.0,0
2008-07-29,24.92,26.56,24.92,26.13,2813000,0.0,0
2008-07-30,26.29,27.05,25.86,26.82,3209600,0.0,0
2008-07-31,26.38,27.61,26.14,26.8,2304900,0.0,0
2008-08-01,27.12,27.76,26.42,27.41,2809600,0.0,0
2008-08-04,27.41,28.71,27.32,28.43,2863000,0.0,0
2008-08-05,28.72,30.24,28.43,30.07,3928600,0.0,0
2008-08-06,29.3,29.3,27.37,28.21,5115900,0.0,0
2008-08-07,27.71,28.18,26.39,27.54,4026200,0.0,0
2008-08-08,27.62,29.09,27.62,29.0,3088700,0.0,0
2008-08-11,29.03,30.39,28.98,29.83,3541100,0.0,0
2008-08-12,29.74,30.48,29.42,29.81,3055200,0.0,0
2008-08-13,29.59,30.39,28.68,29.19,2062400,0.0,0
2008-08-14,28.68,29.86,28.68,29.32,1758800,0.0,0
2008-08-15,29.86,30.61,28.75,30.54,2523600,0.0,0
2008-08-18,30.66,30.66,29.62,29.88,1912300,0.0,0
2008-08-19,29.11,29.74,28.49,28.72,1700900,0.0,0
2008-08-20,28.86,29.05,28.2,28.63,1432900,0.0,0
2008-08-21,28.15,28.92,28.15,28.7,1316000,0.0,0
2008-08-22,28.99,29.6,28.87,29.44,1830300,0.0,0
2008-08-25,29.5,29.5,28.75,29.08,1905700,0.0,0
2008-08-26,28.64,28.68,26.58,27.03,8828100,0.0,0
2008-08-27,27.19,27.19,25.57,25.91,5565400,0.0,0
2008-08-28,26.29,26.61,25.67,26.0,3244900,0.0,0
2008-08-29,25.99,26.22,25.62,26.01,2413900,0.0,0
2008-09-02,26.42,27.49,26.27,26.59,3140900,0.0,0
2008-09-03,26.66,27.59,26.59,27.36,3389200,0.0,0
2008-09-04,27.2,27.3,26.55,26.59,2070000,0.0,0
2008-09-05,26.39,27.25,26.3,27.18,3011100,0.0,0
2008-09-08,27.43,28.97,27.43,28.77,4340000,0.0,0
2008-09-09,29.01,29.7,28.64,28.86,3881100,0.0,0
2008-09-10,29.08,29.64,28.05,28.64,3018300,0.0,0
2008-09-11,28.18,29.36,27.83,29.21,2207800,0.0,0
2008-09-12,28.6,29.03,28.29,28.49,2052100,0.0,0
2008-09-15,27.37,29.2,27.37,27.76,2109700,0.0,0
2008-09-16,26.48,27.76,25.93,27.14,3914000,0.0,0
2008-09-17,26.74,27.11,25.7,25.71,3099000,0.0,0
2008-09-18,26.07,29.15,26.07,28.13,6359300,0.0,0
2008-09-19,29.25,31.08,27.77,27.79,3598400,0.0,0
2008-09-22,27.42,28.03,26.22,26.3,3022400,0.0,0
2008-09-23,26.44,26.92,25.86,25.86,2118400,0.0,0
2008-09-24,26.04,26.59,25.78,26.04,1667000,0.0,0
2008-09-25,26.25,27.21,26.09,26.57,1573900,0.0,0
2008-09-26,25.34,27.09,25.3,26.73,1657100,0.0,0
2008-09-29,26.55,26.88,24.89,25.23,2771200,0.0,0
2008-09-30,25.71,25.92,24.32,24.48,3051300,0.0,0
2008-10-01,24.22,24.91,23.8,24.0,3389400,0.0,0
2008-10-02,23.75,24.56,23.56,23.92,2896900,0.0,0
2008-10-03,24.43,24.75,23.87,23.96,3349000,0.0,0
2008-10-06,23.21,23.82,22.1,23.45,3340600,0.0,0
2008-10-07,23.73,23.73,21.01,21.06,4554800,0.0,0
2008-10-08,20.52,21.99,19.72,20.99,3589100,0.0,0
2008-10-09,20.86,21.99,19.27,19.5,4257400,0.0,0
2008-10-10,18.54,21.73,17.87,20.52,3731200,0.0,0
2008-10-13,21.62,22.5,20.69,22.5,2565200,0.0,0
2008-10-14,23.66,23.66,19.93,20.33,4257700,0.0,0
2008-10-15,19.82,19.82,17.64,17.64,4811100,0.0,0
2008-10-16,17.63,20.12,17.3,19.95,5624800,0.0,0
2008-10-17,19.38,21.03,18.83,19.96,3821500,0.0,0
2008-10-20,20.22,20.59,19.49,19.81,1558800,0.0,0
2008-10-21,19.79,20.91,19.53,20.12,1838100,0.0,0
2008-10-22,19.61,19.9,18.27,18.79,2742600,0.0,0
2008-10-23,19.18,19.28,17.56,18.32,3050500,0.0,0
2008-10-24,16.71,18.82,16.71,18.17,1877100,0.0,0
2008-10-27,17.99,18.95,17.35,17.37,2399100,0.0,0
2008-10-28,17.45,19.6,17.31,19.6,2317300,0.0,0
2008-10-29,19.55,20.77,18.69,19.5,2395700,0.0,0
2008-10-30,20.33,20.72,19.16,19.97,2444300,0.0,0
2008-10-31,19.93,22.2,19.88,21.49,2429600,0.0,0
2008-11-03,21.69,21.78,20.4,20.76,2233800,0.0,0
2008-11-04,21.26,21.89,21.12,21.85,1827800,0.0,0
2008-11-05,21.47,21.86,20.4,20.5,2546000,0.0,0
2008-11-06,20.3,20.3,14.86,15.23,7845100,0.0,0
2008-11-07,15.69,15.87,15.24,15.79,4305700,0.0,0
2008-11-10,15.84,16.2,14.38,14.59,4272000,0.0,0
2008-11-11,14.32,15.77,13.71,14.9,3542600,0.0,0
2008-11-12,14.84,14.88,13.89,13.89,1842400,0.0,0
2008-11-13,14.01,15.54,13.13,15.54,3212300,0.0,0
2008-11-14,15.1,15.2,13.45,13.56,2995000,0.0,0
2008-11-17,13.36,13.94,13.21,13.31,1847700,0.0,0
2008-11-18,13.41,14.05,13.13,13.8,2145800,0.0,0
2008-11-19,13.77,14.14,12.1,12.15,2518500,0.0,0
2008-11-20,12.12,13.31,11.76,11.93,3303400,0.0,0
2008-11-21,12.23,13.08,11.68,13.06,3306900,0.0,0
2008-11-24,13.76,14.1,13.2,14.07,3241100,0.0,0
2008-11-25,14.08,14.93,13.54,14.13,3654500,0.0,0
2008-11-26,13.9,15.77,13.65,15.57,3053800,0.0,0
2008-11-28,15.4,15.65,15.01,15.41,764400,0.0,0
2008-12-01,14.58,14.94,13.64,13.67,2811400,0.0,0
2008-12-02,13.87,14.45,13.43,14.14,2304800,0.0,0
2008-12-03,14.09,15.32,13.93,15.19,3571000,0.0,0
2008-12-04,14.96,16.04,14.08,14.32,5082300,0.0,0
2008-12-05,12.69,14.46,12.0,14.08,6272200,0.0,0
2008-12-08,14.07,14.7,13.09,13.59,4185900,0.0,0
2008-12-09,13.42,14.3,13.41,13.55,3542000,0.0,0
2008-12-10,14.07,14.1,13.11,13.96,2328900,0.0,0
2008-12-11,13.91,13.91,12.99,13.13,2343200,0.0,0
2008-12-12,13.0,13.68,12.65,13.61,1586700,0.0,0
2008-12-15,13.65,13.73,12.82,13.09,1887500,0.0,0
2008-12-16,13.57,13.77,12.71,13.74,2166000,0.0,0
2008-12-17,13.5,14.01,13.21,13.89,3092600,0.0,0
2008-12-18,13.98,14.05,13.55,13.69,2385700,0.0,0
2008-12-19,13.87,13.94,13.57,13.74,1807800,0.0,0
2008-12-22,13.62,13.62,12.62,12.84,2486100,0.0,0
2008-12-23,12.65,13.06,11.96,12.09,2685100,0.0,0
2008-12-24,12.23,12.58,11.89,12.54,911200,0.0,0
2008-12-26,12.61,12.61,12.32,12.48,494400,0.0,0
2008-12-29,12.55,12.8,11.83,12.01,2070100,0.0,0
2008-12-30,12.03,12.55,11.95,12.46,3867600,0.0,0
2008-12-31,12.49,12.95,12.36,12.75,2175000,0.0,0
2009-01-02,12.58,13.14,12.58,12.78,2992300,0.0,0
2009-01-05,12.81,13.64,12.51,13.39,3177500,0.0,0
2009-01-06,13.62,13.72,13.31,13.53,2551900,0.0,0
2009-01-07,13.46,13.56,13.06,13.34,2226000,0.0,0
2009-01-08,13.23,13.33,12.64,13.14,1993700,0.0,0
2009-01-09,13.14,13.14,12.29,12.4,2448900,0.0,0
2009-01-12,12.18,12.62,11.91,12.14,2643200,0.0,0
2009-01-13,12.12,12.57,11.93,12.33,2139500,0.0,0
2009-01-14,12.01,12.01,11.38,11.73,2439200,0.0,0
2009-01-15,11.68,13.06,11.44,12.58,3701600,0.0,0
2009-01-16,12.82,12.98,12.25,12.84,1986300,0.0,0
2009-01-20,12.89,12.96,12.0,12.05,1898300,0.0,0
2009-01-21,12.07,12.43,11.92,12.43,2734700,0.0,0
2009-01-22,12.33,12.61,11.76,12.41,2409400,0.0,0
2009-01-23,12.07,12.62,11.9,12.36,945000,0.0,0
2009-01-26,12.44,12.95,12.03,12.27,1422000,0.0,0
2009-01-27,12.32,12.37,11.73,11.86,2061100,0.0,0
2009-01-28,12.1,12.66,12.03,12.36,1652000,0.0,0
2009-01-29,12.18,12.46,11.8,11.82,1005900,0.0,0
2009-01-30,11.96,12.17,11.63,11.83,2949400,0.0,0
2009-02-02,11.65,11.96,11.1,11.43,4127900,0.0,0
2009-02-03,11.5,12.47,11.44,12.28,4094900,0.0,0
2009-02-04,12.27,12.27,11.6,11.94,3558800,0.0,0
2009-02-05,11.96,12.64,11.74,12.09,3773800,0.0,0
2009-02-06,12.27,12.69,12.23,12.54,2119600,0.0,0
2009-02-09,12.86,13.51,12.69,13.38,2728500,0.0,0
2009-02-10,13.26,13.86,13.14,13.4,4649100,0.0,0
2009-02-11,13.64,13.69,13.07,13.48,2446300,0.0,0
2009-02-12,13.46,13.54,12.98,13.49,2415900,0.0,0
2009-02-13,13.41,13.5,12.8,12.93,1888000,0.0,0
