Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,27.19,27.27,26.5,26.85,385900.0,0.0,0.0
2008-01-03,26.62,26.93,26.51,26.68,290600.0,0.0,0.0
2008-01-04,26.51,26.76,25.39,25.45,1171800.0,0.0,0.0
2008-01-07,25.45,25.7,25.1,25.4,807600.0,0.0,0.0
2008-01-08,25.4,26.37,25.31,25.42,590900.0,0.0,0.0
2008-01-09,25.55,25.55,24.25,24.71,400600.0,0.0,0.0
2008-01-10,24.83,25.3,23.77,25.02,585700.0,0.0,0.0
2008-01-11,24.64,24.97,24.32,24.37,479700.0,0.0,0.0
2008-01-14,24.37,24.42,23.71,24.14,595500.0,0.0,0.0
2008-01-15,23.67,23.9,22.45,22.67,1124400.0,0.0,0.0
2008-01-16,22.77,22.83,21.59,22.1,1790800.0,0.0,0.0
2008-01-17,22.0,22.1,21.4,21.73,1369500.0,0.0,0.0
2008-01-18,21.78,21.87,20.81,20.96,763600.0,0.0,0.0
2008-01-22,20.07,20.84,19.8,20.51,1130600.0,0.0,0.0
2008-01-23,19.92,20.79,19.83,20.57,1240900.0,0.0,0.0
2008-01-24,20.83,20.83,20.3,20.43,831900.0,0.0,0.0
2008-01-25,20.8,20.89,19.72,20.12,1705600.0,0.0,0.0
2008-01-28,20.3,21.37,20.06,21.1,1933000.0,0.0,0.0
2008-01-29,21.14,21.34,20.66,20.76,631800.0,0.0,0.0
2008-01-30,20.63,21.47,20.52,21.03,888100.0,0.0,0.0
2008-01-31,20.55,21.72,20.32,21.48,743600.0,0.0,0.0
2008-02-01,21.47,23.75,21.47,23.65,1719400.0,0.0,0.0
2008-02-04,23.65,23.65,22.45,22.81,689100.0,0.0,0.0
2008-02-05,22.72,22.84,22.03,22.11,618100.0,0.0,0.0
2008-02-06,22.36,22.51,21.84,21.99,622200.0,0.0,0.0
2008-02-07,21.82,22.1,20.66,21.48,928600.0,0.0,0.0
2008-02-08,21.45,21.79,20.66,21.07,457100.0,0.0,0.0
2008-02-11,20.89,21.53,20.57,21.22,884300.0,0.0,0.0
2008-02-12,21.26,22.79,21.16,22.37,1070100.0,0.0,0.0
2008-02-13,22.71,22.71,21.7,21.86,934500.0,0.0,0.0
2008-02-14,21.73,21.87,21.44,21.62,442400.0,0.0,0.0
2008-02-15,21.59,22.64,21.44,22.41,454500.0,0.0,0.0
2008-02-19,22.41,22.8,22.1,22.25,572000.0,0.0,0.0
2008-02-20,22.02,22.34,21.83,22.31,531800.0,0.0,0.0
2008-02-21,22.39,23.35,22.25,22.93,831500.0,0.0,0.0
2008-02-22,23.1,23.19,22.19,22.99,578500.0,0.0,0.0
2008-02-25,23.17,23.17,22.14,22.36,853400.0,0.0,0.0
2008-02-26,22.48,22.85,21.71,22.35,739600.0,0.0,0.0
2008-02-27,22.35,22.68,22.02,22.34,328400.0,0.0,0.0
2008-02-28,21.7,24.37,21.53,24.06,1700000.0,0.0,0.0
2008-02-29,25.35,26.15,24.69,25.15,1822200.0,0.0,0.0
2008-03-03,24.95,25.67,24.62,24.74,1338500.0,0.0,0.0
2008-03-04,24.49,24.52,23.62,23.76,1113600.0,0.0,0.0
2008-03-05,23.76,24.1,23.57,24.05,908800.0,0.0,0.0
2008-03-06,23.8,24.0,23.08,23.67,981200.0,0.0,0.0
2008-03-07,23.21,24.71,23.21,24.27,1530300.0,0.0,0.0
2008-03-10,24.6,24.68,23.22,23.44,770000.0,0.0,0.0
2008-03-11,23.46,24.63,23.46,24.52,1008100.0,0.0,0.0
2008-03-12,24.52,24.68,24.05,24.1,559300.0,0.0,0.0
2008-03-13,23.99,24.09,23.45,23.71,981500.0,0.0,0.0
2008-03-14,23.7,23.7,22.78,22.89,1111400.0,0.0,0.0
