Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,3.82,3.82,3.82,3.82,0,0,0
2008-01-03,3.87,3.87,3.87,3.87,0,0,0
2008-01-04,3.88,3.88,3.88,3.88,0,0,0
2008-01-07,3.74,3.74,3.74,3.74,0,0,0
2008-01-08,3.74,3.74,3.74,3.74,0,0,0
2008-01-09,3.71,3.71,3.71,3.71,0,0,0
2008-01-10,3.52,3.52,3.52,3.52,0,0,0
2008-01-11,3.61,3.61,3.61,3.61,0,0,0
2008-01-14,3.51,3.51,3.51,3.51,0,0,0
2008-01-15,3.58,3.58,3.58,3.58,0,0,0
2008-01-16,3.41,3.41,3.41,3.41,0,0,0
2008-01-17,3.5,3.56,3.5,3.56,0,0,0
2008-01-18,3.56,3.56,3.56,3.56,0,0,0
2008-01-22,3.42,3.42,3.42,3.42,0,0,0
2008-01-23,3.54,3.54,3.54,3.54,0,0,0
2008-01-24,3.38,3.38,3.38,3.38,0,0,0
2008-01-25,3.67,3.67,3.67,3.67,0,0,0
2008-01-28,3.39,3.39,3.39,3.39,0,0,0
2008-01-29,3.55,3.55,3.55,3.55,0,0,0
2008-01-30,3.55,3.55,3.55,3.55,0,0,0
2008-01-31,3.58,3.58,3.58,3.58,0,0,0
2008-02-01,3.58,3.58,3.58,3.58,0,0,0
2008-02-04,3.61,3.61,3.61,3.61,0,0,0
2008-02-05,3.67,3.67,3.67,3.67,0,0,0
2008-02-06,3.57,3.57,3.57,3.57,0,0,0
2008-02-07,3.57,3.57,3.57,3.57,0,0,0
2008-02-08,3.56,3.56,3.56,3.56,0,0,0
2008-02-11,3.63,3.63,3.63,3.63,0,0,0
2008-02-12,3.57,3.57,3.57,3.57,0,0,0
2008-02-13,3.66,3.66,3.66,3.66,0,0,0
2008-02-14,3.71,3.71,3.71,3.71,0,0,0
2008-02-15,3.58,3.58,3.58,3.58,0,0,0
2008-02-19,3.66,3.66,3.66,3.66,0,0,0
2008-02-20,3.52,3.52,3.52,3.52,0,0,0
2008-02-21,3.61,3.61,3.61,3.61,0,0,0
2008-02-22,3.88,3.88,3.88,3.88,0,0,0
2008-02-25,3.74,3.74,3.74,3.74,0,0,0
2008-02-26,3.74,3.74,3.74,3.74,0,0,0
2008-02-27,3.82,3.82,3.82,3.82,0,0,0
2008-02-28,3.73,3.73,3.73,3.73,0,0,0
2008-02-29,3.7,3.7,3.7,3.7,0,0,0
2008-03-03,3.73,3.73,3.73,3.73,0,0,0
2008-03-04,3.62,3.62,3.62,3.62,0,0,0
2008-03-05,3.58,3.58,3.58,3.58,0,0,0
2008-03-06,3.69,3.69,3.69,3.69,0,0,0
2008-03-07,3.53,3.53,3.53,3.53,0,0,0
2008-03-10,3.51,3.51,3.51,3.51,0,0,0
2008-03-11,51.0,52.0,49.5,52.0,47921,0,0
2008-03-12,3.66,3.66,3.66,3.66,0,0,0
2008-03-13,3.59,3.59,3.59,3.59,0,0,0
2008-03-14,3.59,3.59,3.59,3.59,0,0,0
2008-03-17,3.52,3.52,3.52,3.52,0,0,0
2008-03-18,3.6,3.6,3.6,3.6,0,0,0
2008-03-19,3.67,3.67,3.67,3.67,0,0,0
2008-03-20,3.57,3.57,3.57,3.57,0,0,0
2008-03-24,50.5,50.5,50.5,50.5,0,0,0
2008-03-25,3.66,3.66,3.66,3.66,0,0,0
2008-03-26,3.61,3.61,3.61,3.61,0,0,0
2008-03-27,3.76,3.76,3.76,3.76,0,0,0
2008-03-28,3.67,3.67,3.67,3.67,0,0,0
2008-03-31,3.58,3.58,3.58,3.58,0,0,0
2008-04-01,3.64,3.64,3.64,3.64,0,0,0
2008-04-02,3.93,3.93,3.93,3.93,0,0,0
2008-04-03,3.91,3.91,3.91,3.91,0,0,0
2008-04-04,3.9,3.9,3.9,3.9,0,0,0
2008-04-07,3.84,3.84,3.84,3.84,0,0,0
2008-04-08,3.83,3.83,3.83,3.83,0,0,0
2008-04-09,3.85,3.85,3.85,3.85,0,0,0
2008-04-10,3.8,3.8,3.8,3.8,0,0,0
2008-04-11,3.75,3.75,3.75,3.75,0,0,0
2008-04-14,3.77,3.77,3.77,3.77,0,0,0
2008-04-15,3.8,3.8,3.8,3.8,0,0,0
2008-04-16,3.75,3.75,3.75,3.75,0,0,0
2008-04-17,3.78,3.78,3.78,3.78,0,0,0
2008-04-18,3.82,3.82,3.82,3.82,0,0,0
2008-04-21,3.88,3.88,3.88,3.88,0,0,0
2008-04-22,3.77,3.77,3.77,3.77,0,0,0
2008-04-23,3.82,3.82,3.82,3.82,0,0,0
2008-04-24,3.85,3.85,3.85,3.85,0,0,0
2008-04-25,4.02,4.02,4.02,4.02,0,0,0
2008-04-28,4.0,4.0,4.0,4.0,0,0,0
2008-04-29,4.06,4.06,4.06,4.06,0,0,0
2008-04-30,4.15,4.15,4.15,4.15,0,0,0
2008-05-01,49.0,54.0,49.0,49.25,245911,0,0
2008-05-02,4.15,4.15,4.15,4.15,0,0,0
2008-05-05,4.15,4.15,4.15,4.15,0,0,0
2008-05-06,4.16,4.16,4.16,4.16,0,0,0
2008-05-07,4.18,4.18,4.18,4.18,0,0,0
2008-05-08,4.23,4.23,4.23,4.23,0,0,0
2008-05-09,4.23,4.23,4.23,4.23,0,0,0
2008-05-12,4.19,4.19,4.19,4.19,0,0,0
2008-05-13,4.25,4.25,4.25,4.25,0,0,0
2008-05-14,4.31,4.31,4.31,4.31,0,0,0
2008-05-15,4.28,4.28,4.28,4.28,0,0,0
2008-05-16,4.29,4.29,4.29,4.29,0,0,0
2008-05-19,4.28,4.28,4.28,4.28,0,0,0
2008-05-20,4.23,4.23,4.23,4.23,0,0,0
2008-05-21,4.19,4.19,4.19,4.19,0,0,0
2008-05-22,4.17,4.17,4.17,4.17,0,0,0
2008-05-23,4.19,4.19,4.19,4.19,0,0,0
2008-05-27,4.17,4.17,4.17,4.17,0,0,0
