Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,20.57,20.9,20.57,20.81,95500,0.0,0
2008-01-03,20.95,21.11,20.78,20.98,78700,0.0,0
2008-01-04,21.19,21.19,20.78,20.88,95700,0.0,0
2008-01-07,20.88,21.05,20.65,20.74,77600,0.0,0
2008-01-08,21.01,21.03,20.58,20.7,123600,0.0,0
2008-01-09,20.7,20.77,20.54,20.65,108500,0.0,0
2008-01-10,20.49,20.74,20.49,20.62,112100,0.0,0
2008-01-11,20.81,20.81,20.08,20.51,101000,0.0,0
2008-01-14,20.52,20.7,19.62,19.99,313200,0.0,0
2008-01-15,19.95,20.03,19.71,19.74,129800,0.0,0
2008-01-16,19.72,19.95,19.6,19.88,103300,0.0,0
2008-01-17,19.97,20.04,19.65,19.82,89700,0.0,0
2008-01-18,19.74,19.87,19.29,19.47,106200,0.0,0
2008-01-22,19.24,19.42,18.78,19.28,155800,0.0,0
2008-01-23,19.09,19.31,18.88,19.05,141200,0.0,0
2008-01-24,19.09,19.9,19.09,19.72,123600,0.0,0
2008-01-25,19.98,20.59,19.75,20.21,172900,0.0,0
2008-01-28,20.24,20.45,20.16,20.27,124400,0.0,0
2008-01-29,20.5,20.64,20.32,20.55,163200,0.0,0
2008-01-30,20.49,20.94,20.49,20.66,104400,0.0,0
2008-01-31,20.66,20.99,20.59,20.82,133700,0.0,0
2008-02-01,21.17,21.19,20.82,20.87,131300,0.838,0
2008-02-04,20.81,21.22,20.81,21.16,106700,0.0,0
2008-02-05,21.29,21.29,20.83,21.01,117100,0.0,0
2008-02-06,21.0,21.02,20.9,20.96,79400,0.0,0
2008-02-07,20.94,21.11,20.9,20.94,119800,0.0,0
2008-02-08,20.94,21.0,20.82,20.91,91700,0.0,0
2008-02-11,21.16,21.16,20.75,20.91,106100,0.0,0
2008-02-12,21.2,21.26,21.03,21.22,411000,0.0,0
2008-02-13,21.15,21.28,20.91,21.07,206800,0.0,0
2008-02-14,20.94,21.36,20.94,21.14,180700,0.0,0
2008-02-15,21.1,21.16,20.97,21.02,149700,0.0,0
2008-02-19,21.68,21.68,20.95,21.08,78600,0.0,0
2008-02-20,21.09,21.25,21.01,21.16,133600,0.0,0
2008-02-21,21.25,21.25,20.73,20.85,113800,0.0,0
2008-02-22,21.02,21.02,20.75,20.88,133700,0.0,0
2008-02-25,21.16,21.16,21.01,21.14,106000,0.0,0
2008-02-26,21.17,21.19,20.98,20.99,113900,0.0,0
2008-02-27,21.07,21.07,20.77,20.84,78600,0.0,0
2008-02-28,20.8,21.01,20.69,20.97,72100,0.0,0
2008-02-29,21.05,21.05,20.71,20.83,79000,0.0,0
2008-03-03,21.02,21.04,20.74,20.75,209900,0.0,0
2008-03-04,20.69,20.82,20.41,20.5,109600,0.0,0
2008-03-05,20.62,20.63,20.37,20.42,86700,0.0,0
2008-03-06,20.39,20.48,20.31,20.36,92500,0.0,0
2008-03-07,20.37,20.37,20.11,20.27,59800,0.0,0
2008-03-10,20.02,20.37,20.02,20.18,93900,0.0,0
2008-03-11,20.42,20.46,20.07,20.14,80100,0.0,0
2008-03-12,20.32,20.32,19.99,20.01,57600,0.0,0
2008-03-13,19.99,20.04,19.79,19.95,82200,0.0,0
2008-03-14,20.2,20.2,19.74,19.82,95400,0.0,0
2008-03-17,20.05,20.07,19.52,19.6,201600,0.0,0
2008-03-18,19.93,19.99,19.73,19.74,125900,0.0,0
2008-03-19,19.72,19.72,18.95,18.95,595300,0.0,0
2008-03-20,18.76,18.91,18.53,18.8,2111800,0.0,0
2008-03-24,18.76,19.17,18.76,19.11,602000,0.0,0
2008-03-25,19.19,19.2,18.99,19.18,302000,0.0,0
2008-03-26,19.22,19.52,19.1,19.5,219800,0.0,0
2008-03-27,19.64,19.73,19.35,19.45,350200,0.0,0
2008-03-28,19.45,19.56,19.4,19.5,224400,0.0,0
2008-03-31,19.42,19.58,19.39,19.56,288100,0.0,0
2008-04-01,19.57,19.71,19.52,19.65,146300,0.0,0
2008-04-02,19.77,19.98,19.67,19.93,147700,0.0,0
2008-04-03,19.9,20.18,19.9,20.1,127400,0.0,0
2008-04-04,20.17,20.44,20.13,20.41,104900,0.0,0
2008-04-07,20.7,20.73,20.39,20.56,123500,0.0,0
2008-04-08,20.47,20.67,20.47,20.53,93100,0.0,0
2008-04-09,20.49,20.66,20.45,20.53,96200,0.0,0
2008-04-10,20.48,20.53,20.38,20.46,107300,0.0,0
2008-04-11,20.29,20.58,20.29,20.43,74200,0.0,0
2008-04-14,20.39,20.48,20.33,20.41,117800,0.0,0
2008-04-15,20.41,20.59,20.4,20.54,71200,0.0,0
2008-04-16,20.73,20.73,20.51,20.62,67300,0.0,0
2008-04-17,20.63,20.84,20.54,20.82,176700,0.0,0
2008-04-18,20.92,20.96,20.6,20.96,126400,0.0,0
2008-04-21,20.91,21.22,20.91,21.08,86400,0.0,0
2008-04-22,21.08,21.15,20.86,20.86,109600,0.0,0
2008-04-23,20.84,20.9,20.77,20.81,86100,0.0,0
2008-04-24,20.69,20.88,20.61,20.8,145300,0.0,0
2008-04-25,20.88,20.97,20.8,20.94,57400,0.0,0
2008-04-28,20.91,21.15,20.91,21.09,98900,0.0,0
2008-04-29,21.16,21.18,20.71,20.88,109600,0.0,0
2008-04-30,21.01,21.16,20.8,20.94,163600,0.0,0
2008-05-01,20.86,21.16,20.81,20.86,153700,0.0,0
2008-05-02,20.84,21.04,20.79,21.03,120400,0.0,0
2008-05-05,21.11,21.11,21.01,21.09,85600,0.0,0
2008-05-06,21.14,21.22,21.08,21.21,133000,0.0,0
2008-05-07,21.53,21.53,20.97,21.16,87300,0.85,0
2008-05-08,21.23,21.25,21.11,21.21,58700,0.0,0
