Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,8.1,8.13,8.1,8.1,2100,0.0,0
2008-01-03,8.13,8.39,8.13,8.38,16900,0.0,0
2008-01-04,8.38,8.42,8.36,8.41,3000,0.0,0
2008-01-07,8.4,8.46,8.4,8.46,2900,0.0,0
2008-01-08,8.45,8.96,8.45,8.74,26500,0.0,0
2008-01-09,8.74,8.95,8.74,8.91,10100,0.0,0
2008-01-10,8.86,8.91,8.85,8.9,2400,0.0,0
2008-01-11,8.91,8.94,8.91,8.94,2400,0.0,0
2008-01-14,8.89,8.89,8.81,8.88,7500,0.0,0
2008-01-15,8.83,8.97,8.83,8.91,7500,0.0,0
2008-01-16,8.87,8.99,8.87,8.95,5200,0.0,0
2008-01-17,8.89,8.95,8.87,8.87,11100,0.077,0
2008-01-18,8.87,8.87,8.87,8.87,0,0.0,0
2008-01-22,8.83,8.83,8.78,8.78,3200,0.0,0
2008-01-23,8.82,8.82,8.77,8.77,1500,0.0,0
2008-01-24,8.78,8.78,8.77,8.77,1600,0.0,0
2008-01-25,8.81,8.82,8.72,8.78,4500,0.0,0
2008-01-28,8.75,8.75,8.65,8.65,2300,0.0,0
2008-01-29,8.67,8.67,8.6,8.64,3100,0.0,0
2008-01-30,8.63,8.63,8.63,8.63,500,0.0,0
2008-01-31,8.63,8.63,8.63,8.63,0,0.0,0
2008-02-01,8.65,8.69,8.64,8.69,2200,0.0,0
2008-02-04,8.72,8.78,8.69,8.78,7200,0.0,0
2008-02-05,8.74,8.85,8.74,8.85,6300,0.0,0
2008-02-06,8.85,8.93,8.83,8.91,12500,0.0,0
2008-02-07,8.95,8.98,8.8,8.8,15700,0.0,0
2008-02-08,8.83,8.85,8.83,8.85,2700,0.0,0
2008-02-11,8.85,8.85,8.85,8.85,0,0.0,0
2008-02-12,8.9,8.91,8.85,8.86,2900,0.0,0
2008-02-13,8.84,9.2,8.81,8.99,30800,0.077,0
2008-02-14,8.95,8.95,8.45,8.53,15000,0.0,0
2008-02-15,8.48,8.48,8.44,8.45,5000,0.0,0
2008-02-19,8.49,8.7,8.49,8.6,67700,0.0,0
2008-02-20,8.64,8.66,8.56,8.56,3900,0.0,0
2008-02-21,8.52,8.58,8.45,8.52,10900,0.0,0
2008-02-22,8.5,8.5,8.42,8.5,8000,0.0,0
2008-02-25,8.46,8.54,8.42,8.54,5800,0.0,0
2008-02-26,8.54,8.54,8.49,8.52,1000,0.0,0
2008-02-27,8.41,8.48,8.36,8.41,7600,0.0,0
2008-02-28,8.33,8.35,8.22,8.22,7900,0.0,0
2008-02-29,8.21,8.21,8.0,8.0,3100,0.0,0
2008-03-03,8.2,8.27,8.12,8.23,18700,0.0,0
2008-03-04,8.14,8.14,8.07,8.12,9600,0.0,0
2008-03-05,8.12,8.52,8.12,8.38,25700,0.0,0
2008-03-06,8.56,8.59,8.33,8.43,26400,0.0,0
2008-03-07,8.44,8.64,8.44,8.51,20700,0.0,0
2008-03-10,8.55,8.62,8.5,8.51,14200,0.0,0
2008-03-11,8.64,8.64,8.51,8.51,3500,0.0,0
2008-03-12,8.51,8.6,8.51,8.52,11800,0.077,0
2008-03-13,8.51,8.58,8.42,8.42,11600,0.0,0
2008-03-14,8.47,8.54,8.39,8.5,7000,0.0,0
2008-03-17,8.51,8.51,8.38,8.39,5300,0.0,0
2008-03-18,8.41,8.54,8.26,8.26,10200,0.0,0
2008-03-19,8.3,8.42,8.3,8.36,15800,0.0,0
2008-03-20,8.41,8.64,8.33,8.63,61900,0.0,0
2008-03-24,8.63,8.8,8.61,8.63,20200,0.0,0
2008-03-25,8.68,8.68,8.57,8.57,5000,0.0,0
2008-03-26,8.57,8.57,8.36,8.52,14200,0.0,0
2008-03-27,8.52,8.6,8.42,8.42,9600,0.0,0
2008-03-28,8.42,8.43,8.3,8.32,26200,0.0,0
2008-03-31,8.28,8.38,8.21,8.21,23800,0.0,0
2008-04-01,8.22,8.38,8.22,8.29,21400,0.0,0
2008-04-02,8.34,8.37,8.19,8.24,20700,0.0,0
2008-04-03,8.25,8.32,8.25,8.31,5900,0.0,0
2008-04-04,8.29,8.29,8.26,8.26,1900,0.0,0
2008-04-07,8.3,8.41,8.29,8.29,7200,0.0,0
2008-04-08,8.28,8.37,8.28,8.3,4800,0.0,0
2008-04-09,8.33,8.38,8.26,8.26,9700,0.0,0
2008-04-10,8.32,8.45,8.32,8.37,22700,0.0,0
2008-04-11,8.41,8.46,8.3,8.32,22900,0.077,0
2008-04-14,8.3,8.35,8.3,8.31,2900,0.0,0
2008-04-15,8.33,8.46,8.31,8.38,6000,0.0,0
2008-04-16,8.36,8.41,8.36,8.36,2000,0.0,0
2008-04-17,8.36,8.36,8.32,8.32,1100,0.0,0
