Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,25.79,26.27,25.45,25.74,232300,0.0,0
2008-01-03,25.82,26.14,25.43,25.44,194300,0.0,0
2008-01-04,25.15,25.54,24.81,24.9,259100,0.0,0
2008-01-07,25.06,25.2,24.4,24.66,192500,0.0,0
2008-01-08,24.91,25.24,23.42,23.48,299900,0.15,0
2008-01-09,22.97,23.53,22.52,23.52,372500,0.0,0
2008-01-10,24.67,24.67,22.93,23.97,251000,0.0,0
2008-01-11,23.73,23.97,23.44,23.44,260300,0.0,0
2008-01-14,23.64,24.14,23.58,24.02,217700,0.0,0
2008-01-15,23.64,23.75,23.13,23.36,197600,0.0,0
2008-01-16,23.35,23.97,23.23,23.5,172600,0.0,0
2008-01-17,23.48,23.68,22.49,22.51,159400,0.0,0
2008-01-18,22.36,23.24,22.16,22.39,315800,0.0,0
2008-01-22,21.54,23.26,21.54,22.94,311900,0.0,0
2008-01-23,22.33,23.12,21.86,22.54,463600,0.0,0
2008-01-24,22.72,22.72,21.77,22.11,309000,0.0,0
2008-01-25,22.5,22.61,21.87,21.94,161500,0.0,0
2008-01-28,21.94,22.53,21.63,22.53,125700,0.0,0
2008-01-29,22.72,22.77,22.12,22.53,102700,0.0,0
2008-01-30,22.32,22.84,21.78,21.82,190800,0.0,0
2008-01-31,21.42,22.93,21.31,22.6,301300,0.0,0
2008-02-01,22.64,23.56,22.53,23.12,226000,0.0,0
2008-02-04,23.08,23.08,22.24,22.62,234100,0.0,0
2008-02-05,22.29,22.63,21.86,22.01,230800,0.0,0
2008-02-06,22.26,22.48,21.44,21.58,210400,0.0,0
2008-02-07,21.5,22.18,21.38,22.07,207900,0.0,0
2008-02-08,22.06,22.15,21.4,21.63,147200,0.0,0
2008-02-11,21.68,22.03,21.05,21.72,153400,0.0,0
2008-02-12,21.79,22.41,21.67,22.0,209400,0.0,0
2008-02-13,22.26,22.92,22.12,22.82,204000,0.0,0
2008-02-14,22.91,23.12,21.74,22.0,172000,0.0,0
2008-02-15,21.86,22.11,21.38,21.84,179300,0.0,0
2008-02-19,22.2,22.24,21.0,21.18,285900,0.0,0
2008-02-20,20.98,22.16,20.75,22.16,306700,0.0,0
2008-02-21,22.32,22.41,21.18,21.28,512900,0.0,0
2008-02-22,21.27,21.52,20.8,21.27,415100,0.0,0
2008-02-25,21.28,22.38,21.28,22.22,435200,0.0,0
2008-02-26,22.1,22.55,22.0,22.43,547600,0.0,0
2008-02-27,22.24,23.12,22.14,22.97,349900,0.0,0
2008-02-28,22.78,22.91,22.36,22.79,447300,0.0,0
2008-02-29,22.44,22.8,22.2,22.67,707400,0.0,0
2008-03-03,22.61,23.02,22.43,22.99,432600,0.0,0
2008-03-04,22.7,22.96,22.33,22.61,356300,0.0,0
2008-03-05,22.63,23.06,22.56,22.73,279500,0.0,0
2008-03-06,22.66,22.89,22.21,22.35,438100,0.0,0
2008-03-07,22.24,22.74,22.24,22.37,275500,0.0,0
2008-03-10,22.49,22.62,21.95,22.0,279300,0.0,0
2008-03-11,22.67,23.65,22.67,23.5,301800,0.0,0
2008-03-12,23.61,24.42,23.45,23.56,272400,0.0,0
2008-03-13,23.72,24.81,23.32,24.6,461400,0.0,0
2008-03-14,24.76,24.96,23.61,23.95,367800,0.0,0
2008-03-17,23.24,24.48,22.94,23.81,245800,0.0,0
2008-03-18,24.33,25.09,23.88,24.83,300300,0.0,0
2008-03-19,25.07,25.28,23.93,23.93,250000,0.0,0
2008-03-20,24.32,24.61,23.65,24.16,792100,0.0,0
2008-03-24,24.31,25.31,24.27,25.04,270300,0.0,0
2008-03-25,25.09,25.3,24.78,25.12,196800,0.0,0
2008-03-26,24.96,25.2,24.8,25.2,164300,0.0,0
2008-03-27,25.2,25.2,24.32,24.4,200200,0.0,0
2008-03-28,24.48,24.84,24.36,24.47,192400,0.0,0
2008-03-31,24.42,25.19,24.2,24.78,160000,0.0,0
2008-04-01,25.04,25.3,24.68,25.2,319200,0.0,0
2008-04-02,25.06,25.34,24.91,25.2,352300,0.0,0
2008-04-03,25.01,25.28,24.87,25.2,255800,0.0,0
2008-04-04,25.17,25.25,25.0,25.2,522500,0.0,0
2008-04-07,25.21,25.21,24.98,25.06,271900,0.0,0
2008-04-08,24.92,25.2,24.71,25.17,126900,0.15,0
2008-04-09,25.16,25.16,24.26,24.48,167700,0.0,0
2008-04-10,24.52,25.1,24.4,25.01,173700,0.0,0
2008-04-11,24.73,24.75,24.04,24.09,157000,0.0,0
2008-04-14,24.04,24.36,23.91,24.11,135200,0.0,0
2008-04-15,24.31,24.69,24.04,24.55,153100,0.0,0
2008-04-16,24.84,25.32,24.78,25.31,240200,0.0,0
2008-04-17,25.16,25.28,24.98,25.08,118100,0.0,0
2008-04-18,25.46,25.46,25.19,25.31,338500,0.0,0
2008-04-21,25.13,25.28,24.75,25.06,184600,0.0,0
2008-04-22,24.94,25.0,23.92,24.22,375600,0.0,0
2008-04-23,24.33,24.56,23.86,24.56,199700,0.0,0
2008-04-24,24.62,25.19,23.79,24.88,230500,0.0,0
2008-04-25,25.02,25.31,24.59,25.09,145700,0.0,0
2008-04-28,25.04,25.31,24.85,25.31,237100,0.0,0
2008-04-29,25.31,25.31,24.97,25.17,193200,0.0,0
2008-04-30,25.3,25.71,24.95,25.28,374200,0.0,0
2008-05-01,25.3,26.03,25.29,25.95,251700,0.0,0
2008-05-02,26.03,26.04,25.32,25.52,256900,0.0,0
2008-05-05,25.61,25.75,25.36,25.5,156700,0.0,0
2008-05-06,25.3,25.73,25.05,25.45,150400,0.0,0
2008-05-07,25.52,26.16,25.01,25.07,275000,0.0,0
2008-05-08,25.2,25.25,24.83,25.01,129200,0.0,0
2008-05-09,24.83,25.45,24.69,25.3,116700,0.0,0
2008-05-12,25.2,25.54,24.93,25.24,542200,0.0,0
2008-05-13,25.33,25.48,24.95,25.2,397700,0.0,0
2008-05-14,25.19,25.31,24.93,24.95,283500,0.0,0
2008-05-15,24.91,25.33,24.81,25.23,242900,0.0,0
2008-05-16,25.39,25.62,24.45,24.91,297800,0.0,0
2008-05-19,24.85,25.1,24.7,24.81,237700,0.0,0
2008-05-20,24.64,25.01,24.35,24.97,211900,0.0,0
2008-05-21,25.76,26.35,25.02,25.38,513800,0.0,0
2008-05-22,25.52,27.09,25.49,26.75,390500,0.0,0
2008-05-23,26.73,27.72,26.73,27.61,396600,0.0,0
2008-05-27,27.69,28.42,27.61,28.1,344400,0.0,0
2008-05-28,28.32,28.68,27.99,28.25,194700,0.0,0
2008-05-29,28.14,28.83,28.1,28.54,253000,0.0,0
2008-05-30,28.51,28.84,28.31,28.82,271800,0.0,0
2008-06-02,28.82,28.82,28.01,28.6,291600,0.0,0
2008-06-03,28.77,28.84,27.92,28.3,292600,0.0,0
2008-06-04,28.24,28.64,27.93,28.46,306100,0.0,0
2008-06-05,28.48,29.1,28.46,29.06,274100,0.0,0
2008-06-06,28.83,29.03,28.01,28.08,208100,0.0,0
2008-06-09,28.07,28.61,27.93,28.45,228600,0.0,0
2008-06-10,28.18,28.74,28.0,28.57,297600,0.0,0
2008-06-11,28.44,28.64,28.01,28.01,277700,0.0,0
2008-06-12,28.26,28.85,28.26,28.53,242400,0.0,0
2008-06-13,28.78,28.92,28.06,28.63,271600,0.0,0
2008-06-16,28.57,28.74,28.26,28.69,338500,0.0,0
2008-06-17,28.6,28.72,28.11,28.23,291200,0.0,0
2008-06-18,28.13,28.28,27.64,28.1,205100,0.0,0
2008-06-19,28.11,28.27,27.54,28.26,239800,0.0,0
2008-06-20,28.15,28.35,27.45,27.85,499000,0.0,0
2008-06-23,27.97,28.03,27.39,27.52,181200,0.0,0
2008-06-24,26.99,27.45,26.44,26.88,313100,0.0,0
2008-06-25,26.91,27.34,26.79,27.13,433600,0.0,0
2008-06-26,26.88,26.88,25.94,26.03,232900,0.0,0
2008-06-27,26.03,26.18,25.52,25.9,517000,0.0,0
2008-06-30,25.92,26.45,25.68,25.71,291200,0.0,0
2008-07-01,25.48,25.87,25.24,25.77,367300,0.0,0
2008-07-02,25.71,25.94,24.9,25.0,379800,0.0,0
2008-07-03,25.11,25.74,25.04,25.33,178500,0.0,0
2008-07-07,25.52,25.66,24.78,24.94,336000,0.0,0
2008-07-08,24.93,26.14,24.72,26.09,438900,0.15,0
2008-07-09,26.15,26.27,25.01,25.12,305500,0.0,0
2008-07-10,25.04,26.18,24.93,25.93,231500,0.0,0
2008-07-11,25.66,25.92,25.3,25.68,476600,0.0,0
2008-07-14,25.85,26.22,25.42,25.63,357000,0.0,0
2008-07-15,25.3,25.5,24.43,24.67,756400,0.0,0
2008-07-16,24.76,26.27,23.68,26.14,808600,0.0,0
2008-07-17,26.4,26.4,25.87,26.21,425500,0.0,0
2008-07-18,25.99,26.63,25.99,26.46,347100,0.0,0
2008-07-21,26.66,26.76,26.23,26.7,224800,0.0,0
2008-07-22,26.6,27.38,26.57,27.35,287700,0.0,0
2008-07-23,27.3,27.46,26.8,27.09,228100,0.0,0
2008-07-24,27.22,27.52,26.56,26.58,220600,0.0,0
2008-07-25,26.59,27.38,26.59,27.06,257100,0.0,0
2008-07-28,26.92,26.96,26.14,26.56,222400,0.0,0
2008-07-29,26.72,27.33,26.56,27.07,266700,0.0,0
2008-07-30,27.31,27.79,27.08,27.77,247000,0.0,0
2008-07-31,27.51,28.13,27.33,27.42,330300,0.0,0
2008-08-01,27.44,27.53,26.65,26.82,275600,0.0,0
2008-08-04,26.8,27.26,26.44,26.86,223900,0.0,0
2008-08-05,27.12,27.63,27.09,27.57,168600,0.0,0
2008-08-06,27.55,27.68,27.06,27.6,280300,0.0,0
2008-08-07,27.4,28.04,27.07,27.98,223100,0.0,0
2008-08-08,28.01,28.96,27.77,28.55,302500,0.0,0
2008-08-11,28.54,29.85,28.28,29.66,263400,0.0,0
2008-08-12,29.63,29.91,29.46,29.67,199900,0.0,0
2008-08-13,28.95,29.47,28.22,29.17,363100,0.0,0
2008-08-14,28.93,29.38,28.84,29.2,212200,0.0,0
2008-08-15,29.37,29.64,28.63,28.95,264000,0.0,0
2008-08-18,29.14,29.38,28.83,29.11,193600,0.0,0
2008-08-19,28.93,29.11,28.57,28.92,225900,0.0,0
2008-08-20,28.97,29.37,28.38,28.63,264100,0.0,0
2008-08-21,28.37,28.54,27.94,27.98,319600,0.0,0
2008-08-22,28.16,28.45,27.99,28.34,264500,0.0,0
2008-08-25,28.3,28.32,27.18,27.46,302900,0.0,0
2008-08-26,27.39,27.69,27.21,27.46,158500,0.0,0
2008-08-27,27.52,28.08,27.33,27.8,233000,0.0,0
2008-08-28,27.85,28.26,27.74,28.18,179900,0.0,0
2008-08-29,28.12,28.12,27.41,27.45,163400,0.0,0
2008-09-02,27.83,28.81,26.99,27.25,266300,0.0,0
2008-09-03,27.26,27.78,27.12,27.33,294100,0.0,0
2008-09-04,27.06,27.21,26.02,26.13,246900,0.0,0
2008-09-05,26.06,26.23,25.46,25.86,263600,0.0,0
2008-09-08,26.51,26.98,25.9,26.54,348700,0.0,0
2008-09-09,26.6,26.88,25.81,25.81,188800,0.0,0
2008-09-10,26.22,26.67,25.69,25.76,306900,0.0,0
2008-09-11,25.56,25.84,25.33,25.58,438800,0.0,0
2008-09-12,25.37,25.83,25.37,25.83,469500,0.0,0
2008-09-15,25.4,26.07,25.22,25.32,361500,0.0,0
2008-09-16,24.84,26.66,24.69,26.66,539000,0.0,0
2008-09-17,25.43,25.49,23.93,23.97,686800,0.0,0
2008-09-18,24.64,27.01,24.64,26.54,973200,0.0,0
2008-09-19,27.54,29.53,26.75,28.19,1027900,0.0,0
2008-09-22,28.01,28.57,26.74,26.94,417700,0.0,0
2008-09-23,27.06,27.19,26.46,26.46,400800,0.0,0
2008-09-24,26.61,27.06,26.44,26.49,401200,0.0,0
2008-09-25,26.72,27.03,26.25,26.74,219600,0.0,0
2008-09-26,26.29,27.18,26.15,26.91,314200,0.0,0
2008-09-29,26.38,26.56,25.19,25.43,389700,0.0,0
2008-09-30,25.85,26.61,25.41,26.38,363200,0.0,0
2008-10-01,26.26,26.97,25.99,26.89,355400,0.0,0
2008-10-02,26.65,26.65,25.34,25.43,461400,0.0,0
2008-10-03,25.87,26.35,24.89,25.28,735000,0.0,0
2008-10-06,24.59,24.93,22.33,23.77,668900,0.0,0
2008-10-07,24.15,24.6,23.05,23.05,565500,0.0,0
2008-10-08,22.29,24.09,20.72,22.88,771400,0.17,0
2008-10-09,23.3,23.59,21.15,21.15,571300,0.0,0
2008-10-10,21.13,23.01,19.86,22.84,887100,0.0,0
2008-10-13,23.34,23.97,22.47,23.8,876600,0.0,0
2008-10-14,24.58,24.97,22.56,23.15,327100,0.0,0
2008-10-15,22.72,22.92,20.97,20.97,435100,0.0,0
2008-10-16,20.71,22.65,19.79,22.46,1044300,0.0,0
2008-10-17,21.59,23.4,21.08,21.92,423000,0.0,0
2008-10-20,22.18,23.31,22.1,23.31,274100,0.0,0
2008-10-21,23.03,23.06,21.9,22.22,363900,0.0,0
2008-10-22,21.64,21.81,20.45,20.86,348000,0.0,0
2008-10-23,21.03,21.57,19.36,20.74,333900,0.0,0
2008-10-24,18.99,20.31,18.05,19.37,396800,0.0,0
2008-10-27,19.09,19.98,18.8,18.93,228200,0.0,0
2008-10-28,19.3,20.59,18.3,20.58,429400,0.0,0
2008-10-29,20.56,22.45,20.56,21.33,386000,0.0,0
2008-10-30,21.94,22.62,21.52,22.51,278900,0.0,0
2008-10-31,22.49,23.31,22.06,23.31,368600,0.0,0
2008-11-03,23.28,23.66,22.83,23.04,279000,0.0,0
2008-11-04,23.24,23.82,22.81,23.36,270300,0.0,0
2008-11-05,23.05,23.51,21.91,22.04,304800,0.0,0
2008-11-06,21.86,22.37,20.91,21.21,424000,0.0,0
2008-11-07,21.46,22.18,21.08,22.03,232100,0.0,0
2008-11-10,22.55,22.94,21.09,21.42,317400,0.0,0
2008-11-11,21.19,21.54,19.86,20.12,475700,0.0,0
2008-11-12,19.72,19.72,18.74,19.06,593900,0.0,0
2008-11-13,19.15,20.21,18.05,20.21,805800,0.0,0
2008-11-14,19.83,20.57,18.49,18.52,637300,0.0,0
2008-11-17,18.37,18.44,17.81,17.84,765300,0.0,0
2008-11-18,17.11,17.26,16.21,16.84,762800,0.0,0
2008-11-19,16.53,16.77,15.36,15.47,846100,0.0,0
2008-11-20,12.87,13.76,11.43,12.32,1536400,0.0,0
2008-11-21,12.6,13.66,12.13,13.66,820800,0.0,0
2008-11-24,13.84,14.07,13.27,13.75,605400,0.0,0
2008-11-25,13.9,14.24,13.42,14.14,926800,0.0,0
2008-11-26,13.92,15.23,13.66,15.14,577500,0.0,0
2008-11-28,14.96,15.58,14.96,15.53,201900,0.0,0
2008-12-01,15.11,15.2,13.99,14.1,883600,0.0,0
2008-12-02,14.38,15.04,14.22,15.04,477900,0.0,0
2008-12-03,14.66,15.91,14.66,15.75,750800,0.0,0
2008-12-04,15.53,16.31,15.2,15.65,692900,0.0,0
2008-12-05,15.46,16.36,15.26,16.17,742800,0.0,0
2008-12-08,16.54,17.07,16.45,16.96,756300,0.0,0
2008-12-09,16.71,17.44,16.36,17.02,996000,0.0,0
2008-12-10,16.84,17.51,16.84,17.44,639100,0.0,0
2008-12-11,17.26,17.63,17.05,17.33,832900,0.0,0
2008-12-12,16.93,17.47,16.43,17.27,595400,0.0,0
2008-12-15,17.49,17.66,16.39,16.74,697700,0.0,0
2008-12-16,17.04,17.6,16.54,17.54,701800,0.0,0
2008-12-17,17.27,18.23,17.08,17.64,578400,0.0,0
2008-12-18,17.6,17.82,16.85,17.24,499800,0.0,0
2008-12-19,17.81,18.09,17.36,17.5,816300,0.0,0
2008-12-22,17.62,17.89,16.42,17.08,494100,0.0,0
2008-12-23,17.22,17.45,16.53,16.75,483600,0.0,0
2008-12-24,16.72,16.84,16.32,16.62,215900,0.0,0
2008-12-26,16.72,17.02,16.47,16.95,195000,0.0,0
2008-12-29,16.92,17.13,16.21,16.56,247600,0.0,0
2008-12-30,16.69,17.51,16.39,17.51,383700,0.0,0
2008-12-31,17.6,18.18,17.51,18.01,323400,0.0,0
2009-01-02,18.02,18.67,17.56,18.42,411100,0.0,0
2009-01-05,18.54,18.65,18.15,18.38,418400,0.0,0
2009-01-06,18.55,18.94,18.32,18.69,572800,0.0,0
2009-01-07,18.41,18.41,17.58,17.84,390500,0.17,0
2009-01-08,17.67,18.14,17.52,17.76,504300,0.0,0
2009-01-09,17.75,17.89,16.88,17.07,740600,0.0,0
2009-01-12,16.99,17.13,16.36,16.55,448800,0.0,0
2009-01-13,16.53,16.97,16.45,16.72,407700,0.0,0
2009-01-14,16.82,16.82,15.94,16.28,475700,0.0,0
2009-01-15,16.28,16.48,15.47,16.27,496200,0.0,0
2009-01-16,16.51,16.51,15.52,16.13,428300,0.0,0
2009-01-20,15.92,15.92,15.14,15.28,420000,0.0,0
2009-01-21,15.48,16.79,15.36,16.77,642600,0.0,0
2009-01-22,16.42,16.55,15.6,16.03,317300,0.0,0
2009-01-23,15.58,16.44,15.3,16.01,191200,0.0,0
2009-01-26,15.99,16.79,15.9,16.26,345200,0.0,0
2009-01-27,16.31,16.65,16.23,16.49,250300,0.0,0
2009-01-28,16.75,17.19,16.6,17.01,234800,0.0,0
2009-01-29,16.55,16.93,16.16,16.35,173100,0.0,0
2009-01-30,16.52,16.62,15.73,15.84,230200,0.0,0
2009-02-02,15.59,16.22,15.45,16.1,276600,0.0,0
2009-02-03,16.04,16.34,15.68,16.05,311700,0.0,0
2009-02-04,16.1,16.76,16.05,16.32,258800,0.0,0
2009-02-05,16.26,16.98,16.26,16.65,502500,0.0,0
2009-02-06,16.55,17.54,16.55,17.48,357600,0.0,0
2009-02-09,17.44,17.57,17.16,17.31,267600,0.0,0
2009-02-10,17.23,17.58,16.29,16.39,392200,0.0,0
2009-02-11,16.54,16.86,16.17,16.44,380300,0.0,0
2009-02-12,15.92,16.43,15.41,16.29,691600,0.0,0
2009-02-13,16.36,16.71,16.04,16.26,411100,0.0,0
2009-02-17,15.77,15.77,15.23,15.36,396200,0.0,0
2009-02-18,15.41,15.57,15.02,15.1,449300,0.0,0
2009-02-19,15.36,15.4,14.76,15.0,393600,0.0,0
2009-02-20,14.0,15.19,13.51,14.89,816000,0.0,0
2009-02-23,14.99,15.1,13.3,13.52,859700,0.0,0
2009-02-24,13.75,14.11,13.52,14.01,649700,0.0,0
2009-02-25,13.93,14.02,12.83,12.96,686200,0.0,0
2009-02-26,13.27,13.36,12.92,12.93,337600,0.0,0
2009-02-27,12.68,13.26,12.66,12.97,396000,0.0,0
2009-03-02,12.77,12.8,11.89,11.98,553700,0.0,0
2009-03-03,12.24,12.38,11.73,11.91,738100,0.0,0
2009-03-04,12.2,12.5,12.0,12.27,476000,0.0,0
2009-03-05,11.89,12.09,11.45,11.5,410100,0.0,0
2009-03-06,11.69,11.7,10.9,11.23,396600,0.0,0
2009-03-09,11.21,11.45,10.99,11.06,478400,0.0,0
2009-03-10,11.38,11.94,11.24,11.89,703600,0.0,0
2009-03-11,11.93,12.22,11.69,11.83,347100,0.0,0
2009-03-12,11.74,12.55,11.41,12.52,456600,0.0,0
2009-03-13,12.55,12.95,12.41,12.83,355200,0.0,0
2009-03-16,12.8,13.21,12.54,12.59,416500,0.0,0
2009-03-17,12.55,12.89,12.32,12.89,398000,0.0,0
2009-03-18,12.67,13.45,12.54,13.3,492900,0.0,0
2009-03-19,13.46,13.49,12.92,12.99,316300,0.0,0
2009-03-20,13.16,13.16,12.71,12.9,661100,0.0,0
2009-03-23,13.25,13.78,13.18,13.78,444500,0.0,0
2009-03-24,13.55,13.75,13.09,13.11,460600,0.0,0
2009-03-25,13.27,13.62,12.77,13.2,498600,0.0,0
2009-03-26,13.46,14.05,13.28,14.04,435900,0.0,0
