Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,5.59,5.63,5.56,5.63,54100,0.0,0
2008-01-03,5.69,5.7,5.66,5.69,86600,0.0,0
2008-01-04,5.71,5.8,5.71,5.77,140400,0.0,0
2008-01-07,5.79,5.84,5.77,5.82,71100,0.0,0
2008-01-08,5.8,5.86,5.8,5.83,99400,0.0,0
2008-01-09,5.83,5.85,5.81,5.82,52200,0.0,0
2008-01-10,5.85,5.86,5.84,5.86,50400,0.0,0
2008-01-11,5.86,5.89,5.85,5.89,31000,0.0,0
2008-01-14,5.9,5.9,5.87,5.87,47500,0.0,0
2008-01-15,5.88,5.94,5.88,5.9,51800,0.0,0
2008-01-16,5.93,5.95,5.9,5.94,36000,0.0,0
2008-01-17,5.94,5.95,5.89,5.89,47400,0.055,0
2008-01-18,5.83,5.93,5.82,5.83,72000,0.0,0
2008-01-22,5.73,5.85,5.73,5.85,54700,0.0,0
2008-01-23,5.89,5.93,5.86,5.92,58300,0.0,0
2008-01-24,5.95,5.97,5.92,5.94,39600,0.0,0
2008-01-25,5.95,5.95,5.87,5.9,28500,0.0,0
2008-01-28,5.9,5.9,5.84,5.87,76700,0.0,0
2008-01-29,5.89,5.89,5.84,5.87,32300,0.0,0
2008-01-30,5.86,5.86,5.8,5.84,56000,0.0,0
2008-01-31,5.82,5.86,5.81,5.83,35800,0.0,0
2008-02-01,5.79,5.87,5.79,5.85,29000,0.0,0
2008-02-04,5.86,5.86,5.83,5.85,29300,0.0,0
2008-02-05,5.85,5.87,5.84,5.85,16800,0.0,0
2008-02-06,5.86,5.88,5.85,5.87,17400,0.0,0
2008-02-07,5.86,5.88,5.81,5.81,41400,0.0,0
2008-02-08,5.81,5.85,5.8,5.84,30300,0.0,0
2008-02-11,5.84,5.9,5.83,5.9,38400,0.0,0
2008-02-12,5.93,5.94,5.91,5.94,39900,0.0,0
2008-02-13,5.95,5.95,5.85,5.85,54000,0.055,0
2008-02-14,5.82,5.82,5.62,5.62,90600,0.0,0
2008-02-15,5.57,5.62,5.47,5.61,100500,0.0,0
2008-02-19,5.65,5.72,5.61,5.72,68900,0.0,0
2008-02-20,5.72,5.72,5.66,5.67,48100,0.0,0
2008-02-21,5.65,5.67,5.59,5.59,55200,0.0,0
2008-02-22,5.59,5.62,5.53,5.56,32400,0.0,0
2008-02-25,5.57,5.64,5.57,5.6,32700,0.0,0
2008-02-26,5.63,5.63,5.6,5.62,27900,0.0,0
2008-02-27,5.62,5.62,5.55,5.59,38800,0.0,0
