Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,10.04,10.14,9.58,9.76,2164700,0.0,0
2008-01-03,9.7,9.74,9.49,9.54,2038800,0.0,0
2008-01-04,9.49,9.52,8.99,9.11,2627600,0.0,0
2008-01-07,9.11,9.16,8.57,8.72,3732800,0.0,0
2008-01-08,8.92,8.92,8.04,8.08,3646000,0.0,0
2008-01-09,8.18,8.18,7.77,8.13,3421700,0.0,0
2008-01-10,8.24,9.16,8.13,8.91,7933400,0.0,0
2008-01-11,9.08,9.57,8.98,9.01,8055000,0.0,0
2008-01-14,9.35,9.41,8.98,9.15,2745600,0.0,0
2008-01-15,9.02,9.08,8.77,8.84,2730200,0.0,0
2008-01-16,8.67,8.87,8.43,8.57,3814600,0.0,0
2008-01-17,8.57,8.92,8.16,8.25,5501900,0.0,0
2008-01-18,8.57,8.57,8.21,8.38,3796900,0.0,0
2008-01-22,7.95,8.78,7.74,8.43,5391000,0.0,0
2008-01-23,8.3,9.58,8.18,9.23,6897800,0.0,0
2008-01-24,9.2,9.8,9.01,9.41,4860300,0.0,0
2008-01-25,9.51,9.54,8.64,8.69,5273300,0.0,0
2008-01-28,8.75,8.88,8.55,8.6,2776200,0.0,0
2008-01-29,8.62,8.83,8.44,8.52,2806500,0.0,0
2008-01-30,8.53,8.75,8.26,8.37,3907100,0.0,0
2008-01-31,8.43,8.43,8.04,8.24,6526800,0.0,0
2008-02-01,8.39,8.44,8.12,8.4,5118200,0.0,0
2008-02-04,8.36,8.52,8.26,8.45,2044600,0.0,0
2008-02-05,8.35,8.39,8.15,8.18,3118300,0.0,0
2008-02-06,8.19,8.27,7.93,8.0,2340800,0.0,0
2008-02-07,7.92,8.08,7.86,7.94,3170600,0.0,0
2008-02-08,8.0,8.07,7.86,7.86,2130900,0.0,0
2008-02-11,7.94,8.03,7.79,7.98,2082900,0.0,0
2008-02-12,8.06,8.28,7.87,7.9,4070100,0.0,0
2008-02-13,8.0,8.01,7.77,7.91,2487700,0.0,0
2008-02-14,7.9,7.91,7.47,7.56,4912700,0.0,0
2008-02-15,7.56,7.63,7.41,7.44,2908700,0.0,0
2008-02-19,7.56,7.56,7.19,7.24,4256300,0.0,0
2008-02-20,7.21,7.3,7.05,7.29,4586900,0.0,0
2008-02-21,7.32,7.36,7.1,7.15,2748100,0.0,0
2008-02-22,7.21,7.21,6.85,7.06,4228400,0.0,0
2008-02-25,7.04,7.27,6.92,7.16,4017000,0.0,0
2008-02-26,7.15,7.98,7.15,7.63,6877700,0.0,0
2008-02-27,7.71,7.9,7.45,7.72,3807800,0.0,0
2008-02-28,7.72,7.85,7.64,7.66,2575100,0.0,0
2008-02-29,7.63,7.79,7.29,7.41,3959100,0.0,0
2008-03-03,7.33,7.43,7.19,7.29,2280500,0.0,0
2008-03-04,7.22,7.32,6.85,7.09,5193100,0.0,0
2008-03-05,7.17,7.21,6.95,7.12,2373500,0.0,0
2008-03-06,6.97,7.05,6.71,6.76,5085100,0.0,0
2008-03-07,6.69,6.76,6.36,6.55,7166900,0.0,0
2008-03-10,6.46,6.78,6.2,6.73,8756500,0.0,0
2008-03-11,7.14,7.34,6.8,7.27,8133500,0.0,0
2008-03-12,7.23,7.61,7.09,7.39,4253900,0.0,0
2008-03-13,7.19,7.56,6.97,7.52,3738300,0.0,0
2008-03-14,7.53,7.61,6.88,7.08,4014800,0.0,0
2008-03-17,6.69,6.8,6.02,6.53,8870900,0.0,0
2008-03-18,6.64,7.18,6.39,6.83,7270400,0.0,0
2008-03-19,6.73,6.91,6.48,6.56,3669200,0.0,0
2008-03-20,6.55,6.95,6.46,6.94,3609800,0.0,0
2008-03-24,7.08,7.16,6.94,7.05,3171900,0.0,0
2008-03-25,7.12,7.44,7.02,7.3,3653000,0.0,0
2008-03-26,7.27,7.36,7.17,7.25,3051800,0.0,0
2008-03-27,7.38,7.45,6.98,7.02,2819800,0.3,0
2008-03-28,7.11,7.29,6.87,7.02,2081000,0.0,0
2008-03-31,7.1,7.3,7.04,7.26,2801500,0.0,0
2008-04-01,7.36,7.97,7.28,7.86,5342800,0.0,0
2008-04-02,7.87,8.2,7.75,8.09,5056900,0.0,0
2008-04-03,8.08,8.23,7.96,8.13,2658500,0.0,0
2008-04-04,8.11,8.59,8.11,8.53,4000000,0.0,0
2008-04-07,8.66,8.84,8.5,8.73,3687700,0.0,0
2008-04-08,8.69,8.69,8.42,8.5,2359900,0.0,0
2008-04-09,8.53,8.76,8.28,8.49,2368800,0.0,0
2008-04-10,8.43,8.5,8.31,8.35,1550200,0.0,0
2008-04-11,8.32,8.32,8.03,8.12,2095500,0.0,0
2008-04-14,8.12,8.12,7.82,7.86,1903900,0.0,0
2008-04-15,7.87,8.01,7.84,7.93,1485600,0.0,0
2008-04-16,8.16,8.21,7.99,8.08,2352300,0.0,0
2008-04-17,8.11,8.69,7.98,8.52,3605700,0.0,0
2008-04-18,8.76,8.87,8.59,8.7,3207700,0.0,0
2008-04-21,8.64,8.78,8.41,8.55,1210100,0.0,0
2008-04-22,8.55,8.69,8.46,8.52,1321000,0.0,0
2008-04-23,8.42,8.61,8.33,8.39,1144000,0.0,0
2008-04-24,8.32,8.69,8.28,8.48,1300500,0.0,0
2008-04-25,8.58,8.78,8.58,8.78,1783600,0.0,0
2008-04-28,8.78,9.04,8.59,8.67,2288200,0.0,0
2008-04-29,8.6,8.72,8.52,8.6,1203200,0.0,0
2008-04-30,8.52,8.65,8.37,8.54,1641500,0.0,0
2008-05-01,8.47,8.97,8.47,8.92,1844400,0.0,0
