Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,39.4,40.1,38.9,39.6,12000,0,0.0
2008-01-03,40.0,40.0,35.1,35.1,12300,0,0.0
2008-01-04,34.7,35.8,33.1,34.6,15500,0,0.0
2008-01-07,36.1,36.1,34.5,36.0,18700,0,0.0
2008-01-08,36.0,37.0,34.9,35.0,16000,0,0.0
2008-01-09,35.0,35.6,34.5,35.4,19600,0,0.0
2008-01-10,35.4,38.9,33.7,34.1,22600,0,0.0
2008-01-11,32.2,35.8,29.6,33.9,44500,0,0.0
2008-01-14,33.9,34.8,33.1,33.6,9800,0,0.0
2008-01-15,33.2,37.1,33.2,36.3,26600,0,0.0
2008-01-16,35.9,38.1,35.1,35.7,19300,0,0.0
2008-01-17,35.7,38.1,33.8,34.7,17000,0,0.0
2008-01-18,33.8,35.9,33.8,35.9,15200,0,0.0
2008-01-22,32.7,40.0,31.5,39.3,25900,0,0.0
2008-01-23,38.0,43.3,38.0,42.2,15600,0,0.0
2008-01-24,43.0,48.1,41.1,47.4,18100,0,0.0
2008-01-25,48.2,49.3,46.0,49.1,17100,0,0.0
2008-01-28,48.9,49.2,45.0,45.7,30000,0,0.0
2008-01-29,45.9,45.9,41.0,45.2,25700,0,0.0
2008-01-30,45.2,47.2,44.0,46.2,38500,0,0.0
2008-01-31,45.5,46.6,45.0,45.7,21200,0,0.0
2008-02-01,48.5,48.5,45.1,46.7,13800,0,0.0
2008-02-04,46.4,49.3,46.2,48.2,7800,0,0.0
2008-02-05,47.1,50.3,47.1,48.7,11400,0,0.0
2008-02-06,48.6,49.2,47.8,48.3,12000,0,0.0
2008-02-07,48.3,48.3,46.3,47.0,12900,0,0.0
2008-02-08,46.8,46.8,44.5,44.8,10800,0,0.0
2008-02-11,45.0,46.0,42.5,42.8,11700,0,0.0
2008-02-12,42.8,46.8,41.6,43.2,16400,0,0.0
2008-02-13,43.7,46.9,43.3,46.2,14200,0,0.0
2008-02-14,46.8,49.1,44.5,45.0,11100,0,0.0
2008-02-15,44.8,46.5,42.4,45.2,15600,0,0.0
2008-02-19,45.8,51.9,45.8,51.1,21400,0,0.0
2008-02-20,50.8,55.4,50.1,53.9,19700,0,0.0
2008-02-21,54.7,56.5,54.2,55.4,15800,0,0.0
2008-02-22,56.8,57.7,53.3,56.0,17500,0,0.0
2008-02-25,56.1,59.7,55.0,58.1,17700,0,0.0
2008-02-26,57.9,58.8,56.7,56.7,11200,0,0.0
2008-02-27,55.5,58.0,55.2,57.1,24100,0,0.0
2008-02-28,56.5,58.8,56.5,58.6,18600,0,0.0
