Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-03-15,86.1,86.1,86.1,86.1,760,0,0
2018-03-16,86.0,86.0,86.0,86.0,130,0,0
2018-03-19,124.8,124.8,86.1,101.0,2060,0,0
2018-03-20,86.0,86.2,85.0,85.15,1290,0,0
2018-03-21,85.2,85.25,85.2,85.25,620,0,0
2018-03-22,85.25,85.25,85.25,85.25,0,0,0
2018-03-23,85.25,85.25,85.25,85.25,0,0,0
2018-03-26,85.25,85.25,85.25,85.25,270,0,0
2018-03-27,83.0,97.0,83.0,97.0,2140,0,0
2018-03-28,97.0,97.0,97.0,97.0,0,0,0
2018-03-29,97.0,97.0,97.0,97.0,0,0,0
2018-04-02,97.0,97.0,97.0,97.0,0,0,0
2018-04-03,97.0,97.0,97.0,97.0,0,0,0
2018-04-04,97.0,97.0,97.0,97.0,0,0,0
2018-04-05,97.0,97.0,97.0,97.0,0,0,0
2018-04-06,99.9,99.9,99.9,99.9,20,0,0
2018-04-09,99.9,99.9,99.9,99.9,0,0,0
2018-04-10,99.9,99.9,99.9,99.9,0,0,0
2018-04-11,76.55,76.55,76.5,76.5,510,0,0
2018-04-12,90.0,90.0,89.5,89.5,380,0,0
2018-04-13,88.5,89.65,78.1,85.9,390,0,0
2018-04-16,85.9,85.9,85.9,85.9,0,0,0
2018-04-17,85.9,85.9,85.9,85.9,0,0,0
2018-04-18,102.4,102.4,102.4,102.4,10,0,0
2018-04-19,99.9,99.9,96.9,96.9,140,0,0
2018-04-20,96.9,96.9,96.9,96.9,0,0,0
2018-04-23,96.9,96.9,96.9,96.9,0,0,0
2018-04-24,96.9,96.9,96.9,96.9,0,0,0
2018-04-25,96.9,96.9,96.9,96.9,0,0,0
2018-04-26,96.9,96.9,96.9,96.9,0,0,0
2018-04-27,96.9,96.9,96.9,96.9,0,0,0
2018-04-30,96.9,96.9,96.9,96.9,0,0,0
2018-05-01,96.9,96.9,96.9,96.9,0,0,0
2018-05-02,81.7,81.7,81.7,81.7,20,0,0
2018-05-03,81.7,81.7,81.7,81.7,0,0,0
2018-05-04,81.7,81.7,81.7,81.7,0,0,0
2018-05-07,81.7,81.7,81.7,81.7,0,0,0
2018-05-08,81.7,81.7,81.7,81.7,0,0,0
2018-05-09,81.7,81.7,81.7,81.7,0,0,0
2018-05-10,81.7,81.7,81.7,81.7,0,0,0
2018-05-11,83.55,92.0,83.55,84.2,640,0,0
2018-05-14,84.2,84.2,84.2,84.2,0,0,0
2018-05-15,84.2,84.2,84.2,84.2,0,0,0
2018-05-16,84.2,84.2,84.2,84.2,0,0,0
2018-05-17,84.2,84.2,84.2,84.2,0,0,0
2018-05-18,84.2,84.2,84.2,84.2,0,0,0
2018-05-21,81.2,89.0,81.15,81.15,320,0,0
2018-05-22,81.15,81.15,81.15,81.15,0,0,0
2018-05-23,93.0,93.0,93.0,93.0,30,0,0
2018-05-24,93.0,93.0,93.0,93.0,0,0,0
2018-05-25,93.0,93.0,93.0,93.0,0,0,0
2018-05-29,92.95,92.95,90.0,90.0,70,0,0
2018-05-30,90.0,90.0,90.0,90.0,0,0,0
2018-05-31,90.0,90.0,90.0,90.0,0,0,0
2018-06-01,87.95,87.95,87.95,87.95,130,0,0
2018-06-04,87.95,87.95,87.95,87.95,0,0,0
2018-06-05,87.95,87.95,87.95,87.95,0,0,0
2018-06-06,87.95,87.95,87.95,87.95,0,0,0
2018-06-07,87.95,87.95,87.95,87.95,0,0,0
2018-06-08,87.95,87.95,87.95,87.95,10,0,0
2018-06-11,87.95,87.95,87.95,87.95,0,0,0
2018-06-12,87.95,87.95,87.95,87.95,0,0,0
2018-06-13,87.95,87.95,87.95,87.95,0,0,0
2018-06-14,87.95,87.95,87.95,87.95,0,0,0
2018-06-18,80.05,80.05,80.0,80.0,460,0,0
2018-06-19,90.0,90.0,89.95,89.95,1040,0,0
2018-06-20,89.95,89.95,89.95,89.95,20,0,0
2018-06-21,89.95,89.95,89.95,89.95,0,0,0
2018-06-22,89.95,89.95,89.95,89.95,0,0,0
2018-06-25,89.95,89.95,89.95,89.95,0,0,0
2018-06-26,89.95,89.95,89.95,89.95,0,0,0
2018-06-27,89.95,89.95,89.95,89.95,0,0,0
2018-06-28,89.95,89.95,89.95,89.95,0,0,0
2018-06-29,76.05,77.05,76.05,77.05,110,0,0
2018-07-02,94.95,94.95,94.95,94.95,30,0,0
2018-07-03,94.95,94.95,94.95,94.95,0,0,0
2018-07-05,94.95,94.95,94.95,94.95,0,0,0
2018-07-06,94.95,94.95,94.95,94.95,0,0,0
2018-07-09,91.95,91.95,91.95,91.95,80,0,0
2018-07-10,91.95,91.95,91.95,91.95,0,0,0
2018-07-11,91.95,91.95,91.95,91.95,0,0,0
2018-07-12,91.95,91.95,91.95,91.95,0,0,0
