Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,11.1,11.11,10.99,11.07,69200,0.0,0
2008-01-03,11.07,11.1,10.88,10.89,27900,0.0,0
2008-01-04,10.9,10.97,10.76,10.77,79300,0.0,0
2008-01-07,10.87,10.87,10.48,10.67,67900,0.0,0
2008-01-08,10.84,10.86,10.56,10.56,37800,0.0,0
2008-01-09,10.47,10.47,10.05,10.34,58300,0.0,0
2008-01-10,10.23,10.57,10.14,10.54,44200,0.0,0
2008-01-11,10.48,10.48,10.19,10.22,151600,0.0,0
2008-01-14,10.27,10.27,9.84,9.85,205600,0.0,0
2008-01-15,9.61,9.69,9.54,9.58,52900,0.0,0
2008-01-16,9.49,9.57,9.23,9.35,282900,0.0,0
2008-01-17,9.39,9.41,8.92,9.03,260200,0.0,0
2008-01-18,9.12,9.25,8.76,8.93,67200,0.0,0
2008-01-22,8.14,8.89,8.13,8.56,170200,0.0,0
2008-01-23,8.41,8.89,8.33,8.85,178200,0.0,0
2008-01-24,9.07,9.4,9.07,9.29,85600,0.0,0
2008-01-25,9.4,9.42,9.12,9.15,117800,0.0,0
2008-01-28,9.13,9.15,8.99,9.1,41900,0.0,0
2008-01-29,9.18,9.49,9.18,9.45,102900,0.0,0
2008-01-30,9.54,9.63,9.32,9.37,94000,0.0,0
2008-01-31,9.27,9.73,9.24,9.35,329700,0.0,0
2008-02-01,9.36,9.9,9.36,9.89,162900,0.0,0
2008-02-04,9.94,9.94,9.68,9.87,44400,0.0,0
2008-02-05,9.62,9.69,9.3,9.35,51000,0.0,0
2008-02-06,9.49,9.49,9.31,9.33,35300,0.0,0
2008-02-07,9.3,9.39,9.16,9.37,85500,0.0,0
2008-02-08,9.49,9.67,9.4,9.5,59900,0.0,0
2008-02-11,9.54,9.69,9.41,9.57,131200,0.0,0
2008-02-12,9.72,9.83,9.63,9.7,23500,0.0,0
2008-02-13,9.82,10.1,9.7,10.1,85100,0.0,0
2008-02-14,10.18,10.64,10.18,10.43,160100,0.0,0
2008-02-15,10.23,10.38,10.04,10.21,57800,0.0,0
2008-02-19,10.28,10.28,10.03,10.08,35300,0.0,0
2008-02-20,10.03,10.28,10.03,10.28,39200,0.0,0
2008-02-21,10.28,10.58,10.24,10.55,46900,0.0,0
2008-02-22,10.53,10.57,10.21,10.28,46200,0.0,0
2008-02-25,10.35,10.47,10.32,10.43,48700,0.0,0
2008-02-26,10.49,10.57,10.43,10.54,29000,0.0,0
2008-02-27,10.59,10.6,10.43,10.47,38500,0.0,0
2008-02-28,10.51,10.57,10.35,10.54,40100,0.0,0
2008-02-29,10.38,10.53,10.28,10.44,45700,0.0,0
2008-03-03,10.38,10.38,9.86,9.91,35100,0.0,0
2008-03-04,9.89,10.03,9.54,10.03,102200,0.0,0
2008-03-05,9.94,10.03,9.54,9.77,76700,0.0,0
2008-03-06,9.63,9.89,9.63,9.68,45200,0.0,0
2008-03-07,9.62,9.83,9.51,9.6,54300,0.0,0
2008-03-10,9.64,9.74,9.44,9.47,35300,0.0,0
2008-03-11,9.61,9.98,9.35,9.88,64000,0.0,0
2008-03-12,9.86,9.86,9.51,9.71,34900,0.01,0
2008-03-13,9.56,9.89,9.53,9.79,66200,0.0,0
2008-03-14,9.74,9.74,9.44,9.54,53800,0.0,0
2008-03-17,9.37,9.51,9.29,9.4,34900,0.0,0
2008-03-18,9.44,9.52,9.28,9.51,56500,0.0,0
2008-03-19,9.46,9.57,9.02,9.02,69700,0.0,0
2008-03-20,9.03,9.16,8.88,9.15,45000,0.0,0
2008-03-24,9.1,9.84,9.1,9.76,57600,0.0,0
2008-03-25,9.81,10.08,9.56,9.74,112200,0.0,0
2008-03-26,9.79,9.97,9.77,9.89,26200,0.0,0
2008-03-27,9.9,9.99,9.77,9.9,32400,0.0,0
2008-03-28,9.79,9.81,9.42,9.47,32600,0.0,0
2008-03-31,9.39,9.47,9.12,9.4,30200,0.0,0
2008-04-01,9.41,9.55,9.31,9.35,31500,0.0,0
2008-04-02,9.38,9.8,9.33,9.7,37300,0.0,0
2008-04-03,9.71,10.01,9.56,10.0,51200,0.0,0
2008-04-04,10.06,10.06,9.8,9.98,47900,0.0,0
2008-04-07,9.99,10.15,9.89,9.94,34100,0.0,0
2008-04-08,9.91,10.6,9.88,10.33,73800,0.0,0
2008-04-09,10.23,10.29,9.98,10.04,36600,0.0,0
2008-04-10,10.08,10.26,9.98,10.22,36100,0.0,0
2008-04-11,10.04,10.08,9.83,9.87,38700,0.0,0
2008-04-14,9.84,9.96,9.73,9.74,15800,0.0,0
2008-04-15,9.8,9.91,9.55,9.59,61300,0.0,0
2008-04-16,9.77,10.01,9.74,9.88,64500,0.0,0
2008-04-17,9.82,9.82,9.43,9.65,41600,0.0,0
2008-04-18,9.73,9.92,9.69,9.91,32300,0.0,0
2008-04-21,9.94,10.0,9.69,9.73,26600,0.0,0
2008-04-22,9.64,9.72,9.49,9.53,22900,0.0,0
2008-04-23,9.45,9.56,9.41,9.44,19100,0.0,0
2008-04-24,9.48,9.63,9.39,9.55,41700,0.0,0
2008-04-25,9.54,9.59,9.43,9.54,31800,0.0,0
2008-04-28,9.59,9.91,9.54,9.86,24000,0.0,0
2008-04-29,9.94,9.94,9.79,9.9,35900,0.0,0
2008-04-30,9.95,9.99,9.53,9.62,25600,0.0,0
2008-05-01,9.48,9.69,9.39,9.63,31000,0.0,0
2008-05-02,9.83,10.08,9.75,9.99,54200,0.0,0
2008-05-05,10.02,10.09,9.91,9.98,30000,0.0,0
2008-05-06,9.99,10.25,9.98,10.23,12900,0.0,0
2008-05-07,10.18,10.33,10.12,10.22,34400,0.0,0
2008-05-08,10.18,10.36,10.1,10.1,29100,0.0,0
2008-05-09,10.15,10.66,10.15,10.65,29200,0.0,0
2008-05-12,10.63,11.02,10.63,10.99,54200,0.0,0
2008-05-13,10.97,10.97,10.77,10.86,17500,0.0,0
2008-05-14,8.72,11.14,8.72,10.83,65600,0.0,0
2008-05-15,10.89,11.12,10.89,11.07,40700,0.0,0
2008-05-16,11.11,11.12,10.92,10.98,34200,0.0,0
2008-05-19,11.07,11.08,10.89,10.94,9800,0.0,0
2008-05-20,11.01,11.32,11.01,11.26,31800,0.0,0
2008-05-21,11.24,11.35,10.89,10.92,52700,0.0,0
2008-05-22,10.89,11.12,10.84,11.12,105400,0.0,0
2008-05-23,11.06,11.12,10.73,10.9,39200,0.0,0
2008-05-27,10.79,10.88,10.76,10.85,22600,0.0,0
2008-05-28,10.83,11.07,10.83,11.03,25400,0.0,0
2008-05-29,11.03,11.12,11.01,11.06,21500,0.0,0
2008-05-30,11.0,11.1,10.97,11.02,95500,0.0,0
2008-06-02,11.05,11.43,10.97,11.32,37400,0.0,0
2008-06-03,11.28,11.28,11.02,11.1,37100,0.0,0
2008-06-04,11.22,11.45,11.08,11.26,26500,0.0,0
2008-06-05,11.21,11.22,11.06,11.12,45800,0.0,0
2008-06-06,11.21,11.21,10.65,10.76,51400,0.0,0
2008-06-09,10.71,10.77,10.33,10.36,44100,0.0,0
2008-06-10,10.48,10.48,10.06,10.27,31000,0.0,0
2008-06-11,10.34,10.44,10.25,10.37,27200,0.029,0
2008-06-12,10.41,10.43,10.2,10.26,73500,0.0,0
2008-06-13,10.18,10.35,10.01,10.05,57800,0.0,0
2008-06-16,10.05,10.17,10.03,10.13,15300,0.0,0
2008-06-17,10.22,10.4,10.15,10.24,23100,0.0,0
2008-06-18,10.16,10.34,10.07,10.16,25900,0.0,0
2008-06-19,10.22,10.22,9.86,9.98,30200,0.0,0
2008-06-20,9.59,10.21,9.59,10.03,20500,0.0,0
2008-06-23,10.12,10.18,10.08,10.14,15500,0.0,0
2008-06-24,10.13,10.13,9.88,9.97,31900,0.0,0
2008-06-25,9.95,10.01,9.86,10.01,29700,0.0,0
2008-06-26,10.0,10.0,9.48,9.5,47900,0.0,0
2008-06-27,9.44,9.64,9.35,9.63,62200,0.0,0
2008-06-30,9.49,9.6,9.37,9.41,50100,0.0,0
2008-07-01,9.19,9.44,9.04,9.27,62900,0.0,0
2008-07-02,9.44,9.6,9.18,9.39,106300,0.0,0
2008-07-03,9.18,9.21,9.05,9.13,29900,0.0,0
2008-07-07,9.08,9.33,9.08,9.17,47300,0.0,0
2008-07-08,9.27,9.33,9.19,9.23,27000,0.0,0
2008-07-09,9.33,9.67,9.33,9.38,21000,0.0,0
2008-07-10,9.38,9.46,9.22,9.45,30700,0.0,0
2008-07-11,9.35,9.4,8.95,8.95,21700,0.0,0
2008-07-14,8.78,8.85,8.13,8.37,33300,0.0,0
2008-07-15,8.39,8.64,8.23,8.51,52200,0.0,0
2008-07-16,8.07,8.93,7.83,8.68,145400,0.0,0
2008-07-17,8.74,9.07,8.63,8.92,60400,0.0,0
2008-07-18,9.0,9.0,8.7,8.8,39700,0.0,0
2008-07-21,8.91,9.03,8.78,9.03,20900,0.0,0
2008-07-22,8.88,9.21,8.56,9.12,26500,0.0,0
2008-07-23,9.17,9.54,9.1,9.31,31700,0.0,0
2008-07-24,9.21,9.3,8.81,8.83,29100,0.0,0
2008-07-25,8.84,9.03,8.79,8.97,108400,0.0,0
2008-07-28,8.83,8.89,8.63,8.76,35200,0.0,0
2008-07-29,8.75,8.75,8.62,8.64,13600,0.0,0
2008-07-30,8.68,9.18,8.67,9.08,49200,0.0,0
2008-07-31,8.93,9.03,8.82,8.92,27000,0.0,0
2008-08-01,9.0,9.0,8.67,8.92,23200,0.0,0
2008-08-04,8.83,9.13,8.83,9.07,10100,0.0,0
2008-08-05,8.97,8.97,8.47,8.52,83400,0.0,0
2008-08-06,8.57,8.74,8.44,8.64,70700,0.0,0
2008-08-07,8.63,8.63,8.53,8.58,77300,0.0,0
2008-08-08,8.37,8.65,8.37,8.62,27900,0.0,0
2008-08-11,8.61,8.65,8.52,8.54,18600,0.0,0
2008-08-12,8.54,8.7,8.46,8.7,25100,0.0,0
2008-08-13,8.71,8.71,8.43,8.56,26800,0.0,0
2008-08-14,8.52,8.72,8.5,8.65,23500,0.0,0
2008-08-15,8.62,8.71,8.54,8.68,25600,0.0,0
2008-08-18,8.76,8.77,8.63,8.67,24100,0.0,0
2008-08-19,8.58,8.62,8.52,8.52,29700,0.0,0
2008-08-20,8.53,8.61,8.35,8.58,40900,0.0,0
2008-08-21,8.62,8.76,8.61,8.71,40500,0.0,0
2008-08-22,8.72,8.8,8.58,8.78,20200,0.0,0
2008-08-25,8.77,8.78,8.69,8.72,17500,0.0,0
2008-08-26,8.75,8.75,8.58,8.63,22400,0.0,0
2008-08-27,8.68,8.78,8.67,8.74,19100,0.0,0
2008-08-28,8.72,9.06,8.72,9.02,17000,0.0,0
2008-08-29,8.92,8.92,8.7,8.73,27600,0.0,0
2008-09-02,8.79,9.03,8.79,8.88,19000,0.0,0
2008-09-03,8.93,9.08,8.91,8.96,23700,0.0,0
2008-09-04,8.96,8.96,8.54,8.57,73200,0.0,0
2008-09-05,8.57,8.81,8.45,8.69,27200,0.0,0
2008-09-08,8.78,8.86,8.59,8.81,29000,0.0,0
2008-09-09,8.62,8.87,8.62,8.71,47200,0.0,0
2008-09-10,8.74,8.92,8.69,8.83,27000,0.0,0
2008-09-11,8.76,8.76,8.6,8.72,52800,0.028,0
2008-09-12,8.71,8.84,8.69,8.8,31000,0.0,0
2008-09-15,8.49,8.68,8.43,8.44,18100,0.0,0
2008-09-16,8.33,8.33,8.15,8.21,28100,0.0,0
2008-09-17,8.17,8.19,7.7,8.01,46400,0.0,0
2008-09-18,9.66,9.66,7.71,7.85,82700,0.0,0
2008-09-19,8.22,8.55,7.98,8.55,82200,0.0,0
2008-09-22,8.33,8.51,8.08,8.08,137800,0.0,0
