Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,28.56,28.95,28.32,28.48,532000,0.0,0
2008-01-03,28.31,28.81,28.26,28.67,1001900,0.0,0
2008-01-04,28.41,28.41,27.58,27.63,564800,0.0,0
2008-01-07,27.91,28.42,27.47,28.36,1324400,0.0,0
2008-01-08,28.22,28.43,27.74,27.74,608500,0.0,0
2008-01-09,27.53,28.36,27.53,28.31,667300,0.0,0
2008-01-10,27.68,28.17,27.45,27.91,720000,0.0,0
2008-01-11,27.25,27.66,27.15,27.3,858900,0.0,0
2008-01-14,27.57,27.77,27.41,27.5,971600,0.0,0
2008-01-15,27.0,27.0,26.45,26.55,878500,0.0,0
2008-01-16,25.97,26.76,25.92,26.24,1141500,0.0,0
2008-01-17,26.29,26.52,25.61,25.77,1042400,0.0,0
2008-01-18,26.26,26.26,25.58,25.74,927000,0.0,0
2008-01-22,24.33,25.93,23.95,25.66,1220800,0.0,0
2008-01-23,25.19,25.91,24.55,25.91,1089800,0.0,0
2008-01-24,26.69,27.08,26.57,26.97,809900,0.0,0
2008-01-25,28.08,28.24,27.43,27.71,966800,0.0,0
2008-01-28,27.99,27.99,27.02,27.65,685200,0.0,0
2008-01-29,27.72,28.01,27.71,28.01,743400,0.0,0
2008-01-30,26.82,26.89,25.66,26.28,1398600,0.0,0
2008-01-31,25.64,26.75,25.64,26.54,1159300,0.0,0
2008-02-01,26.29,27.33,26.27,27.33,461700,0.0,0
2008-02-04,27.03,27.03,26.66,26.72,331100,0.0,0
2008-02-05,26.16,26.16,25.51,25.55,661100,0.0,0
2008-02-06,25.55,25.78,25.28,25.31,440300,0.0,0
2008-02-07,25.55,25.96,25.5,25.8,614200,0.0,0
2008-02-08,25.08,25.37,24.92,25.03,560000,0.0,0
2008-02-11,25.17,25.38,24.93,25.18,541500,0.0,0
2008-02-12,25.73,25.97,25.45,25.73,1055200,0.0,0
2008-02-13,26.15,26.72,26.15,26.52,582500,0.0,0
2008-02-14,27.41,27.49,26.76,26.89,1260200,0.0,0
2008-02-15,27.02,27.12,26.75,27.01,707600,0.0,0
2008-02-19,28.6,28.66,28.03,28.23,649700,0.0,0
2008-02-20,27.62,28.26,27.62,28.08,807800,0.0,0
2008-02-21,28.19,28.8,28.16,28.32,677800,0.0,0
2008-02-22,28.65,28.65,27.65,28.14,415000,0.0,0
2008-02-25,28.37,29.01,28.37,28.96,510900,0.0,0
2008-02-26,29.02,29.1,28.74,28.98,1475700,0.0,0
2008-02-27,28.84,29.24,28.83,29.03,597500,0.0,0
2008-02-28,28.34,28.75,27.8,28.42,747100,0.0,0
2008-02-29,29.24,29.26,27.69,27.94,734500,0.0,0
2008-03-03,27.68,27.94,27.59,27.87,422800,0.0,0
2008-03-04,27.45,27.58,26.92,27.46,427000,0.0,0
2008-03-05,27.36,27.65,27.16,27.44,539100,0.0,0
2008-03-06,27.55,27.62,27.1,27.13,312500,0.0,0
2008-03-07,27.13,27.47,26.95,27.1,452000,0.0,0
2008-03-10,27.65,27.97,27.32,27.41,451000,0.0,0
2008-03-11,28.26,28.26,27.57,28.12,778600,0.0,0
2008-03-12,28.24,28.7,28.16,28.19,768300,0.0,0
2008-03-13,27.55,28.0,27.2,27.79,517900,0.0,0
2008-03-14,27.63,27.74,26.95,27.08,896100,0.0,0
2008-03-17,26.47,27.15,26.16,26.9,629800,0.0,0
2008-03-18,27.25,28.27,27.25,28.18,563800,0.0,0
2008-03-19,28.65,28.81,27.67,27.68,776300,0.0,0
2008-03-20,27.56,28.47,27.56,28.42,881400,0.0,0
2008-03-24,28.8,29.15,28.52,28.98,444500,0.0,0
