Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,31.9,32.07,31.34,31.39,2719100,0.0,0
2008-01-03,31.1,31.29,30.78,30.88,2843900,0.0,0
2008-01-04,30.61,30.61,29.83,29.98,4874400,0.0,0
2008-01-07,29.86,30.15,29.37,29.64,5231000,0.0,0
2008-01-08,30.33,30.42,29.11,29.2,4495500,0.0,0
2008-01-09,28.83,29.01,28.13,28.94,7048700,0.0,0
2008-01-10,28.56,29.35,28.4,29.09,5794300,0.0,0
2008-01-11,29.29,29.44,28.3,28.44,4195900,0.0,0
2008-01-14,28.64,28.78,28.24,28.35,3609100,0.0,0
2008-01-15,27.85,28.24,27.58,28.03,5621100,0.0,0
2008-01-16,28.12,28.81,27.87,28.42,7414900,0.0,0
2008-01-17,28.75,28.75,27.35,27.41,5012900,0.0,0
2008-01-18,28.06,28.22,27.06,27.5,6572800,0.0,0
2008-01-22,27.04,28.86,27.04,28.64,8791100,0.0,0
2008-01-23,27.82,30.43,27.57,30.37,8689900,0.0,0
2008-01-24,30.48,30.88,30.24,30.77,6055600,0.0,0
2008-01-25,30.77,30.84,29.68,29.77,5394300,0.0,0
2008-01-28,30.19,31.03,29.91,31.0,4553100,0.0,0
2008-01-29,30.05,30.55,29.53,30.02,6460300,0.0,0
2008-01-30,30.24,30.71,29.73,30.08,4159100,0.0,0
2008-01-31,30.12,32.27,30.06,31.92,6677000,0.0,0
2008-02-01,31.92,32.51,31.71,32.19,4671000,0.0,0
2008-02-04,32.07,32.11,30.15,30.21,7633100,0.0,0
2008-02-05,30.09,30.19,29.14,29.27,7376600,0.0,0
2008-02-06,29.91,30.0,29.16,29.19,5480300,0.0,0
2008-02-07,29.29,29.71,29.19,29.37,5181300,0.0,0
2008-02-08,29.27,29.8,28.97,29.34,3322300,0.0,0
2008-02-11,29.28,29.79,29.05,29.74,2868500,0.0,0
2008-02-12,29.77,30.73,29.77,30.45,4041400,0.0,0
2008-02-13,30.77,30.95,30.42,30.67,3358700,0.0,0
2008-02-14,30.75,30.92,30.19,30.24,4436300,0.0,0
2008-02-15,30.14,30.17,29.41,29.73,4922600,0.0,0
2008-02-19,30.35,30.48,29.83,30.11,5418600,0.0,0
2008-02-20,29.75,30.4,29.61,30.25,4766400,0.4,0
2008-02-21,30.13,30.37,29.45,29.66,4003000,0.0,0
2008-02-22,29.87,30.37,29.45,30.37,2823500,0.0,0
2008-02-25,30.41,30.67,29.95,30.57,3323200,0.0,0
2008-02-26,30.37,31.07,30.3,30.85,3030800,0.0,0
2008-02-27,30.64,31.17,30.55,30.74,3049500,0.0,0
2008-02-28,30.26,30.3,29.43,29.47,3445400,0.0,0
2008-02-29,29.46,29.46,28.39,28.56,4541600,0.0,0
2008-03-03,28.58,28.87,28.23,28.65,3439300,0.0,0
2008-03-04,28.44,29.22,28.39,29.07,4775900,0.0,0
2008-03-05,29.01,29.48,28.54,28.86,4042600,0.0,0
