Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-06-18,23.0,23.4,20.64,21.25,4241900,0,0
2014-06-19,21.37,21.76,21.03,21.2,220700,0,0
2014-06-20,21.2,21.41,20.75,21.0,77100,0,0
2014-06-23,21.0,21.02,20.55,20.74,145700,0,0
2014-06-24,20.55,21.76,20.55,21.5,227100,0,0
2014-06-25,21.31,21.82,21.01,21.82,37800,0,0
2014-06-26,21.72,22.1,21.01,21.94,235700,0,0
2014-06-27,22.17,22.19,21.3,22.0,90100,0,0
2014-06-30,21.9,22.29,21.45,22.15,50200,0,0
2014-07-01,22.25,22.78,21.79,22.5,109800,0,0
2014-07-02,22.44,22.84,22.0,22.65,32800,0,0
2014-07-03,22.65,23.34,21.57,22.99,63300,0,0
2014-07-07,22.86,22.99,22.25,22.47,107000,0,0
2014-07-08,22.31,22.52,22.01,22.06,40600,0,0
2014-07-09,22.02,22.44,21.86,21.96,50000,0,0
2014-07-10,21.82,21.82,21.13,21.56,71300,0,0
2014-07-11,21.59,22.4,21.5,21.85,43300,0,0
2014-07-14,22.04,22.04,21.44,21.95,134100,0,0
2014-07-15,21.96,22.25,21.62,21.87,42700,0,0
2014-07-16,21.88,22.1,21.05,21.6,36800,0,0
2014-07-17,21.58,21.86,20.25,20.57,40600,0,0
2014-07-18,20.7,21.1,20.51,21.1,22700,0,0
2014-07-21,21.14,21.14,20.37,20.9,63500,0,0
2014-07-22,20.92,21.63,20.75,21.13,44400,0,0
2014-07-23,21.23,21.52,20.81,21.28,48300,0,0
2014-07-24,21.22,22.0,21.1,21.46,72200,0,0
2014-07-25,21.61,21.76,20.91,21.24,30300,0,0
2014-07-28,20.87,21.17,19.64,20.33,114300,0,0
2014-07-29,20.68,20.68,19.52,19.85,48300,0,0
2014-07-30,20.03,20.42,19.16,19.49,86300,0,0
2014-07-31,19.49,19.53,18.86,19.07,124800,0,0
2014-08-01,19.25,19.76,18.99,19.35,50700,0,0
2014-08-04,19.48,19.58,19.15,19.25,42000,0,0
2014-08-05,19.31,19.45,19.01,19.21,24000,0,0
2014-08-06,19.15,19.69,19.03,19.35,24900,0,0
2014-08-07,19.34,19.64,18.9,19.01,86700,0,0
2014-08-08,19.46,20.2,19.41,19.77,90900,0,0
2014-08-11,19.77,20.04,19.6,19.78,41200,0,0
2014-08-12,19.99,19.99,19.29,19.6,42300,0,0
2014-08-13,19.69,20.04,19.5,19.81,31500,0,0
2014-08-14,19.75,19.99,19.31,19.8,61800,0,0
2014-08-15,19.78,19.99,19.15,19.59,70400,0,0
2014-08-18,19.53,21.05,19.53,21.03,46700,0,0
2014-08-19,21.03,21.74,20.9,21.47,83500,0,0
2014-08-20,21.33,21.74,21.18,21.31,37200,0,0
2014-08-21,21.36,21.5,20.8,21.08,50800,0,0
2014-08-22,20.9,21.05,20.28,20.49,38700,0,0
