Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,35.71,35.71,33.87,34.28,693900,0.0,0
2008-01-03,34.27,34.5,33.8,33.84,552300,0.0,0
2008-01-04,33.44,33.51,32.56,32.8,656600,0.0,0
2008-01-07,33.01,34.16,32.77,33.67,702000,0.0,0
2008-01-08,33.84,33.99,32.54,32.6,573800,0.0,0
2008-01-09,32.63,33.02,31.54,32.72,744700,0.0,0
2008-01-10,32.54,33.81,31.94,33.24,712800,0.0,0
2008-01-11,32.96,33.52,32.5,32.96,503700,0.0,0
2008-01-14,33.26,33.26,32.4,32.84,390100,0.0,0
2008-01-15,32.54,33.07,31.81,32.78,818200,0.0,0
2008-01-16,32.59,34.12,32.59,33.45,835600,0.0,0
2008-01-17,33.52,33.52,31.94,31.99,530800,0.0,0
2008-01-18,32.19,32.53,31.33,31.68,704000,0.0,0
2008-01-22,30.71,33.88,29.95,32.93,1149300,0.0,0
2008-01-23,32.98,36.59,32.05,36.45,1633700,0.0,0
2008-01-24,36.19,37.44,35.68,36.34,1655800,0.0,0
2008-01-25,36.68,37.09,35.65,36.01,879400,0.0,0
2008-01-28,36.01,37.21,35.45,37.12,965500,0.0,0
2008-01-29,37.39,37.63,36.33,37.58,650900,0.0,0
2008-01-30,37.35,38.01,36.91,36.94,894000,0.0,0
2008-01-31,36.47,38.22,35.64,38.01,917600,0.0,0
2008-02-01,38.19,38.97,37.81,38.96,715100,0.0,0
2008-02-04,39.04,39.07,38.21,38.41,642400,0.0,0
2008-02-05,37.81,38.48,37.35,37.69,636700,0.0,0
2008-02-06,37.83,38.29,37.19,37.35,447700,0.0,0
2008-02-07,37.2,38.83,37.14,38.33,584800,0.0,0
2008-02-08,38.26,38.36,37.28,37.59,903700,0.0,0
2008-02-11,37.56,37.74,36.82,37.35,616400,0.0,0
2008-02-12,37.74,37.95,36.96,37.35,503500,0.0,0
2008-02-13,37.71,38.06,36.79,37.62,486900,0.0,0
2008-02-14,37.56,37.56,36.42,36.52,519300,0.0,0
2008-02-15,36.57,36.93,36.05,36.86,379800,0.0,0
2008-02-19,37.36,37.55,36.02,36.08,440200,0.0,0
2008-02-20,35.84,37.71,35.84,37.63,799600,0.0,0
2008-02-21,37.86,38.04,37.05,37.16,535200,0.0,0
2008-02-22,37.35,38.11,36.75,38.09,827800,0.0,0
2008-02-25,38.0,38.25,37.04,38.04,929600,0.0,0
2008-02-26,37.95,38.76,37.89,38.48,852800,0.0,0
2008-02-27,38.53,39.07,38.1,38.74,919400,0.4,0
2008-02-28,38.45,38.46,37.64,37.65,477800,0.0,0
2008-02-29,37.18,37.18,35.88,35.95,766700,0.0,0
2008-03-03,35.95,36.04,35.52,35.89,766400,0.0,0
2008-03-04,35.46,35.83,34.84,35.69,869900,0.0,0
2008-03-05,35.91,36.43,35.06,35.27,712100,0.0,0
2008-03-06,35.03,35.24,34.24,34.24,639900,0.0,0
