Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,59.99,60.5,58.34,59.04,546000,0.0,0
2008-01-03,59.02,59.62,58.74,58.79,326100,0.0,0
2008-01-04,58.34,58.51,56.63,57.2,473400,0.0,0
2008-01-07,58.34,59.09,57.52,58.19,416700,0.0,0
2008-01-08,59.6,60.92,58.76,58.91,527000,0.0,0
2008-01-09,62.33,64.11,61.74,63.9,830600,0.0,0
2008-01-10,66.56,69.01,66.05,68.14,1060800,0.0,0
2008-01-11,64.04,65.21,63.74,63.75,568900,0.0,0
2008-01-14,65.25,65.9,64.91,65.66,285000,0.0,0
2008-01-15,59.7,60.14,57.27,57.98,741500,0.0,0
2008-01-16,58.51,59.87,57.44,58.98,555600,0.0,0
2008-01-17,61.49,61.49,58.58,58.58,504500,0.0,0
2008-01-18,62.98,63.14,61.01,62.25,587000,0.0,0
2008-01-22,52.52,57.59,52.32,55.73,863600,0.0,0
2008-01-23,55.01,57.98,52.72,57.6,541600,0.0,0
2008-01-24,54.84,57.06,54.84,56.45,445500,0.0,0
2008-01-25,58.43,58.43,54.9,55.31,436500,0.0,0
2008-01-28,54.97,55.55,53.16,55.55,580400,0.0,0
2008-01-29,55.58,55.95,54.77,55.79,392500,0.0,0
2008-01-30,54.05,58.5,54.0,54.68,696200,0.0,0
2008-01-31,51.93,54.65,51.92,53.99,486900,0.0,0
2008-02-01,55.56,57.24,55.29,57.03,304000,0.0,0
2008-02-04,59.05,59.05,56.81,57.9,232600,0.0,0
2008-02-05,55.5,56.78,54.02,54.19,294000,0.0,0
2008-02-06,54.26,54.74,51.8,51.92,294500,0.0,0
2008-02-07,52.79,53.65,51.31,53.41,355800,0.0,0
2008-02-08,52.31,53.55,52.15,52.69,228000,0.0,0
2008-02-11,52.88,54.04,52.22,53.95,290800,0.0,0
2008-02-12,54.46,56.09,54.46,55.4,306900,0.0,0
2008-02-13,55.99,56.85,55.45,56.85,267900,0.0,0
2008-02-14,57.45,58.09,56.32,56.39,401000,0.0,0
2008-02-15,58.7,60.17,57.17,60.17,680800,0.0,0
2008-02-19,60.64,61.28,59.95,60.46,528500,0.0,0
2008-02-20,57.75,58.73,56.93,58.46,477900,0.0,0
2008-02-21,58.01,58.43,56.12,56.26,401000,0.0,0
2008-02-22,57.29,58.61,56.49,58.4,314900,0.0,0
2008-02-25,57.33,58.32,56.36,58.28,335300,0.0,0
2008-02-26,57.98,59.06,57.34,58.88,331100,0.0,0
2008-02-27,58.13,59.98,58.13,59.5,273000,0.0,0
2008-02-28,58.01,58.5,57.07,57.08,221000,0.0,0
2008-02-29,56.7,56.96,55.06,55.06,376200,0.0,0
2008-03-03,55.06,55.52,54.29,55.4,282000,0.0,0
2008-03-04,53.9,54.37,52.5,53.33,467400,0.0,0
2008-03-05,54.6,56.32,54.6,55.85,425800,0.0,0
2008-03-06,55.1,55.5,52.93,52.96,332200,0.0,0
2008-03-07,52.87,54.0,51.98,52.41,435100,0.0,0
2008-03-10,53.75,54.32,52.13,52.3,475000,0.0,0
2008-03-11,55.51,57.57,55.13,57.56,856800,0.0,0
2008-03-12,55.13,56.16,54.2,54.43,404100,0.0,0
2008-03-13,52.51,54.3,52.01,53.69,462100,0.0,0
2008-03-14,51.75,51.75,49.48,49.79,621900,0.0,0
