Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,9.51,9.51,9.29,9.4,3367600,0.0,0.0
2008-01-03,9.4,9.57,9.36,9.42,1873600,0.0,0.0
2008-01-04,9.31,9.45,9.28,9.3,2010400,0.0,0.0
2008-01-07,9.32,9.41,9.22,9.39,3537600,0.0,0.0
2008-01-08,9.42,9.64,9.37,9.55,2561600,0.0,0.0
2008-01-09,9.51,9.87,9.51,9.8,3151200,0.0,0.0
2008-01-10,9.77,9.98,9.74,9.91,2643600,0.0,0.0
2008-01-11,9.87,9.91,9.71,9.74,2211600,0.0,0.0
2008-01-14,9.79,9.79,9.64,9.75,1516800,0.0,0.0
2008-01-15,9.66,9.78,9.6,9.68,1530400,0.0,0.0
2008-01-16,9.66,9.92,9.61,9.8,2324400,0.0,0.0
2008-01-17,9.82,9.82,9.66,9.74,2039600,0.0,0.0
2008-01-18,9.75,9.91,9.64,9.65,2397600,0.0,0.0
2008-01-22,9.28,9.6,9.25,9.43,2867600,0.0,0.0
2008-01-23,9.22,9.38,8.81,9.27,3556800,0.0,0.0
2008-01-24,9.3,9.31,8.98,9.06,3020800,0.0,0.0
2008-01-25,9.12,9.22,9.04,9.12,1561600,0.0,0.0
2008-01-28,9.1,9.23,8.97,9.2,2714400,0.0,0.0
2008-01-29,9.25,9.29,9.07,9.18,1470800,0.0,0.0
2008-01-30,9.17,9.34,9.12,9.17,908800,0.0,0.0
2008-01-31,9.06,9.43,9.05,9.38,1642400,0.0,0.0
2008-02-01,9.38,9.51,9.22,9.39,1308400,0.0,0.0
2008-02-04,9.43,9.43,9.25,9.32,2169200,0.0,0.0
2008-02-05,9.51,9.86,9.25,9.64,3427200,0.0,0.0
2008-02-06,9.71,9.77,9.45,9.51,4824000,0.0,0.0
2008-02-07,9.51,9.68,9.5,9.61,2389600,0.08,0.0
2008-02-08,9.63,9.66,9.45,9.55,2402800,0.0,0.0
2008-02-11,9.61,9.67,9.53,9.64,1445600,0.0,0.0
2008-02-12,9.67,9.67,9.57,9.66,2415200,0.0,0.0
2008-02-13,9.72,9.78,9.66,9.69,1639600,0.0,0.0
2008-02-14,9.71,9.71,9.57,9.6,1848000,0.0,0.0
2008-02-15,9.56,9.61,9.46,9.56,1470800,0.0,0.0
2008-02-19,9.65,9.65,9.51,9.52,1113200,0.0,0.0
2008-02-20,9.49,9.56,9.37,9.55,1614400,0.0,0.0
2008-02-21,9.59,9.62,9.41,9.43,1304000,0.0,0.0
2008-02-22,9.45,9.48,9.35,9.47,1216800,0.0,0.0
2008-02-25,9.48,9.61,9.48,9.56,1070400,0.0,0.0
