Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,51.03,51.06,49.39,49.81,348600,0.0,0
2008-01-03,49.79,50.11,48.88,49.13,212900,0.0,0
2008-01-04,48.57,49.37,47.75,48.52,198400,0.0,0
2008-01-07,48.54,49.26,47.49,48.51,271200,0.0,0
2008-01-08,48.61,49.27,48.03,48.87,332000,0.0,0
2008-01-09,48.88,50.47,48.12,50.31,461300,0.0,0
2008-01-10,49.75,51.7,49.19,51.01,387100,0.0,0
2008-01-11,50.72,50.74,49.35,49.52,253200,0.0,0
2008-01-14,49.83,49.87,48.49,49.16,228000,0.0,0
2008-01-15,48.42,48.77,47.53,48.48,292600,0.0,0
2008-01-16,48.35,48.76,47.87,48.35,260700,0.0,0
2008-01-17,48.3,48.73,47.8,48.11,237800,0.0,0
2008-01-18,48.18,48.38,47.01,47.49,242300,0.0,0
2008-01-22,45.5,48.56,45.5,47.49,273600,0.0,0
2008-01-23,46.56,48.25,45.64,48.1,269400,0.0,0
2008-01-24,47.94,49.26,46.65,47.13,486800,0.0,0
2008-01-25,47.54,48.0,46.65,47.07,277700,0.0,0
2008-01-28,46.9,47.81,45.44,47.6,339300,0.0,0
2008-01-29,47.61,47.61,46.43,46.66,211700,0.0,0
2008-01-30,46.37,47.96,46.34,46.61,176300,0.0,0
2008-01-31,46.11,47.78,46.11,46.82,347100,0.0,0
2008-02-01,47.1,47.7,46.55,47.54,192300,0.0,0
2008-02-04,47.59,47.81,45.73,46.55,275300,0.0,0
2008-02-05,45.78,46.4,45.48,45.61,209800,0.0,0
2008-02-06,46.1,46.3,45.34,46.03,219300,0.0,0
2008-02-07,45.61,46.61,45.12,46.58,237500,0.0,0
2008-02-08,46.51,47.39,46.31,47.01,229600,0.0,0
2008-02-11,47.22,47.82,46.48,47.29,218500,0.0,0
2008-02-12,47.44,47.93,47.03,47.84,220000,0.0,0
2008-02-13,47.92,48.75,47.66,48.73,242400,0.0,0
2008-02-14,49.18,49.57,48.06,48.13,170300,0.0,0
2008-02-15,47.98,47.98,47.07,47.28,251200,0.0,0
2008-02-19,47.8,47.82,46.59,46.94,355100,0.0,0
2008-02-20,46.7,46.92,45.58,46.03,404500,0.0,0
2008-02-21,46.08,47.04,45.63,45.69,245300,0.0,0
2008-02-22,43.59,48.27,43.59,47.56,814200,0.06,0
