Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,33.7719,34.2152,33.7719,34.1129,7741900,0.0,0.0
2008-01-03,34.3005,34.8206,34.1214,34.5307,7732200,0.0,0.0
2008-01-04,33.985,34.3261,33.4649,33.5246,7891800,0.0,0.0
2008-01-07,33.661,33.7293,32.8425,33.3371,7727600,0.0,0.0
2008-01-08,33.5672,33.7207,32.7743,32.8425,6463900,0.0,0.0
2008-01-09,32.8681,33.5076,32.7999,33.3711,6802600,0.0,0.0
2008-01-10,33.2518,33.6696,32.9107,33.499,8105300,0.0,0.0
2008-01-11,33.2603,33.8912,33.013,33.6951,6733500,0.0,0.0
2008-01-14,33.8657,34.633,33.8657,34.5136,9039000,0.0,0.0
2008-01-15,34.1555,34.3516,33.5246,33.7122,7974100,0.0,0.0
2008-01-16,33.5076,33.7634,32.4674,32.8084,10032100,0.0,0.0
2008-01-17,32.8596,33.3115,31.2652,31.376,11772000,0.0,0.0
2008-01-18,31.5295,32.2031,31.214,31.7427,11449000,0.0,0.0
2008-01-22,30.1142,31.3505,30.0374,31.1117,10368300,0.0,0.0
2008-01-23,30.1994,31.0009,29.3468,30.6939,15965800,0.0,0.0
2008-01-24,30.7025,31.3505,30.6684,31.1629,8066800,0.0,0.0
2008-01-25,31.4528,31.7597,30.5916,30.7792,8753500,0.0,0.0
2008-01-28,30.7622,31.3675,30.6598,31.1629,9001300,0.0,0.0
2008-01-29,31.4187,31.7,31.3164,31.4442,9024500,0.0,0.0
2008-01-30,31.3675,32.1775,31.2481,31.4357,9332600,0.0,0.0
2008-01-31,31.1799,31.9473,30.8389,31.683,10855200,0.0,0.0
2008-02-01,31.6659,32.331,31.6062,32.1519,7945800,0.0,0.0
2008-02-04,32.1519,32.6123,31.845,32.3821,7437200,0.0,0.0
2008-02-05,31.9132,32.1093,31.5039,31.5039,8223200,0.0,0.0
2008-02-06,31.6574,31.9473,31.2652,31.359,6925600,0.0,0.0
2008-02-07,31.1288,31.9899,31.1288,31.9132,7110900,0.0,0.0
2008-02-08,31.8109,33.0386,31.5721,32.9448,11725800,0.0,0.0
2008-02-11,33.2518,35.1446,33.0045,35.0849,21911600,0.0,0.0
2008-02-12,35.1275,35.7329,34.8035,35.2384,14129600,0.0,0.0
2008-02-13,35.1702,36.1762,35.1702,36.0142,10669600,0.0,0.0
2008-02-14,36.3127,37.0118,36.0398,36.5684,15685700,0.0,0.0
2008-02-15,36.739,37.0885,36.2615,36.7048,14231600,0.0,0.0
2008-02-19,37.259,37.6171,36.8839,37.2164,9787100,0.0,0.0
2008-02-20,36.9777,38.376,36.9436,38.231,9330700,0.0,0.0
2008-02-21,38.1799,38.4953,37.4637,37.6683,12841700,0.0,0.0
2008-02-22,37.5063,38.0179,37.0885,37.8985,11507900,0.0,0.0
2008-02-25,37.8474,39.6464,37.8133,39.4076,11482400,0.0,0.0
2008-02-26,39.3053,39.8169,38.7852,39.4417,18353200,0.0,0.0
2008-02-27,38.7937,39.3735,38.5976,38.6658,12149100,0.0,0.0
2008-02-28,39.0154,39.7742,38.9387,39.4332,20730900,0.0,0.0
2008-02-29,39.2968,39.3309,38.3674,38.555,11223100,0.0,0.0
2008-03-03,38.717,39.4844,38.6232,39.2883,9451000,0.0,0.0
2008-03-04,39.5611,39.9192,38.7085,39.4332,15669100,0.0,0.0
2008-03-05,39.5867,39.8254,38.7938,39.6464,15006900,0.0,0.0
2008-03-06,39.6464,40.013,38.3674,38.4271,11846700,0.0,0.0
2008-03-07,38.1458,38.8705,37.4466,38.1458,11050700,0.0,0.0
2008-03-10,38.3163,38.3163,37.3358,37.5916,7646700,0.0,0.0
2008-03-11,38.6744,39.2456,37.7877,39.203,12256400,0.0,0.0
2008-03-12,39.7401,40.4819,39.5099,39.7998,11879300,0.0,0.0
2008-03-13,39.4076,42.0592,39.3394,41.7779,16750100,0.0,0.0
2008-03-14,42.5197,42.5197,40.4137,40.84,16704900,0.0,0.0
2008-03-17,39.9703,40.2432,38.5294,39.1348,11563200,0.0,0.0
2008-03-18,39.8766,40.8826,39.6719,40.8485,10179500,0.0,0.0
2008-03-19,40.4393,40.661,37.6768,37.6939,11935100,0.0,0.0
2008-03-20,36.9351,37.8303,35.9375,37.7621,14600800,0.0,0.0
2008-03-24,37.7706,38.8449,37.728,38.376,8331200,0.0,0.0
2008-03-25,39.3053,40.03,38.862,39.5611,18721600,0.0,0.0
2008-03-26,39.8084,40.678,39.7316,40.3796,13941700,0.0,0.0
2008-03-27,39.7231,40.3881,39.22,39.3053,16700000,0.0,0.0
2008-03-28,39.1841,39.7049,38.7913,38.851,20315200,0.06433,0.0
2008-03-31,39.0645,39.7818,38.8596,39.4061,10889800,0.0,0.0
2008-04-01,39.4146,40.0038,38.6376,39.8415,10680100,0.0,0.0
2008-04-02,39.7049,40.2343,39.389,39.8672,9339700,0.0,0.0
2008-04-03,38.9877,39.7049,38.6803,39.1072,12906100,0.0,0.0
2008-04-04,39.1499,39.9867,39.1499,39.6366,8163600,0.0,0.0
2008-04-07,40.3795,41.0626,39.9099,40.1575,11602400,0.0,0.0
2008-04-08,40.2941,41.2163,40.0038,40.943,8088700,0.0,0.0
2008-04-09,41.2333,42.2921,41.1821,41.831,10612400,0.0,0.0
2008-04-10,42.1128,42.3348,41.3102,41.8396,10040900,0.0,0.0
2008-04-11,41.2419,41.5664,40.5417,40.6442,7518400,0.0,0.0
2008-04-14,40.499,41.703,40.4307,41.4553,5652000,0.0,0.0
2008-04-15,41.9591,42.1641,41.37,42.1128,6799700,0.0,0.0
2008-04-16,42.4629,43.5729,42.2153,43.5729,11433300,0.0,0.0
2008-04-17,43.4619,43.7181,42.0531,42.2494,9599000,0.0,0.0
2008-04-18,42.2665,43.035,41.4981,43.0265,10166800,0.0,0.0
2008-04-21,43.4278,44.2646,43.0009,44.128,10004300,0.0,0.0
2008-04-22,44.4097,46.8433,44.3244,45.8357,24012100,0.0,0.0
2008-04-23,45.8272,45.8272,44.572,45.3575,12513200,0.0,0.0
2008-04-24,44.8794,45.2551,43.8547,44.2133,13495500,0.0,0.0
2008-04-25,44.7854,46.6896,44.572,46.6896,12766700,0.0,0.0
2008-04-28,46.9628,46.9628,45.8442,45.9382,12614200,0.0,0.0
2008-04-29,45.2465,45.682,43.6413,43.8462,13905300,0.0,0.0
2008-04-30,44.3841,44.4524,42.924,44.145,11036500,0.0,0.0
2008-05-01,43.9828,44.6147,41.7542,43.4876,15107300,0.0,0.0
2008-05-02,44.2475,45.2038,43.2912,44.9733,16656300,0.0,0.0
2008-05-05,45.4088,46.9372,45.3404,46.7408,12883900,0.0,0.0
2008-05-06,46.5103,48.8413,46.5103,48.6022,12482400,0.0,0.0
2008-05-07,49.3878,49.4134,47.7825,47.9191,12952200,0.0,0.0
2008-05-08,48.3119,48.4144,47.0482,48.2863,10554900,0.0,0.0
2008-05-09,48.6705,48.884,47.5178,48.3888,7437100,0.0,0.0
2008-05-12,47.8167,48.0387,47.1763,47.7825,8795200,0.0,0.0
2008-05-13,47.7825,50.105,47.4239,49.7464,14096600,0.0,0.0
2008-05-14,50.0709,50.8906,48.6791,48.8072,10656100,0.0,0.0
2008-05-15,49.3024,50.0623,47.6459,48.7559,14598700,0.0,0.0
2008-05-16,49.2768,50.2075,49.2768,50.1904,9219500,0.0,0.0
2008-05-19,50.4807,51.0785,49.9087,50.3271,9298900,0.0,0.0
2008-05-20,49.8745,50.6515,48.8926,48.8926,26716500,0.0,0.0
2008-05-21,48.7132,48.995,47.3129,47.569,35297500,0.0,0.0
2008-05-22,47.6886,47.996,44.9733,46.1772,24887000,0.0,0.0
2008-05-23,46.7066,46.8945,44.7086,44.8708,14843500,0.0,0.0
2008-05-27,44.6574,46.0833,44.5464,45.4173,16521800,0.0,0.0
2008-05-28,45.2209,46.1089,43.9743,46.0065,16585200,0.0,0.0
2008-05-29,45.5539,46.237,44.5464,44.6659,13116900,0.0,0.0
2008-05-30,45.4173,47.1677,45.3917,46.7664,19342900,0.0,0.0
2008-06-02,46.7408,48.2522,46.57,47.4837,12281900,0.0,0.0
2008-06-03,47.6459,48.4742,46.8774,47.219,9402700,0.0,0.0
2008-06-04,46.7579,47.33,45.7503,45.8784,10770900,0.0,0.0
2008-06-05,46.5956,47.8935,46.3053,47.885,10250300,0.0,0.0
2008-06-06,49.9513,51.7445,49.5244,49.5671,24001200,0.0,0.0
2008-06-09,50.5064,51.9409,50.3783,51.3005,13535900,0.0,0.0
2008-06-10,51.7103,52.4617,49.328,50.2587,16359000,0.0,0.0
2008-06-11,51.087,51.4456,50.0965,50.9504,11066300,0.0,0.0
2008-06-12,50.2673,50.8052,49.2341,49.772,11606800,0.0,0.0
2008-06-13,49.6952,50.9931,49.1146,50.6003,7888800,0.0,0.0
2008-06-16,51.642,52.513,51.0443,52.1373,10192100,0.0,0.0
2008-06-17,52.3166,54.6818,52.2312,54.6476,14412600,0.0,0.0
2008-06-18,55.288,56.4237,54.8953,56.3041,15904800,0.0,0.0
2008-06-19,57.7557,58.1485,53.6059,54.1268,20500000,0.0,0.0
2008-06-20,55.5442,56.0138,53.9645,54.6135,14819900,0.0,0.0
2008-06-23,55.4246,58.0119,55.0746,57.8838,14968700,0.0,0.0
2008-06-24,57.5508,57.5935,55.6979,55.8857,15569900,0.0,0.0
2008-06-25,56.1419,56.1419,52.641,54.4513,20701700,0.0,0.0
2008-06-26,55.0746,55.288,52.846,53.7084,16706900,0.0,0.0
2008-06-27,54.0375,55.4224,53.7639,54.7898,16926400,0.07096,0.0
2008-06-30,56.6877,57.363,55.5079,56.3884,14794300,0.0,0.0
2008-07-01,56.6364,57.7306,55.9952,57.5853,15426900,0.0,0.0
2008-07-02,62.4924,63.2618,59.1754,59.3293,33255300,0.0,0.0
2008-07-03,57.8931,58.765,54.388,57.0895,17104000,0.0,0.0
2008-07-07,56.7219,57.9956,54.1914,55.0035,16758100,0.0,0.0
2008-07-08,54.0973,54.0973,50.7804,52.6184,26520700,0.0,0.0
2008-07-09,50.4726,52.1482,49.3442,49.3442,25569700,0.0,0.0
2008-07-10,49.6605,52.7808,49.3527,52.644,32698000,0.0,0.0
2008-07-11,54.2683,56.397,52.9518,54.3025,26999500,0.0,0.0
2008-07-14,55.1061,55.4994,53.3194,53.858,13606900,0.0,0.0
2008-07-15,53.7554,54.5419,50.5752,50.8573,17483400,0.0,0.0
2008-07-16,50.4299,50.4812,47.1129,48.4465,21010500,0.0,0.0
2008-07-17,48.7286,49.4126,44.4542,46.7966,34661300,0.0,0.0
2008-07-18,47.0189,48.3183,45.4801,46.4461,21858900,0.0,0.0
2008-07-21,46.5829,47.9678,45.8391,47.737,15217500,0.0,0.0
2008-07-22,46.7111,46.8906,43.3514,43.6848,29886100,0.0,0.0
2008-07-23,43.7703,44.7876,39.8464,40.1456,47271300,0.0,0.0
2008-07-24,40.8209,42.4452,38.47,41.9408,56368600,0.0,0.0
2008-07-25,42.1375,42.4025,40.8808,41.2826,23152600,0.0,0.0
2008-07-28,41.8553,43.2403,41.445,41.8297,20284200,0.0,0.0
2008-07-29,41.2911,41.539,39.8635,40.3337,23594400,0.0,0.0
2008-07-30,39.966,43.7446,39.966,43.5566,29310000,0.0,0.0
2008-07-31,43.3942,43.5993,41.9152,42.8727,24301400,0.0,0.0
2008-08-01,42.317,44.2063,41.4707,42.0776,23479800,0.0,0.0
2008-08-04,42.2657,42.317,37.9656,38.6837,30185400,0.0,0.0
2008-08-05,38.47,39.4446,37.4356,38.4016,29103500,0.0,0.0
2008-08-06,38.4443,40.2653,38.4443,39.607,23848900,0.0,0.0
2008-08-07,40.3336,40.6072,38.47,38.564,20110300,0.0,0.0
2008-08-08,37.7775,37.8716,36.5978,37.0081,21035200,0.0,0.0
2008-08-11,37.3159,38.2819,36.0763,37.2133,22974200,0.0,0.0
2008-08-12,37.8117,38.8034,37.2133,38.4871,21509100,0.0,0.0
2008-08-13,38.4956,40.6927,38.2648,40.2738,22804700,0.0,0.0
2008-08-14,39.8549,40.8124,38.9744,39.6668,17304000,0.0,0.0
2008-08-15,39.0513,39.5813,38.299,38.9231,13458300,0.0,0.0
