Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,6.8439,6.9275,6.7224,6.73,2746400,0.0,0
2008-01-03,6.7072,6.768,6.4185,6.4337,2477000,0.0,0
2008-01-04,6.3122,6.3806,6.0008,6.0995,5451200,0.0,0
2008-01-07,6.0995,6.1071,5.8261,5.9172,3618600,0.0,0
2008-01-08,5.9248,6.0767,5.6286,5.6893,3593100,0.0,0
2008-01-09,5.6741,5.6741,5.3247,5.545,5000200,0.0,0
2008-01-10,5.2792,6.0008,5.2184,5.7577,4955000,0.0,0
2008-01-11,5.7197,5.7197,5.3095,5.3551,4679000,0.0,0
2008-01-14,5.3931,5.5374,5.2943,5.4918,2264900,0.0,0
2008-01-15,5.4311,5.4766,5.0893,5.0969,3254400,0.0,0
2008-01-16,5.1804,5.5146,5.1348,5.3551,3782000,0.0,0
2008-01-17,5.3855,5.4918,5.2412,5.3475,3753200,0.0,0
2008-01-18,5.4842,5.4918,5.2336,5.3399,2605400,0.0,0
2008-01-22,5.1196,6.2438,5.1196,6.0615,6438200,0.0,0
2008-01-23,5.9248,6.7983,5.8868,6.6768,5985600,0.0,0
2008-01-24,6.7224,6.9427,6.6844,6.8059,4404300,0.0,0
2008-01-25,6.8667,6.9275,6.3502,6.3806,4784800,0.0,0
2008-01-28,6.373,6.9123,6.2514,6.8971,2462500,0.0,0
2008-01-29,6.8439,7.2313,6.7528,7.1781,5421900,0.0,0
2008-01-30,7.1477,7.5883,7.0338,7.2389,5436800,0.0,0
2008-01-31,7.1477,8.2947,7.1022,8.196,6673600,0.0,0
2008-02-01,8.196,8.234,7.7858,8.0972,4559000,0.0,0
2008-02-04,7.9757,8.0896,7.5123,7.6187,3862700,0.0,0
2008-02-05,7.4896,7.7098,7.33,7.33,3849300,0.0,0
2008-02-06,7.4516,7.7022,7.1781,7.2693,3054000,0.0,0
2008-02-07,7.0338,7.9757,7.0338,7.7174,5310800,0.0,0
2008-02-08,7.5427,7.8086,7.2921,7.3832,3195100,0.0,0
2008-02-11,7.482,7.8086,7.1933,7.7098,2662500,0.0,0
2008-02-12,7.7554,7.9681,7.5883,7.6643,2133400,0.0,0
2008-02-13,7.7098,7.9377,7.5275,7.9149,2253100,0.0,0
2008-02-14,7.9453,7.9453,7.482,7.4972,2188600,0.0,0
2008-02-15,7.6339,7.6491,7.4212,7.6263,2495600,0.0,0
2008-02-19,7.8238,7.8238,7.3528,7.3832,2452300,0.0,0
2008-02-20,7.3604,7.6111,7.2693,7.5655,3403700,0.0,0
2008-02-21,7.5959,7.7782,7.2693,7.2921,3144100,0.0,0
2008-02-22,7.2997,7.5048,7.2161,7.4972,2204300,0.0,0
2008-02-25,7.5048,7.5199,7.2009,7.4516,3314600,0.0,0
2008-02-26,7.4136,7.7934,7.3452,7.7554,4268000,0.0,0
2008-02-27,7.7098,8.1428,7.6111,8.0517,3241300,0.0,0
2008-02-28,8.0289,8.0289,7.482,7.482,2542100,0.0,0
2008-02-29,7.4592,7.4592,7.0414,7.0718,2630000,0.0,0
2008-03-03,7.087,7.1933,6.8819,7.049,2306800,0.0,0
2008-03-04,6.9958,7.4972,6.9882,7.4972,4024600,0.0,0
2008-03-05,7.482,7.482,6.3046,6.4565,8759900,0.0,0
2008-03-06,6.4109,6.4565,5.7425,5.7425,3874000,0.0,0
2008-03-07,5.5982,5.864,5.4842,5.6362,3670400,0.0,0
2008-03-10,5.6362,5.7653,5.3247,5.3247,2756600,0.0,0
2008-03-11,5.4615,5.9248,5.4615,5.8109,3636300,0.0,0
2008-03-12,5.8337,6.221,5.7729,6.0387,4117500,0.0,0
2008-03-13,5.9476,6.0008,5.6741,5.9932,3287300,0.0,0
2008-03-14,6.0084,6.0919,5.5982,5.8033,2643400,0.0,0
2008-03-17,5.659,5.7577,5.4766,5.5602,2876100,0.0,0
2008-03-18,5.6665,5.8185,5.507,5.7729,3790700,0.0,0
2008-03-19,5.7881,5.8792,5.5602,5.5678,2442000,0.0,0
2008-03-20,5.583,5.9628,5.545,5.8716,4552300,0.0,0
2008-03-24,5.902,6.4793,5.864,6.2818,2246300,0.0,0
2008-03-25,6.3502,6.4337,6.1147,6.2818,2033500,0.0,0
2008-03-26,6.2666,6.2666,6.0312,6.0691,1652900,0.0,0
2008-03-27,6.0843,6.1603,5.8261,5.8261,1789400,0.0,0
2008-03-28,5.6134,5.621,5.2564,5.3095,4287200,0.0,0
2008-03-31,5.3323,5.4766,5.2032,5.4007,2379300,0.0,0
2008-04-01,5.4235,5.7501,5.4007,5.7121,2341500,0.0,0
2008-04-02,5.7273,5.7881,5.3323,5.4615,6813800,0.0,0
2008-04-03,5.4387,5.545,5.2412,5.4691,4915300,0.0,0
2008-04-04,5.4615,5.4691,5.264,5.3019,3032100,0.0,0
2008-04-07,5.3323,5.3931,5.1652,5.2184,2910500,0.0,0
2008-04-08,5.188,5.2412,5.0969,5.1576,2846300,0.0,0
2008-04-09,5.1272,5.2184,4.8614,4.8614,3432100,0.0,0
2008-04-10,4.8234,4.907,4.117,4.831,6189000,0.0,0
2008-04-11,4.793,4.793,4.5348,4.5575,4229900,0.0,0
2008-04-14,4.5955,4.6791,4.5424,4.6335,3256700,0.0,0
2008-04-15,4.6639,4.7019,4.5348,4.5727,3231000,0.0,0
2008-04-16,4.5955,4.831,4.5348,4.6943,4711100,0.0,0
2008-04-17,4.6867,4.6867,4.398,4.4816,5798200,0.0,0
2008-04-18,4.5575,4.7019,4.5424,4.5955,4692500,0.0,0
