Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,18.56,18.76,18.06,18.06,1436800,0.0,0
2008-01-03,17.82,18.18,17.8,17.88,1061100,0.0,0
2008-01-04,17.51,17.69,17.16,17.28,1250600,0.0,0
2008-01-07,17.76,17.76,16.99,17.39,1245400,0.0,0
2008-01-08,17.34,17.59,16.89,16.89,1282300,0.0,0
2008-01-09,17.33,17.95,17.13,17.95,1622900,0.0,0
2008-01-10,18.9,19.67,18.73,19.44,3564300,0.0,0
2008-01-11,19.76,20.47,19.53,20.01,2938700,0.0,0
2008-01-14,19.54,19.91,19.54,19.75,1422500,0.0,0
2008-01-15,18.84,18.96,18.27,18.38,1421600,0.0,0
2008-01-16,17.91,18.4,17.43,17.94,1730200,0.0,0
2008-01-17,18.96,19.04,17.94,18.04,1953000,0.0,0
2008-01-18,19.47,19.47,18.45,19.04,2034000,0.0,0
2008-01-22,17.02,18.18,16.5,17.55,2725400,0.0,0
2008-01-23,18.11,18.8,17.22,18.76,2762600,0.0,0
2008-01-24,18.45,19.23,18.45,19.02,1332900,0.0,0
2008-01-25,19.71,19.81,18.56,18.87,1519100,0.0,0
2008-01-28,18.48,19.37,18.48,19.28,1082900,0.0,0
2008-01-29,19.81,19.97,19.48,19.79,2612500,0.0,0
2008-01-30,20.06,20.74,19.62,19.87,1898200,0.0,0
2008-01-31,19.37,20.29,19.07,20.03,1611300,0.0,0
2008-02-01,20.35,21.27,20.35,21.22,1547500,0.0,0
2008-02-04,21.16,21.24,20.84,21.01,1488400,0.0,0
2008-02-05,21.08,21.08,19.62,19.62,1246200,0.0,0
2008-02-06,19.76,20.66,19.3,19.39,1118200,0.0,0
2008-02-07,19.47,20.03,19.04,19.98,997700,0.0,0
2008-02-08,19.68,20.06,19.47,19.63,676100,0.0,0
2008-02-11,19.64,20.06,19.27,20.04,818100,0.0,0
2008-02-12,19.76,20.08,19.57,19.89,1878000,0.0,0
2008-02-13,19.72,19.89,19.53,19.8,2173000,0.0,0
2008-02-14,20.64,20.64,20.07,20.12,2563400,0.0,0
2008-02-15,20.87,21.09,20.67,21.09,1831600,0.0,0
2008-02-19,21.16,21.16,20.34,20.49,1505100,0.0,0
2008-02-20,20.1,20.4,19.69,20.26,1362100,0.0,0
2008-02-21,20.54,20.54,19.47,19.5,1468000,0.0,0
2008-02-22,19.71,20.14,19.37,20.1,1376900,0.0,0
2008-02-25,18.82,19.49,18.82,19.48,2149700,0.0,0
2008-02-26,19.59,20.14,19.45,20.04,1554900,0.0,0
2008-02-27,19.8,20.23,19.61,20.07,1163900,0.0,0
2008-02-28,19.76,20.0,19.1,19.11,939500,0.0,0
2008-02-29,18.71,18.71,17.94,17.97,1264800,0.0,0
2008-03-03,18.19,18.36,17.79,18.17,1353000,0.0,0
2008-03-04,17.4,17.64,16.93,17.26,2006200,0.0,0
2008-03-05,18.12,18.94,18.12,18.54,2377700,0.0,0
2008-03-06,18.49,18.79,17.87,17.94,1065000,0.0,0
2008-03-07,18.84,19.19,18.43,18.59,1920400,0.0,0
2008-03-10,19.19,19.42,18.54,18.65,1641100,0.0,0
2008-03-11,19.54,20.26,19.24,20.26,1681200,0.0,0
2008-03-12,19.7,19.93,19.21,19.26,1258600,0.0,0
2008-03-13,18.49,19.28,18.46,19.04,1618900,0.0,0
2008-03-14,19.38,19.38,18.11,18.15,2181100,0.0,0
2008-03-17,17.35,18.58,17.35,18.15,2717100,0.0,0
2008-03-18,18.43,19.22,18.42,19.13,1530400,0.0,0
2008-03-19,18.61,18.61,17.45,17.5,1669600,0.0,0
2008-03-20,17.22,17.87,16.87,17.8,1558900,0.0,0
2008-03-24,17.34,18.53,17.34,18.14,1921600,0.0,0
2008-03-25,18.62,19.17,18.49,19.15,1400800,0.0,0
2008-03-26,19.14,19.33,18.93,18.95,997400,0.0,0
2008-03-27,19.28,19.34,18.76,18.82,1832400,0.0,0
2008-03-28,18.53,18.53,17.85,17.91,1423100,0.0,0
2008-03-31,17.78,18.06,17.75,18.0,1062300,0.0,0
2008-04-01,18.0,18.78,18.0,18.76,1578900,0.0,0
2008-04-02,18.27,18.3,17.74,17.87,2647200,0.0,0
2008-04-03,17.46,18.38,17.46,18.32,1254500,0.0,0
2008-04-04,18.49,18.49,17.87,17.99,1066300,0.0,0
2008-04-07,18.34,18.62,18.2,18.42,1034600,0.0,0
2008-04-08,18.2,18.63,18.2,18.35,1004600,0.0,0
2008-04-09,17.88,17.94,17.39,17.39,1600300,0.0,0
2008-04-10,17.39,17.73,17.19,17.67,1313900,0.0,0
2008-04-11,17.76,17.76,17.0,17.11,1471900,0.0,0
2008-04-14,17.11,17.38,16.91,17.0,1479400,0.0,0
2008-04-15,17.44,17.58,17.28,17.52,2809000,0.0,0
2008-04-16,17.78,18.13,17.76,18.1,5172200,0.0,0
2008-04-17,18.02,18.21,17.89,18.1,2400200,0.0,0
2008-04-18,18.35,18.35,17.94,18.11,2387800,0.0,0
2008-04-21,18.09,18.1,17.7,18.07,1713400,0.0,0
2008-04-22,17.78,17.99,17.53,17.77,1715600,0.0,0
2008-04-23,17.98,18.54,17.83,18.54,5186800,0.0,0
2008-04-24,18.45,18.79,18.23,18.59,3480100,0.0,0
2008-04-25,17.94,18.1,17.44,17.75,1583800,0.0,0
2008-04-28,17.6,18.09,17.6,17.91,1109400,0.0,0
2008-04-29,18.19,18.39,18.13,18.21,1461800,0.0,0
2008-04-30,18.21,18.58,17.99,18.26,2002700,0.0,0
2008-05-01,18.14,18.43,18.11,18.33,4482700,0.0,0
2008-05-02,18.44,18.54,18.26,18.42,3524400,0.0,0
2008-05-05,18.45,18.76,18.42,18.49,2108700,0.0,0
2008-05-06,18.38,18.65,18.19,18.65,2181600,0.0,0
2008-05-07,18.2,18.23,17.54,17.55,2407800,0.0,0
2008-05-08,18.67,18.76,18.41,18.7,2520500,0.286,0
2008-05-09,18.49,18.67,18.42,18.48,1189700,0.0,0
2008-05-12,18.41,18.58,18.26,18.54,2070300,0.0,0
2008-05-13,18.3,18.5,18.06,18.3,1252400,0.0,0
2008-05-14,18.35,18.68,18.32,18.45,1441200,0.0,0
2008-05-15,18.21,18.46,18.19,18.44,797700,0.0,0
2008-05-16,18.41,18.74,18.41,18.7,897500,0.0,0
2008-05-19,18.66,18.66,18.36,18.41,1873000,0.0,0
2008-05-20,18.15,18.2,17.81,17.86,1460600,0.0,0
2008-05-21,18.34,18.48,17.85,17.96,2218800,0.0,0
2008-05-22,17.93,18.15,17.83,17.99,2067300,0.0,0
2008-05-23,19.56,19.56,19.56,19.56,53900,0.0,0
2008-05-27,19.56,19.56,19.56,19.56,0,0.0,0
2008-05-28,19.56,19.56,19.56,19.56,0,0.0,0
2008-05-29,19.56,19.56,19.56,19.56,0,0.0,0
2008-05-30,19.56,19.56,19.56,19.56,0,0.0,0
2008-06-02,19.56,19.56,19.56,19.56,0,0.0,0
2008-06-03,17.34,17.81,16.92,17.05,4832900,0.0,0
2008-06-04,16.68,16.68,16.31,16.41,3145000,0.0,0
2008-06-05,16.44,16.99,16.44,16.99,2253600,0.0,0
2008-06-06,16.7,16.7,15.62,15.7,3932400,0.0,0
2008-06-09,15.83,16.06,15.65,15.87,1671200,0.0,0
2008-06-10,15.19,15.4,15.05,15.19,1926500,0.0,0
2008-06-11,15.36,15.46,14.9,15.01,1815000,0.0,0
2008-06-12,15.65,16.02,15.65,15.81,2388300,0.0,0
2008-06-13,16.0,16.27,15.93,16.17,1553800,0.0,0
2008-06-16,15.91,16.3,15.88,16.26,913500,0.0,0
2008-06-17,16.81,16.9,16.56,16.58,1571500,0.0,0
2008-06-18,16.78,16.87,16.41,16.67,2361300,0.0,0
2008-06-19,16.39,16.44,16.03,16.28,1577600,0.0,0
2008-06-20,15.83,15.88,15.36,15.37,1557700,0.0,0
2008-06-23,15.2,15.45,15.2,15.35,779200,0.0,0
2008-06-24,15.45,15.83,15.38,15.67,1271500,0.0,0
2008-06-25,15.93,16.26,15.89,16.21,1410200,0.0,0
2008-06-26,15.62,15.62,15.19,15.19,1328000,0.0,0
2008-06-27,15.25,15.64,13.88,15.48,1550400,0.0,0
2008-06-30,15.89,16.04,15.77,15.89,1364800,0.0,0
2008-07-01,15.46,15.77,15.32,15.73,1761300,0.0,0
