Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,18.98,18.98,17.85,18.55,300100,0.0,0.0
2008-01-03,18.55,18.75,18.12,18.63,53600,0.0,0.0
2008-01-04,18.42,18.56,17.86,17.88,117000,0.0,0.0
2008-01-07,17.98,18.57,17.96,18.49,78200,0.0,0.0
2008-01-08,18.6,18.6,17.88,18.18,74900,0.0,0.0
2008-01-09,18.22,18.4,17.82,18.37,46400,0.0,0.0
2008-01-10,18.2,18.43,17.79,18.22,74200,0.0,0.0
2008-01-11,18.11,18.36,17.93,18.04,100400,0.0,0.0
2008-01-14,18.13,18.4,17.93,18.33,46500,0.0,0.0
2008-01-15,18.12,18.72,18.12,18.32,103800,0.0,0.0
2008-01-16,18.25,19.71,18.06,18.77,117800,0.0,0.0
2008-01-17,19.9,19.9,18.87,19.11,113000,0.0,0.0
2008-01-18,19.64,19.64,18.57,19.13,80400,0.0,0.0
2008-01-22,18.41,20.72,17.86,20.51,110400,0.0,0.0
2008-01-23,20.08,20.49,19.45,20.0,142900,0.0,0.0
2008-01-24,20.48,20.67,19.14,19.87,90800,0.0,0.0
2008-01-25,20.15,20.15,19.47,19.86,27700,0.0,0.0
2008-01-28,19.9,20.56,19.45,20.06,67600,0.0,0.0
2008-01-29,20.22,20.22,19.39,19.89,53100,0.0,0.0
2008-01-30,19.68,20.07,19.22,19.94,84500,0.0,0.0
2008-01-31,19.59,20.15,19.44,19.84,205900,0.0,0.0
2008-02-01,20.09,20.09,19.6,19.86,30600,0.0,0.0
2008-02-04,19.85,19.93,19.62,19.87,29500,0.0,0.0
2008-02-05,19.66,20.09,19.63,19.64,83000,0.0,0.0
2008-02-06,19.77,19.89,19.4,19.7,45300,0.0,0.0
2008-02-07,19.63,20.19,19.63,19.98,59600,0.0,0.0
2008-02-08,19.97,20.11,19.68,19.89,69800,0.0,0.0
2008-02-11,19.89,19.89,19.65,19.68,25300,0.0,0.0
2008-02-12,19.75,19.75,19.18,19.48,35500,0.0,0.0
2008-02-13,19.74,19.89,19.38,19.89,26900,0.0,0.0
2008-02-14,19.94,19.94,19.37,19.71,35500,0.0,0.0
2008-02-15,19.54,19.62,19.12,19.46,35700,0.0,0.0
2008-02-19,19.67,19.73,19.13,19.47,40200,0.0,0.0
2008-02-20,19.27,19.91,18.85,19.91,42500,0.0,0.0
2008-02-21,19.89,19.89,19.26,19.33,62600,0.0,0.0
2008-02-22,19.26,19.44,17.82,19.37,187300,0.0,0.0
2008-02-25,19.36,19.36,18.43,19.11,77300,0.0,0.0
2008-02-26,18.98,19.11,18.58,18.85,70600,0.0,0.0
2008-02-27,18.58,19.18,18.2,18.48,55300,0.0,0.0
2008-02-28,18.37,18.37,17.69,18.08,141500,0.0,0.0
2008-02-29,17.85,18.11,17.3,17.35,105000,0.0,0.0
2008-03-03,17.33,17.33,15.4,16.35,426600,0.0,0.0
2008-03-04,16.49,17.46,15.69,16.95,163900,0.0,0.0
2008-03-05,16.84,17.17,16.39,16.76,99900,0.0,0.0
2008-03-06,15.28,15.81,14.01,14.31,733500,0.0,0.0
2008-03-07,15.17,16.12,13.37,14.58,492200,0.0,0.0
2008-03-10,14.53,14.67,13.29,13.38,191700,0.0,0.0
2008-03-11,14.66,14.89,13.18,13.97,258100,0.0,0.0
2008-03-12,14.16,14.24,13.35,13.66,158400,0.0,0.0
2008-03-13,13.16,13.74,12.69,13.69,161500,0.0,0.0
2008-03-14,13.43,13.83,12.6,13.49,81400,0.0,0.0
2008-03-17,11.84,13.3,11.62,12.56,216300,0.0,0.0
2008-03-18,12.83,13.44,12.83,13.27,264700,0.0,0.0
2008-03-19,13.39,14.53,13.28,13.4,110900,0.0,0.0
2008-03-20,13.6,14.1,13.05,14.05,180900,0.0,0.0
2008-03-24,14.24,14.4,13.96,14.08,78500,0.0,0.0
2008-03-25,14.11,14.22,13.77,13.9,129000,0.0,0.0
2008-03-26,13.86,13.89,13.38,13.41,71400,0.0,0.0
2008-03-27,13.57,13.72,13.37,13.52,110300,1.3,0.0
2008-03-28,13.57,13.57,12.93,12.93,48800,0.0,0.0
2008-03-31,13.07,13.29,12.91,13.14,130000,0.0,0.0
2008-04-01,13.2,13.57,11.32,13.09,243200,0.0,0.0
2008-04-02,13.13,14.13,12.93,13.97,101300,0.0,0.0
2008-04-03,13.75,13.89,13.57,13.59,70200,0.0,0.0
2008-04-04,13.72,13.95,13.6,13.7,43200,0.0,0.0
2008-04-07,13.78,13.87,13.2,13.36,98700,0.0,0.0
2008-04-08,13.28,13.41,12.74,12.86,54600,0.0,0.0
2008-04-09,12.93,12.93,12.05,12.05,324000,0.0,0.0
2008-04-10,12.09,12.42,11.69,12.32,67100,0.0,0.0
2008-04-11,12.11,12.46,12.11,12.31,43400,0.0,0.0
2008-04-14,12.28,13.01,12.07,12.98,184300,0.0,0.0
2008-04-15,13.19,13.19,12.01,12.05,85600,0.0,0.0
2008-04-16,12.23,12.58,12.15,12.29,45200,0.0,0.0
2008-04-17,12.25,12.73,12.14,12.52,42500,0.0,0.0
2008-04-18,12.72,13.14,12.55,13.14,93200,0.0,0.0
2008-04-21,13.14,13.39,12.92,12.94,81600,0.0,0.0
2008-04-22,12.83,12.92,12.27,12.28,70000,0.0,0.0
2008-04-23,12.33,12.74,12.23,12.62,145000,0.0,0.0
2008-04-24,12.62,13.11,12.32,13.08,74500,0.0,0.0
2008-04-25,13.16,13.35,13.04,13.21,22600,0.0,0.0
2008-04-28,13.24,14.69,13.21,14.42,72400,0.0,0.0
2008-04-29,14.43,14.8,14.16,14.75,34200,0.0,0.0
2008-04-30,14.63,14.84,14.38,14.82,42500,0.0,0.0
2008-05-01,14.78,15.0,14.37,14.96,110000,0.0,0.0
2008-05-02,15.0,15.1,14.45,14.75,78500,0.0,0.0
2008-05-05,14.9,14.95,14.26,14.87,60100,0.0,0.0
2008-05-06,14.75,14.85,12.42,14.05,309600,0.0,0.0
2008-05-07,13.89,14.03,13.48,13.89,100900,0.0,0.0
2008-05-08,13.89,14.29,13.79,14.11,73200,0.0,0.0
2008-05-09,13.95,14.43,13.82,14.34,67100,0.0,0.0
2008-05-12,14.43,15.16,14.27,15.07,51800,0.0,0.0
2008-05-13,15.12,15.12,14.63,15.03,52600,0.0,0.0
2008-05-14,14.95,15.32,14.84,15.14,60600,0.0,0.0
2008-05-15,15.04,15.12,14.72,15.03,76000,0.0,0.0
2008-05-16,14.85,15.03,14.54,14.84,91800,0.0,0.0
2008-05-19,14.84,14.93,14.53,14.61,43800,0.0,0.0
