Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-05-14,2.25,2.25,2.25,2.25,0,0,0
2008-05-16,2.25,2.25,2.25,2.25,0,0,0
2008-05-19,2.25,2.25,2.25,2.25,0,0,0
2008-05-22,2.25,2.25,2.25,2.25,0,0,0
2008-05-23,2.25,2.25,2.25,2.25,0,0,0
2008-05-27,2.25,2.25,2.25,2.25,0,0,0
2008-05-30,2.25,2.25,2.25,2.25,0,0,0
2008-06-05,2.25,2.25,2.25,2.25,0,0,0
2008-06-06,2.25,2.25,2.25,2.25,0,0,0
2008-06-09,2.25,2.25,2.25,2.25,0,0,0
2008-06-10,2.25,2.25,2.25,2.25,0,0,0
2008-06-12,2.25,2.25,2.25,2.25,0,0,0
2008-06-16,2.25,2.25,2.25,2.25,0,0,0
2008-06-18,2.25,2.25,2.25,2.25,3333,0,0
2008-06-20,2.25,2.25,2.25,2.25,0,0,0
2008-06-23,2.25,2.25,2.25,2.25,0,0,0
2008-06-25,2.55,2.55,2.55,2.55,433,0,0
2008-06-26,2.55,2.55,2.55,2.55,0,0,0
2008-07-01,2.55,2.55,2.55,2.55,0,0,0
2008-07-02,2.55,2.55,2.55,2.55,0,0,0
2008-07-09,2.55,2.55,2.55,2.55,0,0,0
2008-07-14,2.55,2.55,2.55,2.55,0,0,0
2008-07-17,2.55,2.55,2.55,2.55,0,0,0
2008-07-18,2.55,2.55,2.55,2.55,0,0,0
2008-07-21,2.55,2.55,2.55,2.55,767,0,0
2008-07-23,2.55,2.55,2.55,2.55,0,0,0
2008-07-24,2.55,2.55,2.55,2.55,0,0,0
2008-07-25,2.55,2.55,2.55,2.55,0,0,0
2008-07-28,2.25,2.25,2.25,2.25,233,0,0
2008-07-31,2.25,2.25,2.25,2.25,0,0,0
2008-08-05,2.25,2.25,2.25,2.25,0,0,0
2008-08-08,2.25,2.25,2.25,2.25,0,0,0
2008-08-11,2.25,2.25,2.25,2.25,0,0,0
