Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,65.01,67.25,65.01,66.33,227850,0,0
2008-01-03,66.33,70.0,66.33,68.82,610857,0,0
2008-01-04,67.84,68.84,65.72,66.07,465037,0,0
2008-01-07,65.36,67.15,62.0,64.02,684498,0,0
2008-01-08,64.92,64.92,61.45,61.45,584600,0,0
2008-01-09,61.45,61.45,56.0,59.1,1156205,0,0
2008-01-10,58.53,59.3,56.25,58.3,767295,0,0
2008-01-11,57.05,60.91,57.05,58.8,559626,0,0
2008-01-14,58.36,64.21,58.06,63.41,952779,0,0
2008-01-15,61.69,65.11,61.15,63.82,794967,0,0
2008-01-16,62.12,64.0,59.32,61.41,924757,0,0
2008-01-17,61.68,63.29,54.33,55.49,1214607,0,0
2008-01-18,55.59,57.92,53.95,55.54,600010,0,0
2008-01-22,53.0,61.6,53.0,59.64,885300,0,0
2008-01-23,52.73,53.75,42.4,50.0,4805925,0,0
2008-01-24,47.0,49.29,41.01,46.0,4912010,0,0
2008-01-25,46.08,49.18,45.37,48.34,1750297,0,0
2008-01-28,45.88,49.11,45.86,48.63,238295,0,0
2008-01-29,47.7,50.76,47.61,49.86,614700,0,0
2008-01-30,50.47,50.47,47.34,48.52,766131,0,0
2008-01-31,47.31,49.93,46.06,49.3,738428,0,0
2008-02-01,50.68,51.71,48.5,49.99,549546,0,0
2008-02-04,50.88,50.88,48.79,49.0,307600,0,0
2008-02-05,47.92,48.27,45.62,45.66,856591,0,0
2008-02-06,46.22,47.49,45.47,46.2,308960,0,0
2008-02-07,46.29,46.75,45.1,45.41,480803,0,0
2008-02-08,46.12,46.12,43.52,44.78,1020796,0,0
2008-02-11,44.27,45.35,44.27,45.0,838500,0,0
2008-02-12,45.21,48.1,45.21,47.03,1413627,0,0
2008-02-13,48.32,49.95,46.98,49.06,188926,0,0
2008-02-14,48.96,49.69,47.77,48.21,464770,0,0
2008-02-15,48.29,48.78,47.47,48.37,379450,0,0
2008-02-19,48.25,49.9,48.25,49.25,468415,0,0
2008-02-20,49.0,49.96,48.12,49.69,117600,0,0
2008-02-21,50.05,53.33,50.05,51.3,1301942,0,0
2008-02-22,52.0,52.34,50.03,51.61,568200,0,0
2008-02-25,52.73,52.9,51.26,52.38,390829,0,0
2008-02-26,52.45,53.0,51.68,52.61,293105,0,0
2008-02-27,52.49,54.3,52.1,52.56,114900,0,0
2008-02-28,52.76,53.48,51.39,52.09,477317,0,0
2008-02-29,52.01,52.01,50.13,51.5,213387,0,0
2008-03-03,51.32,53.65,50.5,51.83,414590,0,0
2008-03-04,52.14,52.14,49.76,50.97,593504,0,0
2008-03-05,50.88,51.69,50.35,51.31,299000,0,0
2008-03-06,51.0,52.44,50.32,50.46,305439,0,0
2008-03-07,50.28,50.45,48.26,49.18,420400,0,0
2008-03-10,48.67,48.67,46.83,47.05,524500,0,0
2008-03-11,47.9,49.6,47.1,49.6,766500,0,0
2008-03-12,50.33,52.18,49.72,51.88,1062816,0,0
2008-03-13,49.92,52.84,49.42,51.87,928100,0,0
2008-03-14,52.64,53.77,50.29,51.57,629336,0,0
2008-03-17,50.9,50.9,46.9,49.15,914080,0,0
2008-03-18,50.5,52.01,49.7,51.65,387800,0,0
2008-03-19,51.31,52.1,48.06,48.43,544261,0,0
2008-03-20,48.06,48.33,46.31,48.32,1045422,0,0
2008-03-24,48.78,49.37,47.47,48.83,521743,0,0
2008-03-25,48.87,52.58,48.87,51.14,521000,0,0
2008-03-26,51.0,51.99,50.43,50.88,236200,0,0
2008-03-27,51.55,52.0,50.26,50.88,371258,0,0
2008-03-28,51.46,53.0,51.19,51.47,287100,0,0
2008-03-31,51.85,52.36,51.25,52.03,267800,0,0
2008-04-01,52.75,53.94,51.69,53.23,283280,0,0
2008-04-02,52.88,52.96,51.86,52.26,155000,0,0
2008-04-03,52.7,54.91,52.5,54.25,340939,0,0
2008-04-04,54.5,56.0,54.11,55.35,271750,0,0
2008-04-07,55.79,57.55,54.79,57.17,918478,0,0
2008-04-08,56.7,57.66,55.79,56.47,428260,0,0
2008-04-09,57.47,57.75,55.92,56.2,427300,0,0
2008-04-10,56.91,57.49,55.8,56.0,201607,0,0
2008-04-11,55.39,55.79,53.81,54.18,326800,0,0
2008-04-14,53.72,55.13,53.72,54.74,319951,0,0
2008-04-15,54.84,55.0,53.53,54.39,268058,0,0
2008-04-16,55.49,55.88,54.95,55.7,626999,0,0
2008-04-17,55.41,57.23,54.71,55.59,351152,0,0
2008-04-18,56.94,58.0,56.1,56.76,754487,0,0
2008-04-21,56.92,57.31,56.52,56.7,625324,0,0
2008-04-22,57.81,58.0,56.64,56.9,718212,0,0
2008-04-23,56.42,57.81,55.27,56.05,490162,0,0
2008-04-24,50.59,51.0,45.23,46.61,3344126,0,0
2008-04-25,47.34,47.81,46.32,46.59,1014817,0,0
2008-04-28,47.0,48.0,46.33,47.25,575500,0,0
2008-04-29,47.22,47.49,42.06,44.81,2313279,0,0
2008-04-30,44.75,45.39,42.65,43.14,1277098,0,0
2008-05-01,42.33,43.48,41.61,42.85,726192,0,0
2008-05-02,43.66,43.78,43.0,43.42,563531,0,0
2008-05-05,43.34,43.73,42.52,42.7,348412,0,0
2008-05-06,41.73,43.47,41.7,43.16,529551,0,0
2008-05-07,43.5,44.24,42.02,42.39,477104,0,0
2008-05-08,43.18,44.25,42.21,43.85,661085,0,0
2008-05-09,43.85,44.25,42.9,43.86,216147,0,0
2008-05-12,43.51,45.17,43.27,44.65,895838,0,0
2008-05-13,45.14,46.63,44.67,46.49,727607,0,0
2008-05-14,45.67,46.52,45.06,45.22,731558,0,0
2008-05-15,45.31,46.05,45.1,45.65,402547,0,0
2008-05-16,46.22,46.35,45.6,45.96,373492,0,0
2008-05-19,46.57,47.43,45.79,45.87,772914,0,0
2008-05-20,45.8,45.88,44.76,45.87,330706,0,0
2008-05-21,46.3,47.09,45.31,45.42,428623,0,0
2008-05-22,45.73,46.41,45.17,46.01,459604,0,0
2008-05-23,46.3,46.3,45.07,45.55,236119,0,0
2008-05-27,45.33,45.6,44.3,44.67,424616,0,0
2008-05-28,45.0,46.32,44.8,46.17,519136,0,0
2008-05-29,45.7,45.88,44.72,45.18,365516,0,0
2008-05-30,45.01,45.49,44.62,44.69,310362,0,0
2008-06-02,44.85,45.12,43.46,43.66,465607,0,0
2008-06-03,43.56,43.66,42.08,42.81,686703,0,0
2008-06-04,42.79,42.9,41.73,42.45,516317,0,0
2008-06-05,42.37,43.39,41.98,42.96,308193,0,0
2008-06-06,42.39,44.13,42.39,43.2,467800,0,0
2008-06-09,43.36,43.8,42.76,43.22,426813,0,0
2008-06-10,43.49,43.49,41.96,42.24,504359,0,0
2008-06-11,42.24,42.35,40.93,41.18,396013,0,0
2008-06-12,41.15,41.92,40.2,40.42,451567,0,0
2008-06-13,40.31,41.14,40.05,40.5,419524,0,0
2008-06-16,40.86,42.66,40.68,42.22,786108,0,0
2008-06-17,42.26,43.29,41.73,42.19,517907,0,0
2008-06-18,42.06,42.32,41.38,41.66,303733,0,0
2008-06-19,41.89,42.15,41.24,41.5,220185,0,0
2008-06-20,41.13,41.16,39.23,40.4,530289,0,0
2008-06-23,40.1,40.7,39.59,39.69,335671,0,0
2008-06-24,39.21,39.5,36.73,36.97,840399,0,0
2008-06-25,37.43,37.43,34.61,34.95,1019550,0,0
2008-06-26,34.85,34.89,33.67,34.06,530956,0,0
2008-06-27,34.27,34.29,33.52,33.89,315258,0,0
2008-06-30,33.72,34.33,33.72,33.97,340231,0,0
2008-07-01,33.5,34.12,32.53,32.98,525774,0,0
2008-07-02,32.73,33.43,29.58,29.58,945960,0,0
2008-07-03,29.45,29.81,28.68,29.19,546787,0,0
