Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,10.05,10.19,9.87,9.91,2176200,0.0,0
2008-01-03,9.92,9.99,9.76,9.8,2657800,0.0,0
2008-01-04,9.79,9.8,9.67,9.7,3254100,0.0,0
2008-01-07,9.75,9.82,9.63,9.76,2884600,0.0,0
2008-01-08,9.78,9.99,9.75,9.83,2562600,0.0,0
2008-01-09,9.86,9.98,9.8,9.98,2465800,0.0,0
2008-01-10,9.95,10.03,9.85,9.97,2556400,0.0,0
2008-01-11,9.86,10.03,9.85,9.88,1488800,0.0,0
2008-01-14,9.98,9.98,9.82,9.84,1912500,0.0,0
2008-01-15,9.74,9.86,9.65,9.65,2442900,0.0,0
2008-01-16,9.65,9.81,9.61,9.72,2940900,0.0,0
2008-01-17,9.65,9.69,9.39,9.41,3440000,0.0,0
2008-01-18,9.41,9.56,9.24,9.33,3477600,0.0,0
2008-01-22,8.75,9.23,8.56,9.08,4071200,0.0,0
2008-01-23,8.78,9.32,8.77,9.3,3799100,0.0,0
2008-01-24,9.33,9.37,9.01,9.05,2512200,0.0,0
2008-01-25,9.15,9.18,8.93,9.01,3922100,0.0,0
2008-01-28,9.03,9.36,9.02,9.28,3134200,0.0,0
2008-01-29,9.35,9.36,9.17,9.25,2409100,0.0,0
2008-01-30,9.26,9.46,9.21,9.26,2440600,0.0,0
2008-01-31,9.16,9.47,9.12,9.39,2443900,0.0,0
2008-02-01,9.37,9.49,9.33,9.49,2857100,0.0,0
2008-02-04,9.48,9.68,9.43,9.6,2167000,0.0,0
2008-02-05,9.49,9.55,9.27,9.33,1986100,0.0,0
2008-02-06,9.39,9.44,9.26,9.31,1263500,0.0,0
2008-02-07,9.24,9.32,9.15,9.26,1833700,0.0,0
2008-02-08,9.18,9.26,9.11,9.15,1580900,0.0,0
2008-02-11,9.17,9.17,9.01,9.09,1605400,0.0,0
2008-02-12,9.15,9.25,9.08,9.21,1827600,0.0,0
2008-02-13,9.37,9.37,9.16,9.21,1585000,0.1825,0
2008-02-14,9.21,9.33,9.05,9.08,1736600,0.0,0
2008-02-15,9.06,9.11,8.99,9.09,1796300,0.0,0
2008-02-19,9.19,9.25,9.13,9.18,2119800,0.0,0
2008-02-20,9.17,9.23,9.08,9.23,2236000,0.0,0
2008-02-21,9.28,9.28,8.99,9.02,2042500,0.0,0
2008-02-22,9.02,9.12,8.95,9.12,1687500,0.0,0
2008-02-25,9.14,9.18,9.03,9.15,1922200,0.0,0
2008-02-26,9.15,9.19,9.04,9.11,2853900,0.0,0
2008-02-27,9.11,9.13,8.96,9.06,2836800,0.0,0
2008-02-28,9.09,9.21,8.99,9.08,2560800,0.0,0
2008-02-29,9.07,9.07,8.67,8.73,3574800,0.0,0
2008-03-03,8.69,8.83,8.48,8.62,4965300,0.0,0
2008-03-04,8.54,8.73,8.54,8.67,5172100,0.0,0
2008-03-05,8.7,8.74,8.5,8.62,2475600,0.0,0
2008-03-06,8.56,8.68,8.37,8.48,3856800,0.0,0
2008-03-07,8.47,8.49,8.35,8.44,4413700,0.0,0
2008-03-10,8.46,8.52,8.38,8.49,4173900,0.0,0
2008-03-11,8.67,8.67,8.53,8.65,3180900,0.0,0
2008-03-12,8.65,8.69,8.43,8.44,4607300,0.0,0
2008-03-13,8.36,8.39,8.26,8.32,7071700,0.0,0
2008-03-14,8.36,8.36,8.14,8.27,11047400,0.0,0
2008-03-17,8.26,8.27,8.03,8.23,5050700,0.0,0
2008-03-18,8.32,8.43,8.25,8.42,2988700,0.0,0
2008-03-19,8.5,8.56,8.29,8.3,4683500,0.0,0
2008-03-20,8.35,8.47,8.26,8.42,5619100,0.0,0
2008-03-24,8.44,8.46,8.25,8.27,6169600,0.0,0
2008-03-25,8.24,8.52,8.24,8.46,5104000,0.0,0
2008-03-26,8.43,8.58,8.4,8.45,3167400,0.0,0
2008-03-27,8.45,8.59,8.42,8.43,3689900,0.0,0
2008-03-28,8.51,8.52,8.33,8.35,2789100,0.0,0
2008-03-31,8.33,8.49,8.27,8.48,2487900,0.0,0
2008-04-01,8.44,8.73,8.44,8.71,3012700,0.0,0
2008-04-02,8.77,8.96,8.74,8.94,2874800,0.0,0
2008-04-03,8.86,8.91,8.76,8.81,3773500,0.0,0
2008-04-04,8.81,9.03,8.8,8.88,2804600,0.0,0
2008-04-07,8.96,9.07,8.84,9.0,2560100,0.0,0
2008-04-08,8.95,9.07,8.93,9.0,1708800,0.0,0
2008-04-09,8.99,9.1,8.98,9.0,1951400,0.0,0
2008-04-10,8.99,9.05,8.91,8.93,2702800,0.0,0
2008-04-11,8.89,9.08,8.87,8.97,2523700,0.0,0
2008-04-14,8.99,9.05,8.95,9.0,1966300,0.0,0
2008-04-15,9.07,9.12,9.02,9.07,2893200,0.0,0
2008-04-16,9.08,9.21,9.05,9.18,3027500,0.0,0
2008-04-17,9.18,9.26,9.15,9.2,2222700,0.0,0
2008-04-18,9.35,9.38,9.28,9.33,2627100,0.0,0
2008-04-21,9.33,9.34,9.13,9.21,2033200,0.0,0
2008-04-22,9.18,9.21,9.1,9.16,1877400,0.0,0
2008-04-23,9.21,9.23,9.11,9.2,2685900,0.0,0
2008-04-24,9.19,9.29,9.11,9.18,2109000,0.0,0
2008-04-25,9.24,9.31,9.2,9.25,1819300,0.0,0
