Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,55.47,55.87,54.64,55.03,307600,0.0,0
2008-01-03,55.16,55.64,55.0,55.15,271900,0.0,0
2008-01-04,54.91,55.16,53.6,54.07,428200,0.0,0
2008-01-07,54.41,54.83,53.42,53.75,478900,0.0,0
2008-01-08,53.91,54.1,52.43,52.51,430400,0.0,0
2008-01-09,52.17,52.85,50.99,52.19,524000,0.0,0
2008-01-10,51.65,53.02,51.44,52.54,456500,0.0,0
2008-01-11,51.68,52.41,51.68,51.94,526700,0.0,0
2008-01-14,52.87,53.57,52.14,53.4,390000,0.0,0
2008-01-15,52.74,53.6,52.44,52.69,516000,0.0,0
2008-01-16,52.27,53.19,52.0,52.35,488500,0.0,0
2008-01-17,52.76,53.65,51.56,51.77,541100,0.0,0
2008-01-18,51.67,52.38,49.74,49.74,872200,0.0,0
2008-01-22,47.75,50.95,47.28,50.4,743900,0.0,0
2008-01-23,49.67,53.38,49.67,53.2,805500,0.0,0
2008-01-24,54.74,55.39,53.75,54.17,602900,0.0,0
2008-01-25,55.5,55.65,53.14,53.73,589400,0.0,0
2008-01-28,53.64,55.14,52.49,54.71,485400,0.0,0
2008-01-29,56.19,59.14,55.88,57.61,966600,0.0,0
2008-01-30,55.67,57.54,55.62,56.06,520700,0.0,0
2008-01-31,55.4,57.51,53.96,56.67,769200,0.0,0
2008-02-01,57.63,59.66,57.21,59.45,569700,0.0,0
2008-02-04,59.35,60.36,59.2,59.82,866100,0.0,0
2008-02-05,58.94,59.56,58.08,58.16,581000,0.0,0
2008-02-06,58.67,59.29,58.01,58.23,596900,0.0,0
2008-02-07,57.42,59.41,57.11,58.45,547900,0.0,0
2008-02-08,58.92,60.38,58.58,59.33,561100,0.0,0
2008-02-11,59.21,60.14,58.86,59.76,590700,0.0,0
2008-02-12,60.2,60.44,59.13,59.49,457200,0.0,0
2008-02-13,59.96,60.11,59.03,59.7,497400,0.0,0
2008-02-14,60.38,60.38,58.92,59.25,593300,0.0,0
2008-02-15,58.93,59.25,58.06,59.08,352300,0.0,0
2008-02-19,59.54,60.58,59.27,60.21,694400,0.0,0
