Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,11.24,11.51,11.0,11.29,580900,0.0,0.0
2008-01-03,11.46,11.54,11.22,11.39,375100,0.0,0.0
2008-01-04,11.39,11.39,10.98,11.14,339200,0.0,0.0
2008-01-07,11.22,11.29,10.85,10.92,503700,0.0,0.0
2008-01-08,11.14,11.33,10.95,10.96,569800,0.0,0.0
2008-01-09,11.07,11.51,10.87,11.51,510100,0.0,0.0
2008-01-10,11.51,12.32,11.42,11.96,544600,0.0,0.0
2008-01-11,12.0,12.0,11.45,11.69,504000,0.0,0.0
2008-01-14,11.88,11.88,11.31,11.4,383700,0.0,0.0
2008-01-15,11.38,11.5,11.16,11.36,443400,0.0,0.0
2008-01-16,11.43,11.48,10.99,11.01,466500,0.0,0.0
2008-01-17,11.02,11.32,10.52,10.52,458200,0.0,0.0
2008-01-18,10.49,10.79,10.33,10.45,482500,0.0,0.0
2008-01-22,10.02,10.55,9.52,10.39,711900,0.0,0.0
2008-01-23,10.07,10.62,9.8,10.36,684800,0.0,0.0
2008-01-24,10.48,10.87,10.38,10.76,538700,0.0,0.0
2008-01-25,11.02,11.02,10.44,10.63,306200,0.0,0.0
2008-01-28,10.53,11.21,10.31,10.97,431700,0.0,0.0
2008-01-29,11.13,11.13,10.77,10.77,321600,0.0,0.0
2008-01-30,10.57,10.61,10.16,10.39,822300,0.0,0.0
2008-01-31,10.47,10.62,10.04,10.59,460600,0.0,0.0
2008-02-01,10.73,11.22,10.52,11.14,661100,0.0,0.0
2008-02-04,11.22,11.42,10.98,11.35,327800,0.0,0.0
2008-02-05,11.42,11.42,10.69,10.77,448900,0.0,0.0
2008-02-06,11.38,11.38,10.54,10.55,486800,0.0,0.0
2008-02-07,10.3,10.77,10.3,10.69,520900,0.0,0.0
2008-02-08,10.67,10.67,10.48,10.58,233100,0.0,0.0
2008-02-11,10.82,11.18,10.71,11.08,475400,0.0,0.0
2008-02-12,11.38,11.42,11.02,11.15,560600,0.0,0.0
2008-02-13,11.32,11.76,11.32,11.63,500000,0.0,0.0
2008-02-14,11.73,11.78,11.37,11.61,262900,0.0,0.0
2008-02-15,11.58,11.58,11.27,11.53,185700,0.0,0.0
2008-02-19,11.91,11.91,11.62,11.62,433900,0.0,0.0
2008-02-20,11.48,12.22,11.42,12.07,348100,0.0,0.0
2008-02-21,12.07,12.52,12.07,12.35,433600,0.0,0.0
2008-02-22,12.52,12.62,12.34,12.56,351100,0.0,0.0
2008-02-25,12.62,12.86,12.46,12.67,519700,0.0,0.0
2008-02-26,12.62,13.38,12.62,13.17,547700,0.0,0.0
2008-02-27,13.24,13.83,13.18,13.68,1176300,0.0,0.0
2008-02-28,13.56,13.92,13.31,13.42,973900,0.0,0.0
2008-02-29,13.03,13.32,12.79,12.87,527100,0.0,0.0
2008-03-03,13.14,13.9,13.01,13.89,870300,0.0,0.0
2008-03-04,13.88,13.93,13.33,13.87,909600,0.0,0.0
2008-03-05,14.22,14.22,13.66,14.08,1173200,0.0,0.0
2008-03-06,14.0,14.03,13.58,13.67,615000,0.0,0.0
2008-03-07,13.47,13.66,13.2,13.37,746000,0.87211,0.0
2008-03-10,13.29,13.33,12.89,13.07,934800,0.0,0.0
2008-03-11,13.2,13.71,13.01,13.59,709400,0.0,0.0
2008-03-12,13.46,14.03,13.46,13.91,658700,0.0,0.0
2008-03-13,13.56,13.82,13.11,13.77,735300,0.0,0.0
2008-03-14,13.7,13.89,13.08,13.4,877900,0.0,0.0
2008-03-17,12.81,13.26,12.81,13.06,517500,0.0,0.0
2008-03-18,13.17,13.84,13.17,13.73,447100,0.0,0.0
2008-03-19,13.75,13.93,12.74,12.77,692800,0.0,0.0
2008-03-20,12.61,13.33,12.54,13.26,685400,0.0,0.0
2008-03-24,13.47,13.59,13.16,13.19,347500,0.0,0.0
2008-03-25,13.23,13.45,13.11,13.24,501800,0.0,0.0
2008-03-26,13.5,13.57,12.84,13.09,781400,0.0,0.0
2008-03-27,12.87,13.33,12.86,12.89,615900,0.0,0.0
2008-03-28,13.02,13.09,12.5,12.7,726300,0.0,0.0
2008-03-31,12.56,12.89,12.56,12.72,496900,0.0,0.0
2008-04-01,12.93,13.48,12.81,13.48,608900,0.0,0.0
2008-04-02,13.81,14.18,13.5,14.02,747200,0.0,0.0
2008-04-03,14.24,14.5,13.75,14.08,600200,0.0,0.0
2008-04-04,14.56,14.92,14.52,14.81,1721500,0.0,0.0
2008-04-07,14.97,15.27,14.67,14.69,1380500,0.0,0.0
2008-04-08,14.32,14.37,14.18,14.23,1157800,0.0,0.0
2008-04-09,14.18,14.36,14.1,14.15,704800,0.0,0.0
2008-04-10,14.18,14.52,14.12,14.42,750300,0.0,0.0
2008-04-11,14.31,14.35,14.16,14.17,441300,0.0,0.0
2008-04-14,14.18,14.38,14.04,14.25,610400,0.0,0.0
2008-04-15,14.15,14.42,14.15,14.35,567000,0.0,0.0
2008-04-16,14.4,14.81,14.4,14.68,645800,0.0,0.0
2008-04-17,14.55,14.86,14.55,14.62,572300,0.0,0.0
2008-04-18,14.71,14.74,14.6,14.67,545200,0.0,0.0
2008-04-21,14.95,15.02,14.68,15.01,307200,0.0,0.0
2008-04-22,14.83,14.94,14.6,14.69,554700,0.0,0.0
2008-04-23,14.71,14.74,14.51,14.63,463100,0.0,0.0
2008-04-24,14.64,14.77,14.48,14.69,537500,0.0,0.0
2008-04-25,14.92,15.02,14.56,14.94,494200,0.0,0.0
2008-04-28,15.19,15.19,14.75,14.75,359500,0.0,0.0
2008-04-29,14.65,14.65,14.19,14.23,564900,0.0,0.0
2008-04-30,14.27,15.59,14.23,15.46,710300,0.0,0.0
2008-05-01,15.46,15.94,15.32,15.94,630100,0.0,0.0
2008-05-02,16.25,16.27,15.36,15.47,649100,0.0,0.0
2008-05-05,15.3,15.9,15.3,15.8,581800,0.0,0.0
2008-05-06,15.45,15.66,15.25,15.66,408700,0.0,0.0
2008-05-07,15.46,15.68,14.79,14.91,503100,0.0,0.0
2008-05-08,14.91,15.14,14.81,15.04,445600,0.0,0.0
2008-05-09,14.83,14.96,14.62,14.81,542400,0.0,0.0
2008-05-12,14.91,15.3,14.83,15.04,521200,0.0,0.0
2008-05-13,14.85,14.9,14.66,14.72,806600,0.0,0.0
2008-05-14,14.72,14.78,14.64,14.72,485800,0.0,0.0
2008-05-15,14.7,14.99,14.68,14.97,305900,0.0,0.0
2008-05-16,15.13,15.44,15.02,15.33,484600,0.0,0.0
2008-05-19,15.62,15.62,14.91,15.07,476300,0.0,0.0
2008-05-20,14.92,14.97,14.76,14.86,422200,0.0,0.0
2008-05-21,14.73,14.89,14.58,14.64,334200,0.0,0.0
2008-05-22,14.7,15.12,14.69,14.75,163200,0.0,0.0
2008-05-23,14.94,14.94,14.39,14.61,270600,0.0,0.0
2008-05-27,14.62,14.75,14.26,14.42,338500,0.0,0.0
2008-05-28,14.48,14.78,14.31,14.69,387100,0.0,0.0
2008-05-29,14.69,14.98,14.5,14.55,245700,0.0,0.0
2008-05-30,14.5,14.77,14.49,14.49,460300,0.0,0.0
2008-06-02,14.32,14.56,14.2,14.25,355500,0.0,0.0
2008-06-03,14.39,14.45,13.93,14.1,461900,0.0,0.0
2008-06-04,14.15,14.39,13.98,14.31,392100,0.0,0.0
2008-06-05,14.91,14.91,14.47,14.91,427700,0.0,0.0
2008-06-06,15.12,15.12,14.45,14.46,501800,0.0,0.0
2008-06-09,14.6,14.89,14.51,14.74,300400,0.0,0.0
2008-06-10,14.54,14.54,13.87,14.01,588900,0.0,0.0
2008-06-11,13.98,13.98,13.63,13.7,731900,0.0,0.0
2008-06-12,13.67,13.94,13.56,13.78,416000,0.0,0.0
2008-06-13,13.97,13.97,13.56,13.56,246900,0.0,0.0
2008-06-16,13.67,13.8,13.56,13.62,386800,0.0,0.0
2008-06-17,13.77,13.81,13.58,13.62,513500,0.0,0.0
2008-06-18,13.58,13.72,13.2,13.31,858300,0.0,0.0
2008-06-19,13.45,13.56,13.04,13.23,794900,0.0,0.0
2008-06-20,13.04,13.06,12.76,12.77,534100,0.0,0.0
2008-06-23,12.77,12.88,12.6,12.73,462500,0.0,0.0
2008-06-24,12.93,13.06,12.73,12.91,311800,0.0,0.0
2008-06-25,12.95,13.57,12.95,13.46,561200,0.0,0.0
2008-06-26,13.25,13.7,13.21,13.51,737700,0.0,0.0
2008-06-27,13.51,14.57,13.38,14.57,2339600,0.0,0.0
2008-06-30,14.23,14.39,14.04,14.26,464600,0.0,0.0
2008-07-01,13.79,14.1,13.58,13.82,559300,0.0,0.0
2008-07-02,13.87,14.01,13.39,13.53,432300,0.0,0.0
2008-07-03,13.47,13.72,13.2,13.52,280700,0.0,0.0
2008-07-07,13.96,14.08,13.31,13.64,341600,0.0,0.0
2008-07-08,13.65,13.95,13.54,13.89,357300,0.0,0.0
2008-07-09,13.89,14.03,13.45,13.73,337600,0.0,0.0
2008-07-10,13.65,14.28,13.56,14.23,452300,0.0,0.0
2008-07-11,14.18,14.58,13.98,14.34,469900,0.0,0.0
2008-07-14,14.52,14.73,14.31,14.53,451400,0.0,0.0
2008-07-15,14.47,15.39,14.18,15.2,725700,0.0,0.0
2008-07-16,15.23,15.52,15.03,15.52,924400,0.0,0.0
2008-07-17,15.62,15.63,14.39,14.54,938800,0.0,0.0
2008-07-18,14.64,14.92,14.3,14.64,459100,0.0,0.0
2008-07-21,14.55,15.11,14.55,14.89,987700,0.0,0.0
2008-07-22,14.79,15.07,14.7,14.96,567700,0.0,0.0
2008-07-23,14.96,15.07,14.67,14.8,275200,0.0,0.0
2008-07-24,14.87,14.92,14.49,14.66,237400,0.0,0.0
2008-07-25,14.64,15.03,14.42,14.62,215200,0.0,0.0
2008-07-28,14.68,14.71,14.44,14.5,166600,0.0,0.0
2008-07-29,14.65,14.76,14.34,14.76,278300,0.0,0.0
2008-07-30,14.82,14.93,14.71,14.8,216100,0.0,0.0
2008-07-31,14.52,15.16,14.51,14.79,500900,0.0,0.0
2008-08-01,14.7,14.85,14.45,14.59,179500,0.0,0.0
2008-08-04,14.51,14.64,14.31,14.54,198000,0.0,0.0
2008-08-05,14.42,14.53,14.29,14.38,229100,0.0,0.0
2008-08-06,14.38,14.44,14.18,14.34,173400,0.0,0.0
2008-08-07,14.35,14.36,14.01,14.09,202900,0.0,0.0
2008-08-08,14.14,14.18,13.66,14.14,278900,0.0,0.0
2008-08-11,14.23,14.23,13.31,13.31,508300,0.0,0.0
2008-08-12,13.44,13.45,13.04,13.12,707000,0.0,0.0
2008-08-13,13.18,13.54,13.14,13.43,1656600,0.0,0.0
2008-08-14,13.48,14.01,13.48,13.69,690700,0.0,0.0
2008-08-15,13.7,13.82,13.21,13.39,498500,0.0,0.0
2008-08-18,13.48,13.66,13.31,13.48,590400,0.0,0.0
2008-08-19,13.51,13.96,13.4,13.94,396700,0.0,0.0
2008-08-20,14.08,14.18,13.83,14.15,391100,0.75797,0.0
2008-08-21,14.14,14.14,13.71,13.84,470800,0.0,0.0
2008-08-22,13.83,14.04,13.8,13.86,375400,0.0,0.0
2008-08-25,13.75,13.95,13.63,13.72,590700,0.0,0.0
2008-08-26,13.73,13.92,13.65,13.82,477500,0.0,0.0
2008-08-27,13.8,13.98,13.7,13.87,373600,0.0,0.0
2008-08-28,14.09,14.09,13.84,13.93,371400,0.0,0.0
2008-08-29,13.97,14.05,13.51,13.6,500300,0.0,0.0
2008-09-02,13.56,13.56,12.99,13.09,614100,0.0,0.0
2008-09-03,13.02,13.13,12.46,12.63,876400,0.0,0.0
2008-09-04,12.64,12.64,11.94,12.11,842000,0.0,0.0
2008-09-05,11.7,12.18,11.67,11.98,719000,0.0,0.0
2008-09-08,12.35,12.35,11.61,11.66,940700,0.0,0.0
2008-09-09,11.46,11.67,11.1,11.1,787800,0.0,0.0
2008-09-10,11.2,11.6,10.96,11.14,1271300,0.0,0.0
2008-09-11,10.81,11.14,10.71,10.91,727300,0.0,0.0
2008-09-12,11.04,11.62,10.89,11.43,870600,0.0,0.0
2008-09-15,10.82,11.34,10.82,11.02,420000,0.0,0.0
2008-09-16,10.7,11.06,10.42,10.89,872100,0.0,0.0
2008-09-17,10.64,10.64,9.97,9.99,759900,0.0,0.0
2008-09-18,9.94,10.67,9.51,10.42,1091100,0.0,0.0
2008-09-19,11.61,13.18,10.48,11.77,829700,0.0,0.0
2008-09-22,11.93,12.33,11.78,11.96,593200,0.0,0.0
2008-09-23,11.86,12.23,11.51,11.68,416700,0.0,0.0
2008-09-24,11.78,12.04,11.65,11.89,295500,0.0,0.0
2008-09-25,12.17,12.64,12.1,12.56,545200,0.0,0.0
2008-09-26,12.14,12.75,12.04,12.66,474800,0.0,0.0
2008-09-29,11.67,11.97,10.37,10.37,1178700,0.0,0.0
2008-09-30,11.39,12.34,11.22,12.07,843200,0.0,0.0
2008-10-01,11.93,12.53,11.69,12.32,474500,0.0,0.0
2008-10-02,12.01,12.03,11.43,11.65,466200,0.0,0.0
2008-10-03,11.69,12.25,11.43,11.54,516600,0.0,0.0
2008-10-06,10.81,11.09,9.94,10.57,772800,0.0,0.0
2008-10-07,10.8,10.8,9.73,9.95,553800,0.0,0.0
2008-10-08,9.29,9.38,8.43,8.65,1413100,0.0,0.0
2008-10-09,9.29,9.62,8.18,8.43,1134700,0.0,0.0
2008-10-10,8.0,9.46,7.6,8.02,1273400,0.0,0.0
2008-10-13,9.51,10.17,8.96,9.86,407700,0.0,0.0
2008-10-14,10.71,10.81,9.56,10.21,737100,0.0,0.0
2008-10-15,9.77,9.77,8.79,8.84,561500,0.0,0.0
2008-10-16,9.0,9.83,8.7,9.71,536300,0.0,0.0
2008-10-17,9.51,10.23,9.25,9.42,295500,0.0,0.0
2008-10-20,9.61,9.95,9.53,9.95,244700,0.0,0.0
2008-10-21,9.41,9.45,8.92,9.02,573200,0.0,0.0
2008-10-22,8.3,8.5,7.91,8.15,879500,0.0,0.0
2008-10-23,7.99,8.62,7.91,8.39,564900,0.0,0.0
2008-10-24,7.76,8.16,7.56,8.04,433000,0.0,0.0
2008-10-27,7.91,8.09,7.56,7.62,615900,0.0,0.0
2008-10-28,8.2,8.91,7.86,8.91,618100,0.0,0.0
2008-10-29,8.95,9.54,8.65,9.28,544600,0.0,0.0
2008-10-30,9.92,10.18,9.63,10.1,378200,0.0,0.0
2008-10-31,9.75,9.91,9.39,9.46,243500,0.0,0.0
2008-11-03,9.43,9.73,9.2,9.66,247500,0.0,0.0
2008-11-04,9.97,10.59,9.94,10.14,311500,0.0,0.0
2008-11-05,9.67,9.88,9.12,9.21,437000,0.0,0.0
2008-11-06,9.29,9.46,8.61,8.93,464000,0.0,0.0
2008-11-07,9.21,9.49,9.06,9.39,337900,0.0,0.0
2008-11-10,9.25,9.47,8.61,8.95,359100,0.0,0.0
2008-11-11,8.84,9.16,8.58,8.88,371400,0.0,0.0
2008-11-12,8.49,8.63,8.21,8.35,523400,0.0,0.0
2008-11-13,8.54,8.99,8.0,8.97,938500,0.0,0.0
2008-11-14,8.74,9.26,8.71,8.72,672200,0.0,0.0
2008-11-17,8.82,9.61,8.56,9.17,757100,0.0,0.0
2008-11-18,9.37,9.56,9.08,9.41,541500,0.0,0.0
2008-11-19,9.13,9.29,8.79,8.86,604600,0.0,0.0
2008-11-20,8.57,9.15,8.11,8.27,697700,0.0,0.0
2008-11-21,8.68,9.37,8.42,9.24,683600,0.0,0.0
2008-11-24,9.3,9.72,9.26,9.38,635600,0.0,0.0
2008-11-25,9.68,9.76,9.24,9.39,584300,0.0,0.0
2008-11-26,9.39,10.0,9.29,9.94,420300,0.0,0.0
2008-11-28,9.68,9.76,9.32,9.4,241700,0.0,0.0
2008-12-01,8.86,9.04,8.59,8.63,428600,0.0,0.0
2008-12-02,8.9,9.32,8.78,9.32,336400,0.0,0.0
2008-12-03,9.04,9.39,8.89,9.32,341600,0.0,0.0
2008-12-04,9.29,9.42,8.77,9.08,361000,0.0,0.0
2008-12-05,8.81,9.51,8.65,9.38,353900,0.0,0.0
2008-12-08,9.6,9.81,9.03,9.14,365300,0.0,0.0
2008-12-09,9.06,9.27,8.69,8.8,356100,0.0,0.0
2008-12-10,8.99,9.14,8.73,8.82,256700,0.0,0.0
2008-12-11,8.71,9.22,8.65,8.74,609500,0.0,0.0
2008-12-12,8.82,9.09,8.65,9.05,389000,0.0,0.0
2008-12-15,8.87,8.97,8.66,8.81,282900,0.0,0.0
2008-12-16,8.77,9.6,8.73,9.42,375800,0.0,0.0
2008-12-17,8.97,9.06,8.75,8.77,332100,0.0,0.0
2008-12-18,8.97,9.05,8.65,8.78,275200,0.0,0.0
2008-12-19,8.83,9.13,8.83,8.99,421900,0.0,0.0
2008-12-22,8.78,8.84,8.56,8.63,232100,0.0,0.0
