Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,33.2379,33.6858,32.8617,33.2648,202800,0.0,0
2008-01-03,33.3902,34.5366,33.2648,33.6589,188600,0.0,0
2008-01-04,33.4081,33.4708,32.4497,32.4856,165200,0.0,0
2008-01-07,33.4887,33.5783,32.4229,33.1663,462100,0.0,0
2008-01-08,33.5424,33.9276,32.5214,32.5393,222800,0.0,0
2008-01-09,32.4856,32.7811,31.5541,32.1542,232000,0.0,0
2008-01-10,32.0198,32.0198,31.0346,31.4645,400400,0.0,0
2008-01-11,31.3481,31.9392,31.2227,31.572,269400,0.0,0
2008-01-14,31.8855,32.808,31.778,32.6557,169900,0.0,0
2008-01-15,31.9034,33.1125,31.9034,32.1721,283200,0.0,0
2008-01-16,31.9392,32.7453,30.954,31.5003,248000,0.0,0
2008-01-17,31.5989,32.2437,30.9629,31.2675,221200,0.0,0
2008-01-18,30.8913,31.1242,28.2312,29.7359,947900,0.0,0
2008-01-22,28.7954,31.1242,28.7954,30.3628,361500,0.0,0
2008-01-23,29.7001,31.7511,29.4134,31.4914,451900,0.0,0
2008-01-24,31.8138,32.5662,31.1242,31.6974,430300,0.0,0
2008-01-25,32.1004,32.799,30.6405,31.0167,311400,0.0,0
2008-01-28,31.0077,32.0377,30.5868,31.7511,143500,0.0,0
2008-01-29,32.1018,32.2007,31.3015,31.5353,113800,0.14,0
2008-01-30,31.3465,31.94,30.5642,30.717,295700,0.0,0
2008-01-31,30.5642,31.1217,29.2243,30.8879,712600,0.0,0
2008-02-01,30.798,32.2817,30.4742,32.2367,510700,0.0,0
2008-02-04,32.3716,32.3716,30.6091,32.0389,493300,0.0,0
2008-02-05,31.4814,32.3176,31.1217,31.2026,205200,0.0,0
2008-02-06,31.4544,31.4544,30.4023,30.6181,211400,0.0,0
2008-02-07,30.5012,30.9508,30.0336,30.2854,235200,0.0,0
2008-02-08,30.3753,31.0767,30.3753,30.753,184800,0.0,0
2008-02-11,30.6631,31.2655,30.1056,31.1846,205200,0.0,0
2008-02-12,31.2566,32.7043,30.5732,32.4615,419800,0.0,0
2008-02-13,32.9291,35.0692,32.8751,34.2959,650900,0.0,0
2008-02-14,34.2959,35.0602,33.5495,33.8283,408400,0.0,0
2008-02-15,33.7564,34.0531,32.9651,33.6844,243500,0.0,0
2008-02-19,34.3948,35.1951,34.134,34.5746,202200,0.0,0
2008-02-20,34.5836,34.9613,34.188,34.7994,377200,0.0,0
2008-02-21,35.0332,35.1052,33.7923,33.9632,283300,0.0,0
2008-02-22,33.9992,34.2959,33.5046,34.125,252000,0.0,0
2008-02-25,34.0441,35.4559,33.9182,35.0872,453300,0.0,0
2008-02-26,34.8804,35.7706,34.6196,35.4289,509400,0.0,0
2008-02-27,35.2041,35.4199,34.2329,34.2869,436700,0.0,0
2008-02-28,34.2689,35.2401,34.0801,34.5746,427700,0.0,0
2008-02-29,34.125,34.2959,33.1899,33.2168,358600,0.0,0
2008-03-03,33.2708,34.0261,32.8751,33.6035,475100,0.0,0
2008-03-04,33.2258,33.2978,31.832,32.2906,566100,0.0,0
2008-03-05,32.5514,32.6503,31.8231,32.2547,595900,0.0,0
2008-03-06,32.1378,33.2978,32.1378,32.5334,299800,0.0,0
2008-03-07,32.1648,32.5874,31.8141,32.0658,471800,0.0,0
2008-03-10,31.9939,32.2817,31.3465,31.6522,247500,0.0,0
2008-03-11,32.3536,33.01,32.0838,32.6863,234900,0.0,0
2008-03-12,32.8032,32.9741,32.0659,32.2547,223600,0.0,0
2008-03-13,32.0299,33.9002,31.4094,33.8283,304800,0.0,0
2008-03-14,34.116,34.116,32.1468,33.5226,244400,0.0,0
2008-03-17,32.6593,33.01,32.1108,32.1558,257700,0.0,0
2008-03-18,33.001,33.9092,32.7762,33.8373,275200,0.0,0
2008-03-19,33.8912,34.0351,32.4705,32.4705,231300,0.0,0
2008-03-20,32.9381,33.9272,32.2906,32.5514,457000,0.0,0
2008-03-24,32.7043,34.0981,32.5694,33.2618,227200,0.0,0
2008-03-25,33.4866,34.6016,33.3877,34.2419,213400,0.0,0
2008-03-26,34.188,35.5728,34.0261,35.4649,237300,0.0,0
2008-03-27,35.5818,35.5908,35.0512,35.0872,192500,0.0,0
2008-03-28,34.9073,35.5098,34.6376,34.7635,98200,0.0,0
2008-03-31,34.8534,36.2382,34.7095,36.0583,238500,0.0,0
2008-04-01,36.0673,37.2543,35.5278,37.2273,295100,0.0,0
2008-04-02,37.4971,38.2164,37.0295,38.0096,209300,0.0,0
2008-04-03,37.3083,37.8658,36.6159,37.0835,436900,0.0,0
2008-04-04,36.8946,37.7668,36.5529,37.5151,285400,0.0,0
2008-04-07,37.9377,38.2344,37.8028,38.0006,283200,0.0,0
2008-04-08,37.6769,38.1086,37.3802,37.8478,190100,0.0,0
2008-04-09,38.0276,38.4053,37.8478,38.0905,269800,0.0,0
2008-04-10,37.9107,39.6282,37.7758,39.6282,347200,0.0,0
2008-04-11,39.2326,39.3405,38.2794,38.3333,231100,0.0,0
2008-04-14,38.4053,39.5113,38.1715,38.774,206300,0.0,0
2008-04-15,39.0617,39.3405,38.6661,38.693,347400,0.0,0
2008-04-16,39.1426,39.7001,38.702,39.6822,400600,0.0,0
2008-04-17,39.5293,40.4645,39.5203,40.2756,250200,0.0,0
2008-04-18,40.5904,41.9032,40.1677,41.8672,209400,0.0,0
2008-04-21,41.6874,42.2629,41.1389,41.9841,276000,0.0,0
2008-04-22,41.6694,41.8493,40.6173,41.3547,199800,0.0,0
2008-04-23,41.3637,41.4626,39.898,40.95,329700,0.0,0
2008-04-24,40.995,44.8706,40.9141,43.7196,939100,0.0,0
2008-04-25,44.0074,44.2681,43.0362,44.0074,285500,0.0,0
2008-04-28,44.2328,44.3861,43.2589,43.8631,275900,0.14,0
2008-04-29,43.4663,43.6376,41.9964,42.4292,259100,0.0,0
2008-04-30,42.6998,42.9252,41.4192,42.8621,271700,0.0,0
2008-05-01,42.6096,42.7719,40.5806,40.9773,302800,0.0,0
