Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,39.27,39.6,38.69,39.0,657300,0.0,0.0
2008-01-03,38.79,39.3,38.66,39.05,609000,0.0,0.0
2008-01-04,38.72,38.81,38.23,38.31,739800,0.0,0.0
2008-01-07,37.64,37.68,37.16,37.47,1521800,0.0,0.0
2008-01-08,37.28,37.62,36.08,36.09,4337200,0.0,0.0
2008-01-09,36.56,37.22,36.22,37.22,1924700,0.0,0.0
2008-01-10,36.91,38.06,36.7,37.68,1713600,0.0,0.0
2008-01-11,37.26,37.77,36.99,37.25,1320900,0.0,0.0
2008-01-14,38.11,38.23,37.79,38.11,603800,0.0,0.0
2008-01-15,37.43,37.54,37.02,37.12,1005800,0.0,0.0
2008-01-16,35.67,36.16,35.29,35.55,2231500,0.0,0.0
2008-01-17,35.5,35.56,34.07,34.18,1423100,0.0,0.0
2008-01-18,34.04,34.38,33.12,33.7,1482900,0.0,0.0
2008-01-22,31.1,33.37,31.08,33.04,2374400,0.0,0.0
2008-01-23,32.1,34.77,31.97,34.66,2590400,0.0,0.0
2008-01-24,35.28,36.27,35.28,36.11,4413000,0.0,0.0
2008-01-25,36.79,37.04,35.08,35.26,1510200,0.0,0.0
2008-01-28,35.52,36.26,35.07,36.22,1567700,0.0,0.0
2008-01-29,36.53,36.71,36.14,36.62,724500,0.0,0.0
2008-01-30,36.88,38.36,36.43,37.23,2313400,0.0,0.0
2008-01-31,35.07,37.45,35.04,37.1,1492000,0.0,0.0
2008-02-01,38.0,38.17,37.28,38.12,1744800,0.0,0.0
2008-02-04,37.38,37.38,36.75,36.75,600100,0.0,0.0
2008-02-05,35.21,35.55,34.39,34.51,1675700,0.0,0.0
2008-02-06,33.8,34.52,33.55,33.85,1828700,0.0,0.0
2008-02-07,33.72,34.27,33.38,34.1,1306100,0.0,0.0
2008-02-08,33.41,34.02,33.39,33.8,1132600,0.0,0.0
2008-02-11,34.14,34.17,33.09,33.22,1495900,0.0,0.0
2008-02-12,33.31,34.19,33.1,33.7,1839700,0.0,0.0
2008-02-13,34.36,34.46,33.43,34.09,1575000,0.0,0.0
2008-02-14,33.72,33.94,33.2,33.2,2070400,0.0,0.0
2008-02-15,32.83,33.3,32.73,33.25,1417000,0.0,0.0
2008-02-19,31.71,32.06,31.24,31.51,2690000,0.0,0.0
2008-02-20,31.3,32.43,31.22,32.21,2853600,0.0,0.0
2008-02-21,31.44,31.62,31.11,31.19,2523600,0.0,0.0
2008-02-22,31.37,31.72,30.87,31.67,2582000,0.0,0.0
2008-02-25,31.69,32.3,31.3,32.2,1417000,0.0,0.0
2008-02-26,32.48,33.13,32.3,33.03,1636700,0.0,0.0
2008-02-27,33.02,33.81,32.91,33.39,3481300,0.0,0.0
2008-02-28,33.01,33.52,32.9,33.21,1662200,0.0,0.0
2008-02-29,32.32,32.65,31.84,31.97,1197700,0.0,0.0
2008-03-03,32.59,32.66,31.95,32.38,1555800,0.0,0.0
2008-03-04,32.09,32.38,31.7,32.24,1586800,0.0,0.0
2008-03-05,32.26,32.37,31.46,31.81,1569800,0.0,0.0
2008-03-06,31.45,31.58,31.15,31.19,1439700,0.0,0.0
2008-03-07,31.27,31.91,30.9,31.26,1668800,0.0,0.0
2008-03-10,31.03,31.13,30.38,30.42,2062400,0.0,0.0
2008-03-11,32.24,32.81,31.45,32.75,4203100,0.0,0.0
2008-03-12,33.98,34.05,33.36,33.45,2470400,0.0,0.0
2008-03-13,32.58,33.54,32.22,33.23,2968200,0.0,0.0
2008-03-14,33.5,33.5,31.5,31.89,3795600,0.0,0.0
2008-03-17,29.97,30.95,28.87,30.21,4263100,0.0,0.0
2008-03-18,31.87,33.76,31.87,33.73,2832800,0.0,0.0
2008-03-19,34.38,34.62,32.58,32.58,2003100,0.0,0.0
2008-03-20,30.11,32.5,30.06,32.34,3345200,0.0,0.0
2008-03-24,32.17,33.98,32.17,33.21,2049800,0.0,0.0
2008-03-25,33.26,33.72,32.95,33.51,1212800,0.0,0.0
2008-03-26,33.36,33.45,32.72,33.26,1145800,0.0,0.0
2008-03-27,33.92,33.92,32.8,32.87,975900,0.0,0.0
2008-03-28,33.17,33.41,32.55,32.73,949100,0.0,0.0
2008-03-31,32.87,33.68,32.82,33.25,719600,0.0,0.0
2008-04-01,35.16,36.0,34.84,35.97,1940700,0.0,0.0
2008-04-02,37.39,37.62,36.66,36.96,1871900,0.0,0.0
2008-04-03,35.97,36.69,35.85,36.64,1315500,0.0,0.0
2008-04-04,36.82,36.96,36.35,36.62,608600,0.0,0.0
2008-04-07,37.72,37.72,37.15,37.27,940400,0.0,0.0
2008-04-08,37.22,37.34,36.76,36.98,562600,0.0,0.0
2008-04-09,36.7,36.7,35.88,35.9,714700,0.0,0.0
2008-04-10,35.71,35.9,35.0,35.18,1140800,0.0,0.0
2008-04-11,35.15,35.73,34.98,35.06,942800,0.0,0.0
2008-04-14,34.24,34.37,33.92,33.92,1429400,0.0,0.0
2008-04-15,34.0,34.49,33.84,34.05,832700,0.0,0.0
2008-04-16,34.47,34.98,34.42,34.91,771400,0.0,0.0
2008-04-17,34.15,34.75,33.94,34.58,1010900,0.0,0.0
2008-04-18,34.98,35.13,34.7,34.93,1174700,0.0,0.0
2008-04-21,34.91,35.18,34.59,35.13,545600,0.0,0.0
2008-04-22,34.43,34.73,34.31,34.55,549300,0.0,0.0
2008-04-23,33.47,33.94,33.26,33.73,943300,0.0,0.0
2008-04-24,34.51,35.53,34.36,35.33,1572200,0.0,0.0
2008-04-25,35.92,36.14,35.4,35.88,1335600,0.0,0.0
2008-04-28,36.73,36.91,36.31,36.54,1052500,0.0,0.0
2008-04-29,36.23,36.34,35.88,36.03,999100,2.21973,0.0
2008-04-30,36.0,36.87,35.85,36.34,1940500,0.0,0.0
2008-05-01,36.7,37.63,35.85,37.54,1435100,0.0,0.0
2008-05-02,37.98,38.05,37.49,37.8,821500,0.0,0.0
2008-05-05,37.68,37.86,37.48,37.65,505400,0.0,0.0
2008-05-06,36.9,37.38,36.74,37.17,822500,0.0,0.0
2008-05-07,37.27,37.55,36.49,36.6,1054100,0.0,0.0
2008-05-08,36.92,37.22,36.4,36.87,1014100,0.0,0.0
2008-05-09,36.66,36.96,36.43,36.9,898200,0.0,0.0
2008-05-12,36.9,37.3,36.61,37.13,581300,0.0,0.0
2008-05-13,37.08,37.31,36.77,36.93,475300,0.0,0.0
2008-05-14,36.87,37.02,36.63,36.63,491500,0.0,0.0
2008-05-15,36.93,37.41,36.85,37.36,669500,0.0,0.0
2008-05-16,36.94,37.13,36.77,37.0,682100,0.0,0.0
2008-05-19,36.7,37.02,36.57,36.64,859000,0.0,0.0
2008-05-20,36.67,36.78,36.23,36.52,456200,0.0,0.0
2008-05-21,35.96,36.1,35.39,35.49,1013500,0.0,0.0
2008-05-22,35.15,35.9,35.12,35.56,712200,0.0,0.0
2008-05-23,35.7,35.77,35.43,35.62,594300,0.0,0.0
2008-05-27,34.42,34.8,34.4,34.72,868300,0.0,0.0
2008-05-28,34.82,34.91,34.39,34.85,586300,0.0,0.0
2008-05-29,34.22,34.69,34.2,34.54,713200,0.0,0.0
2008-05-30,34.76,34.85,34.39,34.67,544400,0.0,0.0
2008-06-02,34.29,34.58,34.02,34.28,845200,0.0,0.0
2008-06-03,33.78,34.0,33.33,33.52,1034500,0.0,0.0
2008-06-04,33.29,34.02,33.23,33.4,896500,0.0,0.0
2008-06-05,33.95,34.5,33.82,34.46,556300,0.0,0.0
2008-06-06,33.69,33.8,33.3,33.37,1066800,0.0,0.0
2008-06-09,32.83,33.09,32.28,32.6,1379000,0.0,0.0
2008-06-10,32.05,32.34,31.91,32.0,1047300,0.0,0.0
2008-06-11,32.15,32.21,31.51,31.76,1435200,0.0,0.0
2008-06-12,31.96,32.46,31.53,31.77,1282200,0.0,0.0
2008-06-13,32.7,32.94,32.3,32.89,793700,0.0,0.0
2008-06-16,32.47,32.91,32.31,32.69,751300,0.0,0.0
2008-06-17,33.32,33.38,32.73,32.83,923400,0.0,0.0
2008-06-18,32.28,32.79,32.11,32.59,636900,0.0,0.0
2008-06-19,31.82,32.09,31.5,32.02,807300,0.0,0.0
2008-06-20,31.54,31.67,31.08,31.22,1849000,0.0,0.0
