Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,41.9,43.4,41.5,42.22,218000,0.0,0.0
2008-01-03,42.43,42.51,39.96,40.08,178600,0.0,0.0
2008-01-04,40.06,40.57,39.18,40.19,208700,0.0,0.0
2008-01-07,40.44,41.39,39.7,40.51,192000,0.0,0.0
2008-01-08,40.51,42.13,39.68,39.87,147800,0.0,0.0
2008-01-09,39.75,40.55,39.24,40.55,296400,0.0,0.0
2008-01-10,40.0,41.82,39.56,40.78,235700,0.0,0.0
2008-01-11,40.78,41.18,39.32,39.87,199600,0.0,0.0
2008-01-14,39.98,40.46,38.92,39.79,140300,0.0,0.0
2008-01-15,39.83,40.08,38.73,39.49,163600,0.0,0.0
2008-01-16,39.26,41.08,39.26,40.08,223200,0.0,0.0
2008-01-17,40.15,40.3,38.84,39.39,142900,0.0,0.0
2008-01-18,39.49,40.34,38.69,39.11,213900,0.0,0.0
2008-01-22,37.97,42.85,37.08,40.55,224800,0.0,0.0
2008-01-23,39.64,45.6,39.64,44.23,276100,0.0,0.0
2008-01-24,44.61,45.83,41.94,43.02,183300,0.0,0.0
2008-01-25,45.75,46.21,42.75,44.67,194700,0.0,0.0
2008-01-28,45.68,48.96,43.66,47.94,154700,0.0,0.0
2008-01-29,48.41,48.85,45.6,46.23,116900,0.0,0.0
2008-01-30,45.87,47.56,44.1,45.71,161600,0.0,0.0
2008-01-31,44.88,50.5,44.65,48.69,158500,0.0,0.0
2008-02-01,50.48,55.59,48.88,52.21,258200,0.0,0.0
2008-02-04,52.66,54.01,49.19,53.92,204400,0.0,0.0
2008-02-05,53.06,53.82,49.85,50.93,364800,0.0,0.0
2008-02-06,51.55,52.46,48.41,49.43,146400,1.04446,0.0
2008-02-07,49.22,50.92,48.61,50.92,166700,0.0,0.0
2008-02-08,50.36,50.41,45.7,46.7,337200,0.0,0.0
2008-02-11,46.7,47.28,45.01,45.24,194300,0.0,0.0
2008-02-12,44.79,48.09,43.56,46.82,274800,0.0,0.0
2008-02-13,47.16,48.7,46.72,48.57,247500,0.0,0.0
2008-02-14,48.39,48.97,47.57,47.66,144300,0.0,0.0
2008-02-15,47.28,47.72,46.51,46.89,181500,0.0,0.0
2008-02-19,47.55,48.07,46.64,47.16,171200,0.0,0.0
2008-02-20,47.03,48.8,46.7,48.8,190700,0.0,0.0
2008-02-21,48.99,49.51,46.7,46.8,196900,0.0,0.0
2008-02-22,47.37,47.37,44.99,46.87,230500,0.0,0.0
2008-02-25,47.47,48.91,46.74,48.91,158900,0.0,0.0
2008-02-26,48.41,50.34,48.3,48.84,126800,0.0,0.0
2008-02-27,48.03,50.05,47.85,47.85,192600,0.0,0.0
2008-02-28,46.82,48.89,46.8,47.59,201000,0.0,0.0
2008-02-29,47.53,47.76,46.39,46.7,160400,0.0,0.0
2008-03-03,46.99,49.14,45.78,49.13,212600,0.0,0.0
2008-03-04,48.43,48.61,46.31,47.99,165700,0.0,0.0
2008-03-05,48.32,48.99,47.12,47.57,133100,0.0,0.0
2008-03-06,47.26,47.84,43.16,43.25,199300,0.0,0.0
2008-03-07,42.7,44.89,42.14,44.64,153600,0.0,0.0
2008-03-10,45.01,45.28,44.04,44.85,109000,0.0,0.0
2008-03-11,47.01,49.22,45.87,48.89,209100,0.0,0.0
2008-03-12,48.99,49.95,46.39,46.57,162800,0.0,0.0
2008-03-13,46.08,49.28,44.7,48.34,246400,0.0,0.0
2008-03-14,48.51,49.11,45.45,47.18,144300,0.0,0.0
2008-03-17,46.26,48.66,45.62,47.85,142000,0.0,0.0
2008-03-18,48.59,50.45,46.83,50.3,206800,0.0,0.0
2008-03-19,50.47,51.55,49.74,49.74,185800,0.0,0.0
2008-03-20,49.7,51.97,49.16,50.11,391900,0.0,0.0
2008-03-24,50.05,51.2,49.91,50.82,161500,0.0,0.0
2008-03-25,50.63,51.09,49.26,51.01,123400,0.0,0.0
2008-03-26,51.36,51.36,48.8,48.89,120300,0.0,0.0
2008-03-27,48.82,50.01,48.16,48.37,179400,0.0,0.0
2008-03-28,47.89,49.09,46.53,46.76,312200,0.0,0.0
2008-03-31,46.99,49.01,46.14,47.57,208300,0.0,0.0
2008-04-01,48.22,50.24,48.03,50.24,231000,0.0,0.0
2008-04-02,50.11,51.05,49.24,50.47,96500,0.0,0.0
2008-04-03,50.26,52.49,49.97,52.49,80000,0.0,0.0
2008-04-04,52.63,53.71,52.07,52.86,146100,0.0,0.0
2008-04-07,52.28,52.78,51.34,51.94,118700,0.0,0.0
2008-04-08,51.59,52.15,49.93,50.09,113100,0.0,0.0
2008-04-09,50.41,50.68,47.84,48.11,135900,0.0,0.0
2008-04-10,48.12,49.82,47.59,49.07,154700,0.0,0.0
2008-04-11,48.7,48.99,47.95,48.88,89000,0.0,0.0
2008-04-14,48.47,49.45,47.85,48.41,88500,0.0,0.0
2008-04-15,48.62,49.18,46.95,47.68,170700,0.0,0.0
2008-04-16,47.93,50.05,47.57,50.05,173000,0.0,0.0
2008-04-17,49.7,50.92,48.55,50.38,98800,0.0,0.0
2008-04-18,51.03,51.28,49.45,49.95,83500,0.0,0.0
2008-04-21,49.28,50.05,48.66,49.47,62400,0.0,0.0
2008-04-22,51.07,51.07,48.37,49.66,76300,0.0,0.0
2008-04-23,49.86,53.3,49.59,51.67,145700,0.0,0.0
2008-04-24,50.63,52.09,49.7,52.09,174900,0.0,0.0
2008-04-25,50.8,50.86,49.41,50.68,148600,0.0,0.0
2008-04-28,50.63,50.93,49.84,50.36,76000,0.0,0.0
2008-04-29,50.43,50.61,48.95,49.78,118000,0.0,0.0
2008-04-30,49.97,50.65,48.78,48.91,110100,0.0,0.0
2008-05-01,49.11,51.09,48.51,51.01,90500,0.0,0.0
2008-05-02,53.9,53.9,49.41,49.72,93900,0.0,0.0
2008-05-05,49.76,50.76,49.32,50.65,58600,0.0,0.0
2008-05-06,50.68,51.72,49.88,51.55,82100,0.0,0.0
2008-05-07,51.45,52.17,50.78,51.32,187400,0.0,0.0
2008-05-08,51.32,52.11,50.67,51.74,164100,0.0,0.0
2008-05-09,51.8,52.94,51.03,51.53,122000,0.0,0.0
2008-05-12,53.01,53.55,51.45,52.36,135800,0.0,0.0
2008-05-13,50.45,54.0,50.45,53.44,194100,0.0,0.0
2008-05-14,54.2,54.76,53.91,54.43,197300,1.04446,0.0
2008-05-15,55.49,55.49,53.05,55.21,163700,0.0,0.0
2008-05-16,54.94,55.82,54.65,55.25,97200,0.0,0.0
2008-05-19,55.25,56.58,54.51,55.41,177100,0.0,0.0
2008-05-20,54.59,55.12,53.09,53.71,94100,0.0,0.0
2008-05-21,53.59,55.29,51.78,52.29,123800,0.0,0.0
2008-05-22,52.23,52.64,51.1,51.51,150900,0.0,0.0
2008-05-23,51.7,52.29,50.96,51.45,64200,0.0,0.0
2008-05-27,51.54,53.46,51.35,53.2,143800,0.0,0.0
2008-05-28,53.14,54.14,52.99,53.55,106400,0.0,0.0
2008-05-29,53.26,54.16,52.56,53.38,110000,0.0,0.0
2008-05-30,53.38,53.38,51.64,51.64,135000,0.0,0.0
2008-06-02,51.64,52.38,50.53,52.09,185900,0.0,0.0
2008-06-03,52.68,53.16,51.1,51.9,132600,0.0,0.0
2008-06-04,51.47,53.53,51.39,52.36,115600,0.0,0.0
2008-06-05,52.36,54.35,52.36,54.12,126900,0.0,0.0
2008-06-06,53.91,54.41,50.71,50.86,147500,0.0,0.0
2008-06-09,50.74,51.97,48.38,49.05,184700,0.0,0.0
2008-06-10,48.89,50.1,48.31,49.79,177300,0.0,0.0
2008-06-11,49.65,50.74,47.53,47.68,196800,0.0,0.0
2008-06-12,48.7,49.52,48.25,48.29,294200,0.0,0.0
2008-06-13,48.64,49.07,47.86,48.75,219600,0.0,0.0
2008-06-16,50.02,50.45,48.17,49.87,106900,0.0,0.0
2008-06-17,49.73,49.85,48.62,49.38,213600,0.0,0.0
2008-06-18,48.93,49.89,48.48,48.79,224300,0.0,0.0
2008-06-19,48.79,49.48,48.03,49.22,95700,0.0,0.0
2008-06-20,48.97,49.44,47.7,47.7,253900,0.0,0.0
2008-06-23,47.66,49.03,46.24,46.24,158100,0.0,0.0
2008-06-24,46.39,47.02,45.17,46.28,151200,0.0,0.0
2008-06-25,46.55,48.52,46.55,48.09,320900,0.0,0.0
2008-06-26,47.21,48.23,46.0,46.34,117000,0.0,0.0
2008-06-27,46.51,47.04,45.11,45.26,305900,0.0,0.0
2008-06-30,44.97,45.71,44.4,45.07,97300,0.0,0.0
2008-07-01,44.72,45.95,43.88,45.13,129500,0.0,0.0
2008-07-02,45.22,45.73,43.23,43.25,128000,0.0,0.0
2008-07-03,43.9,44.31,42.51,42.67,69200,0.0,0.0
2008-07-07,42.67,46.98,40.78,42.04,138600,0.0,0.0
2008-07-08,42.04,46.59,41.79,46.18,266100,0.0,0.0
2008-07-09,46.08,46.34,41.58,41.77,143100,0.0,0.0
2008-07-10,41.26,43.49,40.83,42.57,168600,0.0,0.0
2008-07-11,41.95,44.17,40.97,42.16,227100,0.0,0.0
2008-07-14,43.08,45.15,39.9,39.9,177700,0.0,0.0
2008-07-15,39.2,41.54,38.77,39.14,372400,0.0,0.0
2008-07-16,39.14,42.73,38.22,42.61,254400,0.0,0.0
2008-07-17,43.51,43.88,40.97,43.14,188200,0.0,0.0
2008-07-18,42.73,42.73,40.89,41.56,140400,0.0,0.0
2008-07-21,41.97,43.88,41.59,42.36,198000,0.0,0.0
2008-07-22,42.38,44.37,40.97,44.19,197900,0.0,0.0
2008-07-23,44.29,46.9,44.19,45.73,296700,0.0,0.0
2008-07-24,46.3,46.55,41.95,42.45,209000,0.0,0.0
2008-07-25,42.71,44.21,42.2,43.29,161800,0.0,0.0
2008-07-28,42.43,43.68,41.03,41.2,143400,0.0,0.0
2008-07-29,41.67,44.79,41.63,44.01,189800,0.0,0.0
2008-07-30,44.48,44.68,42.3,43.02,196600,0.0,0.0
2008-07-31,42.57,43.86,42.04,42.86,153000,0.0,0.0
2008-08-01,42.73,43.31,41.65,43.21,131100,0.0,0.0
2008-08-04,43.27,43.66,42.14,43.0,101400,0.0,0.0
2008-08-05,44.11,46.3,43.53,46.14,149000,0.0,0.0
2008-08-06,45.98,46.51,44.79,45.83,138900,0.0,0.0
2008-08-07,45.83,46.09,42.97,42.97,195500,1.04446,0.0
2008-08-08,43.11,45.21,43.11,44.98,199600,0.0,0.0
2008-08-11,45.49,48.96,44.94,48.96,216300,0.0,0.0
2008-08-12,46.68,47.89,44.2,46.32,298300,0.0,0.0
2008-08-13,46.58,47.55,46.28,46.56,230000,0.0,0.0
2008-08-14,45.53,47.45,45.53,46.86,166100,0.0,0.0
2008-08-15,47.57,48.52,45.23,45.51,189500,0.0,0.0
2008-08-18,45.61,45.65,44.0,44.08,153500,0.0,0.0
2008-08-19,44.04,44.04,43.01,43.29,147600,0.0,0.0
2008-08-20,43.77,44.96,42.4,43.27,148800,0.0,0.0
2008-08-21,42.46,43.37,41.88,42.7,171500,0.0,0.0
2008-08-22,43.61,45.67,43.27,45.59,177000,0.0,0.0
2008-08-25,45.55,45.55,44.28,44.42,134600,0.0,0.0
2008-08-26,44.72,45.59,44.28,45.59,91400,0.0,0.0
2008-08-27,45.27,46.76,45.0,46.26,118700,0.0,0.0
2008-08-28,46.88,49.18,46.13,49.06,247400,0.0,0.0
2008-08-29,48.48,50.15,47.77,49.54,305400,0.0,0.0
2008-09-02,47.87,50.33,47.87,49.59,203500,0.0,0.0
2008-09-03,49.26,49.85,48.03,49.83,232900,0.0,0.0
2008-09-04,49.38,49.77,48.52,48.52,259400,0.0,0.0
2008-09-05,48.21,48.5,46.21,47.37,171700,0.0,0.0
2008-09-08,48.19,50.39,48.19,50.29,227800,0.0,0.0
2008-09-09,50.15,50.9,47.57,47.77,205500,0.0,0.0
2008-09-10,48.76,48.78,46.66,46.98,216500,0.0,0.0
2008-09-11,45.89,47.73,45.79,47.69,153500,0.0,0.0
2008-09-12,47.18,48.72,46.9,48.66,118400,0.0,0.0
2008-09-15,47.1,48.29,45.77,45.81,275700,0.0,0.0
2008-09-16,45.29,50.25,44.86,50.25,312200,0.0,0.0
2008-09-17,48.82,50.33,46.11,46.11,476600,0.0,0.0
2008-09-18,46.64,52.27,46.19,52.03,580400,0.0,0.0
2008-09-19,54.17,57.92,50.27,55.5,1133700,0.0,0.0
2008-09-22,53.42,55.48,49.85,50.17,323900,0.0,0.0
2008-09-23,50.74,51.81,49.28,50.53,232100,0.0,0.0
2008-09-24,50.35,50.57,48.94,49.67,197200,0.0,0.0
2008-09-25,51.04,51.04,49.3,49.95,158500,0.0,0.0
2008-09-26,48.62,50.74,44.42,50.66,167200,0.0,0.0
2008-09-29,48.7,50.33,46.58,46.58,340300,0.0,0.0
2008-09-30,47.77,50.61,44.9,50.01,233500,0.0,0.0
2008-10-01,49.55,50.55,48.15,50.15,187300,0.0,0.0
2008-10-02,49.95,50.17,45.95,46.4,214300,0.0,0.0
2008-10-03,47.2,49.63,42.36,42.89,273900,0.0,0.0
2008-10-06,42.04,44.56,38.36,41.39,448400,0.0,0.0
2008-10-07,41.47,42.08,38.73,39.58,500000,0.0,0.0
2008-10-08,39.49,46.38,38.04,40.71,431000,0.0,0.0
2008-10-09,41.55,42.06,34.83,34.83,292100,0.0,0.0
2008-10-10,34.23,45.09,33.9,45.09,546700,0.0,0.0
2008-10-13,46.76,47.63,42.8,46.26,339900,0.0,0.0
2008-10-14,47.63,49.85,37.7,40.14,404600,0.0,0.0
2008-10-15,38.53,40.12,34.17,34.17,341800,0.0,0.0
2008-10-16,34.43,39.68,32.94,39.68,409200,0.0,0.0
2008-10-17,38.43,39.54,35.92,37.03,446600,0.0,0.0
2008-10-20,37.3,37.76,35.46,36.65,231200,0.0,0.0
2008-10-21,35.74,36.75,33.42,33.82,336100,0.0,0.0
2008-10-22,33.26,33.26,29.1,30.72,397600,0.0,0.0
2008-10-23,30.66,33.3,27.53,27.71,720200,0.0,0.0
2008-10-24,25.69,28.76,25.07,27.49,454800,0.0,0.0
2008-10-27,26.74,28.82,24.34,24.5,349900,0.0,0.0
2008-10-28,24.78,28.78,24.0,28.78,478300,0.0,0.0
2008-10-29,28.92,29.97,25.65,27.26,540600,0.0,0.0
2008-10-30,27.26,27.75,23.29,26.68,446600,0.0,0.0
2008-10-31,26.58,28.7,26.46,28.7,336700,0.0,0.0
2008-11-03,29.61,29.61,26.78,27.08,324400,0.0,0.0
2008-11-04,27.69,31.02,26.9,31.02,329500,0.0,0.0
2008-11-05,30.35,30.92,25.97,25.97,436800,0.0,0.0
2008-11-06,25.49,28.05,25.05,25.87,397700,0.0,0.0
2008-11-07,25.89,28.35,25.0,28.35,345100,0.0,0.0
2008-11-10,28.29,29.08,24.28,24.46,293100,0.0,0.0
2008-11-11,23.47,26.01,22.76,24.46,347300,0.0,0.0
2008-11-12,23.65,25.15,23.27,23.59,339500,0.0,0.0
2008-11-13,23.77,29.38,22.06,29.38,574700,0.0,0.0
2008-11-14,27.75,27.75,21.82,21.82,578300,0.0,0.0
2008-11-17,21.98,23.67,20.83,21.49,405600,0.0,0.0
2008-11-18,21.31,22.66,19.82,21.9,391500,0.0,0.0
2008-11-19,21.61,22.16,19.72,20.0,497000,0.0,0.0
2008-11-20,19.8,19.82,15.96,16.08,446900,0.0,0.0
2008-11-21,16.47,21.31,16.47,21.31,827900,0.0,0.0
2008-11-24,21.07,26.68,18.73,22.16,740900,0.0,0.0
2008-11-25,22.56,23.91,21.09,22.48,646500,0.0,0.0
2008-11-26,22.38,23.83,21.92,23.01,401000,0.0,0.0
2008-11-28,22.08,22.95,20.54,21.37,256600,0.0,0.0
2008-12-01,21.21,21.21,17.74,18.04,600500,0.0,0.0
2008-12-02,18.0,21.74,18.0,21.23,641000,0.0,0.0
2008-12-03,20.83,24.78,19.74,24.78,503500,0.0,0.0
2008-12-04,23.99,23.99,20.89,21.74,529400,0.70572,0.0
2008-12-05,21.46,26.27,21.04,25.4,436300,0.0,0.0
2008-12-08,25.69,29.13,24.35,28.58,438800,0.0,0.0
2008-12-09,28.05,29.59,25.42,25.55,366600,0.0,0.0
2008-12-10,26.17,28.28,25.69,28.11,318200,0.0,0.0
2008-12-11,28.11,28.7,22.05,22.59,609100,0.0,0.0
2008-12-12,21.86,27.22,21.82,26.31,621800,0.0,0.0
2008-12-15,25.69,26.27,23.28,23.97,305100,0.0,0.0
2008-12-16,24.55,28.98,24.23,28.26,513300,0.0,0.0
2008-12-17,27.43,31.07,24.72,30.28,333100,0.0,0.0
2008-12-18,30.54,31.15,26.36,26.82,332000,0.0,0.0
2008-12-19,27.85,29.39,27.31,28.6,423700,0.0,0.0
2008-12-22,29.15,29.39,26.23,27.59,250200,0.0,0.0
2008-12-23,27.35,28.26,26.46,27.61,315800,0.0,0.0
2008-12-24,27.93,28.07,26.9,27.33,99200,0.0,0.0
2008-12-26,27.43,28.44,27.27,28.44,157100,0.0,0.0
2008-12-29,28.38,28.42,25.22,25.26,275100,0.0,0.0
2008-12-30,25.91,26.58,25.12,26.58,269000,0.0,0.0
2008-12-31,26.48,28.54,25.97,28.01,238500,0.0,0.0
2009-01-02,28.09,28.52,26.5,26.5,240200,0.0,0.0
2009-01-05,26.54,26.74,24.76,25.06,269100,0.0,0.0
2009-01-06,24.98,25.51,23.42,25.16,363200,0.0,0.0
2009-01-07,24.62,26.8,24.29,26.25,390100,0.0,0.0
2009-01-08,26.01,27.41,25.89,25.97,650500,0.0,0.0
2009-01-09,26.07,26.8,25.16,25.47,384900,0.0,0.0
2009-01-12,25.24,25.91,23.87,24.09,341900,0.0,0.0
2009-01-13,24.27,24.96,23.4,24.17,291200,0.0,0.0
2009-01-14,23.28,24.05,22.37,22.94,290200,0.0,0.0
2009-01-15,22.25,24.25,21.4,23.12,303100,0.0,0.0
2009-01-16,23.81,24.21,21.97,23.87,362900,0.0,0.0
2009-01-20,22.88,23.26,20.37,20.51,417900,0.0,0.0
2009-01-21,20.61,23.24,19.22,23.24,450000,0.0,0.0
2009-01-22,22.9,23.04,21.28,21.5,438800,0.0,0.0
2009-01-23,20.59,22.07,20.21,21.52,270000,0.0,0.0
2009-01-26,21.38,23.04,20.73,21.3,225600,0.0,0.0
2009-01-27,21.76,22.57,21.12,21.66,194200,0.0,0.0
2009-01-28,22.43,23.58,21.68,23.36,347800,0.0,0.0
2009-01-29,22.94,23.16,20.65,20.81,385500,0.0,0.0
2009-01-30,21.44,21.62,18.99,19.44,421500,0.0,0.0
2009-02-02,19.4,19.5,18.2,19.24,320900,0.0,0.0
2009-02-03,19.42,19.86,17.8,17.9,398400,0.0,0.0
2009-02-04,18.02,18.26,17.42,17.5,303800,0.0,0.0
