Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,14.35,14.51,13.98,14.22,723200,0.0,0
2008-01-03,14.23,14.56,14.11,14.55,834400,0.0,0
2008-01-04,14.4,14.44,13.88,14.02,1141500,0.0,0
2008-01-07,14.03,14.08,13.29,13.46,1304300,0.0,0
2008-01-08,13.5,13.65,13.48,13.5,636400,0.0,0
2008-01-09,13.4,13.86,13.4,13.86,542900,0.0,0
2008-01-10,13.72,13.87,13.35,13.65,908300,0.0,0
2008-01-11,13.67,13.67,13.23,13.49,540200,0.0,0
2008-01-14,13.5,13.51,13.18,13.24,679100,0.0,0
2008-01-15,12.99,13.25,12.97,13.03,473900,0.0,0
2008-01-16,12.88,13.13,12.66,12.73,1422600,0.0,0
2008-01-17,12.86,13.04,12.66,12.69,1918900,0.0,0
2008-01-18,13.05,13.08,12.65,12.73,4020000,0.0,0
2008-01-22,12.69,12.69,12.23,12.27,2063700,0.0,0
2008-01-23,12.0,12.58,11.86,12.52,1157600,0.0,0
2008-01-24,12.66,12.81,12.3,12.36,1587200,0.0,0
2008-01-25,12.42,12.54,11.93,12.27,1749200,0.0,0
2008-01-28,12.32,12.85,12.29,12.85,16226900,0.0,0
2008-01-29,12.93,13.19,12.74,13.07,1160800,0.0,0
2008-01-30,13.02,13.07,12.79,12.79,1226600,0.0,0
2008-01-31,12.57,13.08,12.57,13.0,1109400,0.0,0
2008-02-01,12.52,12.59,12.15,12.2,3172000,0.0,0
2008-02-04,12.2,12.49,12.15,12.33,1314900,0.0,0
2008-02-05,12.18,12.3,11.62,11.67,1607600,0.0,0
2008-02-06,11.68,11.75,11.25,11.3,1480300,0.0,0
2008-02-07,12.05,12.93,12.05,12.38,2737400,0.0,0
2008-02-08,12.29,12.89,12.26,12.67,1993800,0.0,0
2008-02-11,12.7,12.73,12.47,12.5,998000,0.0,0
2008-02-12,12.54,12.75,12.49,12.62,776200,0.0,0
2008-02-13,12.69,13.09,12.69,12.97,1158500,0.0,0
2008-02-14,13.04,13.09,12.66,12.7,427200,0.0,0
2008-02-15,12.64,12.95,12.62,12.85,784400,0.0,0
2008-02-19,13.1,13.22,12.96,13.16,844200,0.0,0
2008-02-20,13.01,13.16,12.98,13.11,582100,0.0,0
2008-02-21,13.15,13.22,13.03,13.07,490600,0.0,0
2008-02-22,13.13,13.14,12.73,13.09,1663100,0.0,0
2008-02-25,13.06,13.21,12.86,13.11,526400,0.0,0
2008-02-26,13.09,13.46,12.99,13.41,550900,0.0,0
2008-02-27,13.33,13.49,13.19,13.46,874300,0.0,0
2008-02-28,13.42,13.46,13.18,13.32,512300,0.0,0
2008-02-29,13.16,13.28,13.03,13.19,770100,0.0,0
