Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,10.41,10.62,10.08,10.28,877400,0.0,0
2008-01-03,10.24,10.55,10.13,10.35,461400,0.0,0
2008-01-04,10.37,10.45,10.06,10.24,515000,0.0,0
2008-01-07,10.29,10.56,10.12,10.37,1298100,0.0,0
2008-01-08,10.41,11.17,10.41,10.88,2100900,0.0,0
2008-01-09,10.97,12.18,10.96,11.75,3862300,0.0,0
2008-01-10,11.92,12.14,11.2,11.38,1123900,0.0,0
2008-01-11,11.42,11.73,11.21,11.46,716100,0.0,0
2008-01-14,11.5,12.23,11.5,11.7,2956400,0.0,0
2008-01-15,11.72,11.72,10.97,11.23,1514500,0.0,0
2008-01-16,11.04,11.04,9.44,10.69,2264300,0.0,0
2008-01-17,10.72,11.1,10.16,11.1,2250500,0.0,0
2008-01-18,11.17,11.51,10.96,11.46,1352700,0.0,0
2008-01-22,10.79,11.3,9.84,10.94,1055100,0.0,0
2008-01-23,10.54,10.58,9.82,10.52,1156800,0.0,0
2008-01-24,10.62,10.89,10.23,10.51,1006900,0.0,0
2008-01-25,10.62,10.95,10.52,10.59,618800,0.0,0
2008-01-28,10.46,11.45,10.42,11.43,951500,0.0,0
2008-01-29,11.51,11.54,11.19,11.44,1245100,0.0,0
2008-01-30,11.52,12.06,11.31,11.51,1366700,0.0,0
2008-01-31,11.28,12.28,11.28,12.1,727600,0.0,0
2008-02-01,12.23,12.89,11.76,12.26,1515900,0.0,0
2008-02-04,12.22,12.22,11.78,11.85,282400,0.0,0
2008-02-05,11.8,11.83,10.88,10.94,717800,0.0,0
2008-02-06,10.94,11.02,10.66,10.72,555100,0.0,0
2008-02-07,10.53,10.78,10.12,10.61,555200,0.0,0
2008-02-08,10.67,11.17,10.58,10.88,480500,0.0,0
2008-02-11,10.96,11.95,10.88,11.77,764600,0.0,0
2008-02-12,11.96,12.01,11.51,11.55,607200,0.0,0
2008-02-13,11.53,11.81,11.37,11.72,319800,0.0,0
2008-02-14,12.06,12.06,11.59,11.7,258300,0.0,0
2008-02-15,11.55,11.84,11.34,11.72,304100,0.0,0
2008-02-19,12.01,12.36,11.8,11.86,499600,0.0,0
2008-02-20,11.94,12.11,11.22,12.04,590600,0.0,0
2008-02-21,12.1,12.69,12.1,12.52,1228000,0.0,0
2008-02-22,12.44,12.69,12.09,12.34,1068300,0.0,0
2008-02-25,12.41,12.46,12.06,12.23,371400,0.0,0
2008-02-26,12.23,12.65,12.06,12.17,731600,0.0,0
2008-02-27,12.23,12.43,12.12,12.39,706400,0.0,0
2008-02-28,12.19,12.8,12.19,12.64,2379900,0.0,0
2008-02-29,12.68,12.77,12.44,12.65,877500,0.0,0
2008-03-03,12.75,13.65,12.56,13.28,2731400,0.0,0
