Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,29.1,29.22,28.54,28.62,2275300,0.0,0
2008-01-03,28.65,28.86,28.51,28.56,2204100,0.0,0
2008-01-04,28.38,28.88,28.35,28.57,2729500,0.0,0
2008-01-07,28.69,29.35,28.6,29.35,3237000,0.0,0
2008-01-08,29.44,29.67,29.07,29.14,2639600,0.0,0
2008-01-09,29.11,29.6,29.11,29.6,2492600,0.0,0
2008-01-10,29.43,29.84,29.18,29.37,2683800,0.0,0
2008-01-11,29.16,29.58,28.75,29.09,2624700,0.0,0
2008-01-14,29.21,29.42,29.03,29.26,1606300,0.0,0
2008-01-15,28.96,29.37,28.88,28.91,2615700,0.0,0
2008-01-16,28.72,29.23,28.66,28.74,3987800,0.0,0
2008-01-17,28.75,28.9,27.48,27.67,5968600,0.0,0
2008-01-18,27.81,27.99,27.06,27.22,5664700,0.0,0
2008-01-22,25.85,26.66,25.44,26.05,5467500,0.0,0
2008-01-23,25.34,26.77,25.01,26.72,4595300,0.0,0
2008-01-24,26.86,27.06,25.78,25.94,3787700,0.0,0
2008-01-25,26.24,26.24,25.15,25.24,4520100,0.0,0
2008-01-28,25.23,25.97,25.22,25.9,3515500,0.0,0
2008-01-29,26.15,26.35,25.74,26.05,2558800,0.0,0
2008-01-30,26.0,26.92,25.63,26.31,4381000,0.0,0
2008-01-31,26.75,26.75,24.95,26.45,4521200,0.0,0
2008-02-01,26.16,26.83,26.16,26.8,2781200,0.0,0
2008-02-04,26.81,27.43,26.81,27.19,2056100,0.0,0
2008-02-05,27.28,27.42,26.22,26.28,3018100,0.0,0
2008-02-06,26.51,26.71,26.05,26.13,2752800,0.0,0
2008-02-07,26.24,26.28,25.63,26.09,3224000,0.0,0
2008-02-08,25.9,26.13,25.76,25.9,1838900,0.0,0
2008-02-11,25.84,26.0,25.68,25.81,2054000,0.0,0
2008-02-12,25.92,26.22,25.78,26.14,3411400,0.0,0
2008-02-13,26.39,26.53,26.2,26.46,3403100,0.0,0
2008-02-14,26.53,26.75,26.07,26.21,2183100,0.0,0
2008-02-15,25.89,26.3,25.87,26.25,2744100,0.0,0
2008-02-19,26.5,26.63,26.08,26.21,1801300,0.0,0
2008-02-20,25.98,26.13,25.68,26.02,2309800,0.0,0
2008-02-21,26.05,26.39,25.59,25.66,2085700,0.0,0
2008-02-22,25.81,26.04,25.63,26.0,1718500,0.0,0
2008-02-25,25.97,26.51,25.86,26.21,1942200,0.0,0
2008-02-26,26.14,26.3,25.97,26.3,2904800,0.0,0
2008-02-27,26.33,26.39,26.01,26.03,3385400,0.395,0
2008-02-28,25.84,26.07,25.64,25.76,2154200,0.0,0
2008-02-29,25.53,25.62,24.7,24.8,3954300,0.0,0
2008-03-03,24.82,25.04,24.6,24.97,3047700,0.0,0
2008-03-04,24.79,25.22,24.67,25.0,4652800,0.0,0
2008-03-05,24.93,25.22,24.67,25.2,3633000,0.0,0
2008-03-06,25.13,25.3,24.46,24.46,3540000,0.0,0
2008-03-07,24.31,24.45,24.1,24.28,3117300,0.0,0
2008-03-10,24.35,24.49,23.99,24.25,3040600,0.0,0
2008-03-11,24.84,25.02,24.4,24.99,3486700,0.0,0
2008-03-12,25.0,25.4,24.87,24.9,3435800,0.0,0
2008-03-13,24.85,24.86,24.41,24.63,3980500,0.0,0
2008-03-14,24.76,24.89,24.12,24.57,4273400,0.0,0
2008-03-17,24.04,25.11,24.04,24.97,4896700,0.0,0
2008-03-18,25.39,25.6,24.97,25.6,3889000,0.0,0
2008-03-19,25.67,26.0,24.92,24.92,4550200,0.0,0
2008-03-20,25.04,25.36,24.72,25.3,4515400,0.0,0
2008-03-24,25.35,25.58,25.04,25.26,1958800,0.0,0
2008-03-25,25.22,25.46,25.11,25.15,2846200,0.0,0
2008-03-26,24.99,25.47,24.99,25.24,2663500,0.0,0
2008-03-27,25.36,25.67,25.28,25.33,3094000,0.0,0
2008-03-28,25.4,25.69,25.08,25.15,1740200,0.0,0
2008-03-31,25.18,25.47,25.0,25.36,2523300,0.0,0
2008-04-01,25.53,26.42,25.53,26.38,4397900,0.0,0
2008-04-02,26.36,26.77,26.33,26.54,2657500,0.0,0
2008-04-03,26.44,26.6,26.24,26.28,1799100,0.0,0
2008-04-04,26.36,27.45,26.29,26.83,3397600,0.0,0
2008-04-07,27.07,27.07,26.73,26.95,2874200,0.0,0
2008-04-08,26.81,27.07,26.78,27.01,2024900,0.0,0
2008-04-09,27.12,27.26,26.82,27.01,2504600,0.0,0
2008-04-10,27.06,27.1,26.66,26.93,3307900,0.0,0
2008-04-11,26.66,27.04,26.57,26.67,3728500,0.0,0
2008-04-14,26.71,26.8,26.54,26.72,1395400,0.0,0
2008-04-15,26.84,27.08,26.66,26.97,1767900,0.0,0
2008-04-16,27.23,27.5,26.9,27.46,1737300,0.0,0
2008-04-17,27.33,27.66,27.15,27.22,1624600,0.0,0
2008-04-18,27.62,27.69,27.27,27.44,2159200,0.0,0
2008-04-21,27.28,27.39,26.91,27.2,2028400,0.0,0
2008-04-22,27.03,27.14,26.8,26.96,1418600,0.0,0
2008-04-23,26.96,27.16,26.79,27.07,3408600,0.0,0
2008-04-24,27.15,27.27,26.87,26.94,1836800,0.0,0
2008-04-25,27.02,27.16,26.87,27.03,1145200,0.0,0
2008-04-28,27.13,27.36,26.9,26.96,1960000,0.0,0
2008-04-29,26.87,27.1,26.72,26.97,1961000,0.0,0
2008-04-30,26.84,27.34,26.8,26.94,1936200,0.0,0
2008-05-01,26.97,27.49,26.86,27.47,1779300,0.0,0
2008-05-02,27.6,28.52,27.33,28.31,2991100,0.0,0
2008-05-05,28.26,28.26,27.78,27.82,2442600,0.0,0
2008-05-06,27.79,27.95,27.25,27.82,2321800,0.0,0
2008-05-07,27.88,27.93,27.6,27.64,2142500,0.0,0
2008-05-08,28.26,28.35,27.58,27.95,2577200,0.0,0
2008-05-09,27.95,28.06,27.45,27.93,2243200,0.0,0
2008-05-12,28.05,28.13,27.82,28.13,1119700,0.0,0
2008-05-13,28.28,28.35,27.87,27.9,1428000,0.0,0
2008-05-14,27.97,28.45,27.9,28.37,2360000,0.0,0
2008-05-15,28.26,28.37,28.11,28.35,1689600,0.0,0
2008-05-16,28.38,28.57,28.26,28.54,1899100,0.0,0
2008-05-19,28.5,28.85,28.47,28.64,1702600,0.0,0
2008-05-20,28.56,28.92,28.38,28.79,2313300,0.0,0
2008-05-21,28.9,29.18,28.81,28.87,2468300,0.0,0
2008-05-22,28.96,29.18,28.62,29.02,1741700,0.0,0
2008-05-23,28.93,29.07,28.21,28.21,2044900,0.0,0
2008-05-27,28.13,28.35,27.95,28.25,2076000,0.0,0
2008-05-28,28.47,28.67,28.27,28.57,1379300,0.395,0
2008-05-29,28.58,28.85,28.38,28.74,1255500,0.0,0
2008-05-30,28.86,29.17,28.69,29.0,2386800,0.0,0
2008-06-02,28.94,28.97,28.61,28.73,2326600,0.0,0
2008-06-03,28.91,29.28,28.84,29.12,3336600,0.0,0
2008-06-04,29.03,29.52,29.02,29.41,2212900,0.0,0
2008-06-05,29.51,29.7,29.13,29.68,3482300,0.0,0
2008-06-06,29.5,29.62,28.71,28.76,2451700,0.0,0
2008-06-09,28.79,29.37,28.79,29.31,1706900,0.0,0
2008-06-10,29.19,29.58,28.89,29.47,2195800,0.0,0
2008-06-11,29.36,29.56,28.94,28.97,3249800,0.0,0
2008-06-12,29.07,29.21,28.54,28.69,2290500,0.0,0
2008-06-13,28.74,29.06,28.66,28.89,2790800,0.0,0
2008-06-16,28.76,29.16,28.54,29.12,1896900,0.0,0
2008-06-17,29.22,29.34,29.1,29.15,1371500,0.0,0
2008-06-18,29.02,29.43,28.91,29.19,2454600,0.0,0
2008-06-19,29.37,29.91,29.34,29.76,2767100,0.0,0
2008-06-20,29.6,30.24,29.48,29.49,3586700,0.0,0
2008-06-23,29.64,29.99,29.64,29.76,1695500,0.0,0
2008-06-24,29.73,30.02,29.48,29.8,2828200,0.0,0
2008-06-25,29.98,30.2,29.68,29.96,2679100,0.0,0
2008-06-26,29.58,29.9,29.38,29.41,3209300,0.0,0
2008-06-27,29.51,29.71,28.84,28.94,3138000,0.0,0
2008-06-30,29.41,29.86,28.94,29.75,4015800,0.0,0
2008-07-01,29.43,29.98,29.07,29.86,2972400,0.0,0
2008-07-02,29.98,30.38,29.73,29.75,3744900,0.0,0
2008-07-03,29.93,30.09,29.33,29.43,1768800,0.0,0
2008-07-07,29.42,29.92,29.05,29.34,2272500,0.0,0
2008-07-08,29.26,29.6,28.96,29.18,3130300,0.0,0
2008-07-09,29.1,29.58,29.1,29.4,2045800,0.0,0
2008-07-10,29.46,29.66,29.21,29.52,2151600,0.0,0
2008-07-11,29.24,29.8,29.08,29.36,2372900,0.0,0
2008-07-14,29.64,29.64,28.71,28.81,2686600,0.0,0
2008-07-15,28.81,28.86,28.38,28.64,2376300,0.0,0
2008-07-16,28.46,28.65,27.73,27.9,3156500,0.0,0
2008-07-17,27.78,27.88,27.27,27.69,3114100,0.0,0
2008-07-18,27.67,28.23,27.4,27.85,2785800,0.0,0
2008-07-21,27.87,28.17,27.37,28.05,1769900,0.0,0
2008-07-22,27.94,28.53,27.9,27.92,2450400,0.0,0
2008-07-23,27.9,28.01,27.25,27.35,2915500,0.0,0
2008-07-24,27.42,27.58,26.76,27.42,3129600,0.0,0
2008-07-25,27.58,27.63,27.08,27.13,2009000,0.0,0
2008-07-28,27.01,27.6,27.01,27.39,2548600,0.0,0
2008-07-29,27.35,27.52,26.97,27.2,3744500,0.0,0
2008-07-30,27.19,27.89,27.09,27.83,3406300,0.0,0
2008-07-31,27.78,28.03,27.64,27.67,2330100,0.0,0
2008-08-01,27.83,27.95,26.68,26.68,2619700,0.0,0
2008-08-04,26.7,26.9,26.49,26.51,2825700,0.0,0
2008-08-05,26.74,26.93,26.36,26.61,3497200,0.0,0
2008-08-06,26.71,26.84,26.19,26.41,3218600,0.0,0
2008-08-07,26.38,26.68,26.07,26.27,2408500,0.0,0
2008-08-08,26.4,26.82,26.22,26.79,1614500,0.0,0
2008-08-11,26.69,27.28,26.53,27.11,1980400,0.0,0
2008-08-12,27.08,27.1,26.61,26.74,1886500,0.0,0
2008-08-13,26.72,27.05,26.31,26.93,1410900,0.0,0
2008-08-14,26.78,26.87,26.41,26.49,1427800,0.0,0
2008-08-15,26.49,26.95,26.43,26.65,1861400,0.0,0
2008-08-18,26.67,26.91,26.5,26.61,1095500,0.0,0
2008-08-19,26.54,26.86,26.54,26.78,1349100,0.0,0
2008-08-20,26.8,27.04,26.66,27.0,1415400,0.0,0
2008-08-21,26.77,27.39,26.77,27.31,1346100,0.0,0
2008-08-22,27.32,27.56,27.18,27.3,1550100,0.0,0
2008-08-25,27.07,27.34,26.88,27.11,1685000,0.0,0
2008-08-26,27.02,27.74,27.0,27.6,1882500,0.0,0
2008-08-27,27.71,27.85,27.56,27.7,1594400,0.395,0
2008-08-28,27.81,28.05,27.76,28.04,1362500,0.0,0
2008-08-29,28.0,28.21,27.49,27.51,1568400,0.0,0
2008-09-02,27.76,28.02,27.19,27.24,2822100,0.0,0
2008-09-03,27.26,27.33,26.72,26.83,2125500,0.0,0
2008-09-04,26.61,26.78,26.08,26.29,2876600,0.0,0
2008-09-05,26.17,26.27,25.75,25.87,3140200,0.0,0
2008-09-08,26.08,26.91,26.06,26.91,4275400,0.0,0
2008-09-09,27.08,27.2,26.14,26.16,4503700,0.0,0
2008-09-10,26.2,26.89,26.2,26.73,3129700,0.0,0
2008-09-11,26.65,26.68,26.23,26.63,3566400,0.0,0
2008-09-12,26.63,27.39,26.55,27.25,2650400,0.0,0
2008-09-15,26.73,27.19,26.12,26.37,2694700,0.0,0
2008-09-16,26.18,27.42,25.92,27.02,5619100,0.0,0
2008-09-17,26.66,26.95,25.86,25.91,4613200,0.0,0
2008-09-18,26.05,26.93,25.6,26.37,3989200,0.0,0
2008-09-19,26.92,28.19,26.51,27.92,5239500,0.0,0
2008-09-22,27.71,28.22,27.38,27.49,3737000,0.0,0
2008-09-23,27.51,28.16,26.93,27.0,2585600,0.0,0
2008-09-24,27.03,27.3,26.35,26.75,3022500,0.0,0
2008-09-25,27.1,27.81,26.97,27.65,2683600,0.0,0
2008-09-26,27.37,27.49,27.01,27.43,1837500,0.0,0
2008-09-29,27.12,27.42,26.22,26.54,3786000,0.0,0
2008-09-30,26.9,27.57,26.33,27.04,3568800,0.0,0
2008-10-01,26.87,27.87,26.52,27.58,2785200,0.0,0
2008-10-02,27.44,28.1,26.45,26.6,4032000,0.0,0
2008-10-03,26.82,27.24,26.31,26.47,4521300,0.0,0
2008-10-06,25.84,26.78,24.43,25.33,5283900,0.0,0
2008-10-07,25.56,26.54,24.04,24.22,4792900,0.0,0
2008-10-08,23.66,24.64,22.85,23.73,6006300,0.0,0
2008-10-09,23.59,23.98,21.99,22.15,5065500,0.0,0
2008-10-10,21.17,22.64,19.76,21.28,8806900,0.0,0
2008-10-13,21.96,23.78,20.22,23.52,4742000,0.0,0
2008-10-14,24.28,25.24,22.33,23.45,5033800,0.0,0
2008-10-15,23.1,23.1,21.62,21.68,4853100,0.0,0
2008-10-16,21.64,22.92,20.9,22.8,5683300,0.0,0
2008-10-17,22.73,23.65,21.95,22.72,5966600,0.0,0
2008-10-20,23.23,24.02,22.43,23.99,3594700,0.0,0
2008-10-21,23.26,23.72,22.48,22.77,3448000,0.0,0
2008-10-22,22.34,22.43,20.74,21.4,4652100,0.0,0
2008-10-23,21.81,22.99,21.21,22.56,5995900,0.0,0
2008-10-24,21.17,22.7,20.86,22.21,4482900,0.0,0
2008-10-27,22.26,22.32,21.48,21.48,3508400,0.0,0
2008-10-28,21.95,23.61,21.25,23.46,5045700,0.0,0
2008-10-29,22.73,23.07,22.21,22.25,4800100,0.0,0
2008-10-30,23.56,23.86,22.03,22.92,4435400,0.0,0
2008-10-31,23.07,23.5,22.52,22.93,5487200,0.0,0
2008-11-03,22.91,23.23,22.59,23.04,2376200,0.0,0
2008-11-04,23.19,23.5,22.76,23.18,3185300,0.0,0
2008-11-05,22.9,23.29,22.18,22.27,3228100,0.0,0
2008-11-06,22.27,22.4,21.37,21.68,3739800,0.0,0
2008-11-07,21.79,22.72,21.79,22.64,3285400,0.0,0
2008-11-10,22.88,23.19,21.94,22.24,2620100,0.0,0
2008-11-11,21.99,22.59,21.61,22.13,2671400,0.0,0
2008-11-12,21.72,22.06,21.49,21.69,2555100,0.0,0
2008-11-13,21.86,23.06,21.6,22.94,4749900,0.0,0
2008-11-14,22.48,23.95,22.44,23.0,4193800,0.0,0
2008-11-17,22.59,23.43,22.28,22.74,2625200,0.0,0
2008-11-18,22.57,23.17,22.06,22.8,3435500,0.0,0
2008-11-19,22.77,23.33,22.07,22.09,3101200,0.0,0
2008-11-20,21.93,22.94,20.98,21.22,7552600,0.0,0
2008-11-21,21.65,23.38,21.37,23.34,7099000,0.0,0
2008-11-24,23.7,24.05,22.85,23.54,4962300,0.0,0
2008-11-25,23.64,24.17,23.18,23.45,4432600,0.0,0
